,Tweets,Date
0,the fact that we don’t know anything about coronavirus bothers me greatly ,2020-04-29 23:25:09+00:00
1,You what I just thought about? CORONAvirus is still a very real thing and people are still dying from it.,2020-05-30 20:14:55+00:00
2,"What This NEW Coronavirus News REALLY Means, Lil Nas X RANT Response, &amp; ... https://youtu.be/FdlXGRTPDfY via @YouTube",2020-01-30 23:56:34+00:00
3,Big Law Is Taking the Coronavirus Outbreak Seriously https://at.law.com/QK9mLB?cmp=share_twitter vía @AmericanLawyer,2020-01-30 23:20:46+00:00
4,#OnePiece will get a Live action Series on #Netflix plus the #BleachFaceAgain is FAKE and the people of overwatchleague have been CANCELLED the China event game between February - March by the Coronavirus indecent.. https://www.instagram.com/p/B79izW1JWSY/?igshid=1w2yipn7xt2m,2020-01-30 23:06:20+00:00
5,"Hate to be that person, but if you’re in the U.S, the Flu is a much higher risk than the Coronavirus. Know it might not help many, but hopefully it helps some with some worries and panic. Flu comes every year, practice hygiene my friends.",2020-01-30 22:59:40+00:00
6,Ive seen so many POC tweet/share racist asian jokes on the TL about coronavirus. Y’all think humor is an excuse to amplify your preexisting racism and xenophobia only when it doesnt apply to you or your own people. Think about that next time you snatch a MAGA hat off a stranger.,2020-01-30 22:47:28+00:00
7,Leave it to MSNBS to tie the corona virus to racism.,2020-01-30 21:29:32+00:00
8,"Good for you @tedlieu ! This administration is the most inept, heartless, useless group of people I’ve ever seen from any WH in my lifetime. #COVID19 #coronavirusus #CPAC",2020-02-28 15:33:49+00:00
9,"What This NEW Coronavirus News REALLY Means, Lil Nas X RANT Response, & ... https://youtu.be/FdlXGRTPDfY  via @YouTube",2020-01-30 23:56:34
10,CDC to travelers: Avoid all nonessential travel to China due to coronavirus outbreak https://www.usatoday.com/story/travel/airline-news/2020/01/27/cdc-travelers-avoid-all-nonessential-travel-china-due-coronavirus/4592635002/ … via @USATODAY,2020-01-27 23:52:58
11,"Except for the stagnant economy, the YUGE national debt, the great Coronavirus and a criminal in charge.",2020-02-02 23:51:15
12,"Twitter friends - I need your input! I’m at @LGAairport, sitting at my gate, several seats away from 40 yo female with a persistent cough and nasal drainage - clearly suffering from a URI. Would it be offensive to offer her a mask? I overprepared for the coronavirus situation.",2020-02-02 23:44:10
13,ALERT - HUGE MAJOR BREAKING NEWS ON CORONAVIRUS PANDEMIC!!! updates!  2-... https://youtu.be/ANB7fj2LB4w  via @YouTube,2020-02-06 23:58:52
14,Corona virus y all star gane tonight ,2020-02-16 23:35:41
15,"The New York Times: Coronavirus Test Kits Sent to States Are Flawed, C.D.C. Says.
https://www.nytimes.com/2020/02/12/health/coronavirus-test-kits-cdc.html …

via @GoogleNews",2020-02-12 23:31:46
16,The Coronavirus is spreading across the world and this is what you are tweeting about.  God you’re embarrassing.,2020-02-25 23:59:24
17,You are worst than the corona virus,2020-02-24 23:53:16
18,"One thing about the essay I question is the strict reliance on the Coronavirus as the cause. It could be the main trigger, but there are other factors at play.",2020-02-24 23:44:19
19,"With the continued spread of the corona virus, and the growing concern and fear, many people are afraid to travel, as such less flights are being booked and less money flows, slowly causing damage to the economy by stalling it",2020-02-28 23:54:00
20,I would be afraid to shake their hands. Stupid might be catching. Bigger concern than Corona virus.,2020-02-22 23:55:55
21,"Trump outlines US response to coronavirus threat, calls risk 'very low' https://nypost.com/2020/02/26/trump-outlines-us-response-to-coronavirus-threat-calls-risk-very-low/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost",2020-02-26 23:59:42
22,RT @tmprowell: The US has performed its first double lung transplant for lung damage caused by #COVID19. The recipient is a 20 yr old woman…,Sat Jun 13 09:52:51 +0000 2020
23,RT @JorgensenWL: Beginning of new protease inhibs to treat #COVID19. Too bad that both compounds are aldehydes. My search finds no FDA-appr…,Sat Jun 13 13:17:24 +0000 2020
24,RT @DrTomFrieden: 2 million cases is just the tip of the iceberg of how #COVID19 is spreading. Looking at identified deaths and the latest…,Sat Jun 13 13:31:14 +0000 2020
25,Opinion | How to Confront the Coronavirus at Every Level - The New York Times ⁦@luisenriquefalu⁩https://www.nytimes.com/2020/03/02/opinion/coronavirus-prepare-test.html …,2020-03-02 23:55:33
26,@seanhannity can you ever tell the truth? Your latest rant about the coronavirus and blaming the democrats is completely irresponsible and you are spreading Trump propaganda because you are a @realDonaldTrump loyalist! Do your job professionally! You have no ounce of credibility!pic.twitter.com/9vqPYH2gCq,2020-03-01 23:48:55
27,My grandma said she gonna buy a machete in case coronavirus case turns into zombies... ma’am...,2020-03-01 23:47:33
28,"What he did BEFORE becoming President isn't relevant...what he does while he's President is...such as tax cuts, keeping our jobs in USA, getting lazy ppl off Medicaid, closing the border, giving his salary for coronavirus, etc!! And he golfs on his own property...",2020-03-04 23:50:40
29,He’s incompetent narcissistic habitual liar and needs to be removed from office under 25th amendment because of this covid-19 coronavirus response debacle despite well respected Dr. Anthony Falci who @realDonaldTrump @GOP @VP are silencing! Trump disbanded the pandemic team!pic.twitter.com/oHvC8w2bh9,2020-03-19 23:57:41
30,Y si el coronavirus es completamente airborne como en Walking Dead and it’s just a matter of time ,2020-03-21 23:59:23
31,UAE announces 2 coronavirus deaths https://gulfnews.com/uae/government/uae-announces-2-coronavirus-deaths-1.1584735850926 …,2020-03-20 23:57:19
32,If I see one more spring break ig post with a corny coronavirus caption,2020-03-17 23:57:19
