,Tweets,Date
0,"#Turkey's #coronavirus death toll rises by 89 to 3,081 ",2020-04-29 23:00:00+00:00
1,"The Tunisia Football Federation has confirmed the country's domestic league will resume on August 2nd and will run till September 20,2020. The domestic championships were halted in March amid fears of the coronavirus pandemic. #QNA",2020-05-30 21:53:26+00:00
2,"The World Health Organization has declared a “public health emergency of international concern” over the outbreak of the 2019nCoV, or the Wuhan coronavirus",2020-01-30 21:32:25+00:00
3,"U.S. health authorities may not be calling for the use of face masks to halt the spread of the novel #coronavirus just yet, but shortages appear to be emerging across the #US anyway. #facemask #COVID19 ",2020-02-28 12:15:00+00:00
4,The Asian Football Confederation (AFC) is to call further emergency meetings with the representatives of MAs and its Leagues from both the East and West regions next week as the AFC continues to manage the worldwide impact of the Covid-19 outbreak. @theafcdotcom #كورونا #COVID19 ,2020-02-28 10:58:53+00:00
5,Chinese report says Wuhan outbreak may be from new coronavirus https://www.aljazeera.com/news/2020/01/chinese-report-wuhan-outbreak-coronavirus-200109015008463.html?taid=5e1693cfb19b7e000192f88e&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter …,2020-01-09 02:45:35
6,#Health #WHO #coronavirus WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan  https://twitter.com/i/events/1217928133917044736 …,2020-01-16 23:43:18
7,Japan has confirmed its first case of a new corona virus from China.#QNA,2020-01-16 07:31:31
8,Japan confirms first case of coronavirus infection https://aje.io/k43k4 pic.twitter.com/LQZeAPXOxe,2020-01-16 05:36:37
9,Japan confirms first case of coronavirus infection https://www.aljazeera.com/news/2020/01/japan-confirms-case-coronavirus-infection-200116012730381.html?taid=5e1fd1d9df714f0001b4c27d&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter …,2020-01-16 03:00:41
10,"The new coronavirus strain has caused alarm because of its connection to Severe Acute Respiratory Syndrome or SARS.
#ChinaVirushttp://www.qatar-tribune.com/Latest-News/ArtMID/423/ArticleID/27346/China-reports-17-new-cases-of-mystery-virus#.XiQB_hSQ0fU.twitter …",2020-01-19 07:18:12
11,"Chinese health authorities announced the discovery of four new cases of pneumonia after an outbreak of what is believed to be a new strain of the ""Corona"" virus in the city of Wuhan, central city. #QNA",2020-01-18 09:36:01
12,"Travelers from Wuhan to the United States will undergo entry screening for symptoms associated with the new coronavirus at three airports: San Francisco, New York's JFK and Los Angeles.
https://thepeninsulaqatar.com/article/17/01/2020/US-to-screen-passengers-for-China-mystery-virus …",2020-01-17 21:30:00
13,"Coronavirus: All you need to know about symptoms, vaccines, risks https://www.aljazeera.com/news/2020/01/coronavirus-symptoms-vaccines-risks-200122194509687.html?taid=5e28db1f0f91f60001a233ee&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter …",2020-01-22 23:30:39
14,"China further expands coronavirus outbreak lockdown, fast-tracks hospital https://aje.io/76dt8 pic.twitter.com/QDBTfWKTiG",2020-01-24 23:18:54
15,"China's coronavirus death toll soars to 717; total number of infections passes 34,000 https://aje.io/zyn4m pic.twitter.com/DSeCrhqUlx",2020-02-07 23:37:41
16,"Russia said trade relations with China may be disrupted as a result of measures to fight the spread of the deadly new strain of coronavirus.
https://thepeninsulaqatar.com/article/04/02/2020/Russia-warns-of-trade-%E2%80%98volatility%E2%80%99-with-China-on-virus-risk …",2020-02-04 23:40:00
17,"China coronavirus deaths rise to 618; Number of confirmed infections passes 30,000 mark https://aje.io/bdcg9 ",2020-02-06 23:45:37
18,China coronavirus outbreak: All the latest updates https://www.aljazeera.com/news/2020/02/200215224437270.html?taid=5e488298035a2400014b5f0d&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter …,2020-02-15 23:45:28
19,"Death toll from coronavirus epidemic exceeds 1,600 https://aje.io/7pxlz ",2020-02-15 23:31:58
20,"Coronavirus death toll nears 1,800 in China; Infections nationwide hit at least 70,433 https://aje.io/67t8x pic.twitter.com/7xXWwAXhhg",2020-02-16 23:57:34
21,Man kept 'in isolation' over coronavirus fears at Heriot-Watt University given all clear https://www.dailyrecord.co.uk/news/scottish-news/man-kept-in-isolation-over-21499161 … via @sportsdrag #sportsdragpic.twitter.com/zRd0LH7zHe,2020-02-14 23:52:03
22,"Coronavirus death toll in China surpasses 1,800; New report reveals more than 3,000 healthcare workers infected https://aje.io/nmngt pic.twitter.com/lirTQagsvp",2020-02-17 23:58:45
23,Four passengers from coronavirus hit cruise ship test positive in UK for deadly virus https://www.dailyrecord.co.uk/news/uk-world-news/four-passengers-coronavirus-hit-cruise-21560891 … via @sportsdrag #sportsdragpic.twitter.com/IxqaOTgMZl,2020-02-23 23:35:11
24,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
25,RT @INCMumbai: Our economic situation had been deteriorating before #COVID19 due to the incompetence of the FM Nirmala Sitharaman &amp; an ill-…,Sat Jun 13 09:52:59 +0000 2020
26,"#ShareVerified is a new UN initiative created to ""stop disinformation &amp; fake news from dividing communities in the… https://t.co/yRae5AZU93",Sat Jun 13 10:46:35 +0000 2020
27,RT @emilio__ferrara: Our latest w/@goranmuric &amp; @KristinaLerman quantifies the detrimental effect #covid19 has of exacerbating gender gaps…,Sat Jun 13 11:54:16 +0000 2020
