,Tweets,Date
0,"A total of 65 coronavirus patients die in Moscow in past day, overall death toll at 611 https://tass.com/world/1151635",2020-04-29 23:32:27+00:00
1,"Of course, the poor have little money, but there're lots of poor people over the world, and therefore the easiest way for “saving” the world economy and to emerge from of a crisis after of the coronavirus pandemic for the powers that be — is to start fleecing poor folk even more.",2020-04-29 23:05:36+00:00
2,Russia on Wednesday extended an entry ban for foreigners to slow the coronavirus as the country registers a steep rise in the number of new infections ,2020-04-29 23:00:00+00:00
3,“Over the past few weeks #PresidentPutin has mismanaged Russia’s responses to two major crises: the collapse of the oil market and the coronavirus pandemic. This jeopardizes his plan to change the constitution to allow him to serve two more terms.” ,2020-04-29 22:40:33+00:00
4,">BREAKING: Chinese city of Wuhan reports 136 new cases of new type of coronavirus, raising total there to 198

Me: Marilyn Manson - Resident Evil Main Title Theme (Corp. Umbrella).mp3",2020-01-19 19:37:20
5,is the coronavirus killing people or is it just making them sick for now because i feel bad joking about it if its like cancer or something,2020-01-25 23:48:53
6,this corona virus shit is genuinely frightening.,2020-01-25 23:43:49
7,@DrinkofAgesPub come watch stupid idiot tonight at 8pm or i will sneeze  coronavirus down your throat tonight.,2020-02-28 23:51:44
8,Hainan cuts emergency response level amid coronavirus outbreak https://www.russianinsight.com/hainan-cuts-emergency-response-level-amid-coronavirus-outbreak/ …,2020-02-26 23:57:10
9,'Pelosi is incompetent': @realDonaldTrump says speaker 'trying to create a panic' by attacking his coronavirus knowledge https://washex.am/386g4Y2 ,2020-02-27 23:55:27
10,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
11,"RT @jsblokland: J.P. Morgan on #bitcoin first real stress event - #Covid19:

Adjusted for #volatility the asset class showed resilience
Val…",Sat Jun 13 12:42:02 +0000 2020
12,wait alcohol kills the corona virus ,2020-03-01 23:45:02
13,the coronavirus does not give you an excuse to be racist.,2020-03-08 23:53:10
14,Thinking about how smoking weed is going to be the only thing that protects me from the coronavirus. So if you wanna smoke with me lemme know,2020-03-12 23:57:35
