,Tweets,Date
0, #COVID19 #Rwanda Day 75 Rwanda has recorded the first deaths of #coronavirus . The victim is a 65-year-old Rwandan truck driver. Total cases: 359 Active cases: 108 New cases: 04 Recovered: 250 (New 03) Death: 1 #RwOT #COVIDー19 #staysafe #SaveLives,2020-05-30 19:58:02+00:00
1,"JUST IN: @WHO declares the #Coronavirus a public health emergency of international concern. To date, there are no single suspected or confirmed cases in Rwanda, @RBCRwanda says, adding; ”Rwanda is working closely with the @WHO to implement necessary preparedness activities”.",2020-01-30 21:31:54+00:00
2,Iceland announces its first case of #COVID19 infection. A man in his forties who recently was in Northern #Italy outside of the four outbreak districts has been put in quarantine at @Landspitali - @almannavarnir declare #danger phase active for #pandemic response,2020-02-28 15:25:03+00:00
3,"There may have been limited human-to-human transmission of a new coronavirus in China within families, and it is possible there could be a wider outbreak, the World Health Organization (WHO) said on Tuesday.
https://reut.rs/2TtsmpX ",2020-01-15 13:47:50
4,"RT @antonioguterres: Saturday marks the 100-day countdown to #PeaceDay.

We are living through a difficult time, but we can turn the #COVID…",Sat Jun 13 09:57:14 +0000 2020
5,"RT @antonioguterres: People with albinism continue to be the target of stigma, discrimination &amp; violence - including amid #COVID19.

The UN…",Sat Jun 13 10:04:31 +0000 2020
6,"RT @rbarwanda: JUST IN: 

The IMF Executive Board today approved additional emergency funding of US$111.06 million to help #Rwanda finance…",Sat Jun 13 11:44:42 +0000 2020
7,"RT @evalistmurwana: In this mushrooming crisis caused by Covid19, where most of children are at home with the risks of high rate of child l…",Sat Jun 13 12:00:32 +0000 2020
8,"RT @UN: Amid #COVID19, people with albinism continue to suffer human rights violations, including being blamed for the pandemic. 

On Satur…",Sat Jun 13 12:01:11 +0000 2020
9,RT @LewisMugabe: Rumours making rounds that President #Nkurunziza was killed by poison or heard attack should be treated with contempt it d…,Sat Jun 13 13:51:19 +0000 2020
10,"RT @MarvinMbabazi: 1) RIP Pres Nkurunziza you succumbed to #COVID19 right after you downplayed it. 

Sadly, you will be remembered as the f…",Sat Jun 13 14:01:31 +0000 2020
