,Tweets,Date
0,"Coronavirus hype biggest political hoax in history - The new coronavirus is real. The response to the coronavirus is hyped. In time, this hype will be revealed as politically hoaxed. https://go.shr.lc/3f0V1uu -",2020-04-29 23:59:49+00:00
1,People in the jail shouldn't be evacuated because of Corona virus #MaltepeCezaevindeNeleroluyor,2020-04-29 23:58:23+00:00
2,"9) ""#Hoax CV19 Can Create Different Symptoms Through DARPA Bioweaponized Neural Nano Delivery Systems"" on YouTube https://youtu.be/y8fUklKNA28 #COVID19 #coronavirus",2020-04-29 23:56:47+00:00
3,Malacañang reminded local officials to act within the bounds of the law when reprimanding violators of the enhanced community quarantine (ECQ) imposed until May 15 to stop the coronavirus disease (Covid-19) outbreak. ,2020-04-29 23:56:03+00:00
4,Dr. Fauci backed controversial Wuhan lab with millions of U.S. dollars for risky coronavirus research ,2020-04-29 23:53:19+00:00
5,It’s getting hard to tell if white people are crossing the street because of the coronavirus or because I’m black,2020-04-29 23:49:48+00:00
6,"""Frostbite"" toes and rashes may be signs of a coronavirus infection ",2020-04-29 23:58:33+00:00
7,"Sooo our gov't & media spend yrs investigating Russia, essentially for running social media bot farms (btw we end up with zero Russian indictments). Yet China unleashes a deadly virus on the world and we aren't even allowed to criticize them? #coronavirus",2020-04-29 23:42:10+00:00
8,US GDP suffers biggest decline since Great Recession as coronavirus batters economy - ,2020-04-29 23:41:51+00:00
9,"2) ...will blame it on Coronavirus to justify force vaccination. Why do you think local businesses, schools are closed and they extended these lockdown? That's because they need more time to install these weaponry 5G systems. Every man, woman and child is a Target.",2020-04-29 23:40:29+00:00
10,"I accept that. No human infallible. Ioannidis included. I just wonder how much of the criticism is directed at his science vs. his unpopular stand that interventions against the coronavirus must be evidence-based. Judging by the venom directed at him, I suspect it’s the latter. ",2020-04-29 23:38:52+00:00
11,@SenateDems @HouseDemocrats @So we now have 9 investigations into the Chinese Corona Virus aka Kung Flu. The last one @SpeakerPelosi made it partisan by vote but she lied on TV. Don't you think this is serious enough to look at? Our own intelligence agencies setting up citizens.,2020-04-29 23:38:35+00:00
12,Stop trying to find A Scapegoat. Investigate Incompetent in Chief for doing nothing for the first 2 months of Coronavirus Pandemic,2020-04-29 23:35:36+00:00
13,Could female sex hormones hold key to why men are more at risk from coronavirus? ,2020-04-29 23:34:29+00:00
14,Overnight Defense: Navy head orders ‘deeper review’ into Roosevelt’s coronavirus outbreak | Armed Services chairman opposes defense industry cash in next coronavirus bill | More satellite imagery suggests Kim Jong Un’s whereabouts https://thedamgoodtimes.com/2020/04/29/overnight-defense-navy-head-orders-deeper-review-into-roosevelts-coronavirus-outbreak-armed-services-chairman-opposes-defense-industry-cash-in-next-coronavirus-bill-more-satellite-imagery-sugg/,2020-04-29 23:32:32+00:00
15,Overnight Defense: Navy head orders ‘deeper review’ into Roosevelt’s coronavirus outbreak | Armed Services chairman opposes defense industry cash in next coronavirus bill | More satellite imagery suggests Kim Jong Un’s whereabouts https://www.militaryq.com/2020/04/29/overnight-defense-navy-head-orders-deeper-review-into-roosevelts-coronavirus-outbreak-armed-services-chairman-opposes-defense-industry-cash-in-next-coronavirus-bill-more-satellite-imagery-sugg/,2020-04-29 23:31:58+00:00
16,"Some have called for the Department of Defense to ""defend forward"" against cybercrime that exploits the coronavirus pandemic. However, doing so would strain the department's already limited resources ... http://twib.in/l/zz84R7Gaa49p via @InfoSecHotSpot",2020-04-29 23:31:18+00:00
17,"Oh no, Tesla posted a profit during the Coronavirus. Shame on Tesla ",2020-04-29 23:31:07+00:00
18,Florida ordered coroners to stop releasing coronavirus death data: report ,2020-04-29 23:49:14+00:00
19,"follow me - Navy delays commander decision, widens investigation into carrier outbreak: The Navy has delayed a decision on the future of Capt. Brett Crozier as it launches a broader inquiry into how the novel coronavirus spread aboard aircraft carrier.- follow for follow ",2020-04-29 23:21:03+00:00
20,Stuck but happy. Ozlem from Switzerland got stuck here and making the best of it by surfing here daily.... #covid_19 #coronavirus #surfing #surf #beach #sand #surfboard #wetsuit #sunset #huningtonbeach… https://www.instagram.com/p/B_lT2vjlTai/?igshid=8mm1tlpv58ye,2020-04-29 23:19:31+00:00
21,"So, if this is true, the WH Coronavirus Task Force recommeneded that NY State pay $69 million to Oren-Pines for ventilators--not a single one was delivered. Thanks, @VP--for a total absence of competent leadership.",2020-04-29 23:19:23+00:00
22,"Yes, I was imprisoned for #rape but when I was told the DEMOCRATIC PARTY was having me released because of the @Coronavirus, of course I went out and #raped again. What are they gonna do? Put me back in and let me out again. COMING TO YOUR NIEGHBOURHOOD with this time c IMMUNITY",2020-04-29 23:17:26+00:00
23,"Just spent a few minutes reading about Vietnam War deaths and—shock of shocks— the media is wrong about the numbers as far as coronavirus deaths being greater. So eager to report that story tho, they just couldn’t wait for it to get there.",2020-04-29 23:15:54+00:00
24,Elon Musk is dangerously wrong about the novel coronavirus - The Verge ,2020-04-29 23:13:51+00:00
25,"If he can't kill you with coronavirus, he'll purge you in retaliation. ",2020-04-29 23:13:19+00:00
26,CHINA Stole Remdesivir from Gilead then Tried to Patent the Drug in January -- Knowing Months Ago It Would Treat Coronavirus and Trying to Make Money off the Pandemic https://www.thegatewaypundit.com/2020/04/china-stole-remdesivir-gilead-tried-patent-drug-january-knowing-months-ago-treat-coronavirus-trying-make-money-off-pandemic/?utm_source=Twitter&amp;utm_medium=PostSideSharingButtons&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,2020-04-29 23:11:17+00:00
27,The man who is putting a America through a recession due to his incompetence on dealing with the Coronavirus problem.,2020-04-29 23:10:20+00:00
28,"Media lies, people died. #coronavirus #Hydroxychloroquine #Hydroxycloroquine",2020-04-29 23:05:03+00:00
29,I honestly don't think the corona virus exists in Zambia. The said cases are probably common flu,2020-04-29 23:04:32+00:00
30,"#Coronavirus: Nearly third of all care homes in England have reported outbreaks, data shows ",2020-04-29 23:03:02+00:00
31,"“The conditions in Buca Prison are awful. Corona cases are reported, canteens are shut, rats and cockroaches roam.” #DontTurnPrisonsIntoGraveyard #CoronaVirus #CoronaPandemic #COVID19",2020-04-29 22:59:01+00:00
32,Jasha Has Died From CoronaVirus. We will miss him always. https://tim-barrus.format.com/tim-barrus/the-first-time-i-met-jasha,2020-04-29 22:56:46+00:00
33,"The NHS employs half a million people. Add in politicians, media and more and you need a few million souls in the U.K. in on the great conspiracy or Coronavirus hoax as Mr Icke has it. How many tens (hundreds) of millions does this mean worldwide? 1/3",2020-04-29 22:53:11+00:00
34,"#ChineseCommunistParty failure to curb the spread of the #coronavirus has dragged the world fight down against the #COVID19 pandemic, common sense says."" . . . There fixed it for ya guys!",2020-04-29 22:53:09+00:00
35,"""Blackadder star Sir Tony Robinson has complained that older people have been “incarcerated” and “forgotten” during the coronavirus pandemic"".Sir Tony, ""that if there was a similar death rate in any “any other part of the population this would be a huge national scandal""100%RIGHT",2020-04-29 22:52:32+00:00
36,"Correction: The loss of thousands of lives is part of what that ego craves... ...it's an issue of both #power and #sadism. The formation of #Cult45 was so he could do these things to us, including his own followers. #Trump #TrumpLiesAmericansDie #coronavirus @sarahkendzior",2020-04-29 22:52:15+00:00
37,"The natural disasters that are occurring now are a scary alarm for the world. Will science be able to find a solution to this situation? What do scientists think about the occurrence of these disasters, do they have a convincing answer? #COVID19 #coronavirus",2020-04-29 22:52:15+00:00
38,Alan self isolation Day 10 Be seeing you. #lockdown #lockdownuk #coronavirus,2020-04-29 22:50:29+00:00
39,"In Turkey, Erdogan’s crackdown on Kurds takes no coronavirus break ",2020-04-29 22:47:04+00:00
40,"U.S. coronavirus death toll passes 60,000 https://boingboing.net/2020/04/29/u-s-coronavirus-death-toll-pa.html",2020-04-29 22:45:40+00:00
41,@RampCapitalLLC What are the odds that the people who were getting sick and dying during the vape crisis actually had #coronavirus ? ,2020-04-29 22:40:57+00:00
42,I don’t what to think or who to believe with this plague anymore. I just want it to be over. #coronavirus,2020-04-29 22:40:16+00:00
43,Interesting! Police hunt mystery person walking streets as 17th-century plague doctor during coronavirus outbreak ,2020-04-29 22:38:45+00:00
44,"Coronavirus cases, deaths rise in Arab countries http://v.aa.com.tr/1823665",2020-04-29 22:35:16+00:00
45,He just wants to treat us with hatred. please Mr Governor come to our aid. This landlord does not care about how deadly this Corona virus is.,2020-04-29 22:34:04+00:00
46,"and also due to the fact that most Estate agents are not working at the moment, it's has been very difficult for us to find a new apartment. it's difficult for us to quit this time because of this corona virus pandemic,",2020-04-29 22:34:03+00:00
47,"and assaulted my brother and said we have to quit his apartment this night. we doesn't owe him any rent money. Early this month, he told us to quit when our rent expires but because of the fear of contacting this Corona virus,",2020-04-29 22:34:03+00:00
48,2) You had asked who should be released @AvOzlemZengin Both parent have been taken from little Elif Zehra and many alike! Have a hard look at this photograph! #DontTurnPrisonsIntoGraveyard #CoronaVirus #CoronaPandemic #COVID19,2020-04-29 22:31:04+00:00
49,Maryland Gov. Hogan orders universal coronavirus testing at nursing homes after hundreds of deaths https://www.baltimoresun.com/coronavirus/bs-md-hogan-coronavirus-wednesday-20200429-gqsvfapmgrfkpokiki3bll6bwm-story.html #SmartNews,2020-04-29 22:36:45+00:00
50,"Corona virus, changing the Zeitgeist? More deaths than Vietnam (America) More deaths than the London Blitz (Britain) (With the Russians and the Jews still to put in their claim) Meanwhile back at the ranch 'ear'nOz .. (well, long story, but worth a listen https://tinyurl.com/yaj3p9zc",2020-04-29 22:30:26+00:00
51,Coronavirus: Police hunt for person taking daily walk dressed as ‘terrifying’ plague doctor https://www.independent.co.uk/news/uk/home-news/coronavirus-plague-doctor-hellesdon-norfolk-police-a9489781.html #SmartNews,2020-04-29 22:30:19+00:00
52,Self Referral #Portal—User guide for essential workers to book a test at a #RegionalTestingSite or via #HomeDelivery 24th April 2020 https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/881043/covid-19-testing-self-referral-portal-user-guide.pdf #StayHomeStaySafe #Coronavirus #Virus #SocialDistancing #COVIDー19 #Doctors #Nurses #NHS #COVID19 #SelfIsolation #Lockdown,2020-04-29 22:29:58+00:00
53,Florida medical examiners were releasing coronavirus death data. The state made them stop. http://www.tampabay.com/news/health/2020/04/29/florida-medical-examiners-were-releasing-coronavirus-death-data-the-state-made-them-stop/ #SmartNews,2020-04-29 23:55:33+00:00
54,"Forecasters say hurricane season 2020 will be ""active,"" could strain emergency response amid coronavirus pandemic - CBS News ",2020-04-29 22:28:21+00:00
55,OH #wuhanfentanyl Really? When coronavirus outbreak Wuhantoo,2020-04-29 22:28:04+00:00
56,Insiders describe Kushner as ‘de facto president’ who played key role in delaying coronavirus closures: report | The Hill ,2020-04-29 22:27:49+00:00
57,"THE BAD NEWS: Dr. Fauci Says ""It's Inevitable"" the Coronavirus Will Return THE GOOD NEWS: He's Wrong About Most Everything (VIDEO) https://www.thegatewaypundit.com/2020/04/bad-news-dr-fauci-says-inevitable-coronavirus-will-return-good-news-wrong-everything-video/?utm_source=Twitter&amp;utm_medium=PostTopSharingButtons&amp;utm_campaign=websitesharingbuttons via @gatewaypundit",2020-04-29 22:23:13+00:00
58,Somali government it's must be declared lockdown or curfew night and day becouse the cases of infection corona virus-19 is increasingly so people are saved and that responsibility is required by the government if they do not stop public will be extremely 1k. @BiidAbdirisak,2020-04-29 22:22:28+00:00
59,"China, US, Canada and France co-funded and founded Wuhan lab in 2015. because it was clear that corona virus epidemic/pandemic (Covid-19 is 7th KNOWN iteration of the virus) will happen and the lab was studying virus and vaccines! All founding countries had 100% access to the lab",2020-04-29 22:15:46+00:00
60,"In Arizona for all the hospital beds they have, they have never used more than 10% of those beds to treat #coronavirus. They have 7.7M people with 305 deaths. That’s .00004 death rate for the entire population. Why on earth are they still in lock-down?!?!",2020-04-29 22:15:31+00:00
61,"Coronavirus latest: Pandemic not a time for protests, says NYC mayor",2020-05-30 23:51:45+00:00
62,Coronavirus denial and climate denial have one thing in common: greed | Opinion,2020-05-30 23:50:12+00:00
