,Tweets,Date
0,"At least 13,000 people have died in the Iranian capital #Tehran between February and March, says city council member Mohammad Javad Haghshenas without specifying what proportion of those deaths was due to #coronavirus. #Iran #COVID_19",2020-04-29 23:58:44+00:00
1,#Coronavirus: Less #AirPollution means thousands fewer die:,2020-04-29 23:21:40+00:00
2,"Mad woman,you will soon enter market don't worry, please somebody should Corona virus my comment by liking it and I will follow you back sharply ",2020-04-29 23:02:30+00:00
3,Low #coronavirus death toll in India puzzles experts #COVID19,2020-04-29 22:28:00+00:00
4,"#AbuDhabi’s real gross domestic product (GDP) is expected to contract by 7.5 percent this year because of lower #oil production and the impact of the new #coronavirus outbreak, S&amp;P Global Ratings says. ",2020-05-30 23:43:55+00:00
5,Did u just print the corona virus?? ,2020-05-30 23:33:25+00:00
6,"The protests sweeping across #US cities following the police killing of #GeorgeFloyd, a black man in Minnesota, have sent shudders through the health community and elevated fears that the huge crowds will lead to a new surge in cases of the #coronavirus. https://english.alarabiya.net/en/coronavirus/2020/05/31/US-cities-fear-protests-over-police-killing-of-Floyd-may-fuel-new-wave-of-coronavirus.html",2020-05-30 22:29:29+00:00
7,Pope Calls For Action To “End Pandemic Of Poverty” After Coronavirus ,2020-05-30 22:16:19+00:00
8,Wanna get corona virus so I can go to the hospital and ACTUALLY be left alone,2020-05-30 21:36:09+00:00
9,"#Greece will allow flights from additional #EU destinations, including #France, to land without strict quarantine rules from June 15, when Greek airports are to ease #coronavirus lockdown restrictions, a government official says. ",2020-05-30 21:28:40+00:00
10,"#India reports a record daily jump of 7,964 new #coronavirus infections and has so far recorded 4,971 deaths, making the world’s second-most populous country, ninth on the list of most infections, according to Reuters data. #COVID_19",2020-05-30 21:13:41+00:00
11,Emirates sent 18 tons of medical supplies to Sudan to fight the dealy virus #Coronavirus. We hope it can defeat the virus and help the biggest number of people. #الامارات #كورونا #كوفيد_19 #السودان #الامارات,2020-05-30 20:48:45+00:00
12,"#Italy’s health minister confirms the country can go ahead with the plan to start allowing travel across the nation, even as some local governors oppose letting people from Lombardy, the region hardest-hit by the #coronavirus, move freely. #COVID_19",2020-05-30 20:13:44+00:00
13,"#Bahrain reports 344 new #coronavirus cases, raising the total number of confirmed cases in the country up to 10,793, and the Minister of Health urges the public against smoking as it increases risk of #COVID_19 infection.",2020-05-30 19:58:56+00:00
14,"Corona updates status in worldwide Cases : 6 Million Death's : 370,000.00 #CoronaUpdates #coronavirus #COVID19 #",2020-05-30 19:49:54+00:00
15,A German government spokesman has confirmed that Chancellor #AngelaMerkel will not attend an in-person summit of world leaders that President #DonaldTrump has suggested he will host in the #UnitedStates despite concerns over the #coronavirus.,2020-05-30 19:36:03+00:00
16,So sad to see that she is risking her life to save other people from coronavirus #coronarvirus,2020-01-30 23:46:37+00:00
17,If they bring them back and God forbids the virus spreads here you people will be the first one start cursing the Govt. We are unable to eradicate polio What will happen if Corona virus spreads in the country???,2020-01-30 23:45:45+00:00
18,How would chatur & rancho ask viru sahastrabuddhi to do a certain thing? ~ corona virus,2020-01-30 23:05:29+00:00
19,BREAKING NEWS: World Health Organization Declares 2019-nCoV Coronavirus a Global Health Emergency https://ift.tt/2Gztmku https://ift.tt/2Gztmku,2020-01-30 22:59:27+00:00
20,3 Emirates staff in Dubai hospitalized over coronavirus scare ,2020-01-30 22:53:39+00:00
21,Experts believe it likely that there are thousands infected with #coronavirus who have gone undetected and that it’s possible the virus is even being spread by people who do not have any symptoms. ,2020-01-30 22:34:06+00:00
22,Coronavirus: Pilots union sues to halt American Airlines flights to China. @emirates @EtihadAirways @gcaauae Consider the safety of crew &amp; public stop flight...,2020-01-30 22:33:00+00:00
23,U.S. warned to prepare for worst on #coronavirus. ,2020-01-30 22:23:13+00:00
24,First case of P2P transmission of Wuhan virus in the US is confirmed. Here is Chronology of #Coronavirus and latest updates. ,2020-01-30 21:56:21+00:00
25,Coronavirus Outbreak: WHO declares international emergency over coronavirus ,2020-01-30 21:30:15+00:00
26,BREAKING NEWS! The inevitable has happened. baselworldofficial will be postponed to January 2021 on the back of the #Covid19 outbreak! https://www.instagram.com/p/B9IAY7xnePu/?igshid=1sf506wg14bqz,2020-02-28 21:09:08+00:00
27,Nobody’s talking about that meteor that fell prior the #COVID19 lol,2020-02-28 18:47:04+00:00
