,Tweets,Date
0,Why Is Uruguay Beating Latin America’s Coronavirus Curse? ,2020-05-30 23:35:57+00:00
1,Why Is #Uruguay Beating Latin America’s Coronavirus Curse? - ,2020-05-30 20:15:14+00:00
2,Uruguay Is Beating Latin America’s Coronavirus Curse - Bloomberg ,2020-05-30 19:42:08+00:00
3,Why is Uruguay beating Latin America's coronavirus curse? @MacMargolis has some answers https://www.bloomberg.com/opinion/articles/2020-05-29/uruguay-is-beating-latin-america-s-coronavirus-curse via @bopinion,2020-05-30 19:33:19+00:00
4,"@stopyulinforevr I hope cientists explain Chinese &amp; Korean societies that dog&amp;cat meat also have their own strains of @coronavirus and if they dont cease to butch them to eat, the next pandemic will strike bigger and worse...",2020-01-30 23:52:37+00:00
5,Aussies told to reconsider travel to China as coronavirus kills 106 people https://ift.tt/2RxrZZZ ,2020-01-28 23:37:03
6,"@stopyulinforevr I hope cientists explain Chinese & Korean societies that dog&cat meat also have their own strains of @coronavirus and if they dont cease to butch them to eat, the next pandemic will strike bigger and worse...",2020-01-30 23:52:37
7,people from china i hope yall save and dont have corona virus pls take care <33,2020-02-02 23:26:04
8,"Coronavirus in Iran prompts US to extend olive branch amid claim country's death toll far higher than reported

https://www.foxnews.com/world/coronavirus-iran-us-help-death-toll-higher …",2020-02-28 23:52:39
9,"RT @KemiOlunloyo: #BREAKING #CoronaVirus is INCREASING In Lagos🇳🇬😷🦠
Almost nobody is wearing masks on the streets. They are hanging it on t…",Sat Jun 13 07:51:54 +0000 2020
10,"RT @ivana909: After a successful @FIFAWWC, is women's football in danger of losing momentum - and money - because of #COVID19? 

I hear how…",Sat Jun 13 11:11:14 +0000 2020
11,"RT @voxeu: Difference in #COVID19 infection rates b/t former E &amp; W #Germany attributable not to BCG, find Richard Bluhm &amp; Maxim Pinkovskiy,…",Sat Jun 13 12:39:22 +0000 2020
12,"This is just shameful
#COVID19 capitalism at its highest

Some Ventilator Companies Still Won’t Release Repair Manu… https://t.co/D8wh6niij2",Sat Jun 13 14:07:58 +0000 2020
13,Coronavirus: British Airways and Ryanair cancel hundreds of flights due to COVID-19 outbreak | Travel News | Sky News https://news.sky.com/story/coronavirus-british-airways-and-ryanair-cancel-hundreds-of-flights-due-to-outbreak-11948097 …,2020-03-02 23:49:48
14,Yooooo I kinda started an argument between the homie and his girl over that coronavirus tweet earlier  his girl big mad then I proceeded to get him big mad back at his girl.,2020-03-04 23:49:42
