,Tweets,Date
0,Book Tour in the Early Days of Coronavirus https://lithub.com/book-tour-in-the-early-days-of-coronavirus/ via @lithub,2020-04-29 23:49:33+00:00
1,"God I pray for the Nations , Let's your Holy Blood wash away this corona virus. ",2020-04-29 23:32:10+00:00
2,Im going to fight the next person that talks about coronavirus,2020-04-29 23:31:02+00:00
3,ICE Moved Dozens Of Detainees Across The Country During The Coronavirus Pandemic. Now Many Have COVID-19. https://www.buzzfeednews.com/article/hamedaleaziz/ice-immigrant-transfer-jail-coronavirus via @haleaziz,2020-04-29 23:29:42+00:00
4,Cubs and White Sox season ticket holders can choose credit or refunds for games lost to the coronavirus shutdown https://www.chicagotribune.com/sports/breaking/ct-chicago-cubs-white-sox-ticket-refunds-20200429-knkxfuwtibeevisqoju5exg3ga-story.html?utm_source=dlvr.it&amp;utm_medium=twitter#ed=rss_www.chicagotribune.com/arcio/rss/category/sports/ #,2020-04-29 23:28:35+00:00
5,"‘Race & #Coronavirus: A #BayArea Conversation,’ to air on KGO with @RepBarbaraLee, @Greenlining's Debra Gore-Mann and more. https://www.eastbaytimes.com/2020/04/29/race-coronavirus-a-bay-area-conversation-to-air-on-kgo/ via @eastbaytimes",2020-04-29 23:19:19+00:00
6,Apple and Google Team Up to ‘Contact Trace’ the Coronavirus: the elephant in the room ,2020-04-29 23:15:24+00:00
7,"My first time out the front door (with my mask tightly in place!), since the coronavirus inspired “shelter in place”, even though I have re-edited and reposted a few archived photographs, this is my first new… https://www.instagram.com/p/B_lGCCKn2UB/?igshid=1dwrwyz8tbldi",2020-04-29 23:05:21+00:00
8,Coronavirus impact will be reported on Q2 results.,2020-04-29 22:59:08+00:00
9,"Results from two studies of #remdesivir for #COVID19 released today (one placebo-controlled, one not), plus previously leaked data now published in @TheLancet. #coronavirus @eBARnews @NIAIDNews @ScottGottliebMD @GileadSciences",2020-04-29 22:57:35+00:00
10,"Without explicitly stating it, an executive explained Tesla ""experienced global shutdowns."" Dudes, just talk about coronavirus, we're ALL dealing with it, it's a pandemic.",2020-04-29 22:50:20+00:00
11,"Anyone else finding this $TSLA call super awkward with zero mention of coronavirus, pandemic, COVID-19....?",2020-04-29 22:50:18+00:00
12, coronavirus sign of times ,2020-04-29 22:42:33+00:00
13,Whaaattttt???? “The World Health Organization lauded Sweden as a ‘model’ for battling the coronavirus as countries lift lockdowns.” ,2020-04-29 22:41:46+00:00
14,"Bolinas offers test to every resident for coronavirus, one of the first in the world to do so https://www.sfgate.com/coronavirus/article/west-marin-coronavirus-covid-test-free-15211203.php?utm_campaign=CMS%20Sharing%20Tools%20(Desktop)&amp;utm_source=t.co&amp;utm_medium=referral via @SFGate",2020-04-29 22:41:13+00:00
15,"The Pentagon has not released UFO footage to distract you from how bad Trump has messed up the governments response to the Coronavirus. They released UFO footage to make you think we need Trump's Space Force, instead of the Pandemic Response Team he fired in 2018.",2020-04-29 22:34:18+00:00
16,"tiktok, not the chinese government, created the coronavirus",2020-04-29 22:33:58+00:00
17,Hyatt is latest hotel chain to announce new cleaning program amid coronavirus. Here's what hotels are doing https://www.usatoday.com/story/travel/hotels/2020/04/29/coronavirus-hyatt-announces-new-cleaning-goals-following-hilton-marriott/3046386001/ via @USATODAY #Hyatt,2020-04-29 22:33:20+00:00
18,coronavirus check,2020-04-29 22:19:42+00:00
19,Coronavirus: New antibody test 'with 99 per cent accuracy' approved for use across Europe | The Independent ,2020-04-29 22:17:19+00:00
20,Oh God ventilator and coronavirus testing kit? ,2020-04-29 22:15:32+00:00
21,So I guess coronavirus just disappeared?,2020-05-30 23:49:33+00:00
22,I mean the coronavirus thing,2020-05-30 23:47:27+00:00
23,And now there is no more coronavirus! Especially in Minneapolis!,2020-05-30 23:30:55+00:00
24,"""Sending children back to schools and day care centres in Denmark, the first country in Europe to do so, did not lead to an increase in coronavirus infections, according to official data, confirming similar findings from Finland on Thursday."" ",2020-05-30 22:44:43+00:00
25,Noam Chomsky: What History Shows Us About Responding to Coronavirus https://lithub.com/noam-chomsky-what-history-shows-us-about-responding-to-coronavirus/ via @lithub,2020-05-30 22:34:44+00:00
26,Five-month-old Brazilian baby survives coronavirus after 32 days in coma - CNN ,2020-05-30 22:33:12+00:00
27,#CORONAVIRUS INFORME 94 #pergamino,2020-05-30 22:30:57+00:00
28,I've gotten blocked by people just for telling them everybody will get coronavirus eventually. Some people cant handle the truth so they block it out wherever they can.,2020-05-30 22:30:47+00:00
29,"An international team of researchers has tested more than 10,000 compounds to identify six drug candidates that may help treat COVID-19. https://www.dovemed.com/current-medical-news/covid-19-drug-lead-treatments-identified/ #coronavirus #covid19",2020-05-30 22:00:37+00:00
