,Tweets,Date
0,New Zealand Beat the Coronavirus – and Has Three Lessons for Brazil https://riotimesonline.com/brazil-news/brazil/politics-brazil/new-zealand-beat-the-coronavirus-and-has-three-lessons-for-brazil/?utm_source=dlvr.it&amp;utm_medium=twitter,2020-04-29 23:59:09+00:00
1,Coronavirus is telling us to be a citizen of our country – and our world https://www.scmp.com/week-asia/opinion/article/3082210/coronavirus-telling-us-be-citizen-our-country-and-our-world?utm_source=dlvr.it&amp;utm_medium=twitter,2020-04-29 23:55:07+00:00
2,Coronavirus is hitting Iowa harder than many of its bordering states: https://www.desmoinesregister.com/story/news/health/2020/04/29/coronavirus-hitting-iowa-harder-than-illinois-minnesota-missouri-nebraska-south-dakota-wisconsin/3042881001/ via @DMRegister,2020-04-29 23:54:56+00:00
3,"WHO: Sweden, which avoided mass coronavirus lockdowns, should be 'model' for the world https://www.foxnews.com/world/who-sweden-which-avoided-mass-coronavirus-lockdowns-should-be-model-for-the-world?utm_source=dlvr.it&amp;utm_medium=twitter",2020-04-29 23:54:11+00:00
4,Navy opens full investigation into coronavirus-stricken USS Theodore Roosevelt https://www.foxnews.com/us/navy-opens-full-investigation-coronavirus-stricken-uss-theodore-roosevelt?utm_source=dlvr.it&amp;utm_medium=twitter,2020-04-29 23:54:10+00:00
5,Coronavirus: Madrid's balcony cinema screens films for people in lockdown https://www.bbc.co.uk/news/world-europe-52443601?utm_source=dlvr.it&amp;utm_medium=twitter,2020-04-29 23:52:38+00:00
6,Facebook shares soar 10% despite impact of coronavirus on ad sales https://fortune.com/2020/04/29/facebook-q1-earnings-coronavirus-ads-slowdown/?utm_source=dlvr.it&amp;utm_medium=twitter,2020-04-29 23:52:33+00:00
7,"Gilead's coronavirus treatment remdesivir just succeeded in a crucial study, raising hopes for a first COVID-19 drug https://www.businessinsider.com/coronavirus-treatment-gilead-says-positive-data-remdesivir-from-niaid-study-2020-4?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider",2020-04-29 23:00:05+00:00
8,Houston Astros block World Series* ring being auctioned off for coronavirus charity http://hill.cm/sAvu3zq,2020-04-29 22:48:03+00:00
9,The whole world saw an idiot Trump suggests 'injection' of disinfectant to beat coronavirus and 'clean' the lungs https://www.nbcnews.com/politics/donald-trump/trump-suggests-injection-disinfectant-beat-coronavirus-clean-lungs-n1191216 via @nbcnews,2020-04-29 22:40:34+00:00
10,"Britons welcome in EU this summer if coronavirus restrictions lifted, European Commission says ",2020-04-29 22:15:33+00:00
11,The World Is Still Far From Herd Immunity for Coronavirus ,2020-05-30 23:43:30+00:00
12,#Twitter to label disputed #CoronaVirus tweets. (USA Today) #SocialMedia #COVIDー19 #COVID19 #CoronaVirusOutbreak #CoronaVirusPandemic https://buff.ly/2WBzaCZ,2020-05-30 23:30:00+00:00
13,"Sooo is #coronavirus like not a thing anymore?? Lotta people at the protests, not much social distancing or masks",2020-05-30 22:57:07+00:00
14,Coronavirus: Pret a Manger plans rent talks in bid to avoid closures https://www.bbc.co.uk/news/business-52862678?utm_source=dlvr.it&amp;utm_medium=twitter,2020-05-30 22:33:33+00:00
15,How the coronavirus could be prevented from invading a host cell ,2020-05-30 22:30:32+00:00
16,"Romania's Orban breaches own coronavirus rules, pays fine https://www.channelnewsasia.com/news/world/romania-s-orban-breaches-own-coronavirus-rules--pays-fine-12787978?utm_source=dlvr.it&amp;utm_medium=twitter",2020-05-30 22:26:35+00:00
17,Rick McDaniel: Coronavirus church reopening – Services start Sunday. Here's the key question https://www.foxnews.com/opinion/coronavirus-church-reopening-sunday-key-question-rick-mcdaniel?utm_source=dlvr.it&amp;utm_medium=twitter,2020-05-30 22:10:34+00:00
18,"WHO reports single-day increase in coronavirus cases by over 116,000 https://tass.com/society/1162215?utm_source=dlvr.it&amp;utm_medium=twitter",2020-05-30 20:57:33+00:00
19,"That's like saying 1,000,000 have not died from #coronavirus they died from the underlying condition of being old and having a week immune system???? #protests #mineapolis #goergefloyd #JusticeForGeorgeFloyd",2020-05-30 20:51:00+00:00
20,"Coronavirus? Pandemic? For many in Sweden, life goes on..... But Sweden's coronavirus approach is not a model to copy.",2020-05-30 20:44:53+00:00
21,"As China's coronavirus shutdowns end, levels of air pollutants rise to traditional levels again https://www.foxnews.com/science/chinas-covid-19-shutdowns-end-levels-of-air-pollutants-rise-to-traditional-levels-once-more?utm_source=dlvr.it&amp;utm_medium=twitter",2020-05-30 20:41:06+00:00
22,Coronavirus live news: deaths surge in Brazil and Russia as Trump says US is quitting WHO ,2020-05-30 21:59:25+00:00
23,My 2020 mantra manifestation Protected connected; safer apart #coronavirus #StayHome #Quarantine,2020-05-30 19:52:58+00:00
24,#BellyMujinga was a transport worker who died after being spat at by someone with coronavirus symptoms. Sign this petition to help her family get justice in her name ,2020-05-30 19:37:59+00:00
25,Watchdog says they are no confirmed cases of new coronavirus in Moscow ,2020-01-30 23:47:03+00:00
26,New coronavirus first confirmed in Italy — media https://tass.com/world/1114903?utm_source=dlvr.it&amp;utm_medium=twitter,2020-01-30 23:33:32+00:00
27,'Good' news: Passenger on board Costa Smeralda suffers common flu http://bit.ly/2GC9cpZ #CostaSmeralda #coronavirus #travel,2020-01-30 23:28:09+00:00
28,Coronavirus: China confident it can fight outbreak https://www.jpost.com/Breaking-News/Coronavirus-China-confident-it-can-fight-outbreak-616038?utm_source=dlvr.it&amp;utm_medium=twitter,2020-01-30 23:21:33+00:00
29,Russia closes border with China to prevent spread of the coronavirus - CNBC https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDEvMzAvY29yb25hdmlydXMtcnVzc2lhLWNsb3Nlcy1ib3JkZXItd2l0aC1jaGluYS10by1wcmV2ZW50LXNwcmVhZC5odG1s0gFmaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjAvMDEvMzAvY29yb25hdmlydXMtcnVzc2lhLWNsb3Nlcy1ib3JkZXItd2l0aC1jaGluYS10by1wcmV2ZW50LXNwcmVhZC5odG1s?oc=5&amp;utm_source=dlvr.it&amp;utm_medium=twitter,2020-01-30 23:19:13+00:00
