,Tweets,Date
0,Coronavirus has now reached Italy. #Cyprus https://twitter.com/MarinaStavrou9/status/1222574785256882176?s=19,2020-01-30 23:26:20+00:00
1,"I played Plague Inc. for like 20 hours or something which makes me an expert in infectious diseases and pandemics. As an expert, I can confirm that the novel #coronavirus 2019-nCoV a very good virus because:",2020-01-30 23:18:51+00:00
2,Don't try. (#COVID19 is coming for you),2020-02-28 23:35:16+00:00
3,How to respond to COVID-19 | Bill Gates #coronavirus #COVID19 https://www.gatesnotes.com/Health/How-to-respond-to-COVID-19?WT.mc_id=20200228175018_COVID19_BG-LI&amp;WT.tsrc=BGLI&amp;linkId=83234899,2020-02-28 18:28:23+00:00
4,The latest The Cyprus Local Daily! https://t.co/sruFLvwqgz #covid19 #brexit,Sat Jun 13 10:09:07 +0000 2020
5,"RT @SkyNews: BREAKING: A smiling Queen looks on at a scaled back military parade at Windsor Castle, in her first outdoor event since the st…",Sat Jun 13 10:18:08 +0000 2020
6,RT @stratandbiz: The 5 key challenges affecting every part of the world — and how we can start to address them in a post-#COVID19 landscape…,Sat Jun 13 11:10:38 +0000 2020
7,RT @iricharit: Our fourth #EYCyprus Industry Pulse Report focuses on the #Retail Sector and provides a sector-specific perspective on the C…,Sat Jun 13 12:30:30 +0000 2020
8,"RT @UN: Let's share ideas on how to achieve a global ceasefire, heal our planet &amp; turn the #COVID19 crisis into an opportunity for peace.…",Sat Jun 13 10:04:55 +0000 2020
9,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",Sat Jun 13 11:06:49 +0000 2020
10,I don't think coronavirus is gonna be around till September,2020-03-13 23:57:02
