,Tweets,Date
0,"So this morning, I walked past the youngest, doodling. “Whatcha drawing?”, I asked. “Expectation vs Reality for Coronavirus”, she replied. Ummm... okay... sure! Dunno what I expected, but it wasn’t this...… https://www.instagram.com/p/B_lYe0bnRKd/?igshid=92c7fm2q6dw8",2020-04-29 23:59:57+00:00
1,So... I guess they’re going back to downplaying the #coronavirus 02 #FBR,2020-04-29 23:58:17+00:00
2,"Not surprised that @benshapiro, the inspiration for white supremacist terrorists in multiple countries, has this perspective on elderly people's agonizing, suffocating, lonely death. #coronavirus ",2020-04-29 23:56:09+00:00
3,"IN THIS NEW BOOK: ""Guide to Survival of the #Coronavirus in America."" See page 92 ""HVAC Systems &amp; Airborne Diseases"" It explains what hospitals already knew. That HVAC systems help spread diseases &amp; the risks of planes &amp; ships. https://VIPPUSA.ORG/free-book 14",2020-04-29 23:52:18+00:00
4,USING A SWAT TEAM TO COMBAT THE #CORONAVIRUS IS NOVEL FOR SURE. 02 #WednsdayWisdom,2020-04-29 23:50:12+00:00
5,"Chris Hayes described Fox News' coverage of the pandemic as ""coronavirus trutherism."" https://www.huffpost.com/entry/chris-hayes-tucker-carlson-fox-news-coronavirus_n_5ea92ca5c5b6106b8ecf9031?ncid=engmodushpmg00000004 #via @HuffPostPol",2020-04-29 23:48:42+00:00
6,What is a reason to eat out in public? #coronavirus,2020-04-29 23:47:13+00:00
7,Dr. Dean Kindler joined @Wgxa and @VictoriaWGXA to discuss the impact of #coronavirus. View it here! ,2020-04-29 23:42:54+00:00
8,"""That money belongs to somebody else, somebody who needs it, you know,"" says Barbara Tarnow. ""It says he's deceased on the check."" #fox5atl #COVID19 #coronavirus #StimulusChecks",2020-04-29 23:41:06+00:00
9,"My last #coronavirus diaries is about how Americans aren't healthy, and it's making the effects of the disease worse. ",2020-04-29 23:41:04+00:00
10,"""That money belongs to somebody else, somebody who needs it, you know,"" says Barbara Tarnow. ""It says he's deceased on the check."" #fox5atl #COVID19 #coronavirus #StimulusChecks",2020-04-29 23:41:06+00:00
11,INFECTIOUS DISEASE EXPERT & EPIDEMIOLOGIST-IN-CHIEF SAYS WE CAN USE THE FLU VACCINE TO FIGHT THE #CORONAVIRUS Medical experts at the WH have to patiently explain to him that his idea of using the flu vaccine to address the coronavirus will not work. #FBR,2020-04-29 23:40:14+00:00
12,"Evening update: Number of Georgia coronavirus deaths rises to nearly 1,100, cases surpass 25.6K ",2020-04-29 23:39:54+00:00
13,Andy believes he is immune to the coronavirus because he was bitten by a bat years ago. April thinks that the symptoms of coronavirus would be cool to have but helps Leslie put her plan into action.,2020-04-29 23:38:35+00:00
14,How This Local Real Estate Tycoon is Giving Frontline Workers Much Needed Piece of Mind for Their Families - Mark Spain https://www.myasbn.com/small-business-shows/atlanta-small-business-show/how-this-local-real-estate-tycoon-is-giving-frontline-workers-much-needed-piece-of-mind-for-their-families-mark-spain/ via @MyASBN @MarkSpainTeam #Atlanta #YMCA #Coronavirus #COVID-19,2020-04-29 23:33:16+00:00
15,WHERE THERE'S SMOKE... Watch Cardi B blast Trump's lack of leadership skills during the coronavirus pandemic 01 #ThursdayThoughts,2020-04-29 23:29:13+00:00
16,"White House asks agencies to find out if China, WHO hid coronavirus intel https://nypost.com/2020/04/29/white-house-wants-to-know-if-china-who-hid-coronavirus-intel/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost",2020-04-29 23:28:12+00:00
17,That’s why I usually don’t even do 9-5 but because I’m making very good money I decided to keep working during the corona virus but no amount of money going to make me ok with being harassed and disrespected so ima hit the pockets POINT BLANK,2020-04-29 23:19:19+00:00
18,Candidates Sought for Positions on ACCGov/Winterville Joint Development Authority by May 5. This is about coronavirus relief and distributing loans to small businesses. It sounds boring but it's important. https://www.accgov.com/civicalerts.aspx?AID=3895,2020-04-29 23:19:18+00:00
19,A couple spent 73 years together. They both died from coronavirus 6 hours apart ,2020-04-29 23:16:04+00:00
20,"""Monroe resident and co-owner of My Pet Chicken said she has seen a spike in chicken raising interest during the coronavirus pandemic."" #startupcost https://www.theridgefieldpress.com/arts-leisure/article/Monroe-resident-offers-tips-and-tricks-for-15223936.php",2020-04-29 23:15:10+00:00
21,"""You want your coronavirus scattered, smothered, or covered?""",2020-04-29 23:14:46+00:00
22,Black light photos show importance of washing hands properly amid coronavirus outbreak ,2020-04-29 23:13:33+00:00
23,Poop may tell us when the coronavirus lockdown will end https://www.chron.com/news/article/Poop-may-tell-us-when-the-coronavirus-lockdown-15234871.php?utm_campaign=socialflow&amp;utm_source=twitter.com&amp;utm_medium=referral&amp;utm_campaign=CMS%20Sharing%20Tools%20(Desktop)&amp;utm_source=t.co&amp;utm_medium=referral via @houstonchron,2020-04-29 23:10:34+00:00
24,Yikes. Why Georgia Is Reopening Amid the Coronavirus Pandemic - The Atlantic ,2020-04-29 22:58:50+00:00
25,US Housing Market Reverses Course in March with Coronavirus Shutdowns ,2020-04-29 22:56:29+00:00
26,"Beloved Brooklyn teacher, 30, dies of coronavirus after she was twice denied a COVID-19 test - ABC News Why do they hate us so much? https://abcnews.go.com/Health/beloved-brooklyn-teacher-30-dies-coronavirus-denied-covid/story?id=70376445",2020-04-29 22:54:08+00:00
27,So the coronavirus got a expiration date?,2020-04-29 22:53:01+00:00
28,"Dude, I need a haircut like everyone else but I’m damn sure not going to risk the health of young lady who cuts my hair. I don’t have Coronavirus; neither does she but you know all who comes in - thanks to jackass @GovKemp - have never been tested. Make America Respectful Again.",2020-04-29 22:52:45+00:00
29,"“[his] three companies made $2.2 billion in revenue in 2019. But in March, when U.S. businesses started to feel the fallout from the coronavirus pandemic, the companies laid off 95 percent of their employees.”",2020-04-29 22:52:21+00:00
30,Coronavirus Pandemic Update 63: Is COVID-19 a Disease of the Endothelium... https://youtu.be/Aj2vB_VITXQ via @YouTube,2020-04-29 22:51:02+00:00
31,How Coronavirus Created The Perfect Conditions For Conspiracy Theories ,2020-04-29 22:50:44+00:00
32,White House selling commemorative coronavirus coins for $100 ,2020-04-29 23:03:34+00:00
33,"""I don't know why, I don't know how, but I was spared,"" Papola said. #fox5atl #COVID19 #coronavirus ",2020-04-29 22:46:47+00:00
34,"""I don't know why, I don't know how, but I was spared,"" Papola said. #fox5atl #COVID19 #coronavirus https://www.fox5atlanta.com/news/dekalb-county-man-donates-plasma-to-help-covid-19-patients",2020-04-29 22:46:37+00:00
35,"true, but it seems to be more focused on coronavirus's impact on the entertainment company, so it felt random.",2020-04-29 22:45:41+00:00
36,WHERE THERE'S SMOKE... Watch Cardi B blast Trump's lack of leadership skills during the coronavirus pandemic 02 #WednsdayWisdom,2020-04-29 22:45:14+00:00
37,I’m just so tired of hearing about the coronavirus like gahhhh damn. It’s so fucking draining.,2020-04-29 22:44:53+00:00
38,Coronavirus got people passing out from smelling they own breath ,2020-04-29 22:40:14+00:00
39,Los Angeles-based CORE Response and the Arthur M. Blank Family Foundation on Thursday plan to open a coronavirus testing site at Mercedes-Benz Stadium. ,2020-04-29 22:33:04+00:00
40,Organizer of North Carolina group protesting quarantine rules sidelined with coronavirus https://nypost.com/2020/04/28/leader-of-north-carolina-anti-lockdown-protest-gets-covid-19/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost,2020-04-29 23:47:43+00:00
41,Blood of recovered coronavirus patients for sale on dark web – AM | #deepweb | #darkweb | #hacker https://nationalcybersecuritynews.today/blood-of-recovered-coronavirus-patients-for-sale-on-dark-web-am-deepweb-darkweb-hacker/,2020-04-29 22:24:51+00:00
42,I’m ready for my kids to go back to school and it’s not even summer break yet! #coronavirus #ronatime #ShelterInPlace #school2020 #homeschooling #whenthisisover,2020-04-29 22:23:58+00:00
43,"People who want to vote, yet show signs of COVID-19 will not be turned away. We go in depth tonight at 11 and WSB TONIGHT Coronavirus in Georgia. Join me and @JovitaMoore on Channel 2. @wsbtv",2020-04-29 22:23:20+00:00
44,THIS IS US SOON: ‘Testing wasn’t enough. It wasn't enough to stop this virus.’ — This political consultant’s #coronavirus experience in Italy should be a warning for Americans 01 #VoteBlueNoMatterWho,2020-05-30 23:52:10+00:00
45,"Cobb County has now had over 3,000 confirmed cases of the new coronavirus as of Saturday evening, per the latest report from the Georgia Department of Public Health. ",2020-05-30 23:51:06+00:00
46,Coronavirus and Unemployment. #FBR,2020-05-30 23:46:14+00:00
47,Yes Waffle House gives me 24/7 coronavirus vibes ,2020-05-30 23:43:00+00:00
48,Businesses way more scared of niggas than they were of coronavirus smh smh,2020-05-30 23:35:40+00:00
49,it’s like corona virus coverage has just ceased,2020-05-30 23:23:00+00:00
50,Coronavirus seems so yesterday's news.,2020-05-30 23:04:01+00:00
51,Coronavirus is officially over ,2020-05-30 22:57:32+00:00
52,"Coronavirus exposes vulnerabilities of world’s migrant workers, Middle East News &amp; Top Stories | #exploits | #vulnverabilities",2020-05-30 22:57:31+00:00
53,YOU THINK? #Coronavirus may have much longer incubation period--which would mean quarantines have been too short https://thehill.com/changing-america/well-being/prevention-cures/482978-chinese-researchers-suggest-coronavirus #SaturdayMorning,2020-05-30 22:55:13+00:00
