,Tweets,Date
0,Trump wants to milk Saudi Arabia again after Corona virus destroyed economy,2020-05-30 21:55:51+00:00
1,2020 is on a roll! You can’t make this stuff up!! Monkeys 'escape with coronavirus samples' after attacking lab assistant ,2020-05-30 19:53:51+00:00
2,"Somebody's inside me, forcing me to do what I don't like. Somebody's inside me, disliking what I always do. Who's really me? #تیریپ_فلسفی #بداهه #Question #StockMarketCrash2020 #Erdogan #Coronavid19 #Idlib #TrumpLiesAboutCoronavirus #COVID19 #Turkish #FridayFeeling",2020-02-28 22:15:58+00:00
3,Sounds like that the #COVID19 stands for Corona Virus Disease 2019.,2020-02-28 21:00:32+00:00
4,The first buyers are those mullahs in Tehran! #BDS #Coronavid19 #COVID19 #CoronaVirusIran,2020-02-28 20:44:45+00:00
5,"China to provide Iran with 20k coronavirus test kits, says MFA Spox @SAMOUSAVI9 #Iran #China #CoronaVirusIran #COVID19 ",2020-02-28 13:30:00+00:00
6,UAE suspends passenger ferry services with Iran over coronavirus #Iran #UAE #CoronaVirusIran #COVID19 ,2020-02-28 12:30:00+00:00
7,"Cineaste: Iranians’ hearts go out with Chinese people

#Iran #China #Coronavirus
https://theiranproject.com/?p=369431 ",2020-02-02 23:30:00
8,"special quarantine cars are moving towards Qom city in #Iran where two people earlier dies because of #coronavirus
https://twitter.com/MotamdNoPoRamin/status/1230263787971915777 …",2020-02-19 23:22:22
9,That's not true . . . You can have coronavirus!,2020-02-22 23:40:50
10,"Health worker from #Iran explains that in her shift, at a hospital SW of Tehran, there were 17 fatalities due to #CoronaVirus COVID19.
Regime has prevented specialists from WHO to arrive in Iran on Tuesday. https://twitter.com/Leila_Arya/status/1232812493480787968 …",2020-02-26 23:59:40
11,"RT @HerryNapit: Now, more than ever, #Yemen needs the outside world's help, and it's not really getting it, even as both #COVID19 and #chol…",Sat Jun 13 10:53:57 +0000 2020
12,"RT @UN: Let's share ideas on how to achieve a global ceasefire, heal our planet &amp; turn the #COVID19 crisis into an opportunity for peace.…",Sat Jun 13 10:04:55 +0000 2020
13,"RT @ICFJ: #COVID19 has created numerous challenges for journalists around the 🌎. In this webinar by ICFJ, @towcenter &amp; @pressfreedom, @juli…",Sat Jun 13 11:01:21 +0000 2020
14,"American dream becoming American nightmare. 

#COVID19",Sat Jun 13 13:33:15 +0000 2020
15,Alert: All Friday prayers have been cancelled to prevent the spread of the coronavirus. Please keep worship to your homes https://www.foxnews.com/world/coronavirus-halt-muslim-pilgrimage-to-mecca-friday-prayers-in-iran-as-countries-take-drastic-measures …,2020-03-04 23:59:34
16,"Coronavirus is a disease of the lungs.  Democrats, of the heart.  (paraphrasing Chiang Kai-Shek)",2020-03-11 23:59:27
