,Tweets,Date
0,"#DrHabib_Review @JPN_PMO Japanese Prime Minister Shinzo Abe suggested his readiness to consider a proposal that introduces a school year beginning in September, amid the novel coronavirus pandemic in the country. https://www.arabnews.jp/article/japan/article_13829/",2020-04-29 22:59:54+00:00
1,Lebanese twitter: Exposing and drama unfolding Me: yeah well Messi scored and we won 5-0 also one of my favs transferred to another team I also need to keep hear people telling me how lucky I am that I came back to Lebanon before the Corona virus spread. I'm so irrelevant,2020-01-30 21:41:42+00:00
2,Zero health literacy!!! #CoVID19 ,2020-02-28 20:00:24+00:00
3,Remdesivir previously used in ebola is now being tested for #COVID19 fingers crossed this works. In other news the CDC diagnostic criteria has been updated. https://www.cnn.com/2020/02/27/health/us-cases-coronavirus-community-transmission/index.html,2020-02-28 16:47:16+00:00
4,"Corona-virus awareness video for children, by UNICEF Lebanon #lopbeirut #coronavirus #covid19 #physician #order #lebanon #liban #beirut #beyrouth #طبيب #الصحة #الصحة_العامة #طب #نقيب_الاطباء #بيروت #لبنان",2020-02-28 14:40:22+00:00
5,Will coronavirus cause a China growth slowdown? https://buff.ly/2Rzhcyf ,2020-01-28 23:50:00
6,catch coronavirus not feelings,2020-01-25 23:38:19
7,"Chinese authorities confirm human-to-human transmission of new coronavirus
#China #Beijing #Hong_Kong #ASIA #USA #Coronahttps://www.mideastdiscourse.com/2020/01/21/chinese-authorities-confirm-human-to-human-transmission-of-new-coronavirus/ …",2020-01-21 22:56:33
8,Leading US health experts predict coronavirus could kill 65million https://www.dailymail.co.uk/health/article-7925475/US-health-experts-predicted-coronavirus-kill-65million-people-year-THREE-months-ago.html?ito=amp_twitter_share-top … via @MailOnline,2020-01-24 23:58:39
9,"Coronavirus Fears Drive US Markets Down More Than 600 Points

#USA #Trump #washington #China #Beijing #Hong_Kong #Coronahttps://www.mideastdiscourse.com/2020/02/01/coronavirus-fears-drive-us-markets-down-more-than-600-points/ …",2020-02-01 23:38:44
10,"Reuters: #Russia reports 8,706 new #coronavirus cases in past 24 hours (versus 8,987 new cases on previous day)",Sat Jun 13 07:52:47 +0000 2020
11,#COVID19 is a serious disease and all people living with #HIV should take all recommended preventive measures to mi… https://t.co/7C2ZnqlcqF,Sat Jun 13 10:00:10 +0000 2020
12,RT @ZhaLiyou: Defeating unprecedented #COVID19 demands companies/firms of their highest business ethics &amp; moral standard which we couldn't…,Sat Jun 13 10:23:01 +0000 2020
13,"What is the artistic answer to  #covid19 meets #BlackLivesMatter 
Atlanta based Artist 
https://t.co/23nvy0TUFO",Sat Jun 13 12:24:53 +0000 2020
14,My weekly #COVID19 update for the #MENA region (this week it is the changes in two weeks so please remember that wh… https://t.co/99Ijn2rhAm,Sat Jun 13 13:38:44 +0000 2020
15,...than why is #vicepotus in charge of this message? #coronavirus,2020-03-11 23:59:09
16,"https://www.tradingview.com/x/RYlDJl4K/ 
Well this is a chart where there are no institutional order flow,  who could imagine looking at a Corona virus chart",2020-03-21 23:58:30
17,"https://www.tradingview.com/x/RYlDJl4K/ 
Well this is a chart where there are no institutional order flow,  who could imagine looking at a Corona virus chart",2020-03-21 23:58:30
