,Tweets,Date
0,Nice thing to do! But probably quite risky for coronavirus transfer. Too much contact between people... I hope there will be no increase in COVID cases in 1 week!,2020-05-30 22:25:39+00:00
1,From the world at war to the coronavirus pandemic: The role insurance plays https://buff.ly/3etYocl #insurtech An underestimated industry #insurance,2020-05-30 20:32:01+00:00
2,"New Coronavirus 'Preventable And Controllable', China Says (CN CCTV) https://members.enex.lu/exchange/571050 pic.twitter.com/hcqFMYSUwA",2020-01-19 15:45:03
3,"#R check this

library(coronavirus)",2020-02-28 23:58:40
4,"RT @CORDIS_EU: European R&amp;I community has set off to fight the #pandemic 🦠🔬

Want to keep tabs on the latest discoveries in #coronavirus re…",Sat Jun 13 07:51:57 +0000 2020
5,A @pymnts survey identifies 4 types of #digitalshoppers in the #COVID19 era and how they plan to shop and pay post-… https://t.co/vTvV4Fj43y,Sat Jun 13 10:00:21 +0000 2020
6,"Samuel Barber's ""Dover Beach"", in aid of musicians' benevolent funds worldwide.  Thanks to #antonygormley &amp;… https://t.co/A1tpWqd5Ci",Sat Jun 13 13:02:32 +0000 2020
7,The latest The Pharmaceutical industry Daily! https://t.co/DDXVxyCF2g Thanks to @FrontRowLemon #coronavirus #covid19,Sat Jun 13 13:20:49 +0000 2020
8,"RT @GLOBSEC: @VazilHudak (@GLOBSEC) gives his impression on the role that @IMFNews will play in the post-#COVID19 world.
▶️ Join GLOBSEC, @…",Sat Jun 13 13:48:02 +0000 2020
9,"Finished my NEW #SocialDistancing #project for #CoronaVirus, #COVID19. It's working with a #Neopixel ring with 24… https://t.co/LoAZqLbFTi",Sat Jun 13 14:25:51 +0000 2020
