,Tweets,Date
0,Asia stocks set to rise as hopes rise on Gilead's coronavirus treatment from @CNBC,2020-04-29 23:59:37+00:00
1,Dr. Fauci says remdesivir sets new 'standard of care' for coronavirus treatment from @CNBC,2020-04-29 23:59:00+00:00
2,"6 monkeys given an experimental coronavirus vaccine from Oxford did not catch COVID-19 after heavy exposure, raising hopes for a human vaccine ",2020-04-29 23:48:38+00:00
3,Coronavirus hammers US economy in first quarter https://www.thestar.com.my/business/business-news/2020/04/30/coronavirus-hammers-us-economy-in-first-quarter,2020-04-29 23:31:18+00:00
4,MIFC Daily News Highlights Coronavirus pushes back BIMB’s restructuring plan http://www.mifc.com/index.php?ch=ch_contents_banking_takaful&amp;pg=pg_banking_takaful&amp;ac=28078 #YNotIF,2020-04-29 23:21:51+00:00
5,"Boeing to shrink workforce, raise cash as coronavirus slams jet industry https://www.thestar.com.my/business/business-news/2020/04/30/boeing-to-shrink-workforce-raise-cash-as-coronavirus-slams-jet-industry",2020-04-29 23:21:20+00:00
6,World shares jump on coronavirus treatment hopes https://www.thestar.com.my/business/business-news/2020/04/30/world-shares-jump-on-coronavirus-treatment-hopes,2020-04-29 22:51:19+00:00
7,yet today the coronavirus still here ,2020-04-29 22:45:27+00:00
8,Coronavirus COVID-19 Update &amp; Preventive Methods – Mudah Insights https://insights.mudah.my/coronavirus-covid-19/?utm_source=mobile-app&amp;utm_medium=push&amp;utm_campaign=coronavirus-update,2020-04-29 22:41:51+00:00
9,Indonesia to Open Economy Despite Coronavirus Spike by @asiasentinel https://www.asiasentinel.com/p/indonesia-to-open-economy-despite?utm_campaign=post&amp;utm_medium=web&amp;utm_source=twitter @nonvitaltooth @arifsetia2013d @CA4MSIA @richardrichli @imfsea_aruna @kuabt @ahkmlog @KelawarMY @GEanalyst @FreemanFr66 @malaysianalways @_chuad @pragupathy,2020-05-30 23:24:34+00:00
10,"Coronavirus started spreading in the U.S. in January, CDC says ",2020-05-30 22:31:23+00:00
11,"This Week in Apps: Facebook launches trio of app experiments, TikTok gets spammed, plus coronavirus impacts on app economy http://dlvr.it/RXgdnX",2020-05-30 20:55:05+00:00
12,"7,700 cases of the Wuhan coronavirus has already been confirmed in China, along with 170 deaths. Now, Google is closing down its offices. ",2020-01-30 23:40:16+00:00
13,*Live update* : Save this link to keep track of the spread of the Wuhan coronavirus; https://cna.asia/wuhanvirusmap,2020-01-30 23:37:57+00:00
14,"He's Malaysian Chinese with chinese name, but he rejected all rides from chinese names passengers doesn't matter which part of the world they're from, to avoid coronavirus. Okay.",2020-01-30 23:35:32+00:00
15,I dreamt that I found a dead body. A lady from China (she dressed like a traveler) murdered in a public toilet. Already got worms on her full body. Saghunam seri illayae. Woke up this morning to news stating that Msia now has 7 confirmed coronavirus cases.,2020-01-30 23:30:58+00:00
16,WHO. Corona Virus. Advice for public ,2020-01-30 23:15:58+00:00
17,Anti-China sentiment spreads abroad along with coronavirus https://www.thesundaily.my/world/anti-china-sentiment-spreads-abroad-along-with-coronavirus-EL1951402 @richardrichli @imfsea_aruna @arifsetia2013d @NonVitalTooth @GEanalyst @malaysianalways @ahkmlog @kuabt @AnwarFadzil @pragupathy @_chuad @CA4MSIA @billtay25,2020-01-30 22:56:17+00:00
18,"Malaysia to follow WHO lead for Thaipusam, says DPM over coronavirus fears https://www.freemalaysiatoday.com/category/nation/2020/01/29/malaysia-to-follow-who-lead-for-thaipusam-says-dpm-over-coronavirus-fears/ @richardrichli @imfsea_aruna @arifsetia2013d @NonVitalTooth @GEanalyst @malaysianalways @ahkmlog @kuabt @AnwarFadzil @pragupathy @_chuad @CA4MSIA @billtay25",2020-01-30 22:43:06+00:00
19,CDC confirms first human-to-human transmission of coronavirus in US @CNBC,2020-01-30 22:42:38+00:00
20,"Bernama - General : Coronavirus: MOE postpones registration for students from Wuhan, Hubei https://goo.gl/fb/DEGnAN",2020-01-30 22:34:23+00:00
21,India reports its first case of coronavirus https://www.malaysiakini.com/news/508956#.XjNWB4Psf0o.twitter @richardrichli @imfsea_aruna @arifsetia2013d @NonVitalTooth @GEanalyst @malaysianalways @ahkmlog @kuabt @AnwarFadzil @pragupathy @_chuad @CA4MSIA @billtay25,2020-01-30 22:17:52+00:00
22,"As a Chinese who's born in Malaysia and has NEVER set foot in China, I've had trolls coming in with remarks like: • Ching chong • Are you planning to eat your dog when he's grown? (I laughed) • Communist In the coming weeks it'll be • Stop spreading Corona virus! ",2020-01-30 21:52:33+00:00
23,"#COVID19: Italian among two new cases detected, total stands at 25 ",2020-02-28 18:33:48+00:00
24,another two new cases of COVID19.,2020-02-28 16:48:08+00:00
25,"In the midst of all the crisis, I guess there is a blessing in disguise behind #COVID2019 #covid19 ",2020-02-28 15:46:57+00:00
26,[#infographics] #COVID19 : Situational Update (As of 28 Feb) ,2020-02-28 14:51:45+00:00
27,Eh wait. You thought Covid19 cant be cured? We might not found the vaccine yet but this is almost similar to dengue treatment.,2020-02-28 14:36:44+00:00
28,"#NSTworld: A British man who was aboard the #DiamondPrincess cruise ship, docked in Yokohama, #Japan, has died from #coronavirus. https://www.nst.com.my/world/world/2020/02/570192/british-man-who-was-diamond-princess-ship-japan-dies-kyodo #Covid19",2020-02-28 13:55:57+00:00
29,"Hear, Hear! #COVID19 #Malaysia",2020-02-28 13:20:43+00:00
30,Malaysia | Dr M: Govt to tap RM2 trillion 'war chest' #Mahathir #Infoblaze #SoutheastAsia #Malaysia #Business #Economy #Finance #EconomicStimulus #Coronavirus #COVID19 http://bit.ly/infoblaze-malaysia-051 Via http://www.nst.com.my,2020-02-28 12:27:17+00:00
31,Dah ade kes positif covid19 after come back from Jepun &amp; org Jepun yg bekerja di Malaysia. (+ history of going back japan early this year) ,2020-02-28 12:22:05+00:00
32,"#NSTworld: Around 1,000 people were in quarantine in #Germany’s most populous state Friday, as the number of confirmed cases of novel #coronavirus in Europe’s biggest economy rose above 50. https://www.nst.com.my/world/world/2020/02/570112/germany-quarantines-1000-coronavirus-cases-push-past-50 #covid19",2020-02-28 12:01:08+00:00
33,"Its not about politic, its about our future. Market & COVID19. Only UG is a solution for current situation. #COVID19 ",2020-02-28 11:57:31+00:00
34,Is it real tho quiet scary #NorthKorea #Covid19 ,2020-02-28 11:09:06+00:00
35,"#NSTnation: About 15,000 #pilgrims affected by #SaudiArabia visa suspension http://youtu.be/hpNPLa2Bi20 Read here: https://www.nst.com.my/news/nation/2020/02/570090/about-15000-pilgrims-affected-saudi-visa-suspension-nsttv #Umrah #Coronavirus #covid19",2020-02-28 10:44:05+00:00
36,"COVID-19 in Malaysia ... Numbers at a glance as of 28th February 2020, 2 pm #coronavirus #COVID19 #sihatmilikku #walkthetalk",2020-02-28 09:07:04+00:00
37,"#KLCI close at 1482.64, down 22.95 or 1.52%. #COVID19 and political turmoil sending our index below 2016's low. Next week KLCI expected to trade between 1500 (R1) and 1452 (S1). Next support seen at 1423 (S2). ",2020-02-28 09:03:18+00:00
38,"Sell everything! Head to your bunkers! Just kidding. My theory? Whales selling down under the cover of the Covid19 scare. Why are whales selling down? A global recession is on the horizon, independent of Covid19. Whales never like being left holding the bag.",2020-02-28 09:00:17+00:00
