,Tweets,Date
0,This just in: coronavirus now has a cure It’s called Savage ft. Beyonce.,2020-04-29 23:45:58+00:00
1,Still makes me feel bad because I love my dad and I do want to see him it’s just life has been put on hold for now because of this stupid coronavirus and if my parents I live with weren’t how they are and it was safe to go I’d go in a heartbeat #IllBeThereSoon! ,2020-04-29 23:40:29+00:00
2,"Jared Kushner Calls Coronavirus Response ‘a Great Success Story’ as Death Toll Nears 60,000 https://www.thedailybeast.com/jared-kushner-calls-coronavirus-response-a-great-success-story-as-death-toll-nears-60000?source=twitter&amp;via=mobile via @thedailybeast",2020-04-29 23:15:53+00:00
3,A coalition of groups and medical providers have filed a federal lawsuit seeking to block surgical abortions in Minnesota during the coronavirus pandemic. ,2020-04-29 23:15:00+00:00
4,Cyberscammers: Pay Up or We’ll Infect Your Family With Coronavirus https://www.thedailybeast.com/new-coronavirus-scam-threatenspay-up-or-well-infect-your-family-with-covid-19?source=twitter&amp;via=desktop via @thedailybeast,2020-04-29 23:29:46+00:00
5,State officials are getting ready to reopen meat processing plants closed by the coronavirus after the President declared them part of the nation's critical industry. ,2020-04-29 22:28:23+00:00
6,"Based on these data, I conclude that lockdowns drive coronavirus growth.",2020-04-29 22:17:48+00:00
7,Please get Coronavirus!!!!! ,2020-05-30 23:50:10+00:00
8,Global #COVID19 total passes 6 million (@lisaschnirring has the latest in US and worldwide #coronavirus #pandemic news) http://ow.ly/fzGu30qL7OE,2020-05-30 23:23:53+00:00
9,How #Germany contained the #coronavirus | @wef #healthcare,2020-05-30 22:00:03+00:00
10,It just hit me that it’s the “all lives matter” and pro-life people who don’t seem to gaf about the coronavirus ,2020-05-30 21:54:22+00:00
11,"Can't fit the Brainerd Dispatch newspaper (print edition) in your back pocket but don't want to miss a single minute of award-winning, local reporting, especially in the age of #coronavirus ? You can download the free Brainerd Dispatch app for your smartphone. ",2020-05-30 21:53:00+00:00
12,Coronavirus May 30: Developments across our region ,2020-05-30 21:35:25+00:00
13,Coronavirus May 30: Developments across our region https://trib.al/e1v5Yws,2020-05-30 20:41:45+00:00
14,"Coronavirus in Minnesota: Another 30 Minnesotans have died of COVID-19 state health officials reported Saturday, for a total of 1,026. ",2020-05-30 20:22:36+00:00
15,We will see a surge in #coronavirus cases over the next two weeks.,2020-05-30 20:19:51+00:00
16,Please don’t forget that the coronavirus is still out here. It didn’t disappear. Wear a mask as you demonstrate!,2020-05-30 20:16:10+00:00
17,Coronavirus really mad right now,2020-05-30 19:54:31+00:00
18,Coronavirus May 30: Developments across our region https://trib.al/jrl247I,2020-05-30 19:43:04+00:00
19,"Economic free fall of the coronavirus has ended, nontraditional data show, says #RSM Chief Economist @JoeBrusuelas. https://rsm.buzz/2TW0LwK",2020-05-30 19:42:43+00:00
20,Statement from the Press Secretary Regarding the President’s Coronavirus Task Force https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-presidents-coronavirus-task-force/?utm_source=twitter via @whitehouse,2020-01-30 23:50:02+00:00
21,"Thanks for posting that. I heard info like that on mpr and thought "" why all the coronavirus hysteria?""",2020-01-30 23:27:52+00:00
22,im gonna get coronavirus from going to a show in NY by getting knocked over by a dude moshing with no shirt on,2020-01-30 23:21:50+00:00
23,Chinese villages around coronavirus epicentre prevent Hubei residents https://mol.im/a/7941947 via @MailOnline @BNODesk,2020-01-30 22:58:12+00:00
24,"@ITregillis what you think of this Coronavirus ? Update: 171 dead, 8,268 confirmed cases worldwide. By the way arm is still getting better ",2020-01-30 22:18:45+00:00
25,"Thread by @paul_furber: Translating the abstract of a 2015 paper on the #coronavirus into English. The paper is co-authored by Xing-Ye Gi, fry Laboratory of Special Pathogens and Biosafety, Wuhan Institute of Virology, Chinese Academy of Sciences, Wuhan,… ",2020-01-30 21:57:54+00:00
26,"""Coronavirus Disease 2019 (COVID-19) and Pregnancy: What obstetricians need to know"" in @AJOG_thegray #OBAnes #COVID19 @SOAPHQ @acog https://buff.ly/2PA5guP",2020-02-28 23:33:01+00:00
27,".⁦@topsmishra⁩ &amp; ⁦@diord2003⁩ discussed with #DPM&amp;Head of #NECMongolia, U.Enkhtuvshin, #Mongolia’s preparedness amid #Covid19 outbreak &amp;#UN’s support to #GoM &amp;ppl. #UNRC called #Mongolia “a role model country in #Covid19 prevention.”#OneUN",2020-02-28 17:30:53+00:00
28,"#COVID19 Reportedly sold (as food) at main market, Wuhan, China: Badgers Bats Beavers Camel Civets Crocodiles Dogs Donkeys Foxes Giant salamanders Hedgehog Koalas Marmots Ostrich Otters Peacock Porcupines Rabbit organs Rats Spotted deer Turtles Venomous snakes Wolf puppies",2020-02-28 15:27:05+00:00
29,Need #COVID19 teaching resources? @GISEd got you covered -,2020-02-28 14:37:22+00:00
30,Gave a talk to NTV News on #COVID19 impact on the local economy. ,2020-02-28 12:10:07+00:00
31,"Supposedly all the usual suspects ruled out. Probably some new coronavirus. Only a matter of time until the next SARS popped up. 

Good news is no documented person-to-person spread, and no health care worker cases.",2020-01-05 23:28:13
32,More details emerge on new #coronavirus in #Wuhan cluster http://ow.ly/aTT430q8cCk  #pneumonia #MERS #SARSpic.twitter.com/nEs049K4lt,2020-01-09 22:28:10
33,Thailand finds #Wuhan novel #coronavirus in traveler from China http://ow.ly/dxaY30q9aQZ pic.twitter.com/S9ljCgOotN,2020-01-13 21:15:20
34,"WHO says new China coronavirus could spread, warns hospitals worldwide https://www.nbcnews.com/health/health-news/who-says-new-china-coronavirus-could-spread-warns-hospitals-worldwide-n1115376 …",2020-01-14 22:48:21
35,Report: Thailand's #coronavirus patient didn't visit outbreak market http://ow.ly/cnaG30q9vd6 pic.twitter.com/sWDxb9DPGS,2020-01-14 22:30:11
36,"A bit long but worth a read - the CDC statement on the novel coronavirus outbreak in China.

Ping @MayoClinicEM @MayoPCCM
https://emergency.cdc.gov/han/han00426.asp …
#FOAMed #FOAMems #FOAMcc",2020-01-18 03:48:49
37,"As Thailand notes 2nd nCoV case, CDC begins airport screening http://ow.ly/M4oV30qalyv  #coronavirus #nCoV2019pic.twitter.com/nMr5UfnQTy",2020-01-17 21:32:48
38,"JFK, San Francisco and LAX will screen ALL passengers arriving from Wuhan for the new coronavirus as it spreads from China 
via https://dailym.ai/ios  https://mol.im/a/7900341 ",2020-01-17 21:30:55
39,Japan and Thailand Confirm New Cases of Chinese Coronavirus https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html …,2020-01-17 11:30:00
40,A world-renowned infectious disease expert talks about how serious the coronavirus could be for people here at home. | https://cbsloc.al/2NVWPsZ pic.twitter.com/HWseA2vXyL,2020-01-23 23:53:27
41,"Lemme guess, tRUmp knows more about the coronavirus than anyone. It's a tremendous virus.",2020-01-23 23:28:07
42,"SHANGHAI, Jan. 28 (Xinhua) -- The project for the development of an mRNA vaccine targeting the novel coronavirus (2019-nCoV) has been urgently approved, said Shanghai East Hospital of Tongji University.
http://www.xinhuanet.com/english/2020-01/28/c_138739562.htm …",2020-01-28 23:42:56
43,This suburban Minnesota @Target is out of medical masks #coronavirus #CoronavirusOutbreak #pandemicpic.twitter.com/FVw0j4p1QD,2020-01-25 23:59:40
44,Statement from the Press Secretary Regarding the President’s Coronavirus Task Force https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-presidents-coronavirus-task-force/?utm_source=twitter … via @whitehouse,2020-01-30 23:50:02
45,"Wuhan to shut public transport over outbreak. All flights and trains in and out of the city will also be suspended from today. Residents were also told to avoid crowds, which a WHO doctor says will help halt spread of new virus. #coronavirus #china https://www.bbc.co.uk/news/world-asia-china-51215348 …",2020-01-22 23:52:08
46,No one introduce the #coronavirus to what these dudes found or it’s gonna be another Keymaster / GateKeeper situation. #ThereIsNoDanaOnlyZuulhttps://twitter.com/AndrewLeeTCNT/status/1220113794099183616 …,2020-01-22 22:41:55
47,Probably coronavirus,2020-01-21 23:33:52
48,"all i'm picturing when i hear corona virus, very clearly in my head, is a corona beer bottle photoshopped onto some picture of a virus. can we make that happen",2020-01-21 22:46:09
49,"Minneapolis News 1st confirmed case of new coronavirus reported in Washington state, CDC says http://dlvr.it/RNV3VR pic.twitter.com/P9f9Xr4m62",2020-01-21 22:25:06
50,Pandemics like the coronavirus affect IT departments. Are you prepared? Join NOREX Members for this requested WebForum discussion on Pandemic Crisis Preparedness. Fri 01.31.20 10:30am CT. NOREX Members: Sign up at http://norex.net . Guest passes: paulab@norex.net.pic.twitter.com/OVwuyX4cfC,2020-01-27 23:40:49
51,"Thread by @ScottAnthonyUSA: #SITREP: JANUARY 28, 2020 9PM #Coronavirus #2019nCoV update For this update I am referring to the WHO / CDC / BNO6,062 Confirmed / 6,973 suspected Deaths: 106 The numbers published by WHO have significant lag-time. Using @BNON…https://threadreaderapp.com/thread/1222352409344823297.html …",2020-01-29 23:29:57
52,just picked up a 24 pack of coronavirus for the weekend. gonna see what all the buzz is about.,2020-02-07 23:46:59
53,So I was told the movie #topgun was shot here.. I think I will request a tour.#coronavirus #quarantinepic.twitter.com/4L96UXEQQt,2020-02-07 23:35:48
54,"Came down with a chest cold in the last 24 hours, am now fully convinced I have coronavirus and am not long for this world. Please . . . make sure my dog is taken care of. He is . . . a very good boy. Make sure . . . he remembers my name . . . [HACKING COUGH] pic.twitter.com/UMr7SxGzdJ",2020-02-04 23:44:44
55,Ok #coronavirus tweeters & retweeters we need 2 update : w/#WHO renaming virus we must add #COVID19 to our tweets. Good hashtags: #coronavirus #COVID19 #Coronaviruscoverup #coronavirusupdate #CoronavirusOutbreak #Coronavirustruth #coronavirususa #coronaviruswuhan Retweet plz,2020-02-11 23:42:56
56,"5 U.S. cities to start testing patients with flu-like symptoms for coronavirus.
https://www.nbcnews.com/health/health-news/5-u-s-cities-start-testing-patients-flu-symptoms-coronavirus-n1136941?cid=googlenews-worldnews …",2020-02-14 23:55:55
57,Donald J Trump is showing zero leadership concerning the Corona Virus,2020-02-25 23:53:54
58,Coronavirus vaccine to be tested on humans http://dlvr.it/RQlNVK pic.twitter.com/88EtzhGtgV,2020-02-25 23:49:32
59,How do you put the coronavirus and the stock market in the same convo?,2020-02-24 23:54:10
60,"Interesting news day: Most of us are probably going to get Coronavirus. Weinstein is guilty (duh). Stocks are scared of Coronavirus. Election stuff, etc. 

https://www.theatlantic.com/health/archive/2020/02/covid-vaccine/607000/ …",2020-02-24 23:52:40
61,"US confirms 53 #coronavirus cases, including evacuated cruise passengers https://nypost.com/2020/02/24/us-confirms-53-coronavirus-cases-including-evacuated-cruise-passengers/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost",2020-02-24 23:44:23
62,"Some #USL news re: COVID-19

USL league officials addressed both the Championship and League One Boards of Governors earlier today on coronavirus preparations. Conversation centered around working closely with their local and state health departments, (1/2)",2020-02-28 23:57:24
63,SAN JOSE (AP) - Health officials confirm second case of novel coronavirus in person not known to have previous contact.,2020-02-28 23:51:39
64,"""Two Hubei prisons confirmed 271 new #coronavirus cases, causing China's number of new patients to #spike a day after the country had reported its lowest increase in weeks' God knows how #China is counting, we just know it is not accurate.https://twitter.com/SCMPNews/status/1231003668670926848 …",2020-02-21 23:57:10
65,"Economic Impact of Coronavirus (Part 2)
Dr. Antonio Graceffo 
#China Economic Research
#Coronavirus has about 60-80% of Chinese #GDP locked up.https://youtu.be/MjyWPOgo3B8 ",2020-02-21 23:48:11
66,"With Mike Pence in charge of the Coronavirus,  I'm curious how it will respond to Conversion Therapy.",2020-02-26 23:56:15
67,Remember to post on Obama Day! https://t.co/vHXZuUaT7K,Sat Jun 13 10:21:59 +0000 2020
68,RT @DrDenaGrayson: 🎥Dr. Dena Grayson on the 2nd peak of the 1st wave of #coronavirus infections.#COVID19 #WearAMask https://t.co/F2PbRNXnZn,Sat Jun 13 08:05:13 +0000 2020
69,"RT @SkyNews: BREAKING: A smiling Queen looks on at a scaled back military parade at Windsor Castle, in her first outdoor event since the st…",Sat Jun 13 10:18:08 +0000 2020
70,@chris_steller I hadn’t seen this COVID illustration before this morning. Are you still collecting them?,Sat Jun 13 11:23:01 +0000 2020
71,"RT @AANMember: If you haven't already, contact your members of Congress about the Health Care at Home Act, a bill to expand telehealth cove…",Sat Jun 13 11:44:28 +0000 2020
72,The latest Real Estate Daily! https://t.co/7DcVVs4IRv #covid19,Sat Jun 13 12:30:39 +0000 2020
73,Five Minneapolis council members propose letting voters decide future of Police Department https://t.co/iNmQJkcuiq… https://t.co/4eSo9wJZNm,Sat Jun 13 12:48:04 +0000 2020
74,RT @DeniseSpecht: We must address inequities before we open schools again. It makes no sense to reopen “business as usual” when we know the…,Sat Jun 13 13:08:57 +0000 2020
75,"RT @GregProops: Wear your mask for all of us.
#WearAMask https://t.co/Wn23trSOPa",Sat Jun 13 13:17:27 +0000 2020
76,RT @DeniseSpecht: We must address inequities before we open schools again. It makes no sense to reopen “business as usual” when we know the…,Sat Jun 13 13:08:57 +0000 2020
77,RT @mighty_flynn: @chris_steller I hadn’t seen this COVID illustration before this morning. Are you still collecting them?,Sat Jun 13 13:46:40 +0000 2020
78,I see you are taking the Marco Rubio Twitter approach where you only WRITE. Blocking responses doesn’t allow for yo… https://t.co/imOXTIDJmF,Sat Jun 13 13:53:10 +0000 2020
79,RT @DeniseSpecht: We must address inequities before we open schools again. It makes no sense to reopen “business as usual” when we know the…,Sat Jun 13 13:08:57 +0000 2020
80,"RT @EricTopol: Cytokine storm and a runaway immune, hyper-inflammatory response are frequently what leads to the demise of patients with #C…",Sat Jun 13 11:03:51 +0000 2020
81,"RT @LittleLobbyists: We didn't need research to tell us what we already knew but indeed ""new research shows people with disabilities such a…",Sat Jun 13 14:01:18 +0000 2020
82,"#MAFPAdvocacy ""Given the uncertainty around how #COVID19 would be affecting MN at this time, we have accepted only… https://t.co/nq2fTq6Ipk",Sat Jun 13 14:11:06 +0000 2020
83,"RT @vegix: This is ALARMING.

1 in every 1,625 Black Americans has died from #COVID19.

#BeTheChange4USA🗽

https://t.co/duKduNfyJ9",Sat Jun 13 14:17:46 +0000 2020
84,Shouldn't you be working on saving us from the coronavirus.,2020-03-01 23:52:42
85,"The #DuFu hasn't slept for days.................
Hasn't eaten anything except maybe a raw side of beef.
F'd up the CoronaVirus. Market's crashing.
He's rotting from the inside out.
And he's scared to death.
#ISmellAStraightJacket",2020-03-01 23:47:37
86,"By the time #CorporateAmerica authorizes remote options, it’ll be too late to maintain productivity. Big corporations are already seeing MAJOR shortfalls in crisis “business continuity plans.” #coronavirus #CoronavirusOutbreakhttps://twitter.com/i/events/1235982676273688576 …",2020-03-06 23:58:53
87,"Remember how @BarackObama handled Ebola? Please come back Obama!
#coronavirus #COVD19 #TrumpNotFitForOfficehttps://www.google.com/amp/s/amp.cnn.com/cnn/world/live-news/coronavirus-outbreak-03-06-20-intl-hnk/index.html …",2020-03-06 23:58:13
88,What You Need If Quarantined at Home | Coronavirus - Consumer Reports https://www.consumerreports.org/coronavirus/covid-19-what-you-might-need-if-youre-quarantined-at-home/ …,2020-03-06 23:57:48
89,Number of coronavirus cases in New York rises as 4000 put in quarantine https://www.independent.co.uk/news/world/americas/coronavirus-new-york-cases-how-many-quarantine-nyc-a9384061.html …,2020-03-06 23:56:03
90,"At least 21 #coronavirus cases aboard cruise ship off California coast, Pence says https://www.nbcnews.com/politics/politics-news/21-people-grand-princess-cruise-ship-test-positive-coronavirus-pence-n1151936 … via @nbcnews #DemocratHoax",2020-03-06 23:54:36
91,Coronavirus on money!? Nah. For real? Now it's a party...,2020-03-06 23:54:12
92,I work in antivirals and am out sick this week. Everyone is joking that I've got Coronavirus.,2020-03-04 23:56:41
93,"South Dakota State University cancels travel due to coronavirus, on CDC advice https://trib.al/KittW3S ",2020-03-05 23:53:48
94,A second case of the novel coronavirus has been confirmed in Minnesota. Details: https://bringmethenews.com/minnesota-news/2nd-case-of-coronavirus-confirmed-in-minnesota …,2020-03-08 23:53:45
95,The coronavirus is setting the US economy on a path to blow up Trump's reelection bid https://www.businessinsider.com/coronavirus-covid-19-effect-us-economy-hurt-trump-reelection-2020-3?utmSource=twitter&utmContent=referral&utmTerm=topbar&referrer=twitter … via @businessinsider,2020-03-08 23:52:46
96,The Coronavirus is quarantining itself after being exposed to Ted Cruz.,2020-03-08 23:51:11
97,"Press Briefing on Coronavirus or COVID-19
https://youtu.be/MePsiKi_GO8 ",2020-03-09 23:58:54
98,Drinking bleach can prevent you from dying because of the coronavirus. But not in a good way. https://twitter.com/CBSNews/status/1237126549851320320 …,2020-03-09 23:56:05
99,"#coronavirus meetings should DEFINITELY NOT be #classified. 

#COVID19 #CoronavirusUSA #COVIDー19 #COVIDhttps://www.reuters.com/article/us-health-coronavirus-secrecy-exclusive/exclusive-white-house-told-federal-health-agency-to-classify-coronavirus-deliberations-sources-idUSKBN20Y2LM …",2020-03-11 23:59:50
100,"#Minnesota #MN #MNCD2 #MN02
Coronavirus testing does not cure Coronavirus
- testing for Coronavirus only verifies you have or don't have Coronavirus
- regardless whether tested or not, or tested positive or negative for Coronavirus, healthcare professionals treat your symptoms",2020-03-11 23:59:36
101,#Coronavirus: Health minister #NadineDorries tests positive. #UKhttps://www.bbc.com/news/uk-51827356 …,2020-03-10 23:59:19
102,the coronavirus is taking everything away from me ,2020-03-10 23:57:49
103,"Hunter Biden Pushes to Skip Court Appearance, Citing Coronavirus and His Pregnant Wife https://freebeacon.com/issues/hunter-biden-to-skip-court-appearance-citing-coronavirus-and-his-pregnant-wife/ … #bfnli #Tucker #lnyhbt",2020-03-10 23:57:48
104,"With a 13% uninsured rate in Georgia, you're gonna pray coronavirus away?  Let us know how that works out. pic.twitter.com/KSqQnG7TzM",2020-03-13 23:58:02
105,Has anyone on ATT missed a bunch of texts today? Or does my phone have coronavirus,2020-03-13 23:56:47
106,"Here's the new protocols for St. Cloud, Sartell and Sauk Rapids school districts. Take a look for the upcoming future plans regarding the coronavirus. https://www.isd742.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=14249&PageID=1 …",2020-03-12 23:59:47
107,“We will find and assassinate the coronavirus.” https://twitter.com/mkady/status/1238098795466051584 …,2020-03-12 23:58:11
108,"The safety and well-being of our community is our number one priority. Based on recommendations from local health officials, and to help contain the spread of the Coronavirus, we've made the difficult decision to postpone #Minnebar until later this year.https://minnestar.org/minnebar-postponed-due-to-coronavirus/ …",2020-03-12 23:57:48
109,"Have we tried grabbing the #CoronaVirus by the pussy yet?

#MakeAmericaRapeAgain",2020-03-19 23:58:34
110,I thought I was in good shape until the corona virus forced me to workout from home and I started to get my butt kicked by a yoga mat and couple 35 lb dumbbells,2020-03-20 23:59:43
111,"Both Richard Burr & Kelly Loeffler received a non-public briefing on the deleterious effects of the coronavirus on the economy back in Feb. In later statements (after selling off stock, trading on the non-public information) they played down the impact to the public. #Burrisma",2020-03-20 23:58:42
112,Tune in tonight at 7:35 pm @wccoradio to listen to @LeeHuttonIII to about coronavirus and it’s legal repercussions on businesses #COVIDpic.twitter.com/diOjbL7mX8,2020-03-20 23:55:29
113,"To reduce coronavirus infections, the Marcus Corporation and American Family Insurance are cancelling the remainder of the Winter Kids Dream Family Film Series. We expect to have a great lineup this summer, so for now take care at home and we'll see you soon.",2020-03-18 23:59:50
114,Coronavirus Break day 3 || Stay safe watch Twitch! https://twitch.tv/adude03 ,2020-03-18 23:58:46
115,"HOE-VID 19 

ACHOOWhat was thatUh-oh  looks like you just got  corona virus  

Don’t you know Coronavirus   is CUMMING  to America  The world  HOE Organization  is calling HOE-VID19  a POTENTIAL PANTIE-DEMIC ",2020-03-18 23:58:11
116,"Watch @KMPHFOX26's broadcast: Governor Gavin Newsom provides a coronavirus update.

https://www.pscp.tv/w/cUAKBDc3NzEwOXwxUGxLUW16WlJOREtFt5eTd5MBFS1kTs7kKHrFnDaRFQCz6YyLf5M1YgHXKoI= …",2020-03-17 23:58:58
117,"Spanish football coach Francisco Garcia dies of coronavirus, aged 21 https://www.independent.co.uk/sport/football/european/francisco-garcia-death-coronavirus-malaga-spain-football-coach-leukaemia-a9404566.html …",2020-03-17 23:57:24
118,"Citing coronavirus, MPCA cancels Line 3 oil pipeline meetings – Twin Cities https://www.twincities.com/2020/03/14/citing-coronavirus-mpca-cancels-line-3-oil-pipeline-meetings/ …",2020-03-17 23:56:53
119,"Unconscionable.

Especially when they release a daily coronavirus count, as if it has an basis in reality. https://twitter.com/b_stahl/status/1240035671328395265 …",2020-03-17 23:56:53
120,Penguin videos during the coronavirus are an unexpected bright spot!!  https://twitter.com/SortaBad/status/1240010579432968192 …,2020-03-17 23:56:33
121,I thought I was in good shape until the corona virus forced me to workout from home and I started to get my butt kicked by a yoga mat and couple 35 lb dumbbells,2020-03-20 23:59:43
122,"Both Richard Burr & Kelly Loeffler received a non-public briefing on the deleterious effects of the coronavirus on the economy back in Feb. In later statements (after selling off stock, trading on the non-public information) they played down the impact to the public. #Burrisma",2020-03-20 23:58:42
123,Tune in tonight at 7:35 pm @wccoradio to listen to @LeeHuttonIII to about coronavirus and it’s legal repercussions on businesses #COVIDpic.twitter.com/diOjbL7mX8,2020-03-20 23:55:29
124,"Have we tried grabbing the #CoronaVirus by the pussy yet?

#MakeAmericaRapeAgain",2020-03-19 23:58:34
