,Tweets,Date
0,"As of 04/29/2020...The novel coronavirus has now killed more than 60,000 Americans The photo is 03/31 !! ",2020-04-29 23:22:13+00:00
1,"Tobacco, vaping industries seize opportunities in coronavirus with freebies, donations ",2020-04-29 22:38:34+00:00
2,First Friday is Back! Hell Yeah!!!! #firstfriday #lazymagnolia #lazymagnoliabrewery #beer #craftbeer #taproom #theporch #cheersyall #dosomethinglazy #mscoastlife #drinkms #cheers #craftbrew #covid19 #coronavirus @… https://www.instagram.com/p/CA1KPAKp7SI/?igshid=18400s1e7ycel,2020-05-30 23:34:43+00:00
3,so y'all basically just saying fuck coronavirus with all this rioting and shit ,2020-05-30 22:15:38+00:00
4,"If you have covered a game in the Tad Pad, you are already immune to the coronavirus.",2020-05-30 19:34:30+00:00
5,Elizabeth Warren blames Trump for disease outbreaks like coronavirus ,2020-01-30 22:42:38+00:00
6,Liberals Have A New Boogie Man To Blame The Coronavirus On https://rightwingupdates.com/liberals-have-a-new-boogie-man-to-blame-the-coronavirus-on/ via @Right Wing Updates,2020-01-30 22:19:47+00:00
7,A Woman Gave Her Husband Coronavirus In The First US Transmission Of The Disease ,2020-01-30 22:05:15+00:00
8,"Covid19: the new Zika, bird flu, swine flu, ect. ",2020-02-28 20:55:51+00:00
9,"The CDC said Friday it would begin the screening immediately for 2019 novel coronavirus.
https://www.wdam.com/2020/01/17/us-screen-airline-passengers-central-china-new-illness/?utm_medium=social&utm_source=twitter_wdam …",2020-01-18 00:16:00
10,First US case of Wuhan coronavirus confirmed by CDC https://www.wtva.com/content/news/567172432.html …,2020-01-21 23:47:49
11,This map tracks the coronavirus in real time https://www.wapt.com/article/this-map-tracks-the-coronavirus-in-real-time/30701100 …,2020-01-29 23:44:04
12,If like me or got anything to say to me lmk now cause this coronavirus not a joke,2020-02-06 23:48:07
13,Coronavirus will Jill is all first,2020-02-13 23:41:35
14,Chinese health report says tens of thousands of new coronavirus cases have been mild https://www.wapt.com/article/chinese-health-report-says-tens-of-thousands-of-new-coronavirus-cases-have-been-mild/30970920 …,2020-02-17 23:54:05
15,Don’t dither. The field will fill up - and @MarathonKoach will pass out coronavirus masks to everyone if that’s what it takes. https://twitter.com/Coke10k/status/1232450633791225856 …,2020-02-25 23:48:18
16,And there it is everybody Trump was going to have rallies in California and now California has this big pandemic that doesn’t exist of the coronavirus and nobody’s going to pack a stadium with the fear that everybody else there might have it!!! https://twitter.com/bocfus/status/1232793818770046976 …,2020-02-26 23:58:05
17,"RT @CherylBlueWave: OPEN SCHOOLS?  Are you out of your mind!

You just announced a dramatic spike in COVID cases. What the actual....

I ve…",Sat Jun 13 10:15:57 +0000 2020
18,RT @AmerMedicalAssn: Please don't confuse re-opening with returning to normal. Acting as though #COVID19 is behind us now will lead to anot…,Sat Jun 13 10:18:33 +0000 2020
19,RT @AmerMedicalAssn: Please don't confuse re-opening with returning to normal. Acting as though #COVID19 is behind us now will lead to anot…,Sat Jun 13 10:18:33 +0000 2020
20,RT @AmerMedicalAssn: Please don't confuse re-opening with returning to normal. Acting as though #COVID19 is behind us now will lead to anot…,Sat Jun 13 10:18:33 +0000 2020
21,Look at the bi*** in the back. She is working to cut Medicare and Social Security. Naysayers to Coronavirus. These people are evil. https://twitter.com/maggieNYT/status/1234620274957570051 …,2020-03-02 23:54:33
22,Everytime somebody come around me coughing and shi I be thinking bout that coronavirus shi ,2020-03-02 23:51:53
23,Coronavirus: What you need to know in Mississippi https://www.clarionledger.com/story/news/local/2020/03/02/coronavirus-spreading-across-u-s-mississippi-danger/4929486002/ … via @clarionledger,2020-03-04 23:58:33
24,Coronavirus Not A Crisis. Are Media Spreading Panic To Get Trump? https://www.thenewamerican.com/usnews/health-care/item/35025-coronavirus-not-a-crisis-are-media-spreading-panic-to-get-trump?ct=t(EMAIL_CAMPAIGN_12_2_2019_15_37_COPY_01)&mc_cid=284fc7ac93&mc_eid=ba2dcdfe76 …,2020-03-03 23:53:54
25,People stealing masks from my work bc of the coronavirus....baby please educate yourself,2020-03-05 23:51:44
26,SEC Tournament is still on for now — with preventive measures aimed at the coronavirus http://dlvr.it/RRZ8VR pic.twitter.com/VrDKXdtean,2020-03-09 23:57:05
27,"As coronavirus fears intensify, I have decided to cancel my upcoming concerts at Radio City Music Hall, Red Rocks, Carnegie Hall, and the big Walmart in Tuscaloosa. 

Please respect my decision.",2020-03-11 23:57:24
28,DUE TO THE CORONAVIRUS PANDEMIC I AM CANCELING ALL CLASSES IN THE MONTH OF MARCH. I JUST CANT TAKE THE RISK OF ONE OF MY STUDENTS GETTING THIS IN ONE OF MY CLASSES. YOUR HEALTH IS MORE IMPORTANT THAN ME MAKING A DOLLAR.,2020-03-11 23:57:24
29,The Mississippi Insurance Department announced that major carriers will waive the cost of medically necessary coronavirus testing if ordered by a health care professional. https://mississippitoday.org/2020/03/10/most-mississippi-insurers-to-cover-coronavirus-testing-20-tested-with-zero-confirmed-cases/ …,2020-03-10 23:57:52
30,Coronavirus is officially in the Mississippi Delta. https://twitter.com/jontarius/status/1238614976841080833 …,2020-03-13 23:57:48
31,Greenwood Leflore Hospital confirms coronavirus case https://www.gwcommonwealth.com/news/article_9b0d4b2c-6570-11ea-bc37-33481377eaa8.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @gwcommonwealth,2020-03-13 23:56:37
32,Coronavirus taking ova ,2020-03-21 23:56:12
33,C Spire supports the @FCC’s #KeepAmericansConnected Pledge and will waive any late fees that residential or small business customers incur because of disruptions caused by the coronavirus and will not terminate service. #COVID19https://twitter.com/FCC/status/1239651822492684288 …,2020-03-16 23:58:18
34,C Spire supports the @FCC’s #KeepAmericansConnected Pledge and will waive any late fees that residential or small business customers incur because of disruptions caused by the coronavirus and will not terminate service. #COVID19https://twitter.com/FCC/status/1239651822492684288 …,2020-03-16 23:58:18
35,Coronavirus taking ova ,2020-03-21 23:56:12
