,Tweets,Date
0,The News: There is how over 1 millions cases of coronavirus in the America!!! The Pentagon: HEHEHE LOOK ALIENS PEW PEW,2020-04-29 23:56:11+00:00
1,"policy makers need to know What policy makers need to know about COVID-19 protective immunity More News: ‘We hear you, dad’Plague Doctor : #coronavirus #covid19 #immunity #policy #thelancet",2020-04-29 22:48:22+00:00
2,@mehdirhasan interviews Arundhati Roy about the coronavirus and hindutva facism in India: 'Situation in India is approaching genocidal'. Watch: ,2020-04-29 22:17:06+00:00
3,@AlbertsStuff When you go to a Chinese resteraunt for the buffet during the Coronavirus. ,2020-01-30 22:20:58+00:00
4,The swiss government has decided to ban all events with more than 1000 people to prevent the spread of #COVID19 ,2020-02-28 19:03:10+00:00
5,91-100% of patients admitted to hospital for #COVID19 had #pneumonia and abnormal findings of chest CT scans according to three published research articles. #JAMA #Lancet #chestCT #coronavirus,2020-02-28 15:40:05+00:00
6,".@UniOslo takes #COVID19 seriously: we all just received an email that they monitor the situation and will provide antibac dispensers everywhere. If a case is suspected or confirmed, they will inform affected students and staff by sms and email. @C_Althaus @BAG_OFSP_UFSP",2020-02-28 14:59:24+00:00
7,looking forward to the studies on cockroach coronavirus transmission (was apparently a thing during SARS),2020-01-22 22:58:02
8,insta-blocking any political take on the Wuhan coronavirus,2020-01-22 22:49:18
9,Wuhan Coronavirus: C.D.C. Identifies First U.S. Case in Washington State - The New York Times - https://go.shr.lc/2TMY2qe  via @shareaholic,2020-01-21 22:24:01
10,"China building 1,000-bed hospital in 5 days to treat coronavirus https://www.youtube.com/watch?v=cmgPVhubmQA …",2020-01-24 23:57:03
11,Patient zero in #Coronavirus outbreak found…… (possibly) pic.twitter.com/4UvTGzaYt6,2020-01-26 23:31:55
12,Heard you get a week of school if you get the coronavirus,2020-01-26 23:17:20
13,If he was Born mahaukaci sure coronavirus it's there ,2020-02-01 23:45:44
14,"Why have we just not built a giant dome around the United States to keep the Coronavirus out, Simpsons Movie Style?",2020-02-27 23:57:23
15,Cant get the coronavirus if you dont interact with people or the outside world  #selfquarantined #freelancerthings,2020-02-27 23:56:09
16,i eat coronavirus pic.twitter.com/cSdfJXZFhn,2020-02-23 23:38:56
17,Social distancing on #sas flights? Not so much. #moneyrules #COVID19 #sk1458,Sat Jun 13 09:57:18 +0000 2020
18,"RT @UN: Let's share ideas on how to achieve a global ceasefire, heal our planet &amp; turn the #COVID19 crisis into an opportunity for peace.…",Sat Jun 13 10:04:55 +0000 2020
19,"RT @AndyBiotech: Why men are at higher risk of developing severe #COVID19 disease?

Fascinating work from Yale team on sex differences in i…",Sat Jun 13 10:46:04 +0000 2020
20,"RT @XHNews: Latest count of confirmed #COVID19 cases worldwide at 1000 GMT: Johns Hopkins University.
World: 7,669,317
U.S.: 2,048,986
Braz…",Sat Jun 13 11:30:23 +0000 2020
21,"RT @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from, wait for it, a seafood market. Footage appears to show hun…",Sat Jun 13 07:51:36 +0000 2020
22,So shocking 😔 Get well soon!!,Sat Jun 13 12:48:18 +0000 2020
23,The latest The digital learning Daily! https://t.co/5ZNayUYkew Thanks to @billyqb @Larerbloggen @LilburnPatch #covid19 #hr,Sat Jun 13 12:50:51 +0000 2020
24,"RT @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from, wait for it, a seafood market. Footage appears to show hun…",Sat Jun 13 07:51:36 +0000 2020
25,"RT @avkwong: These drugs are not recommended (outside of clinical trials)....

#ESICMtv #COVID19 https://t.co/NcB4ivDyJ1",Sat Jun 13 13:58:16 +0000 2020
26,It’s a coronavirus. Normality will return when people begin to understand that we will and can live with this as we do other coronaviruses.,2020-03-01 23:48:38
27,Tests indicate coronavirus can survive in the air https://thehill.com/policy/healthcare/487110-tests-indicate-coronavirus-can-survive-in-the-air …,2020-03-12 23:59:33
28,First dose for possible #coronavirus vaccine to be trialled tomorrow in the United States,2020-03-15 23:57:40
29,Americans Beware: Trump Could Emulate Netanyahu’s Coronavirus Coup https://flip.it/3TESqt ,2020-03-20 23:59:52
30,"Coronavirus Multiplies Across #Australia, Latin America, #Africa and Middle East #Ethiopia https://www.democracynow.org/2020/3/20/headlines/coronavirus_multiplies_across_australia_latin_america_africa_and_middle_east … via @democracynow",2020-03-20 23:59:38
31,"I got 10/10...how ‘bout you? Are you informed enough? 

Fact or fiction: How much do you know about the coronavirus disease (COVID-19)? @unicefhttps://shar.es/aHrPQj ",2020-03-20 23:57:35
32,Americans Beware: Trump Could Emulate Netanyahu’s Coronavirus Coup https://flip.it/3TESqt ,2020-03-20 23:59:52
33,"Coronavirus Multiplies Across #Australia, Latin America, #Africa and Middle East #Ethiopia https://www.democracynow.org/2020/3/20/headlines/coronavirus_multiplies_across_australia_latin_america_africa_and_middle_east … via @democracynow",2020-03-20 23:59:38
34,"I got 10/10...how ‘bout you? Are you informed enough? 

Fact or fiction: How much do you know about the coronavirus disease (COVID-19)? @unicefhttps://shar.es/aHrPQj ",2020-03-20 23:57:35
