,Tweets,Date
0,"Coronavirus update, Africa: - South Africa: 354 new cases - Egypt: 226 new cases - Algeria: 199 new cases - Nigeria: 196 new cases - Tanzania: 181 new cases - Guinea: 111 new cases - Cameroon: 101 new cases - Morocco: 69 new cases - Senegal: 59 new cases - Sudan: 57 new cases",2020-04-29 23:26:48+00:00
1,Traveling this weekend? Take note -- the new directive came into effect early Friday morning [February 28]. #COVID19 #health #travel #news #Oman #UAE https://www.y-oman.com/2020/02/omanis-traveling-to-uae-now-need-to-use-passports-instead-of-id-cards-as-coronavirus-controls-intensify/,2020-02-28 10:37:49+00:00
2,you mean bts actually have Coronavirus? ot what,2020-01-26 23:21:31
3,"Governorates in lockdown: New guidelines for truck drivers
@sezaduqm
 @DuqmVoice
 @MOCI_Oman
@DhofarMun… https://t.co/pBoLSArvpo",Sat Jun 13 08:09:12 +0000 2020
4,Latest update given by the Ministry of Health @OmaniMOH on the number of registered #Covid19 cases in the… https://t.co/v7RSL19ASe,Sat Jun 13 08:56:12 +0000 2020
5,"New #coronavirus cases recorded in #Oman. @OmaniMOH

https://t.co/9W1Ll6AXbM",Sat Jun 13 09:02:26 +0000 2020
6,. @RoyalOmanPolice have assured the public that all precautionary health and safety measures against #COVID19 will… https://t.co/A8ZlpRKw8E,Sat Jun 13 09:54:14 +0000 2020
7,"Prayers are always with u Lala ♥️
#GetWellSoonLala",Sat Jun 13 10:06:10 +0000 2020
8,"Wilayat Muttrah once again registered less number of #Covid19 cases.

https://t.co/BrkvvIa6Gt",Sat Jun 13 11:13:52 +0000 2020
9,"From e-learning to mental health services, our #YTC2020 teams are developing solutions to segments of our everyday… https://t.co/BAD4jYrHcI",Sat Jun 13 11:18:02 +0000 2020
10,RT @desimojito: Breaking : Shahid Afridi tested positive for both Corona and joining lSlS,Sat Jun 13 09:55:29 +0000 2020
11,"RT @timesofindia: ANI quotes Balkrishna, CEO Patanjali: We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was…",Sat Jun 13 11:21:07 +0000 2020
12,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",Sat Jun 13 11:06:49 +0000 2020
13,"RT @UNICEFOman: From e-learning to mental health services, our #YTC2020 teams are developing solutions to segments of our everyday life tha…",Sat Jun 13 11:31:06 +0000 2020
14,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",Sat Jun 13 11:06:49 +0000 2020
15,RT @merge1048: . @MG_MOD_OMAN has called upon all residents and citizens to comply with control point measures and to cooperate with office…,Sat Jun 13 11:54:38 +0000 2020
16,"RT @OmanVSCovid19: Registration of (1006) new confirmed cases with Coronavirus #COVID19 in the Sultanate. 
#Omanvscovid19 https://t.co/kSOo…",Sat Jun 13 12:54:05 +0000 2020
17,It's Going Up ---&gt; https://t.co/P3vh9nFXWo,Sat Jun 13 14:02:56 +0000 2020
18,"Here comes another good news from healthcare research. Study: 100% face mask use could crush second, third COVID-19… https://t.co/wlbMppkn96",Sat Jun 13 14:07:31 +0000 2020
19,RT @SenaVoice: It is our responsibility to give security to the Doctors who are risking their lives and giving treatment to #COVID19 patien…,Sat Jun 13 14:07:33 +0000 2020
20,":To the people who has bought “50 sanitizers” leaving none on the shop shelves for others. 
You do realise that to stop getting coronavirus, you need others to sanitise thier hand too!!!?",2020-03-10 23:55:26
