,Tweets,Date
0,"I guess #MyBodyMyChoice doesn't apply in #coronavirus panic if 2020. If you can't choose to work, open your business or go to the park.",2020-04-29 23:46:31+00:00
1,"For the first day in weeks, no new coronavirus cases were reported in Vermont ",2020-04-29 23:49:03+00:00
2,HAPPENING NOW: @NRDems Roundtable about the #coronavirus response in the territories including #PuertoRico - FB LIVE https://www.facebook.com/NRDems/videos/688727325207632/?v=688727325207632&amp;notif_id=1588197612893428&amp;notif_t=live_video_explicit,2020-04-29 22:16:00+00:00
3,Due to coronavirus' impact on an already weakened economy ,2020-05-30 22:00:23+00:00
4,Coronavirus screening expands to 15 more US airports | Fox Business ,2020-01-30 23:18:59+00:00
5,Tax cuts?! Wouldn't it be wiser to put money towards testing kits and developing a vaccine?! #COVID19 #CoronavirusOutbreak #CoronaVirusUpdates,2020-02-28 21:09:30+00:00
6,Sometimes it’s just so plain to see why we are where we are. #coronavirusus #COVID19 #CoronavirusNotCoronaBeer,2020-02-28 15:29:54+00:00
7,"""indicating that this novel coronavirus virus may [be] capable of human-to-human transmission"" https://twitter.com/ProMED_mail/status/1218753608776327169 …",2020-01-19 13:01:43
8,"#coronavirus is coming

Three U.S. Airports to Screen Passengers for Chinese Coronavirus https://nyti.ms/2G0j1Os ",2020-01-17 20:24:17
9,What We Know About the Wuhan Coronavirus https://www.nytimes.com/2020/01/21/health/what-is-coronavirus.html …,2020-01-21 23:35:52
10,"Ay no jodas

""First confirmed coronavirus case identified in the US""  https://twitter.com/i/events/1219687502237167616 …",2020-01-21 23:17:43
11,"
""First confirmed coronavirus case identified in the US""  https://twitter.com/i/events/1219687502237167616 …",2020-01-21 22:31:54
12,Rudy Guilliani IS the CoronaVirus.,2020-01-27 23:32:26
13,A 5th case of CoronaVirus in the US was confirmed in Arizona.,2020-01-26 23:57:19
14,That means that over 50% of China's citizen probably have coronavirus influence.  The good news is most of them will survive.  Is coronavirus a variance of rabies virus?,2020-02-12 23:32:32
15,"First there was coronavirus. Now, there is a new one from Brazil? @PRlivetalks @cnnbrk @NBC @DavidBegnaud @riverasaniel @jayfonsecaprhttps://twitter.com/ellevargaz/status/1227068039176212481 …",2020-02-12 23:31:25
16,@realDonaldTrump but didn’t you say you had the Coronavirus handled?  https://twitter.com/dvergano/status/1232350307025289218 …,2020-02-25 23:50:00
17,"Stock market is always the most volatile of these indicators. There is still a lot of uncertainty about what will happen with the coronavirus. If things get better then these things should be fine, but these are lagging indicators that could eventually be affected. Not yet tho.",2020-02-28 23:59:46
18,Report: White House locking down messaging from federal government on coronavirus https://www.msnbc.com/deadline-white-house/watch/report-white-house-locking-down-messaging-from-federal-government-on-coronavirus-79563845972 … via @msnbc,2020-02-27 23:54:08
19,RT @drdavidsamadi: NO SECOND WAVE.  The toughest part of #COVID19 is behind us. This was a nursing home virus.  Small baby waves and spikes…,Sat Jun 13 09:52:27 +0000 2020
20,"RT @efrain994: 🗣: The pandemic isn’t over, keep taking precautions!",Sat Jun 13 11:19:42 +0000 2020
