,Tweets,Date
0,"Total confirmed #coronavirus cases today rose to 359 as four new infections were recorded. Three more patients recovered, bringing the total to 250.",2020-05-30 19:51:49+00:00
1,#Rwanda had tried to have zero #Coronavirus related deaths. Today the country has recorded its 1st only case in over 2 months of resisting #Covid19 @WHO @DrTedros,2020-05-30 19:39:13+00:00
2,"There are things every individual can do to protect themselves & others today. Your risk depends on where you live, your age & general health. #COVID19 ",2020-02-28 19:36:51+00:00
3,#Coronavirus: Government advises against non-essential travels to affected region https://www.newtimes.co.rw/news/coronavirus-government-advises-against-non-essential-travels-affected-region#.XjDG-lTrTdQ.twitter … via @NewTimesRwanda,2020-01-28 23:43:05
4,"RT @corona_tracking: 7,751,892 #Coronavirus cases as of 2020-06-13 04:20:03 https://t.co/2yPi5Sok3b",Sat Jun 13 08:26:18 +0000 2020
5,"RT @MOH_Kenya: Fumigation of public places in Nairobi county is underway by @MOH_Kenya public health team to contain the spread of 
#COVID1…",Sat Jun 13 10:07:20 +0000 2020
6,RT @airtelrw: UNICEF and Airtel Africa are teaming up to provide 133 million children in Sub-Saharan Africa with remote learning and assist…,Sat Jun 13 11:02:39 +0000 2020
7,"RT @Yale: Drinking more than usual during the #COVID19 pandemic?

https://t.co/dhwJith3Iz @YaleMedicine",Sat Jun 13 11:09:42 +0000 2020
8,"RT @HabitegekoFran1: Performance contract, #Imihigo, amid #COVID19 pandemic. Challenges&amp; lessons @ashyaka @RwandaLocalGov @NyaruguruDistr @…",Sat Jun 13 11:13:12 +0000 2020
9,"#Rwanda's border town expands lockdown due to rise in #COVID19 cases

https://t.co/QSS7r5tOEj",Sat Jun 13 11:16:10 +0000 2020
10,"#covid19 hit every where, its a time to think what to do and teach our kids. Its a time to #buildafrica we want.… https://t.co/oQECAY0S4u",Sat Jun 13 11:26:38 +0000 2020
11,"RT @niyingabira: Follow the trend of #COVID19 confirmed, recovered, active and different other cases in #Rwanda. Browse our dashboard on th…",Sat Jun 13 11:01:42 +0000 2020
12,"RT @_AfricanUnion: Member states of the .@_AfricanUnion, the private sector and individuals have started contributing to the #COVID19 Fund.…",Sat Jun 13 11:46:42 +0000 2020
13,"RT @dzaneza: What happened to the other US$ 109mln given in April?

@PaulKagame &amp; his @rpfinkotanyi regime are making themselves richer whi…",Sat Jun 13 12:22:16 +0000 2020
14,"RT @LewisMugabe: #Nkurunziza just like some other leaders disregarded the #COVID19 panendic, downplayed its threat, told his people that it…",Sat Jun 13 13:49:29 +0000 2020
15,"RT @WHORwanda: Rwanda declared today 12/06, 16 new confirmed cases on #COVID19 out of 1584 samples tested. The cumulative number is 510 of…",Sat Jun 13 13:54:51 +0000 2020
16,"Dear students and parents,stay tuned to a live Radio show on this Sunday 14th June 2020 at 2PM on Radio1 @flashfmrw… https://t.co/8u94phKDAI",Sat Jun 13 13:57:11 +0000 2020
17,https://t.co/gmsfWSdLNn Now RTV Live discussion International day of #AlbinismAwarenessDay in Rwanda… https://t.co/uoDXnm5Mrp,Sat Jun 13 13:59:18 +0000 2020
18,"RT @REBRwanda: Dear students and parents, stay tuned to a live Radio show on this Sunday 14th June 2020 at 2PM on Radio1 @flashfmrw @radiom…",Sat Jun 13 14:04:51 +0000 2020
19,"RT @REBRwanda: Dear students and parents, stay tuned to a live Radio show on this Sunday 14th June 2020 at 2PM on Radio1 @flashfmrw @radiom…",Sat Jun 13 14:04:51 +0000 2020
20,"RT @niyingabira: Follow the trend of #COVID19 confirmed, recovered, active and different other cases in #Rwanda. Browse our dashboard on th…",Sat Jun 13 11:01:42 +0000 2020
