,Tweets,Date
0,Coronavirus could lead to DOUBLE normal malaria deaths in Africa https://mol.im/a/8270813 via @MailOnline,2020-04-29 23:48:53+00:00
1,Policed from above: #SouthCarolina beach town uses drone to enforce social distancing for #coronavirus ,2020-04-29 23:46:01+00:00
2,Japanese island hit by second wave of coronavirus after lockdown ends https://mol.im/a/8270245 via @MailOnline,2020-04-29 23:35:01+00:00
3,DHEC discovers 29 people died of coronavirus the agency didn’t know about. ,2020-04-29 23:04:21+00:00
4,"The national and South Carolina economies are showing the toll of the economic shutdowns triggered by the coronavirus pandemic, but a substantial recovery is possible, according to two economists. ",2020-04-29 23:00:00+00:00
5,@realDonaldTrump @vp @PressSec We still have to continue with social distancing and require restaurant workers to wear masks after reopening. #PeopleBeforeProfit #COVID19 #coronavirus #CDC #DisinfectantDonnie #PPEShortages,2020-04-29 22:54:33+00:00
6,"DHEC discovers 29 people died of #coronavirus the agency didn’t know about, @sfretwell83 reports https://www.thestate.com/news/local/environment/article242385101.html #sctweets",2020-04-29 22:48:46+00:00
7,Coronavirus Reality Check ,2020-04-29 22:22:47+00:00
8,"“Eventually, doctors will find a coronavirus vaccine, but black people will continue to wait, despite the futility of hope, for a cure for racism. We will live with the knowledge that a hashtag is not a vaccine for white supremacy.” -@rgay",2020-05-30 23:50:37+00:00
9,"Unfortunately, #SouthCarolina has seen a steady rise of #COVID19 cases in the last 3 weeks. Up from 150 to 220 new cases per day. Officials will need to be extremely cautious going forward! #coronavirususa #coronavirus #COVID19US #Covid_19 #CoronaVirusU… https://instagr.am/p/CA1Av55hTXS/",2020-05-30 23:04:11+00:00
10,"Before the coronavirus health crisis hit, the intricacies of a hotel’s cleaning procedures weren’t exactly prime promotional material. But now, the main question on guests’ minds is whether they will be and feel safe during their stays. ",2020-05-30 22:00:00+00:00
11,A few more shots from today’s drive-thru #covid19 #coronavirus testing facility. ,2020-05-30 20:13:43+00:00
