,Tweets,Date
0,Sure he's a great guy but Coronavirus stats all day is bound to leave you a bit... isolated,2020-04-29 23:59:12+00:00
1,Working from home is a solution for Small Businesses amid COVID-19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23cigarettes&amp;utm_content=Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #cigarettes,2020-04-29 23:35:03+00:00
2,"If I tell Corona virus that I love it , will it leave too?",2020-04-29 23:30:54+00:00
3,But poverty has been with Blacks even boefore covid19 or did it have to take coronavirus in order for you to have a heart? Did you all along think in Alexander lives the rich?,2020-04-29 23:28:36+00:00
4,Get the latest Coronavirus stats with @media_hack's visual tracker https://mediahack.co.za/datastories/coronavirus/,2020-04-29 23:25:06+00:00
5,#Coronavirus: Statistics ,2020-04-29 23:21:15+00:00
6,"So when they start football again and someone catches coronavirus again, what's your plan? Just continue to play till they all get it?",2020-04-29 23:02:11+00:00
7,"I saw Beyonce trending, and naturally assumed she'd caught the celebrity version of #Coronavirus.",2020-04-29 22:56:58+00:00
8,Can't believe we took much for granted before coronavirus,2020-04-29 22:46:33+00:00
9,can Beyonce just get Corona Virus so that they can find a cure,2020-04-29 22:38:51+00:00
10,Is Thailand safe to travel among Coronavirus (COVID-19) Outbreak? - 5 Travel Tips You Ne... http://upflow.co/l/i4BC,2020-04-29 22:35:07+00:00
11,Some kids from Sharpeville came to my Grannies house selling these masks. We requested for a sample and they charged R7. I just love their creativity It's a thought that counts and the fact that these kids are aware that Corona virus exist. #LockdownCreativity,2020-04-29 22:27:40+00:00
12,Japanese island hit by second wave of coronavirus after lockdown ends https://mol.im/a/8270245 via http://dailym.ai/android,2020-04-29 22:25:25+00:00
13,"Hahaha screening is only propaganda! Most of people with Coronavirus never get fever, cough or throat pain. Only proper test works!",2020-04-29 22:25:21+00:00
14,"Coronavirus came to New York from Europe, not China: Governor https://newsaf.cgtn.com/news/2020-04-25/Coronavirus-came-to-New-York-from-Europe-not-China-Governor-PXHsqNUTHG/index.html via @cgtnofficial",2020-04-29 22:19:18+00:00
15,"Botswana will help repatriate citizens stranded abroad by coronavirus travel bans, with more than 100 due to arrive on Wednesday from Ethiopia, President Mokgweetsi Masisi said on Saturday. ",2020-05-30 23:51:33+00:00
16,Aint no such thing as Corona Virus. They call it politics. That's my view.,2020-05-30 23:45:07+00:00
17,#JusticeforCollinsKhosa mr president o betere Ke bolaye Ke Coronavirus than gore Ke bolaye Ke this Cowards who never had a friendly war with Iraq soldiers as we’ve been requesting,2020-05-30 23:35:52+00:00
18,Working fro m home is a solution for Small Businesses amid COVID-19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23LockdownHouseParty&amp;utm_content=Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #LockdownHouseParty,2020-05-30 23:35:03+00:00
19,let coronavirus do it's job guys,2020-05-30 22:48:10+00:00
20,Visit our website at http://animalagricultureclimatechange.org for all the latest information on the Coronavirus and how it affects animals and our planet! We update our website daily... #coronavirus #covid19 #covid_19 #coronavirusnews #covid19news #AACC #pandemic,2020-05-30 22:28:00+00:00
21,San Bernardino County #coronavirus cases growing faster than state-allowed reopening limits https://www.desertsun.com/story/news/health/2020/05/30/san-bernardino-coronavirus-cases-rising-faster-than-limits-reopening/5293701002/ via @MyDesert,2020-05-30 22:17:07+00:00
22,Marauding monkeys make off with coronavirus vials in India ,2020-05-30 22:15:33+00:00
23,Working from home is a solution for Small Businesses amid COVID-19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolajobjobs&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23LockdownHouseParty&amp;utm_content=Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #LockdownHouseParty,2020-05-30 22:01:14+00:00
24,"LOCKDOWN: South African Small Busine sses(SMME) CAN operate amid Coronavirus COVID-19 pandemic, learn here how: https://cms.tolatender.co.za/conoravirus-covid-19/?utm_source=twitter-tolajobjobs&amp;utm_medium=social&amp;utm_campaign=coronavirus&amp;utm_term=%23LockdownHouseParty&amp;utm_content=LOCKDOWN%3A+South+African+Small+Businesses%28SMME%29+CAN+operate+amid+Coronavirus+COVID-19+pandemic%2C+learn+here+how%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #LockdownHouseParty",2020-05-30 22:00:50+00:00
25,catching bodies like corona virus.,2020-05-30 21:54:25+00:00
26,My mommy believes this is the cure to corona virus ,2020-05-30 21:53:42+00:00
27,The Corona virus been real quiet since this all started,2020-05-30 21:52:58+00:00
28,Working from home is a solution for Small Businesses amid COVID -19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23LockdownHouseParty&amp;utm_content=Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #LockdownHouseParty,2020-05-30 21:36:53+00:00
29,Just cause I know you and you know me doesn’t mean I can’t get the corona virus. That’s not how it works guys. so why the chill sessions ?,2020-05-30 21:20:17+00:00
30,Spreading Coronavirus,2020-05-30 21:10:28+00:00
31,"Saw posts of people living their normal lives in countries with no Corona Virus and im so jealous. Going out, socializing, mask free must be lekker",2020-05-30 21:03:39+00:00
32,Working from home is a solution for Small Businesses amid COVID-19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23LockdownHouseParty&amp;utm_content=Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #LockdownHouseParty,2020-05-30 21:00:10+00:00
33,Will e-commerce help small business survive coronavirus fallout? #ecommerce #SmallBusiness #businessowner #MarketingStrategy,2020-05-30 20:53:16+00:00
34,"My mom couldn't quite comprehend how serious #coronavirus is, until she found out that my cousin (his brother's daughter) was fighting for her life in hospital. Now she is officially on panic mode! In God we trust #COVID19",2020-05-30 20:44:01+00:00
35,"Police Horses Crash Socially-Distant Salsa Lesson In Adorable Video.: As the novel coronavirus pandemic continues, dance […] The post Police Horses Crash Socially-Distant Salsa Lesson In Adorable Video. appeared first on InspireMore. http://dlvr.it/RXgcjx",2020-05-30 20:41:05+00:00
36,LOCKED DOWN?? Working from home is a solution for Sm all Businesses amid COVID-19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23SpaceX&amp;utm_content=LOCKED+DOWN%3F%3F+Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A+ #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #SpaceX,2020-05-30 20:35:04+00:00
37,Let me put it this way. 𝘐𝘧 the coronavirus was manufactured by horrible people which it wasn't then haven't we shot ourselves in the foot? (and the face and the body and and?) because it is just like the flu but we ignored facts/statistics&amp;ran screaming murder. Now let's learn.,2020-05-30 20:32:33+00:00
38,The impact of the coronavirus on the Impact of Existing and Emerging Hemp Milk Market Trends … ,2020-05-30 20:31:52+00:00
39,These sectors are still hiring during South Africa’s coronavirus lockdown – BusinessTech ,2020-05-30 20:31:28+00:00
40,Cleo had already found the cure for Corona virus #LockdownHouseParty,2020-05-30 20:28:54+00:00
41,Coronavirus Game this one...,2020-05-30 20:26:04+00:00
42,"@SamsungMobileSA #samsunga31 #samsunga31 #samsunga31 @djcleo1 is Taking me back , The time when Corona Virus was not there Life it was Great hey ""MLILO"" #LockdownHouseParty",2020-05-30 20:17:01+00:00
43,Youtube censorship on the coronavirus: COVID-19 truth and facts https://southafricatoday.net/media/south-africa-video/political-videos/youtube-censorship-on-the-coronavirus-covid-19-truth-and-facts/ via @SATodayNews,2020-05-30 20:15:10+00:00
44,"Keep paying attention to the trend in the Coronavirus cases. Stay informed, South Africa. ",2020-05-30 20:12:17+00:00
45,"To put in perspective, this how many people have died of coronavirus in the US. ",2020-05-30 20:12:12+00:00
46,Brazilian scientists and academics write an Open Letter on the “science” of the coronavirus pandemic – Conexão Política ,2020-05-30 20:10:23+00:00
47,I stopped counting those Coronavirus cases haiii,2020-05-30 20:07:05+00:00
48,These look like deep fried coronavirus ,2020-05-30 20:06:03+00:00
49,I think everyone watching that launch of Dragon & Falcon 9 just forgot about #coronavirus even if just for a few seconds.,2020-05-30 19:54:07+00:00
50,Why cant they just allow the lockdown to come to an end? Who would want to stay at BnB in Cape Town the home of Corona Virus? This sound bit unwise to be honest ,2020-05-30 19:42:37+00:00
51,Look like Corona virus,2020-05-30 19:41:44+00:00
52,"Don't I wish I was those astronauts! No coronavirus, no chaos of the world. Just the space staring right back at you.",2020-05-30 19:40:10+00:00
53,Wo rking from home is a solution for Small Businesses amid COVID-19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23TheWayNgingakhona&amp;utm_content=Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #TheWayNgingakhona,2020-05-30 19:35:21+00:00
54,#Italy PM confirms it is suspending all #China flights after #coronavirus cases confirmed. #KwaMamMkhize,2020-01-30 23:51:14+00:00
55,Big shit if the Corona virus hits Africa. They don't have the money or technology that China has. It will spread like wildfire.,2020-01-30 23:50:15+00:00
56,just a note to say if coronavirus fucks me up because of my asthma; I want Higher by Creed played at my funeral,2020-01-30 23:42:37+00:00
