,Tweets,Date
0,BBC News - Coronavirus: Tens of thousands more book tests in England ,2020-04-29 22:23:29+00:00
1,Coronavirus vaccine being tested in Germany could 'supply millions' by end of year - CNN ,2020-04-29 22:22:50+00:00
2,BBC News - Remdesivir: Drug has 'clear cut' power to fight coronavirus ,2020-04-29 23:38:32+00:00
3,"Reuters: In northern Brazil, iron ore keeps flowing as Vale miners battle coronavirus. https://www.reuters.com/article/us-health-coronavirus-brazil-vale/in-northern-brazil-iron-ore-keeps-flowing-as-vale-miners-battle-coronavirus-idUSKBN2352F0 @GoogleNews을(를) 통해",2020-05-30 22:43:38+00:00
4,#OnThePulse - AI’s early warning of the coronavirus - Samsung daughter Lee Boo-jin’s divorce - Promoting tourist destinations outside of Seoul - Joint committee to support Korea’s first transgender soldier,2020-01-30 23:46:37+00:00
5,Coronavirus: What it does to the body - BBC News ,2020-01-30 23:15:26+00:00
6,2/Coronavirus spreads from carriers who show no symptoms. This site has the most informed updates on Coronavirus. ,2020-01-30 21:57:53+00:00
7,Many countries are trying to conceal the number of the infected. @WHO should propose that CFR of #COVID19 is the index to evaluate the effort of each country to control the epidemic. It shows how well the country finds the infected.,2020-02-28 22:19:09+00:00
8,"Drive-thru clinics, drones: #SouthKorea’s new weapons in #coronavirus fight http://www.koreaherald.com/view.php?ud=20200227000901 #COVID19",2020-02-28 14:32:32+00:00
9, DROP IN GLOBAL PANEL PRODUCTION COVID-19 cuts global panel production by 20% in February #COVID19 #coronavirus #production,2020-02-28 12:22:44+00:00
10, DONATIONS TO HELP FIGHT COVID-19 S. Koreans donating money to help fight COVID-19 #COVID19 #coronavirus #donating,2020-02-28 12:22:34+00:00
11," COVID-19 SPREADS TO MORE COUNTRIES Nigeria, New Zealand and Lithuania each report first case of COVID-19 #COVID19 #Nigeria #NewZealand",2020-02-28 12:22:17+00:00
12," COVID-19 CASES SOAR IN KOREA Number of COVID-19 cases in S. Korea exceeds 2,000 #COVID19 #coronavirus #SouthKorea",2020-02-28 12:22:13+00:00
13,Woman caught #COVID19 for the 2nd time. So much for #vaccines &amp; #immunity?,2020-02-28 12:18:00+00:00
14,On today's #WeeklyEconomyReview Prof. Yang Jun-suk gives us some expert analysis on Korea's main stock markets #KOSPI and #KOSDAQ. To what extent has the economic fallout been due to #COVID19? We'll learn about the government's measure to tackle the fallout from the #coronavirus,2020-02-28 09:18:22+00:00
15,U.S. to screen passengers for new China coronavirus at three airports (Reuters) https://ift.tt/375IkKK ,2020-01-18 08:37:13
16,"Having been in Shanghai the last few days, there was a real sense of concern in #China. Shanghai felt like a ghost town #CoronaVirus https://twitter.com/tomrousseyABC7/status/1222239794358640640 …",2020-01-28 23:37:29
17,Hey boss I think I have the Coronavirus! #SuperMonday #Sweepstakes,2020-01-25 23:58:33
18,"Korea's public health and safety agency announced Saturday that they have designated mainland China a ""coronavirus watch"" zone as part of its ongoing effort to prevent the spread of the Wuhan coronavirus here.
https://www.koreatimes.co.kr/www/nation/2020/01/119_282451.html …pic.twitter.com/xCAepNCFFQ",2020-01-25 23:52:55
19,"#OnThePulse
- AI’s early warning of the coronavirus
- Samsung daughter Lee Boo-jin’s divorce
- Promoting tourist destinations outside of Seoul
- Joint committee to support Korea’s first transgender soldier",2020-01-30 23:46:37
20,Dang. And I was gonna bring my coronavirus-infected bat on board with me.,2020-01-22 23:57:41
21,First US case of Wuhan coronavirus confirmed by CDC - CNN https://edition.cnn.com/2020/01/21/health/wuhan-coronavirus-first-us-case-cdc-bn/index.html …,2020-01-21 22:48:49
22,"North Korea continues to inform the domestic audience of China's Coronavirus case. 

(Photo: Wednesday Rodong Sinmun, international news section) pic.twitter.com/NJhqNUNtxI",2020-01-21 22:45:45
23,Korea got this coronavirus near me in Daegu && i am shook ,2020-01-29 23:58:49
24,"@dvergano Thank you for the reasoned article on the Coronavirus...it’s really needed with all the sensationalism out there.  Curious where you got the number of US flu deaths in first 2 weeks of 2020.  I can’t seem to find such a recent number, but may be looking in wrong places.",2020-01-29 23:57:17
25,"Thurday's #TMI w/@koryodynasty 
We've seen online activities surge regarding the novel coronavirus including 'fake news'.
Some restaurants are even forbidding Chinese visitors from entering. Tune in to find out the public sentiment towards the infection. pic.twitter.com/Vscwrl4fwF",2020-01-29 23:45:32
26,Mainland China announce the extension of the Lunar New Year holidays till Feb 2 in an effort to curb the spread of Coronavirus.,2020-01-26 23:59:37
