,Tweets,Date
0,"Scientists moving with 'unprecedented speed' to find vaccines for #coronavirus 2019-nCoV, Coalition for Epidemic Preparedness Innovation says. Team working to create new breed of vaccines from existing genetic technology &amp; aiming to begin clinical trials within 16 weeks. #lka",2020-01-30 23:59:55+00:00
1,Date 31-Jan-20 Confirmed 8236 Deths 178 Recovered 143 #nCoV2019 #coronavirus @WHO @WHOSriLanka @Neetwit @GotabayaR #srilanka #china,2020-01-30 23:16:18+00:00
2,This place doesn’t seems to be a bad place to observe quarantine. Such a beautiful morning in Cornwall. #COVID19 #DiamondPrincess,2020-02-28 13:31:13+00:00
3,"WHO says new China coronavirus could spread, warns hospitals worldwide http://dlvr.it/RN6c0Y ",2020-01-15 21:48:02
4,BIA on alert: Chinese passengers to be screened http://www.themorning.lk/bia-on-alert-chinese-passengers-to-be-screened/ … #lk #BIA #pneumonia #Chinese #Coronavirus #News #WHO #TheSundayMorning,2020-01-19 03:28:56
5,"New Chinese coronavirus may have come from snakes, through food markets https://www.zmescience.com/medicine/chinese-coronavirus-snake-market-23012020/ …",2020-01-23 23:49:15
6,"Scientists moving with 'unprecedented speed' to find vaccines for #coronavirus 2019-nCoV, Coalition for Epidemic Preparedness Innovation says. Team working to create new breed of vaccines from existing genetic technology & aiming to begin clinical trials within 16 weeks. #lka",2020-01-30 23:59:55
7,#lka #CoronaVirus How about the people interacted with her during travel? Where has she gone? How do we track the Sri Lankans she interacted with? https://twitter.com/AzzamAmeen/status/1221847916983324672 …,2020-01-27 23:25:14
8,Stay safe #virus #coronavirus https://twitter.com/siwuol_/status/1220309695753158656 …,2020-01-24 23:41:02
9,"4 patients in SL tested negative for coronavirus | Daily FT
#lka #coronavirus http://www.ft.lk/front-page/4-patients-in-SL-tested-negative-for-coronavirus/44-694457#.Xi4lTc_veqc.twitter …",2020-01-26 23:48:43
10,"Committee appointed to prevent spread of coronavirus | Daily FT
#coronavirus #lkahttp://www.ft.lk/front-page/Committee-appointed-to-prevent-spread-of-coronavirus/44-694456#.Xi4knA17U_o.twitter …",2020-01-26 23:46:17
11,"Maldives bans travellers from China | Daily FT
#coronavirus http://www.ft.lk/front-page/Maldives-bans-travellers-from-China/44-695005#.Xjiw4P9PivU.twitter …",2020-02-03 23:46:51
12,Here's how to understand the sudden spike in coronavirus cases in China http://dlvr.it/RQ6gZm ,2020-02-15 23:37:04
13,"Map: Confirmed coronavirus cases, worldwide http://dlvr.it/RQMydL ",2020-02-19 23:46:32
14,Desperate search for cruise passengers after American tests positive for coronavirus http://dlvr.it/RQMycb ,2020-02-19 23:46:32
15,5 U.S. cities to start testing for coronavirus http://dlvr.it/RQ9CgM ,2020-02-16 23:39:32
16,Here's how to understand the sudden spike in coronavirus cases in China http://dlvr.it/RQ9CfC ,2020-02-16 23:39:32
17,Coronavirus case confirmed in California is 13th in the U.S. http://dlvr.it/RPwX2s ,2020-02-12 23:30:32
18,What is the new coronavirus? http://dlvr.it/RPwX2B ,2020-02-12 23:30:32
19,COVID-19 coronavirus spreads to Africa as Egypt confirms first case https://www.euronews.com/2020/02/12/watch-live-who-gives-update-on-covid-19-coronavirus …,2020-02-14 23:50:07
20,Here's how to understand the sudden spike in coronavirus cases in China http://dlvr.it/RQ3vbW ,2020-02-14 23:35:03
