,Tweets,Date
0,Impact of Coronavirus (COVID-19) on Global Trade and Business Article - Article Directory https://article-directory.org/article/729/53/Impact-of-Coronavirus-COVID-19-on-Global-Trade-and-Business,2020-04-29 22:52:54+00:00
1,WHO lauds Sweden as 'model' for resisting coronavirus lockdown. ,2020-04-29 22:19:30+00:00
2,"Coronavirus may never go away, even with a vaccine ",2020-05-30 22:34:19+00:00
3,Monkeys in India snatch coronavirus test samples ,2020-05-30 21:37:43+00:00
4,Five-month-old Brazilian #baby survives #coronavirus after 32 days in coma #Brazil,2020-05-30 20:41:31+00:00
5,"It's becoming obvious that China will take an economic hit from the coronavirus outbreak. Travel is part of business, cut travel and of course business will be affected. Question is, will it make the CCP be frank about the situation or will they supply amended numbers... ",2020-01-30 23:49:19+00:00
6,Let's play endless when you've gotten over the coronavirus,2020-01-30 23:24:22+00:00
7,You have a duty to your citizens. You have a duty to the world to be ready. Reality check for every government. @Sverigesriksdag #covid19 ,2020-02-28 23:18:25+00:00
8,Testing times. #COVID19 ,2020-02-28 23:07:45+00:00
9,Finished an exhausting week in the press office @ECDC_EU but work doesn’t stop here. All hands on deck are working to put together a new risk assessment to help Member States adapt their response to #coronavirus #COVID19 latest developments. Stay tuned https://www.ecdc.europa.eu/en/novel-coronavirus-china,2020-02-28 22:13:18+00:00
10,"The coverage of the #COVID19 is gigantic. Idk much, but we have seen bigger productions from Hollywood. And we should really talk about the already exposed fables from the mainstream news media. We are seeing history being written in real-time now #WeAreTheNewsNow #QuestionMSN",2020-02-28 21:40:30+00:00
11,Corona game? #COVID19 ,2020-02-28 20:07:23+00:00
12,Who could have thought our regular Work at Home (WAH) offering could make a such a positive difference while fighting the Corona virus outbreak? @NelsonHall Transcom #wah #workathome #corona #transcom #covid19 https://lnkd.in/dFpbyCZ,2020-02-28 19:56:42+00:00
13,Week 1 of the #corona outbreak in the US. Things seem to be going well #COVID19 ,2020-02-28 19:54:24+00:00
14,"If you want facts about #COVID19 in #China, here's the @WHO report: https://www.who.int/docs/default-source/coronaviruse/who-china-joint-mission-on-covid-19-final-report.pdf",2020-02-28 16:24:24+00:00
15,#PlagueInc. pulled from #Chinese #AppStore https://www.gamesindustry.biz/articles/2020-02-27-plague-inc-pulled-from-chinese-app-store #Games #China #Law #COVID19,2020-02-28 15:40:25+00:00
16,Just let me know when we should stop shaking hands and move to the elbow bump. Now? #COVID19,2020-02-28 15:27:55+00:00
17, AvTalk Ep. 78 Air traffic due to #COVID19 Boeing checking #737MAX for New airlines and a few Air New Zealand economy passengers might be getting a + + at https://link.chtbl.com/AvTalk78,2020-02-28 14:49:42+00:00
18,Great opinion piece in the @nytimes from #uppsalahealthsummit alumn @PeterDaszak on how critical it is that we invest in prevention and public health care instead of waiting for next big pandemic. #publichealth #Covid19 #globalhealth,2020-02-28 13:55:59+00:00
19,"#BREAKING Italy reports 51 new #COVID19 cases in Lodi. All hospitalized and in serious condition, 17 require intensive care. Lodi does not have a sufficient number of intensive care beds so they have been transferred to other facilities in the region: President of Lombardy ",2020-02-28 11:59:59+00:00
20,@pmakela1 @EndGameWW3 #BREAKING New Zealand reports the first #COVID19 case. A patient was tested to have the coronavirus: Prime minister Jacinda Ardern Source: @disclosetv,2020-02-28 11:59:08+00:00
21," How the spread of coronavirus has been much, much quicker than previous viruses like SARS and Ebola. #Coronavirus #corona #Covid #covid19 #pandemic #health #flu #science Via @LBC",2020-02-28 10:28:58+00:00
22,"UK gvt say ""we believe we can rely on the public to follow instructions & do what's necessary to control the spread of Covid19."" Obviously they've never been shopping for a loaf of bread after an inch of snow.",2020-02-28 10:26:00+00:00
23,"I'm more worried about being quarantined for two weeks than getting #CoVID19... as a PhD student, I don't have room to spare for 2 weeks worth of supplies!",2020-02-28 08:59:45+00:00
