,Tweets,Date
0,The tests are tainted with coronavirus anyway.,2020-04-29 23:55:58+00:00
1,Fed leaves rates unchanged amid coronavirus pandemic https://youtu.be/48I6mcZH80s via @YouTube,2020-04-29 23:43:09+00:00
2,LIVE UPDATES: Coronavirus in the Mid-South: Memphis received $113 million in aid to combat the coronavirus ,2020-04-29 23:35:05+00:00
3,I heard cocaine cured coronavirus,2020-04-29 23:28:02+00:00
4,"APSU theatre professor Leni Dyer sewing masks for health care workers, Operation Come Together #clarksville #clarksvilletn #montgomerycounty #coronavirus #covid-19 #apsu #austinpeay #lenidyer #facemasks #news https://www.clarksvilleonline.com/2020/04/29/apsu-theatre-professor-leni-dyer-sewing-masks-for-health-care-workers-operation-come-together/",2020-04-29 23:07:30+00:00
5,Coronavirus Report The Hill's Steve Clemons interviews Rep Shalala - @the-hill: The Hill's Steve Clemons interviews…,2020-04-29 23:05:33+00:00
6,"Question: If you’re the nurse & your supervisor told you that you couldn’t have a mask unless the patient is suspected or confirmed infected with the #coronavirus, what would you do? This happened to me wife!",2020-04-29 22:52:58+00:00
7,Tennessee Ramping Up Coronavirus Testing Even Further ,2020-04-29 22:52:04+00:00
8,"Coronavirus news in Tennessee: Statewide cases reach 10,366 Wednesday ",2020-04-29 22:48:04+00:00
9,Couple married for 73 years dies 6 hours apart from coronavirus ,2020-04-29 22:40:56+00:00
10,Kentucky Coronavirus Report for Wednesday https://www.thunderboltradio.com/kentucky-coronavirus-report-for-wednesday/,2020-04-29 22:17:09+00:00
11,Deep Thoughts! Right ahead! Blog post today reflecting on this strange trip as we prepare to disembark. https://cartwheellife.wordpress.com/2020/04/29/land-ho-remember-the-journey/ #arewethereyet #coronavirus #covid19 #quarantine #newnormal #notnormal #neverforget,2020-04-29 22:17:05+00:00
12,Coronavirus is paused?,2020-05-30 23:48:28+00:00
13,"And this has exactly what to do with your lack of action on the coronavirus for the first 6 weeks? Oh. Thats right, you aren't talking about the coronavirus anymore.",2020-05-30 23:23:08+00:00
14,Positive detection rates from #coronavirus tests continue to fall and now hover in the lower end of the range between 9.2%-9.3%. ,2020-05-30 22:50:13+00:00
15,"The Spanish league says full team training sessions will resume Monday, ahead of the first match to be played following the coronavirus stoppage. ",2020-05-30 22:30:00+00:00
16,"This, the coronavirus, and much more. Us Christians and The Church need to find a way to get the people back to Jesus because this really is turning into our new normal.",2020-05-30 21:29:19+00:00
17,"Lake Lanier, GA. 5/30/20. #COVID19 #coronavirus ",2020-05-30 21:10:38+00:00
18,"As the novel coronavirus pandemic continues, a new behavior known as “mask shaming” has popped up as people politicize the debate over face coverings. ",2020-05-30 21:00:01+00:00
19,"This locally based retail chain is on track to experience record-breaking sales in the second quarter, despite the coronavirus. ",2020-05-30 20:45:00+00:00
20,Newsflash: The vaccination and cure for the coronavirus has been discovered and developed through an age old anecdote called RACISM! #dontbeasheep #letfreedomring @RealCandaceO @realDonaldTrump @dbongino @charliekirk11 @parscale @catturd2 @Qanon76 @andweknow @patton6966,2020-05-30 20:27:33+00:00
