,Tweets,Date
0,WHO lauds lockdown-ignoring Sweden as 'model' for countries #coronavirus ,2020-04-29 23:59:03+00:00
1,"New York Coronavirus Hospitalizations Drop to Month Low, Governor Says ",2020-04-29 23:14:22+00:00
2,fucking coronavirus,2020-03-16 23:59:38
3,You cannot have a positive life and a negative mind! #CDLE #Limitless #Ucabista #UCAB #global #English #AprendeIdiomas #QuédateEnCasa #YoMeQuedoEnCasa #SeguirJuntos #Coronavirus #Covid_19 #Pandemia2020,2020-04-29 23:00:00+00:00
4,Two dozen people deported to Colombia on U.S. flight found to have coronavirus -sources ,2020-04-29 22:30:22+00:00
5,Florida governor excludes greater Miami from initial coronavirus reopening ,2020-04-29 22:23:13+00:00
6,Dogs are being trained to sniff out coronavirus cases ,2020-04-29 23:58:02+00:00
7,"Coronavirus deaths top 50,000 in Latin America - Reuters tally ",2020-05-30 23:24:59+00:00
8,Fuck coronavirus,2020-03-04 23:53:59
9,A whole lot of people sick with coronavirus Something similar already happened in some places here in my country~ Well I think there was less fire,2020-05-30 22:29:12+00:00
10,"As Fu said in another interview, this is the seventh coronavirus to infect humans, yet none of its predecessors acted like this strange one. ‘The behaviour of this virus isn’t like a coronavirus,’ he said. https://www.dailymail.co.uk/news/article-8373007/Beijing-admits-coronavirus-DIDNT-start-Wuhans-market-DID-come-from.html?ito=amp_twitter_share-top via @MailOnline",2020-05-30 22:13:33+00:00
11,"Where Coronavirus Is More Likely To Be Airborne, 5 Places To Avoid via @forbes",2020-05-30 20:55:56+00:00
12,"Could #KillStupidJournalistsPaidByTobbaccoCompanies help in the fight against the coronavirus? I say, probably, no. ",2020-05-30 20:50:19+00:00
13,This coronavirus got me thinking if I'll ever get a chance to achieve my dreams... If I'll still be alive in a matter of years and be able to fulfill them... ,2020-05-30 20:45:54+00:00
14,"Coronavirus cases in South Africa pass 30,000, says minister ",2020-05-30 19:40:25+00:00
15,"Romania's Orban breaches own coronavirus rules, pays fine ",2020-05-30 20:38:15+00:00
16,Himachal Pradesh records 313 coronavirus cases so far ,2020-05-30 19:33:11+00:00
17,Soccer-Olympic qualifying dates reshuffled due to coronavirus ,2020-01-30 23:52:52+00:00
18,FACTBOX-Latest on the coronavirus spreading in China and beyond ,2020-01-30 23:40:16+00:00
19,China’s U.N. envoy says Beijing assessing WHO coronavirus declaration ,2020-01-30 23:23:15+00:00
20,Wuhan coronavirus and SARS by the numbers ,2020-01-30 22:55:15+00:00
21,UPDATE 1-First two coronavirus cases confirmed in Italy -prime minister ,2020-01-30 22:54:54+00:00
22,"Every kid in JAPAN must be protected,while in phil,populace must go out to depopulate.Covid19 as an instrument ",2020-02-28 21:52:05+00:00
23,Brainwashed tone deaf trump sycophant says what? Trump will cause deaths from lying about Covid19 and neglecting his duty to protect us to the best of his abilities. Trumpys proudly defending that and attacking those that are trying to save lives educating the public is ignorant.,2020-02-28 16:40:05+00:00
24,COVID19 is going to be our come-to-jesus moments about how we've been treating our fellow man isn't it?,2020-02-28 15:38:46+00:00
25,"""The first case of novel #coronavirus pneumonia was reported in China, but its source may not be in the country,"" expert Zhong Nanshan made the remark at a news briefing in Guangdong province. #COVID19 ",2020-02-28 13:15:44+00:00
26,"Venezuelan state TV, @VTVcanal8 , instead of preparing the country against the arrival of #COVID19 is passing Maduro telling with ZERO evidence that Coronavirus is a US weapon against China and the people of the world. As far as I know... ",2020-02-28 12:22:37+00:00
27,"NOVEL CORONAVIRUS (01): THAILAND ex CHINA, SUSPECTED, AIRPORT QUARANTINE
 https://promedmail.org/promed-post/?id=20200109.6878959 …",2020-01-13 23:27:15
28,Thailand finds Wuhan novel coronavirus in traveler from China http://www.cidrap.umn.edu/news-perspective/2020/01/thailand-finds-wuhan-novel-coronavirus-traveler-china …,2020-01-13 23:15:36
29,"WHO statement on novel coronavirus in Thailand
 https://www.who.int/news-room/detail/13-01-2020-who-statement-on-novel-coronavirus-in-thailand …",2020-01-13 19:18:08
30,WHO working with Thailand after confirmation of novel coronavirus https://www.devdiscourse.com/article/health/829088-who-working-with-thailand-after-confirmation-of-novel-coronavirus …,2020-01-13 13:06:01
31,"WHO Says New China Coronavirus Could Spread, Warns Hospitals Worldwide
 https://www.medscape.com/viewarticle/923757 …",2020-01-15 22:24:44
32,"Novel Coronavirus – Thailand (ex-China)
 https://www.who.int/csr/don/14-january-2020-novel-coronavirus-thailand-ex-china/en/ …",2020-01-15 13:23:33
33,"UPDATE 2-WHO says new China coronavirus could spread, warns hospitals worldwide https://www.devdiscourse.com/article/health/830804-update-2-who-says-new-china-coronavirus-could-spread-warns-hospitals-worldwide …",2020-01-14 15:45:59
34,"UPDATE 1-WHO says new China coronavirus could spread, warns hospitals worldwide https://www.devdiscourse.com/article/health/830373-update-1-who-says-new-china-coronavirus-could-spread-warns-hospitals-worldwide …",2020-01-14 11:56:05
35,"RT @WHO: NEW: WHO interim guidance: 
Laboratory testing of human suspected cases of novel #coronavirus infection

 http://bit.ly/2TaaWOH  (under ‘Technical documents’)pic.twitter.com/Z0uDxGQenT",2020-01-11 20:05:09
36,Indian school teacher becomes first foreigner to contract coronavirus in China https://www.devdiscourse.com/article/health/837306-indian-school-teacher-becomes-first-foreigner-to-contract-coronavirus-in-china …,2020-01-19 11:22:48
37,UPDATE 2-U.S. to screen passengers for new China coronavirus at 3 airports https://www.devdiscourse.com/article/health/835977-update-2-us-to-screen-passengers-for-new-china-coronavirus-at-3-airports …,2020-01-18 00:19:41
38,UPDATE 2-U.S. to screen passengers for new China coronavirus at 3 airports https://www.devdiscourse.com/article/health/835907-update-2-us-to-screen-passengers-for-new-china-coronavirus-at-3-airports …,2020-01-17 20:56:19
39,UPDATE 1-U.S. to screen passengers for new China coronavirus at 3 airports https://www.devdiscourse.com/article/health/835884-update-1-us-to-screen-passengers-for-new-china-coronavirus-at-3-airports …,2020-01-17 20:09:39
40,"Travellers from China to be screened for novel coronavirus at Delhi, Mumbai, Kolkata airports https://www.devdiscourse.com/article/national/835101-travellers-from-china-to-be-screened-for-novel-coronavirus-at-delhi-mumbai-kolkata-airports …",2020-01-17 11:16:57
41,Health Minister monitoring situation after novel Coronavirus cases reported  https://www.devdiscourse.com/article/health/835024-health-minister-monitoring-situation-after-novel-coronavirus-cases-reported …,2020-01-17 10:26:13
42,More than  2000 Starbucks closed in China due to coronavirus... https://twitter.com/rianru/status/1222303986360967170 …,2020-01-28 23:46:13
43,UPDATE 5-Apple's iPhone back to growth as company braces for coronavirus impact https://www.devdiscourse.com/article/technology/851133-update-5-apples-iphone-back-to-growth-as-company-braces-for-coronavirus-impact …,2020-01-28 23:38:22
44,Australia scientists claim first re-creation of coronavirus outside China https://www.devdiscourse.com/article/health/851132-australia-scientists-claim-first-re-creation-of-coronavirus-outside-china …,2020-01-28 23:37:48
45,Chinese tourist in Hua Hin confirmed as Thailand’s sixth case of coronavirus https://forum.thaivisa.com/topic/1145125-chinese-tourist-in-hua-hin-confirmed-as-thailand …’s-sixth-case-of-coronavirus/,2020-01-25 23:31:53
46,Is that a good idea? It is called the corona virus...,2020-01-25 23:29:30
47,Soccer-Olympic qualifying dates reshuffled due to coronavirus https://www.devdiscourse.com/article/sports-games/854458-soccer-olympic-qualifying-dates-reshuffled-due-to-coronavirus …,2020-01-30 23:52:52
48,FACTBOX-Latest on the coronavirus spreading in China and beyond https://www.devdiscourse.com/article/health/854451-factbox-latest-on-the-coronavirus-spreading-in-china-and-beyond …,2020-01-30 23:40:16
49,Coronavirus from China has made its way to the United States https://arstechnica.com/science/2020/01/first-us-case-of-new-coronavirus-reported/ …,2020-01-21 22:51:20
50,"Another coronavirus infected patient found but situation under control, says Anutin https://www.nationthailand.com/news/30381116  vía @nationnews",2020-01-27 23:45:47
51,UPDATE 2-U.S. government urges Americans to reconsider travel to China because of coronavirus https://www.devdiscourse.com/article/international/849539-update-2-us-government-urges-americans-to-reconsider-travel-to-china-because-of-coronavirus …,2020-01-27 23:39:07
