,Tweets,Date
0,South Africa records biggest daily rise in coronavirus cases South Africa is due to start on May 1 to gradually ease its strict lockdown regulations ,2020-04-29 23:29:46+00:00
1,"NEW: Saudi Arabia reports 1,325 new cases of coronavirus, 21,402 in total. Saudi Arabia's largest daily increase so far.",2020-04-29 22:50:34+00:00
2,"Coronavirus update, Middle East: - Turkey: 2,936 new cases - Saudi: 1,325 new cases - Iran: 1,073 new cases - Qatar: 643 new cases - UAE: 549 new cases - Kuwait: 300 new cases - Oman: 143 new cases - Iraq: 75 new cases - Bahrain: 58 new cases - Israel: 54 new cases",2020-04-29 22:58:52+00:00
3,"Zimra officer tests positive for coronavirus in Bulawayo, tax collector announces Staffer 'interacted' with infected individual on March 18, and had been sent home to self-isolate from March 27 to April 26 ",2020-04-29 22:33:00+00:00
4,"Coronavirus: why South #Africa needs a wealth tax now Aroop Chatterjee, University of the Witwatersrand; Amory Gethin, and Léo Czajka The consequences of the COVID-19 lockdown are yet to be fully determined and understoo... https://www.263chat.com/coronavirus-why-south-africa-needs-a-wealth-tax-now/ via @263Chat #Zimbabwe #263Chat",2020-04-29 22:16:20+00:00
5,and this basis of the withdrawal is a complete lie Coronavirus: What are President Trump's charges against the WHO? https://www.bbc.co.uk/news/world-us-canada-52294623,2020-05-30 23:33:11+00:00
6,#AskRishi Will those left stranded in #ForgottenLtd and #ExcludedUK also be 'forgotten' and 'excluded' when the time comes for tax hikes to repay the coronavirus govt borrowing? ,2020-05-30 21:02:41+00:00
7,"Zimbabwe now has 174 confirmed #coronavirus #COVID19 cases..14 new cases recorded today. 7 of the new cases are returnees from South Africa, Botswana and UK and the other 7 are contacts of confirmed cases.",2020-05-30 20:34:18+00:00
8,#Covid19 now in Nigeria confirmed. So Wuhan is now too far,2020-02-28 09:13:03+00:00
9,#WHO: Novel Coronavirus – Thailand (ex-China) https://ift.tt/2TpYaMa ,2020-01-15 08:40:03
10,"#Coronavirus deaths (803) officially exceed #SARS fatalities (774) in 2003. 

What does this now mean? Awaiting latest from @WHO...https://twitter.com/BBCNews/status/1226284220319969280 …",2020-02-08 23:39:17
11,"#NowPlaying Holly Rey - Deeper

Listen Here:   https://t.co/Yw3WosT3B6

#COVID19
 - STAY home as much as you can
 -… https://t.co/lrIcWv9Css",Sat Jun 13 09:53:03 +0000 2020
12,"Saving Lives, Changing Lives",Sat Jun 13 10:07:55 +0000 2020
