,Tweets,Date
0,"""If you have 20% of the workforce out sick, you can't open the plant. ... you cannot have a secure #FoodSupply in this nation if workers don't have a secure place to go to work."" --Marc Perrone of UFCW union on MSNBC. #coronavirus",2020-04-29 23:47:07+00:00
1,"Oooh la la: All-star tribute to proto-punk-glam-folksters T.Rex due Sept. 4, created by visionary producer Hal Willner before he died of #coronavirus. ",2020-04-29 23:42:49+00:00
2,This will be a great discussion. Any questions you'd like addressed? WATCH THURSDAY: 'Race & Coronavirus: A Bay Area Conversation' virtual town hall about COVID-19 impact on African American community https://abc7news.com/society/watch-thursday-race-and-coronavirus-a-bay-area-conversation/6133506/ via @abc7newsbayarea,2020-04-29 23:40:11+00:00
3,"The state of California is under shelter in place rules. What sense of #privilege allows Ford to be out flying in the first place? Before the FAA makes a ruling, he should be punished for just being out and about for no good reason. #HarrisonFord #coronavirus #ShameOnYou",2020-04-29 23:14:44+00:00
4,"""Gilead says early results of coronavirus drug trial show improvement with shorter remdesivir treatment"" ",2020-04-29 23:13:52+00:00
5,An old 1920s movie theater converted into a theater showing Broadway shows etc. The Golden Gate Theater in the center of San Francisco-from my archives during the coronavirus-soon I’ll start very cautiously… https://www.instagram.com/p/B_lAhhMHFac/?igshid=b5ecbq2ygu69,2020-04-29 23:05:02+00:00
6,An old 1920s movie theater converted into a theater showing Broadway shows etc. The Golden Gate Theater in the center of San Francisco-from my archives during the coronavirus-soon I’ll start very cautiously… https://www.instagram.com/p/B_lAhhMHFac/?igshid=7st9t94j9jav,2020-04-29 23:04:42+00:00
7,"US study finds Gilead drug remdesivir works against coronavirus. It shortened the time to recovery by 31%. This will be the standard of care, and any other potential treatments will now have to be tested against or in combination with remdesivir. ",2020-04-29 22:57:16+00:00
8,Anyone think trump made him do that with Hope's of him coming down with Coronavirus?,2020-04-29 22:36:57+00:00
9,GlaxoSmithKline joins drugmakers whose sales have benefited from patients’ stockpiling ahead of coronavirus lockdowns ,2020-04-29 22:29:31+00:00
10,When planing that special day remember after the #coronavírus check out @jolielaushi where all the magic is brought life . Making ur special unforgettable!!! Please stay safe and we look forward to creating amazing… https://www.instagram.com/p/B_lN1UXHUyC/?igshid=1fb6vk4wd9w9p,2020-04-29 22:27:38+00:00
11,"Glad to be part of this project for @NYTNational. ""The coronavirus destroyed all the traditional ways of saying goodbye"" -- to high school, sure, but also childhood. ",2020-05-30 23:34:24+00:00
12,"We read or write, say and are told about the increasing news of the coronavirus minute by minute, hour by hour, day by day. It’s the news tyranny taken to the edge of the precipice. But, what is a good source today? When is it a good source?",2020-05-30 21:15:02+00:00
13,"I said this earlier this month! Glad the @CDCgov is finally figuring it out. When did the coronavirus start spreading in the U.S.? Likely in January, CDC analysis suggests https://www.statnews.com/2020/05/29/cdc-local-transmission-coronavirus-united-states/ via @statnews (See my own assessment: https://www.medpagetoday.com/blogs/working-stiff/86291)",2020-05-30 21:06:28+00:00
14,Oh Bean here’s to a happy new life Street dog now named Bean helps nurse in China through the Coronavirus traumas... https://mynorthwest.com/1900615/street-dog-helps-see-chinese-nurse-through-virus-traumas/ #Inspiration #dogswelove #COVIDkindness,2020-05-30 20:59:53+00:00
15,The curious case of the SF doctor who’s been coronavirus-positive nearly 90 days and counting - http://SFChronicle.com Persistent positives Covid-19? https://www.sfchronicle.com/bayarea/article/The-curious-case-of-the-SF-doctor-who-s-been-15304660.php #SmartNews,2020-05-30 20:51:55+00:00
16,".@DrewAltman discusses how almost half of African Americans and Latinos are struggling to pay their bills because of #coronavirus, which suggests that even if Congress’ relief efforts are helping, they’re not nearly enough. Read more @axios: https://www.axios.com/coronavirus-economy-jobs-unemployent-racial-disparities-29e3c6c4-bb43-4eaf-bf90-04697ca66b2d.html",2020-05-30 20:12:04+00:00
17,Forbes Coronavirus Coverage best summary I’ve found. https://www.forbes.com/coronavirus/,2020-01-30 21:43:44+00:00
18,@MSNBC @DeadlineWhitehouse Could you PLEASE make a clip available on Twitter of Frank Figliuzzi's advice for how the White House should address messaging and transparency Re: #COVID19?,2020-02-28 21:13:05+00:00
19,@MSNBC @DeadlineWhitehouse Could you PLEASE make a clip available on Twitter of Frank Figluzzi's advice for how the WH should address messaging and transparency Re: #COVID19?,2020-02-28 21:09:20+00:00
20,"You HAVE to only send highly trained, qualified and appropriately-equipped (with Personal Protective Equipment) employees to deal with #covid19 cases or suspected potential ones. And chain of command needs to be clear. Trump *should not* be involved but can still call it success.",2020-02-28 20:47:43+00:00
21,I've seen some scammy #coronavirus #pandemic #COVID19 tagging the @who lately to cash in on free twitter followers and engagement by hyping up a potentially scary issue. ...no fear-mongering here... You really want to protect yourself? Do. Some. Cardio. *Not Medical Advice*,2020-02-28 19:57:27+00:00
22,.@AsaHutchinson: State level testing of #COVID19 through the Department of Health should be available next week.,2020-02-28 17:36:46+00:00
23,Trump’s failed response to Covid19 spooks markets even more #failed,2020-02-28 15:47:22+00:00
24,"SAVE MONEY! Cough on a rich person Apologize profusely making sure to mention ""It's okay my sister was tested at the airport"" Let them pay fo get tested. If @CDC doesn't call you, you're fine. #CoronaVirus #COVID19 #COVID19US #MedicareForAll",2020-02-28 15:41:30+00:00
25,"SAVE MONEY! Cough on a rich person. Apologize profusely making sure to mention ""It's okay my sister was tested at the airport"" Let them pay fo get tested. If @CDC doesn't call you, you're fine. #CoronaVirus #COVID19US #COVID19 https://www.businessinsider.com/coronavirus-treatment-costs-americans-health-care-broke-2020-2?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter @businessinsider",2020-02-28 15:28:56+00:00
26,"Perhaps we have a little good #Coronavirus news! Israeli scientists: In a few weeks, we will have coronavirus #vaccine https://www.jpost.com/HEALTH-SCIENCE/Israeli-scientists-In-three-weeks-we-will-have-coronavirus-vaccine-619101 #COVID #COVID19 #COVID-19 #FridayThoughts",2020-02-28 14:31:09+00:00
27,"$BCRX So I'm keeping faith, and hoping for an enormous COVID19-related squeeze. Mileage may and should differ.",2020-02-28 14:30:11+00:00
28,"Alright enough of the COVID19, back to my country... Whose money are you using to provide foreign education for those 'repentant' BH members ? whose money?",2020-02-28 10:59:01+00:00
29,"4 diagnostic testing facilities are ready and available at National Reference Laboratory in Abuja, LUTH in Lagos, Irrua in Edo State and Redeemer’s University in Osun State to respond to #coronavirusnigeria pandemic #COVID19 #CoronaVirusUpdates #CoronavirusOutbreak #Nigeria",2020-02-28 10:26:49+00:00
30,"Fun fact: coronavirus is named for the latin word ""crown"" or ""halo"" because it looks like a circle with a bunch of nubs sticking out. https://twitter.com/WSJ/status/1215019129075306497 …",2020-01-08 21:36:17
31,Preventio is better than cure. Please please be aware mo diha Cebu people. #coronavirus pic.twitter.com/fKB5DcmHaE,2020-01-18 12:29:09
32,"Wuhan mystery virus, temperature sensors have been set up for arrivals at Los Angeles, NYC, SF airports. (Shouldn't it be part of departing security screens?) It's a Coronavirus, serious like SARS was in SE Asia or MERS was in Mideast. Good sleep boosts immune system function....",2020-01-18 05:25:28
33,"Yea, #trump got this under control Texas A&M Student Is Examined for Suspected Case of Wuhan Coronavirus https://nyti.ms/30OXhP0 ",2020-01-23 23:48:30
34,How does someone test positive for Coronavirus? Is there a Coronavirus test kit or something?,2020-01-28 23:38:21
35,"Muchas Gracias to #MuchoGusto winner of the #PegasusWorldCup. On a day of #coronavirus #TrumpDefense and #earthquake, nice to have some good news. @HorseRiderSoCal @HorseRaceSite @7horseracing #Floridahttps://twitter.com/PegasusWorldCup/status/1221204303827886087 …",2020-01-25 23:52:23
36,"STAY HEALTHY: With the novel (new) coronavirus now in the U.S. and flu season still upon us, the Arkansas Department of Health is helping to remind people on how best to stay healthy. More here --> http://bit.ly/2RNCiI4 ",2020-01-27 23:45:37
37,The Coronavirus sounds like something I would make up when I called into work sick when I was really just hungover,2020-01-24 23:51:37
38,"China travel ban in US over coronavirus? it's too late for that to work, it's already in the US, and is most likely spreading.",2020-01-24 23:23:54
39,That coronavirus got here faster than my order on http://wish.com . ,2020-01-29 23:51:51
40,Thank you President Trump for Keeping America Great and Investigating the source of Coronavirus!,2020-02-07 23:30:25
41,What Questions Should Global Health Policy Makers Be Asking About The Novel Coronavirus? | Health Affairs https://www.healthaffairs.org/do/10.1377/hblog20200203.393483/full/#.XjoC0y8NcmI.twitter … This policy made by the WHO will allow more help on the ground. Hopefully China will be more transparent and keep this humane. @DrGHealthPolic1,2020-02-04 23:49:46
42,Wow! Is that because or CoronaVirus?,2020-02-02 23:46:45
43,"Like everyone else with a Twitter account, I am an expert on the #coronavirus. For a sizable donation, I will gladly espouse my unique wisdom on this global epidemic.",2020-02-02 23:28:31
44,Hear this powerful word about what God is saying regarding the Coronavirus! https://youtu.be/EuIOrjhAC-Y  via @YouTube,2020-02-15 23:31:34
45,"My dude, maybe you can spend some of this energy you're pouring into this coronavirus stuff on trying to get the Senate to actually do their jobs and get some of that legislation going. Like, I'm glad you're tryna do something but maybe do something about that?",2020-02-19 23:20:25
46,You and @boxmining have been providing more helpful coverage of the #coronavirus than the msm,2020-02-14 23:54:48
47,Xi Jinping is handling coronavirus just like the Soviets handled Chernobyl https://washex.am/39pE8q0 ,2020-02-14 23:32:28
48,My mailbox lady is scared of coronavirus and her friend is telling her she had Ebola. Great pair,2020-02-14 23:32:19
49,UPDATE 1-Apple says will not meet revenue guidance for March quarter due to coronavirus impact (Reuters: Company News) http://dlvr.it/RQDcK3 ,2020-02-17 23:53:03
50,Apple won't meet its revenue guidance for the March quarter due to work slowdowns from the outbreak of novel coronavirus in China https://trib.al/UyJybPm ,2020-02-17 23:46:03
51,Love and Coronavirus https://twitter.com/capturebizarre/status/1226705644738224129 …,2020-02-17 23:28:56
52,"Coronavirus could be a 'catalyst' for China to boost its mass surveillance machine, experts say https://cnb.cx/2PmVE6v ",2020-02-24 23:53:26
53,#SantaFe safe del #Coronavirus,2020-02-28 23:59:14
54,Everyone needs tiny Trump hands to lower their chances of spreading Coronavirus,2020-02-28 23:55:40
55,"“When we got to Starbucks, employees would not let us come in. While we waited for r lattes, [they] took r temperatures & recorded our info” US couple in China ... under coronavirus quarantine: ""It’s not easy to maintain sanity, even w/ this self-care."" https://www.huffpost.com/entry/coronavirus-covid19-life-china-precautions_n_5e4eaa73c5b6df1e8be3d4d7?ncid=engmodushpmg00000004 …",2020-02-21 23:51:16
56,Anybody know what happened to @boxmining? That dude was doing awesome #coronavirus updates and then straight up disappeared.,2020-02-22 23:46:07
57,Trump admin lacks credibility to calm markets on coronavirus news https://www.msnbc.com/rachel-maddow/watch/trump-admin-lacks-credibility-to-calm-markets-on-coronavirus-news-79444549924 … via @msnbc BigOrange is full of credibility cracks. All of WH Admin is,2020-02-26 23:59:45
58,Let's hope #Pence's reading and following important instructions have gotten better.  #coronavirus #CoronavirusOutbreak #Trumppic.twitter.com/BpKVTelYMK,2020-02-26 23:57:21
59,"#CDC says first native #coronavirus case found in Northern #California. #COVID2019. In order to have calm, we need #information. We must also be vigilant against #discrimination. #COVID19Info @lihanlihan @chrismit94 @joannebryantsfhttps://www.washingtonpost.com/world/asia_pacific/coronavirus-china-live-updates/2020/02/26/f889693a-580e-11ea-9000-f3cffee23036_story.html?utm_campaign=wp_news_alert_revere&utm_medium=email&utm_source=alert&wpisrc=al_news__alert-hse--alert-national&wpmk=1 …",2020-02-26 23:57:10
60,"Covid-19 is a coronavirus. The article details scientific knowledge of coronavirus transmission & inactivation. For the sake of myself and those in the community around me, I’ll employ the findings, as the statistical likelihood is that will be more effective than ignoring them.",2020-02-26 23:55:59
61,Frankly I'd prefer if the coronavirus task force was lead by someone who believes in science,2020-02-26 23:55:54
62,"RT @brexit_sham: Astounding footage of @BorisJohnson 'cramming covid' on his return from a two week Kent jolly with Carrie Symonds. 

Crimi…",Sat Jun 13 07:53:42 +0000 2020
