,Tweets,Date
0,One corrections officer and three other employees with the Pima County Sheriff’s Department tested positive for the novel coronavirus. Read more &gt;&gt; http://bit.ly/2zG50oZ,2020-04-29 23:55:40+00:00
1,Wrote my Best Song in my opinion 2 years ago Today #newmusic #music #newalbum #album #piano #vocal #guitar #synth #beat #mixtape #lit #hype #fire #musicproducer #singersongwriter #songwriter #producer #record #recording #time #azmusic #arizona #phoenix #love #coronavirus ,2020-04-29 23:48:01+00:00
2,"DC may not have senators, but at least we have a @MichelleObama voice recording calling all of our phones to tell us about free coronavirus testing.",2020-04-29 23:47:23+00:00
3,"No, Drinking Warm Water Won't Stop You From Getting Coronavirus https://www.radiofr.ee/59w #RadioFree #News",2020-04-29 23:39:17+00:00
4,These Doctors Are Hitting the Street to Protect Athens' Homeless from Coronavirus https://www.radiofr.ee/59u #RadioFree #News,2020-04-29 23:38:58+00:00
5,Economic Dignity for All - https://www.metaeconomics.info/post/economic-dignity-for-all The coronavirus shows us clearer than ever before that all labor has dignity. #EconomicFairness #Metaeconomics,2020-04-29 23:32:15+00:00
6,"CNN— one more time: Trump did NOT suggest or infer that ingesting Lysol Or Clorox or anything like that might help against the corona virus. I am known as the grammar, English, literary police so I know of what I speak.",2020-04-29 23:20:53+00:00
7,Data shows new confirmed #coronavirus cases are not yet in sustained decline in AZ. Good to see @dougducey extend the #stayhome order consistent with Federal health officials' reopening guidance. Via @cronkitenews.,2020-04-29 23:10:47+00:00
8,"Stay on top of all the latest news on Phoenix concerts canceled, postponed or rescheduled due to the coronavirus with our ever-growing list at @azcentral",2020-04-29 23:10:43+00:00
9,"Chandler was one of the last Valley cities to close libraries and park amenities during the novel coronavirus pandemic, and among the first to reopen them. ",2020-04-29 23:00:04+00:00
10,Republicans when you ask them if they drank Lysol to cure the Coronavirus ,2020-04-29 22:50:37+00:00
