,Tweets,Date
0,Fauci announces good news about coronavirus drug https://www.banglaviral.com/fauci-announces-good-news-about-coronavirus-drug/,2020-04-29 22:33:01+00:00
1,"As countries around the world consider easing restrictions, attention is being focused on the best ways to avoid a second wave #coronavirus ",2020-05-30 22:12:54+00:00
2,"N’ganj councillor, who helped arrange last rites of coronavirus victims, tests Covid-19 positive ",2020-05-30 19:55:12+00:00
3,"Hello, logo is the mark of a thoughtful initiative. Check out my Gig on Fiverr: do creative branding logo for you https://www.fiverr.com/share/2Kmo18 #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:58:33+00:00
4,"Hi, flyer is your communication officer. Check out my Gig on Fiverr: creating professional and amazing flyer and brochure https://www.fiverr.com/share/qDo4Q9 #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:54:55+00:00
5,"Hello, Need a brochure for your business? Check out my Gig on Fiverr: create eye catching and amazing brochure catalog poster https://www.fiverr.com/share/0bloNv #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:52:45+00:00
6,"Hello, contact me for book cover and album cover. Check out my Gig on Fiverr: design creative and smart book and album cover for you https://www.fiverr.com/share/BRyxob #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:50:09+00:00
7,"Hello, I will creating eye catching T shirt. Check out my Gig on Fiverr: create eye catching time appropriate awesome t shirts https://www.fiverr.com/share/2Kmoek #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:48:05+00:00
8,CoronaVirus Video to Watch - What the United States Needs To Do RIGHT NOW To Survive Covid19 #coronavirus #coronavirusus #Harden #FreeCodeFridayContest #coronavirususa,2020-02-28 18:56:49+00:00
9,Very useful infographic on #ncovid19 @SCMPgraphics http://bit.ly/2RgB7Ce #COVID19 #coronavirus #wuhanvirus,2020-02-28 15:26:23+00:00
10,WithinNigeria: COVID19: NCDC deploys rapid response teams to Lagos ,2020-02-28 10:17:15+00:00
11,"Hello, please like, share and subscribe my channel. Mahali Jhumar song and dance presentation video https://youtu.be/kkGMj3g4GWw  via @YouTube
#coronavirus#Trump#BiggBoss13#Asim#Dhaka#DostoKaDostSid#Fiverr",2020-01-28 23:55:16
12,"Hello, I will creating  business card for your business.Check out my Gig on Fiverr: design creative and eye catching business card https://www.fiverr.com/share/Q7RYYR 
#coronavirus#Trump#BiggBoss13#Asim#Dhaka#DostoKaDostSid#Fiverr",2020-01-28 23:52:47
13,"Hello, logo is the mark of a thoughtful initiative.
Check out my Gig on Fiverr: do creative branding logo for you https://www.fiverr.com/share/2Kmo18 
#coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:58:33
14,"Hi, flyer is your communication officer.
Check out my Gig on Fiverr: creating professional and amazing flyer and brochure https://www.fiverr.com/share/qDo4Q9 
#coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:54:55
15,"Hello, Need a brochure for your business? 
Check out my Gig on Fiverr: create eye catching and amazing brochure catalog poster https://www.fiverr.com/share/0bloNv 
#coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:52:45
16,"Hello, contact me for book cover and album cover.
Check out my Gig on Fiverr: design creative and smart book and album  cover for you https://www.fiverr.com/share/BRyxob 
#coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:50:09
17,"Hello, I will creating eye catching  T shirt.
Check out my Gig on Fiverr: create eye catching time appropriate awesome t shirts https://www.fiverr.com/share/2Kmoek 
#coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",2020-01-30 23:48:05
18,"Better And Easy Way To Use Bitwise | Operators , Example
Link to watch : https://t.co/d3t8c2YZv8
(May Allah guide y… https://t.co/Ure5QYzEso",Sat Jun 13 08:02:24 +0000 2020
19,"Get well soon, Afridi",Sat Jun 13 08:52:43 +0000 2020
20,"RT @StephenMcDonell: #China's approach when these post-#Wuhan #coronavirus clusters have appeared, like in the Nth East, has been to lock d…",Sat Jun 13 08:47:03 +0000 2020
21,Praying for your speedy recovery. You have done so much for people around you. We need people like you especially t… https://t.co/phAJaiQbgC,Sat Jun 13 09:59:28 +0000 2020
22,get well soon..,Sat Jun 13 10:01:49 +0000 2020
23,This is my first video on YouTube. I hope you like it. Please subscribe to my channel and like my video to gain mor… https://t.co/CIUKMoLR3a,Sat Jun 13 10:05:30 +0000 2020
24,"Get Well Soon Afridi Brother
In Sha Allah U will Recover",Sat Jun 13 10:09:54 +0000 2020
25,May Allah recover him. Get well soon him InshaAllah. From Bangladesh.,Sat Jun 13 10:11:53 +0000 2020
26,Get well soon 💜🙏,Sat Jun 13 10:12:54 +0000 2020
27,Praying for your speedy recovery. You have done so much for people around you. We need people like you especially t… https://t.co/2VkiPxRLjz,Sat Jun 13 10:17:23 +0000 2020
28,Get well soon brother!,Sat Jun 13 10:26:19 +0000 2020
29,Omg😞😞Get well soon😞,Sat Jun 13 10:37:19 +0000 2020
30,RT @iamAhmadshahzad: With all that work you’ve done for the people of our country🇵🇰 during this pandemic I’m sure there’ll be thousands of…,Sat Jun 13 09:56:39 +0000 2020
31,"Hope he gets well soon. 
Also hope he doesn't start babymaking in quarantine",Sat Jun 13 10:47:44 +0000 2020
32,"Cricket lover #Cricket #Lockdown
#covid19 #Bangladesh #Dhaka #health https://t.co/hd3vFWuaVO",Sat Jun 13 10:48:40 +0000 2020
33,RT @rubel34official: May Allaah bless you with quick recovery @SAfridiOfficial bhai.,Sat Jun 13 10:53:40 +0000 2020
34,A 10 member #Covid19 expert team from #China visited the Holy Family Red Crescent Medical College Hospital today as… https://t.co/dcWdek4xxW,Sat Jun 13 10:59:57 +0000 2020
35,"RT @MHafeez22: U r a Fighter by Nature &amp; M sure U wil fight &amp; wil Defeat this Virus soon,  Best wishes for U to Get well soon 🤲🏼",Sat Jun 13 09:56:57 +0000 2020
36,May Allah blessing you.,Sat Jun 13 11:09:13 +0000 2020
37,"RT @glumphish: In Bangladesh alone, which employs 4.1 million workers, a majority of whom are women, brands cancelled $3.18 billion worth o…",Sat Jun 13 11:15:09 +0000 2020
38,May Allah give him sifah. Get well Soon Afridi! 🤲🤲 @SAfridiOfficial #shahidafridi #coronavirusinpakistan,Sat Jun 13 11:17:16 +0000 2020
39,Hope you get well soon inshallah,Sat Jun 13 11:17:46 +0000 2020
40,May Allah give you speedy recovery,Sat Jun 13 10:24:04 +0000 2020
41,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…",Sat Jun 13 10:42:18 +0000 2020
42,Get well Soon Boss,Sat Jun 13 11:24:43 +0000 2020
43,"It's really heartbreaking news.😢 i pray, you get well very soon! may #allah bless you..

we are always with you bha… https://t.co/wi5TGktTG6",Sat Jun 13 11:28:04 +0000 2020
44,Allah bless you and get well soon 😇🥺,Sat Jun 13 11:29:01 +0000 2020
45,May Almighty Allah Bless you with healthy and speedy recovery 🤲🙏 Get well very soon Lala ❤️,Sat Jun 13 11:34:27 +0000 2020
46,Get well soon Lala!🧡🧡🧡,Sat Jun 13 11:45:14 +0000 2020
47,"Get well soon lala
I request all afridians to pray for him",Sat Jun 13 11:48:19 +0000 2020
48,May Allah bless this great person with Shifah #covid19,Sat Jun 13 11:54:10 +0000 2020
49,Get well soon.. InshaAllah..,Sat Jun 13 12:04:44 +0000 2020
50,"RT @FAO: The Sultanate of Oman is one of the Gulf's largest fish producers, providing livelihoods to millions. 

How digital innovation is…",Sat Jun 13 10:53:52 +0000 2020
51,Get well soon,Sat Jun 13 09:10:06 +0000 2020
52,Sad to hear about  @SAfridiOfficial . May Allah give him full and speedy recovery soon. #covid19,Sat Jun 13 12:13:28 +0000 2020
53,"RT @UNICEFBD: Ishamony, 11, works to support her family. She sorts hazardous plastic waste without any protection gear even amid the outbre…",Sat Jun 13 12:14:41 +0000 2020
54,RT @TheMahiraKhan: Hope you feel better real soon! InshAllah. 🤲🏼🤍 https://t.co/KxkL2q5SOi,Sat Jun 13 12:16:42 +0000 2020
55,May Allah cure you soon.,Sat Jun 13 11:33:31 +0000 2020
56,What can we do to support the digital inclusion of the poorest countries &amp; people that are being left behind during… https://t.co/PZz4ALLUt2,Sat Jun 13 12:32:14 +0000 2020
57,"RT @ihcdhaka: Inviting registration for e-ITEC Course on ‘Good Governance  Practices in a Pandemic’. 

Administration officials &amp; medical p…",Sat Jun 13 12:33:44 +0000 2020
58,RT @BDRCS1: A 10 member #Covid19 expert team from #China visited the Holy Family Red Crescent Medical College Hospital today as a part of a…,Sat Jun 13 12:39:37 +0000 2020
59,"RT @ZiffyHomes: 2020 mein report card sirf aur sirf Corona aur Suraj ka hi accha ayaa hai, they have consistently improved their report car…",Sat Jun 13 12:47:06 +0000 2020
60,"i love NEW YORK CITY. 
are you need any tshirt design
#Bangladesh
#China
#MayAllah
#7yearsToEternityWithBTS… https://t.co/zoqqdwjhE5",Sat Jun 13 12:49:11 +0000 2020
61,Get well Soon Brother.,Sat Jun 13 12:56:24 +0000 2020
62,"For this #SaturdaySounds, as you #stayathome to fight #COVID19, take a listen to this timely message from… https://t.co/Y413nYsyaD",Sat Jun 13 13:01:24 +0000 2020
63,"RT @UNICEF: Singing 🎤, filming 🎥 and learning 📖 

This is how nine-year-old Ria stays connected and healthy during New York's #COVID19 lock…",Sat Jun 13 12:51:28 +0000 2020
64,"Best COVID-19 Live Cases Tracker WP Plugins Tuts https://t.co/SXn7CHEecQ via @anmul4u 
#COVID19India #COVID19… https://t.co/st2l7MoTf8",Sat Jun 13 13:09:37 +0000 2020
65,RT @TheMahiraKhan: Hope you feel better real soon! InshAllah. 🤲🏼🤍,Sat Jun 13 12:00:29 +0000 2020
66,"RT @footballitalia: Claudio Ranieri admits several #Sampdoria players ‘need longer to recover than they did before’, as the team with the m…",Sat Jun 13 13:17:47 +0000 2020
67,Get well soon Lala,Sat Jun 13 09:55:44 +0000 2020
68,"Take my wish, have a strong recovery 💪",Sat Jun 13 13:23:39 +0000 2020
69,Get well soon Lala!,Sat Jun 13 12:04:34 +0000 2020
70,#covid19 #StayHomeStaySafe #logo_design #minimalist #unique #creative #business_logo #Need_a_logo #looking_for_logo… https://t.co/w1wuRddBGn,Sat Jun 13 13:29:07 +0000 2020
71,"RT @FirozSRKian_: Hero Real Life In Reel Life
I Superhero ❤🙌

King Khan has contributed a whopping 100cr+ for #COVID19 and #CycloneAmphan!…",Sat Jun 13 13:53:28 +0000 2020
72,"Former #HealthMinister of #Bangladesh , Mohammed Nasim died today who was on life support and he once tested… https://t.co/m4BTRXn8cn",Sat Jun 13 13:53:39 +0000 2020
73,Please everyone pray for him...He is one of my favourite cricketer... Inshallah he will get well soon...,Sat Jun 13 14:19:53 +0000 2020
74,Get well soon lala,Sat Jun 13 09:54:09 +0000 2020
75,Get well soon... ❤️,Sat Jun 13 14:34:00 +0000 2020
76,"In shaa Allah you will be fine 
🤲🤲🤲",Sat Jun 13 14:34:58 +0000 2020
77,"Coronavirus Striking Plenty of Young People, Too http://dlvr.it/RSCb8S ",2020-03-19 23:57:01
