,Tweets,Date
0,Rhode Island School Teacher Resigns After Viral TGP Report About Her Offering to Pay Someone With Coronavirus to Cough on President Trump ,2020-04-29 23:45:18+00:00
1,The city has created an online survey called ReopenLB to gauge residents' comfort level in light of the coronavirus pandemic. ,2020-04-29 23:29:07+00:00
2,25 Coronavirus Relief Funds That Give Cash to Workers in Need — and Where You Can Apply ,2020-04-29 23:26:35+00:00
3,Coronavirus tracked: the latest figures as the pandemic spreads • Free to read • https://www.ft.com/content/a26fbf7e-48f8-11ea-aeb3-955839e06441 • @financialtimes •,2020-04-29 23:08:58+00:00
4,Trump wants FDA to move 'as quickly as they can' on remdesivir coronavirus approval ,2020-04-29 22:59:25+00:00
5,Nothing motivates men like boobies & a hood dance... Oregon strip club creates drive-thru experience during coronavirus lockdown: 'People are super stoked' https://fxn.ws/3bKo97o #FoxNews,2020-04-29 22:33:43+00:00
6,"MoveOn UPDATE: Hey Doc, donations from MoveOn members like you funded an ad holding Trump accountable for his failed response to the coronavirus pandemic. It's up in FL, MI &amp; PA and we wanted you to see it! Watch: http://mvn.to/1ug/64uj8j Thanks for all you do.",2020-04-29 22:18:42+00:00
7,Worcester Walmart store ordered closed after 23 employees test positive for coronavirus ,2020-04-29 23:53:43+00:00
8,"Senior voters in battleground states say they approve of steps taken by President Trump’s to battle the coronavirus pandemic, according to a new poll, despite national surveys indicating older people were abandoning the president to support Joe Biden. ",2020-05-30 23:09:10+00:00
9,It will soon be nearly 1 month since we re-opened due to Coronavirus. We will continue to do our best in the current times to provide our food to our dearest customers as safely as possible. We are now thinking of ways to enable social distancing within our restaurant! Xxx,2020-05-30 22:00:29+00:00
10,"The real question is, Why wouldn’t he shake the guy’s hand when he made it perfectly clear to that reporter that protecting yourself from the coronavirus is being “politically correct”? Gee... I hope this doesn’t make Trump a two-faced hypocrite, Gary. That would be sad. ",2020-05-30 21:28:32+00:00
11,"Coronavirus is a hoax... Trump is the best president in American history... Racism is created by the media to dividide us... Like damn, can you make it any easier for me to unfollow? ",2020-05-30 20:58:37+00:00
12,Trump’s Huge Court Win Could End Democrat’s Shady Agenda -The Texas Supreme Court ruled Wednesday that a lack of immunity to the coronavirus does not qualify as a disability under state law for requesting a mail-in ballot- https://sonsof1776.com/2020/05/28/trumps-huge-court-win-could-end-democrats-shady-agenda/,2020-05-30 20:35:26+00:00
13,Did I hear the Bob and Doug are launching the coronavirus into space? Is that right? ,2020-05-30 19:40:31+00:00
14,MT: The government would be better prepared to protect us from the #CoronaVirus if #Trumpocalypse Donald did not shut down and de-fund agencies and fire people whose job it was to do that.,2020-01-30 23:27:51+00:00
15,I spent 5 hours cleaning my downstairs today. It better be free of Coronavirus.,2020-01-30 23:24:37+00:00
16,"James Cleverly does not have a clue what he’s talking about. Totally vague, generic response on Coronavirus. Clueless. Naive. Vague. Do not trust a word he says. #coronavirus #bbcqt #notverycleverly",2020-01-30 23:17:26+00:00
17,"For people in Altoona PA, Panda Express is a much greater danger than the coronavirus from China. (The Panda Express in State College is good and safe)",2020-01-30 22:20:08+00:00
18,Ask @RivCoDoc @CDCDirector Why he hasn't demanded a MINIMUM QUARANTINE time of 14 days ATLEAST for EVERY passenger and crew member of the flight from Wuhan. 72 hours is NOT sufficient time to declare those people healthy! Negligent! #stopthespread #coronavirus,2020-01-30 22:10:50+00:00
19,The delicacy that is “Bat Soup” and it’s dangers.. #CoronaVirus ,2020-01-30 21:55:18+00:00
20,"More misinformation. Not just from Trump's jesters. But from you, too, Ted. CoVID19 presents many questions. However.... the safe presumption is that it behaves like the Flu, which, percentage-wise claims many more lives. CoVID19 is not safe. But do not spread fear with your BS.",2020-02-28 22:12:07+00:00
21,"Will restaurants start to assure diners that their staff is healthy - screened, compensated for sick time, covered by insurance? #COVID19 #economy",2020-02-28 21:50:21+00:00
22,#silver #gold #COVID19 #china Silver - Has the game changed?,2020-02-28 21:45:50+00:00
23,Very important thread on #COVID19 @JeremyKonyndyk,2020-02-28 16:50:38+00:00
24,Putting Pence in charge of #COVID19 is not preparation. Trump’s blatherings about #coronavirus are worthy of panic. The incomeptence you support is astounding for a supposedly intelligent woman.,2020-02-28 15:37:36+00:00
25,"Latham, Ill (WAND) – For Jamie and Trent Park of Latham the trip to Italy was a fast one thanks to Coronavirus, also known as COVID19. ",2020-02-28 15:27:01+00:00
26,I am not panicking about COVID19. BUT... I'm also acutely aware of the vulnerabilities of chronically ill folks and elderly folks to fast-moving respiratory diseases. This? It's worth passing on and it's important. Especially since the CDC has been forced to stand down. ,2020-02-28 14:38:59+00:00
27,@realDonaldTrump Mr President Plan for a rapid stimulus package(target supply chain &amp; human capital)-Trade n Business is under duress Wallstreet is the engine of the world- Covid19 is huge,2020-02-28 10:59:12+00:00
28,"#Health #News >> The new coronavirus doesn’t appear to be readily spread by humans, but researche... Full Story, Click link below https://www.socaltelevision.com/#/news ",2020-01-09 21:32:43
29,"#Science #News >> The new coronavirus doesn’t appear to be readily spread by humans, but researche... Full Story, Click link below https://www.socaltelevision.com/#/news ",2020-01-09 14:36:43
30,#ThursdayMotivation #todayinDOOM #Pelosi picks #ImpeachmentManagers in the stupidest #Impeachment ever #Iran enriching #uranium faster then ever what #NuclearDeal #ChinaTradeDeal but will it last #Japans First Case of Chinese #Coronavirus #flushot mismatch #Border #climate & morepic.twitter.com/zwE89r8rVJ,2020-01-16 12:25:18
31,"China is doing a great thing in its measures to contain the 
coronavirus.",2020-01-23 23:58:43
32,You can recover from Coronavirus. #FBPE appears to be a terminal condition.,2020-01-25 23:49:05
33,Very concerning how fast the Coronavirus is spreading on that cruis ship off the coast of Japan #Coronavirustruth,2020-02-07 23:59:34
34,"Oh no, is this the first case of the coronavirus in Utah? Stay safe",2020-02-08 23:55:26
35,"Just like there are many types of the flu, there are many types of the Corona virus.  The Wuhan type is just the newest and appears to be artificially created.",2020-02-03 23:45:25
36,An Interesting Read on the Possible Source(s) of the #CoronaVirus #covid19 #CoronavirusOutbreakhttps://greatgameindia.com/dr-francis-boyle-creator-of-bioweapons-act-says-coronavirus-is-biological-warfare-weapon/ …,2020-02-12 23:59:49
37,"Braindead Trump says all the victims of the coronavirus are getting better.

Well, except for those who've died.",2020-02-25 23:55:06
38,"Positive for coronavirus, 15th quarantined cruise ship passenger headed to UNMC https://www.ksnblocal4.com/content/news/Positive-for-coronavirus-15th-quarantined-cruise-ship-passenger-headed-to-UNMC-568186991.html …",2020-02-25 23:47:05
39,"I can't wait! Lots of material to cover! Going to be a great night. Got my #QuiteFrankly shirt today so I'll be lounging #comfy and pantsless. #frens
#TrumpInIndia #Trump #MAGA #KAG #QAnon #WWG1WGA #Coronavirus #HarveyWeinstein #MeToo #FactsMatter #FakeNews #FactsMatterhttps://twitter.com/PoliticalOrgy/status/1232021822620782592 …",2020-02-24 23:49:01
40,"China’s Coronavirus: Natural or Escaped Bio-Weapon?
From: U.S. Army LTC Mitchell
Best fact-filled blog you’ll find.
https://booksbyedmitchell.com/chinas-coronavirus-natural-or-escaped-bio-weapon/ …pic.twitter.com/oXwHUWT9pK",2020-02-21 23:30:34
41,If the coronavirus goes world wide I'm cool with staying at home. I've been mastering this for the last couple months. Just keep them livestream concerts rolling ,2020-02-22 23:49:12
42,"#coronavirus #Bigpic #always #bigbet  Nope, I'm not buying  test kit defects as cover for CDC pathetic performance. 
      Empire has made it clear that dollars take priority over public health.  Not a wise move...",2020-02-22 23:43:28
43,At Anne Schuchat of the CDC talked about #coronavirus. Just that. Finally common sense and good information.,2020-02-26 23:56:53
44,"and this doofus leads the ""FREE-?) world?  ‘We’re pretty soon only going to be 5 people’: Trump says he reduced risk of coronavirus by shutting down flights https://www.rawstory.com/2020/02/were-pretty-soon-only-going-to-be-5-people-trump-says-he-reduced-risk-of-coronavirus-by-shutting-down-flights/#.XlcFf5gPys4.twitter …",2020-02-26 23:56:18
45,"“The new coronavirus “seems to circulate quite nicely in tropical areas,” such as Singapore, Fisman said in an email, “so it seems to me unlikely that it would stop circulating simply because of warmer weather.””-FactCheck.org",2020-02-27 23:56:56
46,RT @ruw_schulze: Brilliant move: it really helps to instill confidence in this government's (in)competence in dealing with the #coronavirus…,Sat Jun 13 08:58:27 +0000 2020
47,Over 150 members of the Indian community held a motorcycle and car rally on Saturday in northern Taiwan to thank th… https://t.co/e0dVTdLnzN,Sat Jun 13 09:00:00 +0000 2020
48,"You can save lives today by having a cup of coffee, reading a nice book, or learning something new. Be a Hero! Stay… https://t.co/A9b212Sz7V",Sat Jun 13 09:11:55 +0000 2020
49,"RT @39Magilla: (1) United States Top Ten for New #COVID19 Cases 
8 of 10 from the South &amp; Southwest

United States posts +27,221 New Cases…",Sat Jun 13 10:02:25 +0000 2020
50,RT @Ianblackford_MP: Memo to @Keir_Starmer it is notable that the Labour first minister in Wales recognises the need to protect jobs throug…,Sat Jun 13 09:52:54 +0000 2020
51,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
52,RT @sarkodie: You guys got me on @JumiaGhana and I’m hooked 😊👌🏾 ... perfect way to shop without stepping out ... very essential in these #C…,Sat Jun 13 10:28:02 +0000 2020
53,"Antibody positive #COVID19 

Alexa, play me ‘Tell Me Something I don’t know’ by Selena Gomez https://t.co/ISLgqaYTfh",Sat Jun 13 10:31:41 +0000 2020
54,RT @LondonFA: GUIDANCE UPDATE | The @FA has today released new tailored guidelines relating to various areas of #grassroots #football activ…,Sat Jun 13 10:40:48 +0000 2020
55,RT @general_fixed: Congratulations to you all winners I have you are enjoying the vip as well now I can rest don’t disturb too much once yo…,Sat Jun 13 10:44:58 +0000 2020
56,RT @MigrantPartyAu: @ScottMorrisonMP proving again he can’t manage two items at once! So we can’t talk about #blacklivesmatteraustralia bec…,Sat Jun 13 11:16:55 +0000 2020
57,RT @MatabelFootball: Good Morning from the world's #MostSensational Team all the way from #Bulawayo the City of Kings and Queens we pray fo…,Sat Jun 13 11:19:29 +0000 2020
58,RT @swanleync: Beautiful morning for some of the @swanleync ladies to head out for a run in the park #SocialDistanacing #covid19 @KentSport…,Sat Jun 13 11:29:36 +0000 2020
59,RT @Vol_of_America: Learn how #VOA has kept senior residents and neighbors safe during the #COVID19 pandemic in this exclusive interview wi…,Sat Jun 13 11:32:02 +0000 2020
60,"RT @ChrisLu44: Analysis by @latimes:

#COVID19 situation is improving in 24 states, getting worse in 23 and holding steady in 4.

Daily dea…",Sat Jun 13 10:48:40 +0000 2020
61,"RT @rebecasrz: Miley I get you girl, our president is hot, but he is in a serious relationship with our VP The Ponytails, so please, back o…",Sat Jun 13 10:26:30 +0000 2020
62,"RT @StefSimanowitz: 1/. The recommendations the govt - &amp; Public Health England - chose not to publish.

@ProfKevinFenton’s research on the…",Sat Jun 13 11:08:28 +0000 2020
63,"RT @IvorGoodbody: ""A young, otherwise healthy, #COVID19 patient got a double lung transplant last week. #Inflammation left her lungs “compl…",Sat Jun 13 12:17:14 +0000 2020
64,Will Democrats and Republicans Let Our Most Affordable and Mobile Testing Kit Go To Russia First? $DECN Rapid Finge… https://t.co/NigcfX8vfi,Sat Jun 13 12:53:13 +0000 2020
