,Tweets,Date
0,JAIR JEAN PIERRE RETURN WITH THE CORONAVIRUS ALBUM AVAILABLE ON SPOTIFY GOOGLE PLAY MUSIC SPOTIFY SOUNDCLOUD,2020-04-29 22:56:32+00:00
1,Work looks different in the coronavirus world. It might look different — and better — forever. https://www.huffpost.com/entry/coronavirus-reveals-american-work-wrongs_n_5ea2f57bc5b6d376358e5f0a?ncid=engmodushpmg00000004 via @HuffPostImpact,2020-04-29 22:37:03+00:00
2,Jared Kushner’s “princely arrogance” set back the coronavirus response by weeks: report ,2020-04-29 23:25:08+00:00
3,"'Great success story’: Jared Kushner takes victory lap as coronavirus toll nears 60,000 ",2020-04-29 22:39:53+00:00
4,Trump: Coronavirus will have ‘a very good ending for us’ https://politi.co/2Uehtsf via @politico,2020-01-30 23:51:49+00:00
5,Wow. The corona virus is making SARS and the Swine flu look mild in comparison.. ,2020-01-30 22:58:45+00:00
6,wouldn't that make #DonaldJDrumpf infected with #COVID19? ,2020-02-28 15:25:58+00:00
7,Trump: Coronavirus will have ‘a very good ending for us’ https://politi.co/2Uehtsf  via @politico,2020-01-30 23:51:49
8,Sh8te just hit the fan in the US with one confirmed case #coronavirus #corona #novel #virus #disease #control #SARSvirus #earlydayshttps://twitter.com/amadain1/status/1219477425228328960 …,2020-01-21 22:32:55
9,First Three Suspected Coronavirus Cases In Michigan Test Negative http://dlvr.it/RNshq8 ,2020-01-27 23:50:02
10,"Translation for dummies:

""How to get #coronavirus: buy & use fresh water in pills and feel safe, you'll die anyway but pure and natural""

Follow Science, don't trust #homeopathy: it's your life that is at risk.",2020-01-29 23:57:53
11,Coronavirus and Super-Spreaders: What You Should Know | The Healthy #SmartNewshttps://www.thehealthy.com/infectious-disease/coronavirus-super-spreaders-cdc/ …,2020-01-26 23:56:25
12,"Steve's Thursday morning KDSK show.  

President Trump is weighing the idea of banning all flights to China as the coronavirus continues to spread. Under Trump’s plan, the only people allowed to go there are Adam Schiff and Nancy Pelosi.",2020-02-01 23:40:52
13,"Steve's Thursday morning KDSK show 

President Trump is weighing the idea of banning all flights to China as the coronavirus continues to spread. Under Trump’s plan, the only people allowed to go there are Adam Schiff and Nancy Pelosi.",2020-02-01 23:38:47
14,"Also on another note , will these antivaxxers be spreading the new Corona  virus? I don't know about you but when a safe vaccine comes out I'll be lining up this stuff is really scary.",2020-02-06 23:49:59
15,"#Coronavirus has gone everywhere but not in Africa, and @Trevornoah is hurt. Trust me boy ! You are #funny as much as  we are happy to keep this sneaky bug away from our #Borders.https://twitter.com/TheDailyShow/status/1224467852696215554 …",2020-02-03 23:55:45
16,sigh... yup been silently freaking out while surfing the corona virus hashtag all last week.,2020-02-22 23:43:23
17,"In #COVID19 crisis, #Michigan's #publichealth pros leverage #socialmedia for good: https://t.co/DBalU16OsW",Sat Jun 13 11:03:39 +0000 2020
18,"RT @epochchanger: In England and Wales
over 95% of #COVID19 deaths
had serious comorbidities as per NHS statistics.

No reason why that's n…",Sat Jun 13 11:22:00 +0000 2020
19,"To keep yourself and your community safe from #COVID19, you can use a homemade reusable face cover when stepping ou… https://t.co/gMvZV4eavV",Sat Jun 13 13:37:26 +0000 2020
20,RT @ScottGottliebMD: This is a critical milestone. Two therapeutic antibodies are now in the clinic with more on the way. These drugs can b…,Sat Jun 13 10:00:00 +0000 2020
21,"San Antonio Mayor Declares Health Emergency Over Coronavirus, Mall Closes as Precaution https://www.theepochtimes.com/san-antonio-mayor-declares-health-emergency-over-coronavirus-mall-closes-as-precaution_3257811.html …",2020-03-02 23:58:00
22,Top US General Says Military Preparing for Potential Coronavirus ‘Pandemic’ https://www.theepochtimes.com/top-us-general-says-military-preparing-for-potential-coronavirus-pandemic_3257479.html …,2020-03-02 23:56:54
23,"As Wuhan Remains Under Lockdown, One Steel Factory Has Continually Operated Since Coronavirus Outbreak Began https://www.theepochtimes.com/as-wuhan-remains-under-lockdown-one-steel-factory-has-continually-operated-since-coronavirus-outbreak-began_3258254.html …",2020-03-03 23:59:06
24,"Local US health authorities are likely to report new cases faster as they use commercial diagnostic kits that have received quick approval, CDC official says 

Coronavirus: Reports of new US infections expected to rise amid boost in testing capacity https://www.scmp.com/news/world/united-states-canada/article/3064854/coronavirus-reports-new-us-infections-expected-rise …",2020-03-03 23:56:01
25,Wuhan doctor who worked with whistle-blower Li Wenliang dies after contracting coronavirus on front line | South China Morning Post https://www.scmp.com/news/china/society/article/3064830/wuhan-doctor-who-worked-whistle-blower-li-wenliang-dies-after …,2020-03-03 23:54:00
26,"That's nothing drive around the greyhound bus station on main/gray street you be shaking your head what you see there every single day, it's near metro police station too, that whole area is full of Corona virus that it smells like shit, pee pee and downtown too",2020-03-11 23:56:25
27,"Only the best @realDonaldTrump also, you called #coronavirus  a #hoax. And #MattGaetzIsAToolhttps://twitter.com/willsommer/status/1237455320584269825 …",2020-03-10 23:57:06
28,Only one way to fight through this pandemic lads .. the return of Bike Mania #coronavirus #Covid_19pic.twitter.com/HPsSsR42Zm,2020-03-19 23:59:46
29,Not even coronavirus can get people to buy turkey bacon. Stay safe people. pic.twitter.com/bIC4DYqbjb,2020-03-16 23:59:13
