,Tweets,Date
0,A lot of people seem to be behaving like the lockdown is over. It's not. It does apply to you. I'm not making sacrifices just so you can do what the fuck you want. #coronavirus #lockdownuk,2020-04-29 23:48:24+00:00
1,CU Boulder researcher Daniel Larremore and several colleagues from Colorado joined a nationwide study that seeks to use social media data to better understand how coronavirus cases might grow and travel in the coming weeks. #data #C19 \\ Tech Xplore \\,2020-04-29 23:43:04+00:00
2,"@ChrisVanHollen “I am ready to see senators resume work in the Capitol, but without effective safeguards in place, @senatemajldr is endangering the lives of the staff who work there…undermining regional efforts to prevent the spread of the coronavirus,” ",2020-04-29 23:42:59+00:00
3,Selling your home now versus in a few months could be advantageous from a pricing perspective. We know that the market was hot before the coronavirus hit and that sellers may be able to still command a value… https://www.instagram.com/p/B_lT7rYHmFh/?igshid=yrez4jfqjsi0,2020-04-29 23:20:12+00:00
4,Trump says coronavirus bailouts for N.Y. contingent on ending ‘sanctuary’ policies ,2020-04-29 23:16:58+00:00
5,Commemorative...coins. Because this was all such a big *party* to cherish and remember. #COVID19 #coronavirus #DumpTrump2020,2020-04-29 23:16:03+00:00
6,"Like clockwork, 7:00 PM woohoos in Lower East Side/Chinatown. There's something magical about shouting, and clapping with kindred souls for the coronavirus first responders that is so uplifting. I love my neighborhood.",2020-04-29 23:08:18+00:00
7,Checking on you all. How’s everyone doing these days? #wellnesscheck #healthy #healing #stayathome #quarantine #covid19 #coronavirus #coach #socialdistancing,2020-04-29 23:07:51+00:00
8,"BBC News - Remdesivir: Drug has 'clear cut' power to fight coronavirus. There is ""clear-cut"" evidence that a drug can help people recover from the coronavirus, say US officials. ",2020-04-29 23:04:01+00:00
9,Remdesivir: early findings on experimental coronavirus drug offer 'quite good news'. Preliminary results of US government trial show patients who received drug recovered faster than others. ,2020-04-29 22:58:38+00:00
10,"""Coronavirus: US top infectious disease doctor says drug trial shows 'quite good news'"" #Coronavirus ",2020-04-29 23:58:31+00:00
11,Boris Johnson is tough on crime. Except when coronavirus wants to mug Britain | Marina Hyde ,2020-04-29 22:54:24+00:00
12,How does the coronavirus work? | MIT Technology Review - https://go.shr.lc/2yR8XqG via @techreview,2020-04-29 22:50:45+00:00
13,Should You Switch to Solid Dish Soap? : what some experts say ~> https://is.gd/TghrTQ #COVID19 #coronavirus ,2020-04-29 22:50:37+00:00
14,"Coronavirus is a dress rehearsal for what awaits us if governments continue to ignore science. Leaders have failed to listen to clear warnings and predictions, but the response to Covid-19 is an inspiring indication of what we’re capable of. ",2020-04-29 22:48:00+00:00
15,Coronavirus Impact on Ecommerce [via @techwyse feat @textoptimizer #accessibe] https://www.techwyse.com/blog/ecommerce/coronavirus-impact-on-ecommerce/ RT @seosmarty,2020-04-29 22:30:03+00:00
16,"Tobias Elwood confirms there will be a ‘chilcott like enquiry’ about handling of coronavirus, with particular reference to whether the care home sector have been failed. This is vitally important, the @LibDems have been fighting hard to ensure this takes place @EdwardJDavey",2020-04-29 22:25:28+00:00
