,Tweets,Date
0,Mitch McConnell is calling Senators back to Washington on a personal agenda. Not to work on behalf of the American people fighting the coronavirus pandemic. He is calling them back to vote on federal judges appointments. His agenda/ his legacy. ,2020-04-29 23:52:46+00:00
1,Whose coronavirus strategy worked best? Scientists hunt most effective policies https://www.nature.com/articles/d41586-020-01248-1 via @nature cc @quinteroposada,2020-04-29 23:32:17+00:00
2,"However, as someone about to give birth, I know I won't feel comfortable going still for some time now. I just wonder when the threat of coronavirus will fade to a level when the bishops say - ok, y'all must go back now.",2020-04-29 23:17:18+00:00
3,Approval for Trump's handling of coronavirus drops 10 points: poll https://thehill.com/homenews/administration/495177-approval-rating-of-trumps-handling-of-coronavirus-drops-10-points #msnbc #inners,2020-04-29 23:15:18+00:00
4,Us Truckers are enjoying the open roads ! #TruckDrivers #StayAtHomeAndStaySafe #Lockdown #CoronaVirus #COVID19,2020-04-29 23:09:41+00:00
5,Keep the #hustle going y'all. Not a bad idea for this warm weather. Support your #LocalBusinessOwners every chance you get. Happy #HumpDay my peeps. #ShelterInPlace #ItIsWhatItIs #quarantine #CoronaVirus #covid19… https://www.instagram.com/p/B_lRiDGgWZG/?igshid=16zr8m2cp57ol,2020-04-29 22:59:14+00:00
6,"So, in other words and perspective, 0.003% of voters/workers tested positive for the coronavirus. Sounds like the vote by mail leftists' fanatics were wrong once again! via @ABC",2020-04-29 22:56:49+00:00
7,"Women academics seem to be submitting fewer papers during coronavirus. ‘Never seen anything like it,’ says one editor. ",2020-04-29 22:54:01+00:00
8,If Trump wasn't president and not rich....people would think he was the raging old coot on the nursing home wing. and if he were in the nursing home wing.. what would be his odds in view of Coronavirus?,2020-04-29 22:48:35+00:00
9,"Trump declares meat packing workers are immune from Coronavirus, and shall be forced to work - ok, not really, but what else could he have been thinking?? ",2020-04-29 22:45:48+00:00
10,Trump Encouraged Sean Hannity to Go After the New York Times-Trump thought it was a good idea for Hannity to explore legal action against the news outlet for its critical coverage of how Fox News handled the coronavirus crisis. https://www.thedailybeast.com/donald-trump-encouraged-sean-hannity-to-go-after-the-new-york-times-for-its-coronavirus-coverage?source=twitter&amp;via=desktop via @thedailybeast,2020-04-29 22:42:26+00:00
11,"Vitae Industries is a @GANConnect Ventures Portfolio Company out of Providence, RI, USA, that is using 3D printing to boost ventilator capacity during this challenging time. https://buff.ly/2SgHV2Q #3dprinting #innovation #coronavirus #covid19 #startup #Ventilator",2020-04-29 22:35:01+00:00
12,Interesting GDP graphic. Reminds me of a meme...Coronavirus: US economy shrinks at fastest rate since 2008 https://www.bbc.co.uk/news/business-52466864,2020-04-29 22:34:01+00:00
13,"The American government passed the Families First Coronavirus Response Act (FCCRA), a collection of acts that provides certain protections and relief for employees. Here’s what every employer with 500 or fewer employees needs to know: https://hubs.ly/H0p_Cpp0",2020-04-29 22:27:39+00:00
14,"#1 Venezuela is asking the Bank of England to sell part of the South American nation’s gold reserves held in its coffers and send the proceeds to the United Nations to help with the country’s coronavirus-fighting efforts, according to two sources with knowledge of the situation.",2020-04-29 22:24:21+00:00
15,They stop airing Maury for this Coronavirus coverage and I’m not happy about it!!! @KTLA,2020-04-29 22:18:20+00:00
16,Every country in the world now has CoronaVirus...but China had it right of the bat,2020-04-29 22:16:17+00:00
17,Heitkamp: Trump coronavirus response 'failed' ,2020-04-29 22:15:37+00:00
18,.@ASlavitt do these new masks I am seeing with copper in between 2 layers of cloth actually work better keeping coronavirus out of out nose/mouth or nah? $30 seems like a lot for a mask,2020-05-30 23:43:30+00:00
19,"The words ""#coronavirus” and “benefits” really don’t belong in the same sentence. There is no upside here. But, once this is finally behind us things will change. And some of those changes will be for the better. https://wearelayup.com/what-covid-19-will-change-and-what-it-wont/ #covid19 #innovation #contentmarketing",2020-05-30 22:35:05+00:00
20,Excellent article. Trump and the coronavirus have exposed America as a declining empire: Time to face the facts ,2020-05-30 21:04:32+00:00
21,But he was a lifelong Coronavirus supporter dontcha know.,2020-05-30 20:33:16+00:00
22,About 75% of Trump’s proposed coronavirus capital gains tax cut would go to the top 1% of earners ,2020-05-30 21:50:30+00:00
23,Let's go full tinfoil hat - making the case using available information from reputable sources that #nCoV2019 #coronavirus came from the Wuhan BSL-4 Lab. (1/9) #CoronavirusOutbreak #WuhanCoronavirusOutbreak #tinfoilhat @EricRWeinstein,2020-01-30 23:22:54+00:00
24,This happened faster than I thought. #CoronaVirus #InternationalEmergency,2020-01-30 23:14:35+00:00
25,What is he thinking? The Coronavirus is not good for anyone. ,2020-01-30 23:09:58+00:00
26,CORONAVIRUS PROTECTION MEASURES! Protect yourself &amp; others from getting sick! 1. MASKS ARE 1/2 PROTECTION!! 2. WEAR GLOVES! 3. DON'T TOUCH FACE! 4. WASH OFTEN! (Click BLUE LINE for info!) https://who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public (who .int World Health Organization),2020-01-30 21:57:30+00:00
27,"$SPX +0.3% Coronavirus volatility in stocks Virus spreads but WHO remains calm Markets recover from -0.75% morning Big earnings day: $TSLA $MSFT gain, $DD $UPS $FB lose. Q4 GDP +2.1% Fed Funds move to 2 cuts in 2020 as economic uncertainty increases.",2020-01-30 21:46:30+00:00
28,"The Trump administration apparently has barred Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases NIAID, from speaking publicly about #COVID19 without prior approval from ""King"" @realDonaldTrump.",2020-02-28 23:32:13+00:00
29,"In the face of #COVID19 big and bold policy responses are required and required fast. Unfortunately, @realDonaldTrump's @GOP administration and the @VP, they don't inspire any confidence that it’s up to this enormous task.",2020-02-28 23:07:20+00:00
30,The @BBCNewsGraphics did a good job with these #dataviz resources on #COVID19: https://bbc.in/30XScE3,2020-02-28 21:43:19+00:00
31,"Officials in Solano County have traced ‘dozens’ of people the Vacaville, CA resident who tested positive for #coronavirus #COVID19US #COVID19 may have come into contact with—Vacaville is about 10 miles/16 kms from Travis AFB—a site visited by one of the HHS teams. ",2020-02-28 18:39:31+00:00
32,"After HHS team visit to Solano County—a Vacaville, CA resident tested positive for #coronavirus #COVID19US #COVID19 after being moved from NorthBay VacaValley Hospital to UC-Davis Medical Center—w/officials now trying to trace her direct contacts. ",2020-02-28 18:39:30+00:00
33,Concerns about 28-31 Jan HHS team visits to repatriated US citizens stationed in Wuhan—may have sparked addt’l spread of #coronavirus #COVID19 #武汉肺炎 b/c HHS teams who interacted w/them “[appear] to have done so w/out appropriate personal protective equipment (PPE) &amp; training.,2020-02-28 18:39:18+00:00
34,"Don't be stupid, people. Corona beer was named long before the COVID19 came along. Drink up. Stay happy and smart. ",2020-02-28 16:32:13+00:00
35,Nice two-part thread by @TheMenacheryLab on prelim genetic characterization of novel Chinese #coronavirus making headlines this week. https://twitter.com/TheMenacheryLab/status/1215826855086952448 …,2020-01-11 02:53:37
36,"Did you say lysol, or lime salt? Coronavirus sounds delicious on a golf course on a long hot summer day....",2020-01-16 20:40:01
37,Hope we learned enough from SARS to not cover up another coronavirus.. https://twitter.com/NathanGrubaugh/status/1218614499453874178 …,2020-01-19 19:18:16
38,"""We should exercise some extra vigilance because we are responsible also for the greater good of the majority."" #Coronavirus #Philippineshttps://www.catholicnewsagency.com/news/filipino-bishops-urge-caution-amid-coronavirus-report-63001 …",2020-01-23 23:25:01
39,"If getting the coronavirus is the price to pay for enjoying my delicious boxed wines, so be jt",2020-01-25 23:45:56
40,This Coronavirus is a very big threat to the world and the world is leaving all the responsibility to China to contain it. It is vitally important that all countries collaborate with sufficient resources to China so that it can handle this virus more effectively.,2020-01-27 23:42:29
41,@NBCNews This Coronavirus is a very big threat to the world and the world is leaving all the responsibility to China to contain it.  It is vitally important that all countries collaborate with sufficient resources to China so that it can handle this virus more effectively.,2020-01-27 23:40:24
42,"@nytimes This Coronavirus is a very big threat to the world 
 and the world is leaving all the responsibility to China to contain it. It is vitally important that all countries collaborate with sufficient resources to China so that it can handle this virus more effectively.",2020-01-27 23:38:59
43,@TheEconomist This Coronavirus is a very big threat to the world and the world is leaving all the responsibility to China to contain it. It is vitally important that all countries collaborate with sufficient resources to China so that it can handle this virus more effectively.,2020-01-27 23:38:48
44,@XHespanol This Coronavirus is a very big threat to the world and the world is leaving all the responsibility to China to contain it. It is vitally important that all countries collaborate with sufficient resources to China so that it can handle this virus more effectively.,2020-01-27 23:37:47
45,"Coronavirus Spread Self-Sustaining, Won't Stop With Warmer Weather: CFR https://youtu.be/ZO_XC3jI2c4  vía @YouTube",2020-01-27 23:33:27
46,okay so this might sound bad but like...everyone is trying to get their citizens out of wuhan because of coronavirus but like won’t that just bring coronavirus back to their countries? is this really a good idea? am i just stupid?,2020-01-27 23:25:57
47,.@ColoradoStateU researchers are re-creating live-animal markets in the lab to see how pathogens like coronavirus jump species https://bit.ly/389SlXQ  via @ConversationUS,2020-02-07 23:59:01
48,Very important practical approach:”...use CT scans to make a clinical diagnosis of suspected coronavirus infections. The testing kits would then be used to confirm the coronavirus infection.” CT findings: bilateral ground glass opacities. via @NYTimeshttps://www.nytimes.com/2020/02/09/world/asia/china-coronavirus-tests.html?referringSource=articleShare …,2020-02-09 23:51:17
49,"Yeah, but that coronavirus has killed like 8 people in the US... /sarcasm",2020-02-02 23:42:37
50,"Going a cruise? Worried about the Corona Virus? Well check out this article for reassurance that you will be fine to travel!
#cruising #coronavirus #travel #dontworryhttps://newmavmedia.wordpress.com/2020/02/13/cruising-with-the-corona-virus/ …",2020-02-15 23:19:36
51,"For the love of all that is holy, please, talk to an expert in #phethx and/or #phlaw (who have often spent YEARS thinking about these kinds of problems).

Cruise ship passengers riled over order for added 2-week coronavirus quarantine in U.S. https://www.washingtonpost.com/world/us-to-evacuate-americans-from-cruise-ship-and-put-them-in-14-days-quarantine/2020/02/15/8b05eadc-4fc1-11ea-a4ab-9f389ce8ad30_story.html …",2020-02-15 23:12:16
52,"Well, I don't drink Mexican beer and don't hang out in bars.  So, there is really no way for me to get the Coronavirus. https://twitter.com/EvanAKilgore/status/1227336440838868992 …",2020-02-11 23:32:10
53,Sony is the first to say they are skipping out on PAX East because of coronavirus concerns. I can happily voice my many reasons I'm glad I'm not going now.,2020-02-19 23:32:41
54,"700 is an arbitrary number. What were they doing? Someone (not Trump) thought they were not important to the CDC's mission.

Would hiring back the 700 plus 700 more save the US from Coronavirus? Maybe. But also maybe not. https://twitter.com/DrEricDing/status/1227692585109610497 …",2020-02-12 23:44:01
55,"Pretty huge news, Mobile World Congress just got canceled due to Coronavirus fears.  Probably a good call given the circumstances. https://lnkd.in/eceFSNM ",2020-02-12 23:33:24
56,"Super Lab created vaccine in 3 hours using sequencing from China

San Diego lab discovers COVID-19 / coronavirus va…: https://youtu.be/GWI5oLTETdU ",2020-02-13 23:47:37
57,"I wondered what might be the trigger to finally turn this thing around, and AAPL adjusted guidance downward, only 19-days after earnings release, due to the effects of Coronavirus...
.
.
There's support for the… https://www.instagram.com/p/B8r-pdGA1FD/?igshid=1rkj3i9415olc …",2020-02-17 23:54:45
58,How many surfaces did this guy touch in the last week? How many people did he have contact with? He’s a mini patient zero. #coronavirus,2020-02-25 23:52:17
59,Iran's deputy health minister tests positive for coronavirus after appearing ill in presser https://www.bizpacreview.com/2020/02/25/irans-deputy-health-minister-tests-positive-for-coronavirus-after-downplaying-outbreak-appearing-ill-in-presser-890993 … via @BIZPACReview,2020-02-25 23:50:26
60,TEA Press Release: Novel Coronavirus (COVID-19)... Good Information  pic.twitter.com/fbxEzTQZr6,2020-02-28 23:53:58
61,The Diamond Princess is offering free porn to its passengers in quarantine. #Coronavirus @ Bogotá D.C https://www.instagram.com/p/B82Rpv0Jeu9/?igshid=1ov3uh12fiuui …,2020-02-21 23:53:10
62,It was a matter of time before global shipping was hit by coronavirus. We need to revaluate our goods being concentrated in one country because this is what happens when countries are not prepared.,2020-02-22 23:33:15
63,Trump has the creepiest eyes as he scans the room. #Coronavirus #TheBeat,2020-02-26 23:57:35
64,@POTUS @realDonaldTrump thank you for speaking on the CoronaVirus..I'm afraid for my family..my mother who is up in age as well as everyone else and their families..thank you for putting my mind at ease..,2020-02-26 23:56:50
65,"Well gunnery might be cancelled bc of the Coronavirus, never been so happy about a pandemic before ",2020-02-27 23:59:11
66,HHS whistleblower claims US workers received coronavirus evacuees without proper precautions https://flip.it/QErLpE  via @flipboard,2020-02-27 23:57:51
67,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",Sat Jun 13 09:52:29 +0000 2020
68,RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…,Sat Jun 13 09:53:43 +0000 2020
69,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
70,"RT @SSnakeFHL: ""Ours is a strong commitment, Miley.""
Han tenido rollo fijo.",Sat Jun 13 10:37:58 +0000 2020
71,"RT @FranciscoMarty_: Like most things at the #NEJM, the most interesting stuff is in the appendix!

Great work by my colleague Issac Solomo…",Sat Jun 13 10:41:55 +0000 2020
72,RT @AmHeartAdvocacy: A5: More kids will be eligible for free meals in the fall due to #COVID19. Programs like CEP and universal free meals…,Sat Jun 13 10:48:31 +0000 2020
73,"RT @rebecasrz: Miley I get you girl, our president is hot, but he is in a serious relationship with our VP The Ponytails, so please, back o…",Sat Jun 13 10:26:30 +0000 2020
74,"RT @JohnsHopkinsSPH: ""Even if we can’t stop all transmission, it’s still a really important effort to keep [#COVID19] case counts low,"" sai…",Sat Jun 13 10:57:32 +0000 2020
75,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…",Sat Jun 13 10:42:18 +0000 2020
76,Nice when an asshole does the work for you!  Karma is just getting staring on this jackass!,Sat Jun 13 11:28:41 +0000 2020
77,"RT @IFMBE_HTAD: #COVID19  #Innovation #Competition and #Design #Bootcamp 2020. Sign in!
https://t.co/8YyPRkeglE
#MedicalDevices @uborabiome…",Sat Jun 13 11:29:11 +0000 2020
78,RT @UNESCO: Modern technology like #AI can be key when navigating through the #COVID19 crisis. But it's crucial to understand the trade-off…,Sat Jun 13 10:03:13 +0000 2020
79,"RT @Thicklilbae1: OMG SHE REALLY DID IT ON A PUBLIC BUS? 😱💦 @kathalina7777

FULL VIDEO FOR FREE 👇🏻

https://t.co/lx3y5DbLqY

#voyeur #squir…",Sat Jun 13 12:01:54 +0000 2020
80,"State Reopenings: A Picture’s Worth a Thousand Words, or Is It? https://t.co/4nUAx4lcwZ #USEconomy #COVID19 #COVIDSpike #EconomicREcovery",Sat Jun 13 12:20:10 +0000 2020
81,RT @XHNews: Beijing's major wholesale market has been suspended after personnel working there tested positive for #COVID19 https://t.co/056…,Sat Jun 13 11:00:36 +0000 2020
82,"From the foods you eat to the way you take care of your teeth, you can improve your immune system by taking better… https://t.co/J9KXm0e5Px",Sat Jun 13 13:00:47 +0000 2020
83,"How nerds stay sane during COVID-19
by Colleen Bement
https://t.co/8fPwV7pF7K #covid19 #nerds",Sat Jun 13 13:00:52 +0000 2020
84,"RT @Minuteman04: When you look at places like Florida, Arizona and Texas with huge #COVID19 spikes, the question ""Did we reopen too soon?""…",Sat Jun 13 12:11:27 +0000 2020
85,"RT @kikebotwin: “Ours is a strong commitment, Miley.”
🥰😍🥰😍
Me desmayo. https://t.co/hebwgid8EF",Sat Jun 13 13:40:00 +0000 2020
86,"RT @VANurse1212: ➡️ Covid Poll 

🔄 Please RT After Voting For a Better Illustration

➡️ Did Anyone You Personally Know Test Positive For #C…",Sat Jun 13 09:56:00 +0000 2020
87,"RT @PoliticsReid: Wow, 37 states reporting more than 10,000 #COVID19 cases. H/t @V2019N",Sat Jun 13 13:49:13 +0000 2020
88,Climbing gives kids the confidence to conquer life's everyday challenges. Sign up to volunteer at:… https://t.co/4RhLUe78w5,Sat Jun 13 14:04:17 +0000 2020
89,"Por favor, retweet. #COVID19 #FernandoSimon https://t.co/KTXAw3b2jk",Sat Jun 13 14:11:15 +0000 2020
90,"RT @IEA: In light of the extraordinary impact of the #Covid19 pandemic &amp; resulting lockdown measures on the energy system, we're publishing…",Sat Jun 13 13:47:35 +0000 2020
91,Great way to spread Coronavirus!,2020-03-02 23:53:26
92,5 Presumptive Positive Coronavirus Cases Confirmed In Colorado https://trib.al/FOXnOLU ,2020-03-06 23:58:42
93,"Two Denver residents and an El Paso County resident have tested 'presumptive positive' for the new coronavirus, health officials said. https://trib.al/JeKf1aj ",2020-03-06 23:58:00
94,"21 people on Grand Princess cruise ship off California test positive for coronavirus, Pence says

https://www.foxnews.com/politics/pence-coronavirus-white-house-efforts …",2020-03-06 23:57:27
95,men are a disease. coronavirus would never tell me i would look better if i smiled more,2020-03-06 23:56:46
96,Colorado health officials: eight people so far have tested positive for coronavirus in the state.,2020-03-06 23:56:32
97,"#UPDATE We've just learned of another presumptive positive #coronavirus test in Eagle County, a woman in her 50s. This brings the total to 8 in Colorado. At least five of the patients traveled internationally. @CDPHE is coordinating with @CDCgov on flights affected.",2020-03-06 23:56:12
98,"Two Denver residents and an El Paso County resident have tested 'presumptive positive' for the new coronavirus, health officials said. https://trib.al/wWpIVZT ",2020-03-06 23:54:20
99,"#Democrats luck...

They want: Trump and Republicans to contract the #Coronavirus 

Instead: The Virus spreads to Democrat voters who decided to cast their Primary votes for Bernie, which actually were counted for Joe... 

Welcome to the Left...where nothing can go Right. #MAGA",2020-03-04 23:58:36
100,"Si no me mata el coronavirus me mata I don't know what to say about this one but I think it is a good idea to have a good time with you and your family.

JAJAJAAJ QUÉ PUTAS https://twitter.com/_onerolita/status/1234999382090514432 …",2020-03-04 23:56:34
101,"Denver Democrat faces backlash after tweeting ‘solidarity’ for spreading coronavirus at Trump rallies

https://www.foxnews.com/politics/denver-democrat-faces-backlash-after-tweeting-solidarity-for-spreading-coronavirus-at-trump-rallies …",2020-03-03 23:59:46
102,"The Chamber continues to monitor the #coronavirus and in addition to the resources below, we have compiled a list that may be helpful to member businesses:

https://fortcollinschamber.com/resources-for-members-legislative-tracking-coronavirus/ …https://twitter.com/ACCEHQ/status/1234927773145292804 …",2020-03-03 23:56:17
103,"Wow Google canceling I/O 2 months early over coronavirus
https://www.cnn.com/2020/03/03/tech/google-i-o-canceled-coronavirus/index.html …

via @GoogleNews",2020-03-03 23:54:44
104,"Times like these I’m glad I have/had no money to invest in the stock market....

Perks to being a only parent Geriatrician with loans and nothing to  invest.

The #coronavirus #StockMarket  crash has really not impacted me in any way whatsoever",2020-03-03 23:53:38
105,It was nice knowing you. No amount of astrology will save from the coronavirus.,2020-03-05 23:58:02
106,"#coronavirus is the greatest potential threat to humanity 
1. $$ into testing kits now
2. $$ into research now
3. New regiments to protect military & all first responders
4. Close schools
5. New protocols for nursing homes
6. Cancel large gatherings now
7. Protect supply chains",2020-03-05 23:57:36
107,"Preparing for a Pandemic: Review Business Continuity Plans Amid Coronavirus Outbreak. 
Bob Sibik from @RIMSorg reports on supply chain, employee travel and event cancellations:http://ow.ly/iSOg30qnqcE ",2020-03-05 23:55:05
108,Spock's Vulcan salute should replace handshakes in coronavirus era https://cnet.co/2VZuRSb  via @CNET,2020-03-05 23:54:16
109,Colorado has its first presumptive case of coronavirus; patient was visiting Summit County – The Colorado Sun. ⁦@lookner⁩https://coloradosun.com/2020/03/05/colorado-first-coronavirus-case-confirmed/ …,2020-03-05 23:51:58
110,First Positive Coronavirus Case In Colorado Identified Is An Out-Of-State Visitor To Summit County https://www.cpr.org/2020/03/05/colorado-coronavirus-case-is-states-first-positive-health-officials-say/ …,2020-03-05 23:51:35
111,It will be interesting to see how Coronavirus and how people/company/government response changes this prospectively. Less flu/illness? More openness to remote employees? ,2020-03-08 23:55:14
112,"I wonder if @realDonaldTrump realizes that the elderly are a big chunk of his base and his coronavirus response will kill a lot of them? Like he knows that they can't vote once they're dead, right? https://twitter.com/maddow/status/1237064582717472768 …",2020-03-09 23:57:55
