,Tweets,Date
0,"Masks, although helpful, are not the be all and end all. Hand sanitisation, social distancing and contact tracing are paramount in defeating Coronavirus!",2020-05-30 21:51:46+00:00
1,"Here in New Zealand, we were in lockdown for about 6 weeks and 99% of us took the Coronavirus extremely seriously! The result is at yesterday's count we have only 1 active case! Now, we deal with the elephant left, getting the economy back on track! Go well Arizona! ",2020-05-30 21:27:37+00:00
2,"OMG. Please step away and rest. And know someone in a beautiful village, by a lake in 99.9% Coronavirus free New Zealand is deeply grateful for you and wishing you well. Come for a holiday when you can.",2020-05-30 21:14:33+00:00
3,"As the #COVID19 disease spreads, we will find out within a month how accurate the #China numbers are, because the situation will replicate in most countries in the world.",2020-02-28 19:02:19+00:00
4,I would like to see the whole leadership of #Iran kiss the gates to the shrine in #Qom to show how it is cured. #coronavirus #COVID19 ,2020-02-28 18:56:50+00:00
5,"Somebody said it would gone by April. Wait, that was you, wasn't it? So by April Covid19 or Pence will be gone, promise?",2020-02-28 14:53:03+00:00
6,Just human after all! World in a very fragile place at the moment. A closer look at the @UploadVR article shows how much effect a major event like #coronavirus #covid19 has on the full chain from tech innovation to production and how we live and work ,2020-02-28 09:17:38+00:00
7,Interim @WHO #riskcommunication guidance on the new #coronavirus #nCoV: https://apps.who.int/iris/bitstream/handle/10665/330377/WHO-2019-nCoV-RCCE-v2020.1-eng.pdf …,2020-01-11 12:59:30
8,"Trump & even the almighty Fed may not have any options for once ... already the global earnings hit out of #Coronavirus is massive, set to get worse (especially if factories don't go back to work Monday) ... if share values still hold on these stimulunatic levels, then I give up.",2020-02-08 23:45:12
9,"By the by, link is a great tracking site for the Coronavirus. https://twitter.com/MarkHubbard33/status/1223755612888035328 …",2020-02-01 23:51:27
10,"This is the only way to put a lid on #coronavirus #COVID19. Won't do the economy much good, but will save a lot of human suffering.https://www.telegraph.co.uk/news/2020/02/15/exclusive-millions-told-stay-home-coronavirus-continues-spread/ …",2020-02-15 23:51:38
11,Up for discussion on your Monday edition of Afternoons with @SeanPlunket: Should you get a refund if you were at the Auckland @eltonofficial concert last night? Should our universities get a special exemption from the #coronavirus travel ban? Join the conversation - 0800 844 747.,2020-02-16 23:32:15
12,Good example of a courageous woman in everyday life. A decent woman doing a good job and helping out #London… https://t.co/FSmdndbBhV,Sat Jun 13 09:10:38 +0000 2020
13,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…",Sat Jun 13 10:42:18 +0000 2020
14,"RT @ArenaHousing: If New York City were 100 people, 17 would live in overcrowded accommodations.

This great #dataviz by @MonaChalabi expos…",Sat Jun 13 11:28:41 +0000 2020
15,"RT @TheBMA: ""94% of doctors who have died from #COVID19 are from a BAME background....This is a time when we must protect our workforce."" -…",Sat Jun 13 11:36:03 +0000 2020
16,Celebrate the vital work of CDFIs like the Community Loan Fund during CDFI Week in Action. #HEROESAct #CDFIsInvest… https://t.co/xdzgs9dHTx,Sat Jun 13 13:00:26 +0000 2020
17,A handy list to help decide which publishers not to review for.,Sat Jun 13 13:54:14 +0000 2020
18,And we're back. @SeanPlunket on-air until 4pm. Up for discussion today: We want to hear from NZ women - how do you feel about the abortion law reform passing it's second reading? Coronavirus and your travel insurance - would you travel uncovered? Talk to Sean on 0800 844 747,2020-03-03 23:58:19
19,I’m shocked it took this long for #Pride parades to be blamed for #Coronavirus! https://www.timesofisrael.com/israeli-rabbi-blames-coronavirus-outbreak-on-gay-pride-parades/ …,2020-03-08 23:54:53
