,Tweets,Date
0,"Please join us on Friday, May 1 at Noon EDT via the livestream to pray for all workers, especially those responding to the coronavirus crisis, and thank God for their generosity and talents. https://catholiccharitiesny.org/mass",2020-04-29 23:59:45+00:00
1,Egypt forcibly disappears two women amid coronavirus crackdown: Rights group http://www.al-monitor.com/pulse/originals/2020/04/arafa-said-egypt-coronavirus-arrests-brotherhood-dissent.html via @almonitor,2020-04-29 23:40:06+00:00
2,BBC News - Coronavirus: Switzerland says young children can hug grandparents ,2020-04-29 22:58:09+00:00
3,#Egypt's Medical Syndicate : 91 doctors got infected by #Coronavirus Egypt's Medica syndicate said in media statements on Tuesday that 91 doctors till date were... via 24liveblog ,2020-04-29 22:42:42+00:00
4,Amazing how quickly we conquered the coronavirus pandemic eh?,2020-05-30 22:34:33+00:00
5,I hope that post-coronavirus they also try to find a cure for mental health deterioration caused by the pandemic because I swear sometimes it feels deadly too.,2020-05-30 22:33:58+00:00
6,"If corona virus can’t take you, can I ? — ايه ده ",2020-05-30 22:17:26+00:00
7,"An Imam clad in mask due to the COVID-19 coronavirus pandemic stands alone before the prayers of Eid al-Fitr, the Muslim holiday which starts at the conclusion of the holy fasting month of Ramadan, inside a mosque in… https://www.instagram.com/p/CA1AHdbhpSd/?igshid=k2rhnm5o7lxo",2020-05-30 22:06:17+00:00
8,"All over the World the CoronaVirus a very bad ""Trump"" from United States Pig farms ya ""Orange man"" ",2020-05-30 22:00:50+00:00
9,"For Seniors, COVID-19 Sets Off A Pandemic Of Despair: http://ow.ly/FW3v50zSZko #seniorhousing #seniorliving #coronavirus",2020-05-30 22:00:31+00:00
10,This song hits different with the Corona virus going around.,2020-05-30 21:32:33+00:00
11,#Coronavirus' status in #Sudan The ministry of health in Sudan issued a statement on Saturday with the latest numbers of Coronavirus patients in the count... via 24liveblog ,2020-05-30 21:18:09+00:00
12,"Turkey’s Coronavirus Cases Surpass 162,000 ... Read More https://bit.ly/2AlwH6U #SEENews",2020-05-30 19:39:28+00:00
13,2nd NoVA Coronavirus Patient Awaits Test Results http://dlvr.it/RP4vns,2020-01-30 23:53:33+00:00
14,The only solution to stop the Wuhan Coronavirus spreading is to push China to declare its remorse to Allah for the acts of violence and genocide that are committed against the Uighurs and Rohingya Muslims. China also must ask Muslims for forgiveness and recompense them.,2020-01-30 23:20:36+00:00
15,"I've this thoughts that I'll be the first Egyptian catching Corona virus, IDK why but it's terrifying.",2020-01-30 22:21:44+00:00
16,just realized that every one suffering coronavirus is technically a Kira among us,2020-01-30 21:45:05+00:00
17,"And hey, news networks and @chrislhayes! Stop using fake doctors and ignoramuses to talk about public health issues like #COVID19. Book the #publichealth experts, instead.",2020-02-28 21:01:49+00:00
18,Google restricts travel as coronavirus outbreak spreads and employee in Switzerland tests positive. via @CNBC &lt;&lt;&lt; https://cnb.cx/388FUe3 #Coronavid19 #COVID19 #google #COVID19US #TrumpLiesAboutCoronavirus #Corona #coronavirususa,2020-02-28 20:49:29+00:00
19,.@cvpayne I watch your show every day and I think you are a brilliant economic analyst but please just as I stay out STOCK FORCASTING don't interview people like the man on there comparing #COVID19 to #EBOLA. I worked in this field and I know immunology there is NO COMPARISON.,2020-02-28 19:54:02+00:00
20,What the hell is this coronavirus????,2020-01-23 23:59:25
21,Sorry yall if it’s any help coronavirus is a virus that affects your respiratory system like the common cold so if you don’t have lungs you’ll be good pic.twitter.com/eRZRygDvPW,2020-01-25 23:28:13
22,The @CDCgov confirmed the first case of 2019 Novel Coronavirus (2019-nCoV) in the United States in the state of Washington. More information on the outbreak: http://bit.ly/2RB9Xox ,2020-01-21 22:52:38
23,"China building 1,000-bed hospital in 6 days in bid to stop Coronavirus outbreak https://www.dailystar.co.uk/news/world-news/china-building-1000-bed-hospital-21349892 …",2020-01-24 23:34:34
24,Killer coronavirus could be spread through the EYES https://trib.al/7CNDTYx ,2020-01-24 23:20:32
25,"Coronavirus Could Fuel China Skepticism, Says Hubbard http://dlvr.it/RPcGVj ",2020-02-07 23:34:33
26,"Death toll for new coronavirus hits 805, exceeding that of SARS @CNBChttps://www.cnbc.com/2020/02/09/coronavirus-china-death-toll-for-new-virus-exceeds-that-of-sars.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter …",2020-02-08 23:54:36
27,Fashion brands brace for challenges amid coronavirus outbreak https://jko.io/37Yflca  -via @NRFFoundation,2020-02-05 23:43:32
28,"Egypt has sent a special jet with 10 tons of preventive medical items and equipment to China and will bring 306 Egyptian nationals back home from the Chinese city of Wuhan, where the coronavirus epidemic began.",2020-02-03 23:59:14
