,Tweets,Date
0,"I wish it were. It should be. But #NovemberIsComing and Pelosi knows that we’ll clean out the WH then. Right now, she’s focused on coronavirus and helping Americans. You should try it.",2020-04-29 23:54:49+00:00
1,"During any other presidential election year, late April headlines would be dominated by campaign news. This year, coronavirus is changing the race. @JoshRobin explains how #COVID19 is forcing fundraising &amp; maybe even parts of the conventions to go virtual. http://specne.ws/B1MTEF",2020-04-29 23:00:00+00:00
2,"Gov. Gretchen Whitmer is taking steps to make child care more affordable and accessible for families during the coronavirus crisis. Today she announced the Child Care Relief Fund, which will provide direct, non-competitive grants to child care providers. ",2020-04-29 22:35:00+00:00
3,Exclusive: Venezuela asks Bank of England to sell its gold to U.N. for coronavirus relief - sources ,2020-04-29 23:46:38+00:00
4,"JFC, can someone make these people SHUT UP? Kushner calls U.S. coronavirus response a ""success story"" as cases hit 1 million.",2020-04-29 22:17:24+00:00
5,Dear Protestors: I support you. I believe in the cause. But there’s just one thing.....coronavirus!,2020-05-30 23:12:19+00:00
6,Having failed miserably to manage the #coronavirus in the US now #trump fails to lead during the #goergefloyd demonstrations. Instead calling for his own supporters to hit the streets. #insiders #ICantBreathe,2020-05-30 23:04:24+00:00
7,"Kogi coronavirus case authentic, I know a patient from Kabba – Dino ",2020-05-30 22:26:22+00:00
8,"So on top of running the 'new coronavirus task force' this man also is chairman of the new Space Council Commission! He put together a team2make today happen. DidUknow that? A humble man, Pence, works diligently2further America's exploration in space+safety on earth. Wow! ",2020-05-30 21:45:22+00:00
9,"Important op-ed from @SteveBradford: In recovering from the coronavirus, California must achieve a more equitable economy ",2020-05-30 19:57:04+00:00
10,"See this is what we need to see. We got the coronavirus to scare us, trump impeachment, Iran... We humans focus on the BAD. Spread the positive bro. Positivity heals ",2020-01-30 23:47:57+00:00
11,'Leper colony' or a positive contribution: Coronavirus quarantine splits Christmas Island https://www.abc.net.au/news/2020-01-29/christmas-island-locals-on-quarantine-for-coronavirus/11910326 via @ABCNews,2020-01-30 22:44:41+00:00
12,'I work in the shadows': The doctor who sleeps four hours a night to diagnose coronavirus patients https://www.abc.net.au/news/2020-01-31/coronavirus-doctor-warns-more-severe-cases-are-likely/11913934 via @ABCNews,2020-01-30 22:43:47+00:00
13,"Two coronavirus patients discharged from NSW hospital, no longer infectious https://www.abc.net.au/news/2020-01-31/nsw-coronavirus-patients-released-from-hospital-infection-free/11915834 via @ABCNews",2020-01-30 22:42:10+00:00
14,"They’ll find a vaccine/treatment for #Coronavirus, the fact that Aussie scientists were able to recreate #nCoV is promise of that. But when this crisis is over, dealt with like Ebola, SARS, measles, etc one thing remains and that’s the way we treat each other. #BeKIND #Understand",2020-01-30 22:33:57+00:00
15,"I'm on my 2nd bog roll & my nose is raw. Got ringing in my ears and a head like cotton wool. The constant coughing made my voice sound like Elton John's. If it is COVID19, think I'll just stay in. No way are they whisking me away to an isolation pod and feeding me hospital food.",2020-02-28 23:22:38+00:00
16,"Coronavirus: Experts: We need testing kits and unvetted, truthful information. Trump: Hoax of the day. Anyone want some tax cuts?! Trump supporters: No fucking way I'm drinking corona beer. When was America ever this great? #COVID19",2020-02-28 21:49:49+00:00
17,"So far, other countries should follow USA lead from January 2020. While papers criticized the brilliant anti-infection risk move by President Trump, it appears the early initial travel ban related to Virus 19 helped the USA. #Coronavirus #Covid19 Covid-19",2020-02-28 20:02:39+00:00
18,"Awesome STUDY from @NewsBusters colleague Bill D'Agostino --&gt; On Thursday, more than 60% of @CNN's #coronavirus #covid19 related questions for guests were about Donald Trump. ",2020-02-28 19:52:46+00:00
19,A good no BS non hyped assement of COVID19 from a medical professional. Wash your hands and don’t touch your face. ,2020-02-28 18:57:02+00:00
20,"Northern California Veteran patients and visitors, for the latest on #VANorCal precautions and other information surrounding the #Covid19 #coronavirus disease, please visit https://www.northerncalifornia.va.gov/newsroom/covid_19.asp.",2020-02-28 18:34:04+00:00
21,"Uppsala #coronavirus patient is in home isolation and is 'relatively well', according to hospital. #covid19 - Expressen",2020-02-28 17:28:14+00:00
22,Third confirmed #coronavirus case in Finland: Woman of working age has tested positive for #COVID19 in Helsinki region after trip to northern Italy. ,2020-02-28 17:19:22+00:00
23,Does this sound safe? One of the last direct Delta flights arrived in Minneapolis from South Korea Thursday night. Most people at MSP Airport were not wearing masks. #coronavirus #COVID19 #Minneapolis #msp,2020-02-28 15:00:38+00:00
24,If everybody intending on going to Cheltenham went into prophylactic self isolation until 10th March it would be safe right? There's an idea. #COVID19,2020-02-28 13:25:59+00:00
25,First Coronavirus 2019 patient found in Thailand https://www.nationthailand.com/news/30380478  via @nationnews,2020-01-14 00:43:31
26,Fiji Airways says it is taking steps to ensure its crew members operate in a safe environment by updating them with the required information in regards to the deadly #coronavirus. #TimesNews #FijiNews #FijiHealthMinistryhttps://www.fijitimes.com/airline-crew-on-high-alert/ …,2020-01-23 23:51:41
27,"The Ministry of Health has provided recommendations for its healthcare workers in the wake of the recent Coronavirus outbreak.
https://www.fbcnews.com.fj/news/health/health-ministry-monitoring-situation-on-coronavirus/ …
#FBCNews #FBCNews #Fijipic.twitter.com/aQ34VCWjFF",2020-01-22 23:58:17
28,Stay safe China family  #coronavirus pic.twitter.com/zH5rgCwYTn,2020-01-22 22:41:38
29,"Don't take this the wrong way, but what if the #Coronavirus actually does humanity a good thing by taking out #Democrats, #Liberals, #IllegalAliens, and #UNSupporters............ wouldn't that be a ""good"" thing............ just a possibility............",2020-01-27 23:50:22
30,"HE SHOULD HAVE DONE IT ALREADY. WAITING COULD CAUSE GREAT HARM. @POTUS @realDonaldTrump

Will Trump consider suspending travel to China amid the coronavirus outbreak? https://www.conservativereview.com/news/will-trump-consider-suspending-travel-china-amid-coronavirus-outbreak/ … via @RMConservative",2020-01-27 23:41:02
31,"We need to make sure it isn't like the Spanish flu. Close the borders! @POTUS

The coronavirus – 1918 all over again? https://www.wnd.com/2020/01/coronavirus-1918/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons …",2020-01-27 23:31:21
32,"Starbucks has closed half of its outlets in #China to protect its staff and support government efforts to contain the #coronavirus.
#FBCNews #FijiNews #Fiji  
More: https://www.fbcnews.com.fj/business/coronavirus-starbucks-closes-2000-chinese-branches/ …pic.twitter.com/Vj6XB6hBp3",2020-01-29 23:35:22
33,@FijiAirways I hope you're ensuring to take ALL precautions and are doing research about this #coronavirus to protect your staff.,2020-01-26 23:52:29
34,"Do try to avoid freaking yourself out... Think of this #coronavirus thing as movie- they just referenced a video game tie-in, didn't they?  You don't have to leave the world to see, just shift your perspective enough to see the scaffolding behind the set pieces.",2020-01-26 23:21:34
35,"Coronavirus      53%
Donald Trump  47%",2020-02-07 23:56:52
36,"https://www.mdpi.com/1422-0067/21/3/980 … ""...we discovered prominent interactions between microRNAs, DNA methylation, and histone modification regarding potential influences on VC risk.""
Only theorists haven't realized that the molecular mechanisms of #Wuhan #coronavirus pathology are the same.",2020-02-08 23:59:50
37,Where’s Xi? China’s Leader Commands Coronavirus Fight From Safe Heights https://nyti.ms/2ScF0Zo ,2020-02-08 23:50:06
38,Hon. Ratu Epeli Nailatikau: Petition to Protect the People of Navua/Serua/Namosi from the Coronavirus - Sign the Petition! http://chng.it/WBzzJfG7  via @Change,2020-02-15 23:56:49
39,"EXACTLY !

...it's actually just like Bloomberg himself (choosing) to drink a glass of the Coronavirus...does he NOT SEE what the rest of the world knows...?",2020-02-15 23:45:43
40,Hon. Ratu Epeli Nailatikau: Petition to Protect the People of Navua/Serua/Namosi from the Coronavirus - Sign the Petition! http://chng.it/KZwJnjRr  via @Change,2020-02-16 23:48:54
41,"By doing this, we can figure out if there is coronavirus out there that no one knows about. That's really important.",2020-02-18 23:30:35
42,"Once coronavirus gets into African countries, will clearly spread quickly...economic slowdown coming",2020-02-21 23:40:25
43,How long before he recommends prayer as the only surefire cure for the coronavirus? https://twitter.com/AP/status/1232816915699163141 …,2020-02-26 23:59:45
44,"Trump keeps saying only 15 people in the country have the coronavirus, but it's actually more like 60.

And the vaccine won't be available for over a year, no matter what he says.",2020-02-26 23:56:46
45,"RT @fs0c131y: I thought #AarogyaSetu was the remedy against #COVID19. What a surprise *fake shocked face*

Seriously India: test, trace and…",Sat Jun 13 09:57:17 +0000 2020
46,Is this right? #coronavirus #covid19,Sat Jun 13 10:08:49 +0000 2020
47,"RT @FBC_News: Canada’s Prime Minister Justin Trudeau has today announced a new program of support to the Pacific Islands.
#FBCNews #FijiNew…",Sat Jun 13 10:12:26 +0000 2020
48,"RT @renaudmeyer: Following up on #WorldOceansDay, read this very comprehensive analysis of the impact of #COVID19 on &amp; prospects for the #B…",Sat Jun 13 10:18:49 +0000 2020
49,Thread - worth a read to find out what the government knew and how they acted. #Covid19UK,Sat Jun 13 10:30:25 +0000 2020
50,RT @ANI: Former Pakistan cricketer Shahid Afridi tests positive for #COVID19. (file pic) https://t.co/v9mjuETtGA,Sat Jun 13 09:53:02 +0000 2020
51,God bless you .will be fine again inshala,Sat Jun 13 11:04:46 +0000 2020
52,"RT @Tejasvi_Surya: The only CM in India today who can start his weekend with a breakfast at MTR - city’s most famous joint. 

Sri @BSYBJP’s…",Sat Jun 13 09:52:36 +0000 2020
53,"RT @savechildrenuk: What’s it like for children facing #COVID19 on the front line of #Yemen’s war?

The pandemic is putting yet more lives…",Sat Jun 13 13:32:42 +0000 2020
54,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
55,"@TheCollectiveQ The truth comes out in the end.  Our president was right, as usual.  #HCQworks #Hydroxychloroquine… https://t.co/4PDdx2N5CJ",Sat Jun 13 14:31:35 +0000 2020
56,"Good thing Pence's prayers have kept the Coronavirus off our shores.... otherwise, this kind of place would be a very good vehicle to spread the disease pretty fast.",2020-03-02 23:57:45
57,Why not just give them a can of Lysol?  After all Lysol cans for years mention right on it that it fights the Coronavirus.,2020-03-01 23:54:33
58,"Dear whoever, Please watch this video from @RealDoctorMike if you have questions about coronavirus. Love, Me. https://www.youtube.com/watch?v=Xl2nA_xuHjY …",2020-03-01 23:52:45
59,"THANK YOU JESUS!!!

Because we're still a Coronavirus free country!!!

",2020-03-05 23:55:13
60,"The only option is lock down until it clears. 

Realistically the whole world needs to come together for two weeks and work together on a common goal. 

A worldwide quarantine is the only way to beat this.

#coronavirus https://twitter.com/DrDenaGrayson/status/1236773036499623938 …",2020-03-08 23:51:51
61,"Naturally, I hope he's right, but I'm not as sure as he seems to be.

ER doctor: Americans must live their lives, 98 to 99% of people who get coronavirus will 'do just fine' https://www.foxnews.com/media/james-phillips-americans-must-live-their-lives-99-of-people-who-get-cv-will-be-fine … #FoxNews",2020-03-08 23:51:24
62,The coronavirus definitely fucks and spreads itself like wildfire.,2020-03-11 23:58:41
63,"Dems press ahead on coronavirus package as Senate waits for Trump

The speaker and president have different plans to boost the economy.

Fortunately, at least one side is doing their job and trying to help Americans who aren't already rich.

https://www.politico.com/news/2020/03/10/congress-coronavirus-trump-response-124981 …",2020-03-10 23:58:38
64,"The most Cincinnati Sports thing of all time would be UC winning the American Tourney to secure there bid in the NCAA tournament, and then the next day the NCAA tournament gets cancelled due to the corona virus https://twitter.com/LobotC2DFW/status/1237519970961145861 …",2020-03-10 23:58:02
65,Coronavirus: Health minister Nadine Dorries tests positive for COVID-19 https://uk.news.yahoo.com/nadine-dorries-health-minister-tests-positive-coronavirus-223500103.html?soc_src=community&soc_trk=tw … via @Yahoo. Uh oh,2020-03-10 23:55:48
66,"#Nevada: #Wynn Temporarily Closing 2 Properties on #LasVegas Strip For At Least 2 Weeks
#WynnLasVegas and #Encore
Effective Tue Mar17 at 6PM
Reevaluate after 2 weeks
Will pay full-time employees during closure
Effort to reduce spread of #Coronavirus/#COVID19
#COVID19US #COVIDー19https://twitter.com/KRNV/status/1239332637258334208 …",2020-03-15 23:59:22
67,Hah!  kind of like the spring breaker young adults in Florida. #freedom. Keep us informed how your local Coronavirus police handle this challenge.,2020-03-19 23:59:10
68,"Thank you, @SenTinaSmith for taking the lead on ensuring coronavirus tests are free for people across America by ensuring COVID-19 testing is covered at no cost. Nobody should hesitate to get tested for fear of the price.",2020-03-19 23:57:14
69,"Britain asking 65,000 retired nurses and doctors to return to work to help fight coronavirus https://fxn.ws/2WHabPd  #FoxNews",2020-03-20 23:58:01
70,"“Pence staffer tests positive for coronavirus, becoming first-known case of a White House employee”",2020-03-20 23:56:45
71,Senate approves House coronavirus aid bill for Trump's signature https://www.nbcnews.com/politics/congress/senate-plans-vote-house-coronavirus-bill-wednesday-n1162851 … via @nbcnews,2020-03-18 23:58:36
72,"Kim Jong Un orders workers to build new hospital as North Korea continues to claim no coronavirus cases

https://www.foxnews.com/world/kim-jong-un-north-korea-hospital-coronavirus …
North Korea has pandemic of Lead poisoning that’s why ",2020-03-18 23:57:00
73,"Thread by @GeoffRBennett: THREAD -- A timeline of Trump's coronavirus statements: Jan. 22: ""It's going to be just fine. We have it totally under control."" Jan. 24: ""I… https://threadreaderapp.com/thread/1240029227619098625.html …",2020-03-17 23:59:01
74,Check out @CDPHE's new website on #coronavirus to get the latest information and public health recommendations: http://covid19.colorado.gov https://twitter.com/GovofCO/status/1240055704750194688 …,2020-03-17 23:59:00
