,Tweets,Date
0,America Together: Uplifting images of Americans pulling together during coronavirus pandemic ,2020-04-29 23:55:16+00:00
1,Trump should have asked the reporter how many effective coronavirus vaccines are currently available.,2020-04-29 23:54:31+00:00
2,Coronavirus Protests: Are people giving up their freedoms to feel safe? ,2020-04-29 23:40:12+00:00
3,"Ticketmaster Issuing Refunds on Select Postponed, Rescheduled Shows Due to Coronavirus ",2020-04-29 22:30:05+00:00
4,Donald Trump Gave America Staggeringly Good News About This Coronavirus Cure https://blackeyepolitics.com/donald-trump-america-good-news-coronavirus-cure/ via @anteksiler,2020-05-30 20:29:33+00:00
5,Spain to top up incomes of poorest as coronavirus hits livelihoods ,2020-05-30 19:51:02+00:00
6,"Currently, there are no cases of the Novel Coronavirus in Georgia. For the latest information, guidance, and precautions from our @FultonHealth regarding #COVID19, visit http://fultoncountyboh.org/boh/index.php/epidemiology-info/2019-ncov",2020-02-28 17:42:26+00:00
7,"So you confirmed that Georgia has enough Covid19 testing kits and our state's urban and rural hospitals and clinics are equipped to properly handle a possible outbreak? If so, that's great news.",2020-02-28 17:21:54+00:00
8,So did the #CDC confirm Georgia is equipped with a sufficient number of Covid19 test kits to support our population? Are our rural and urban hospitals and clinics prepared for a potential outbreak?,2020-02-28 15:02:50+00:00
9,"The new coronavirus doesn’t appear to be readily spread by humans, but researchers caution that more study is needed - @nytimes -https://nyti.ms/2RhSbq4 ",2020-01-17 13:00:33
10,"Oh come on, Dan you can draw a better analogy than ""rush hour on the 405.""

""Like trailers when the port's on strike.""
""Like cats on an island of mice""
""Like Chinese coronavirus victims""
""Like a toll booth when someone ran out of quarters.""

""Like water after a hurricane.""",2020-02-09 23:49:54
11,"Coronavirus: Georgia reports 8 new cases and 4 recoveries
#COVID2019 #COVID19 #coronavirus #Georgia #StopCoV… https://t.co/dpAsgu2iuK",Sat Jun 13 08:55:59 +0000 2020
12,"""We should not think that we have won and the battle is over. This is not that simple – the less attentive we becom… https://t.co/BmKeZrdkcz",Sat Jun 13 10:48:04 +0000 2020
13,"RT @TheDemocrats: While Trump inherited a strong economy from Obama, he squandered it with a failed #COVID19 response and economic policies…",Sat Jun 13 12:09:39 +0000 2020
14,"RT @CBS_Herridge: #COVID19 The National Geo-Spatial Intelligence Agency, or NGA, is the US government’s “eyes in the sky” tracking terroris…",Sat Jun 13 10:45:56 +0000 2020
15,"#FascistGOP
#SpinelessRepublicans
#VoteBlue
#HandMarkedPaperBallots

Medical screener at LAX airport tests positive for coronavirus https://www.nbcnews.com/health/health-news/medical-screener-lax-airport-tests-positive-coronavirus-n1149986 …",2020-03-04 23:50:39
16,This looks a little like genetic code. I've been reading too much coronavirus news.,2020-03-05 23:58:26
17,"Trump floats payroll tax cut, other financial relief amid coronavirus outbreak https://www.cnbc.com/2020/03/09/trump-says-hes-working-on-a-payroll-tax-cut-to-help-us-workers-amid-coronavirus-outbreak.html …",2020-03-09 23:56:27
18,VP Pence’s Recent Actions On Coronavirus Testing Proves He’s The Right Man To Handle This Pandemic https://twitter.com/coop22089074/status/1238614796003692544 …,2020-03-13 23:56:50
19,"PARENTS: If your child has to switch to online learning because of coronavirus, Spectrum has committed to providing you with FREE internet for 60 days.
 https://wgxa.tv/news/nation-world/spectrum-to-offer-free-internet-access-for-students-due-to-coronavirus …",2020-03-13 23:56:40
20,"How to Protect Yourself Against COVID-19. 
List of cleaning products that combat coronavirus.
Learn more: http://ow.ly/4us450yKwCK 
#COVID19 #coronavirus #travelpic.twitter.com/Pq3n11JXsk",2020-03-12 23:59:33
21,Let's pray for Coronavirus Victims..take precautions # May God bless all of us.. pic.twitter.com/tBVSbTPruP,2020-03-12 23:59:08
22,Experts Awkwardly Correct Trump On Coronavirus https://youtu.be/Ylo4SXvBsqk  via @YouTube,2020-03-21 23:59:22
23,Foods to eat that will boost your immune system during the coronavirus https://www.wptv.com/news/region-n-palm-beach-county/north-palm-beach/foods-to-eat-that-will-boost-your-immune-system-during-the-coronavirus …,2020-03-20 23:56:43
24,@NahkoBear thank you for that awesome beautiful #music on the @BernieSanders hosts virtual #coronavirus roundtable,2020-03-20 23:56:40
25,"Due to the worldwide spread of #coronavirus , the 2020 ACCG Annual Conference has been canceled in order to prioritize the safety & well-being of our members & all who contribute to the success of our conference. See here --> https://bit.ly/3bb6rcK  for more info. #gacountypic.twitter.com/aNsjsjyUUs",2020-03-18 23:59:03
26,"Since Trump likes to put his name on everything, let's rename Coronavirus, TrumpVirus. Nice ring to it, don't you think? #TrumpVirus",2020-03-18 23:57:32
