,Tweets,Date
0,I don’t understand why people are still getting the coronavirus??? Like just drink Dos Equis instead tf,2020-01-28 23:41:12
1,"RT @RathalosSays: Stay healthy, Hunters. #MonsterHunter #COVID19 https://t.co/UiSVgEuX03",Sat Jun 13 11:41:39 +0000 2020
2,RT @MayoClinic: How much protection do face #masks offer? Can face masks help prevent the spread of #COVID19? For the answers: https://t.co…,Sat Jun 13 12:00:12 +0000 2020
3,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",Sat Jun 13 09:52:29 +0000 2020
4,"RT @Nick_Castillo74: In case you’re wondering what the curve in Hays County looks like, @coltonash made this graphic: https://t.co/6535YhXA…",Sat Jun 13 13:41:18 +0000 2020
5,RT @XHNews: Beijing's major wholesale market has been suspended after personnel working there tested positive for #COVID19 https://t.co/056…,Sat Jun 13 11:00:36 +0000 2020
6,"RT @WHOAFRO: Over 222,000 confirmed #COVID19 cases on the African continent - with more than 101,000 recoveries &amp; 6,000 deaths. View countr…",Sat Jun 13 10:07:56 +0000 2020
7,RT @rubenbecerrasr: #COVID19 Update: 99 new confirmed positives today @hayscountygov. 69 of them in the 20-29 year old range and 80 of the…,Sat Jun 13 14:04:36 +0000 2020
8,I’d like my coronavirus dressed with a lime and beer salt please,2020-03-12 23:58:38
9,"The more I think about not touching my face, the more I feel like MUST TOUCH FACE!
#coronavirus",2020-03-17 23:59:35
