,Tweets,Date
0,"It's sad seeing so many people be performatively cavalier about Covid19 when there are significant populations that are rightfully concerned. So, before you make cracks about how it's 'silly' or 'media hype', remember everyone has a different health story &amp; practice empathy ",2020-02-28 19:03:04+00:00
1,"#Reza can't defeat #CoronaVirus/#COVID19 in his own shrine!Ayatollahs have always told Iranians that Shiite Imams including Reza can cure every illness they have but watch this video which shows how they try to sanitize Shrine of Reza in #Mashhad,NE #Iran. pic.twitter.com/8fMumNrA38",2020-02-28 17:30:36+00:00
2,"This looks quite worrying 
In just two days there have been 136 newly confirmed cases of the novel #coronavirus (#nCoV2019) in #Wuhan (China) 
Confirmed cases also reported in #Japan, #Thailand and #Shenzhen (near Hong Kong)
Info from @WHO here: https://www.who.int/health-topics/coronavirus …
#nCoVhttps://twitter.com/hayesluk/status/1218971013322379264 …",2020-01-19 19:37:34
3,U.S. reports 15th coronavirus case; White House bashes China's response http://dlvr.it/RQ0Frt ,2020-02-13 23:31:32
4,'Now We Are Refugees': A Family in Limbo Amid the Coronavirus Outbreak http://dlvr.it/RQDb8p ,2020-02-17 23:39:32
5,99% agree: 1% think he is a perfect candidate to be infected with Corona Virus and have experimental treatments tested. #ThatdBeOKhttps://twitter.com/funder/status/1232405016469786625 …,2020-02-25 23:54:32
6,"Iran shuts schools, cultural centres as coronavirus kills five http://dlvr.it/RQYs9P ",2020-02-22 23:33:31
7,"The game failed to live up to the hype that surrounded it, despite a very frantic start.🤔

https://t.co/6iY2JtSVXl… https://t.co/1LlOMPFnSl",Sat Jun 13 08:39:49 +0000 2020
8,"@BorisJohnson, @realDonaldTrump and @jairbolsonaro  alt-right scum, mismanagement of #COVID19 and likely will still… https://t.co/fPYSNxDKIZ",Sat Jun 13 11:14:49 +0000 2020
9,RT @CDCDirector: Today @CDCgov released online resources aimed at helping people make decisions about how to resume some activities while c…,Sat Jun 13 11:16:11 +0000 2020
10,"RT @francediplo_EN: #COVID19 
Travel restrictions to France from European countries will be lifted from 15 June, except:
By ✈️from 🇪🇸: rest…",Sat Jun 13 09:53:42 +0000 2020
11,"RT @FYEG: Thanks to a strong young green lobby at the #EGP31 Council, 🌻 Greens across Europe just agreed that there will be no bailout for…",Sat Jun 13 12:18:34 +0000 2020
12,Ecuador looks to be leveling on Covid-19.  See El Oro Province (Lumina Gold) and Zamora Chinchipe (Luminex),Sat Jun 13 13:22:50 +0000 2020
13,"Fancy a weekend read? 

We have got some good feedback on our 'Handling Leadership Throughout COVID-19' so we wante… https://t.co/YJfmUT1Sag",Sat Jun 13 13:33:47 +0000 2020
14,"RT @indianz: BAD: Based on preliminary reports, tribes have yet to see 2nd payment from $8 billion #CoronavirusReliefFund. Several tribes t…",Sat Jun 13 13:02:00 +0000 2020
15,"Seattle-area officials report new coronavirus deaths, bringing US total to 6 https://www.cnbc.com/2020/03/02/seattle-area-officials-report-3-new-coronavirus-deaths-bringing-us-total-to-5.html …",2020-03-02 23:56:02
16,"""Contacting the coronavirus?"" I reckon he meant contracting. He should stick to using $1 words like ""getting!"" https://twitter.com/WhiteHouse/status/1236077359071145985 …",2020-03-06 23:59:53
17,Can someone please retweet Trump claiming the coronavirus on Obama...I need the clip or a credible news source quote as my SO says it is fake news,2020-03-05 23:52:08
18,"Mine got cancelled because of coronavirus, also big sad",2020-03-08 23:57:45
19,It’s being called “the rona” now?  Covid- 19  or Coronavirus is not hip enough?!?  So just how do you plan to contract it?  Visit some poor sick old man in a hospital and give him a kiss?  Travel to Wuhan?,2020-03-09 23:59:32
20,"BREAKING: Malta Stops Passenger Flights To Italy And Catamaran To Sicily

#malta #sicily #coronavirusitalIa #coronavirus
https://lovinmalta.com/news/news-breaking/breaking-malta-stops-passenger-flights-to-italy-and-catamaran-to-sicily/ …",2020-03-09 23:59:25
21,me hiding from the corona virus,2020-03-10 23:56:03
22,"XRP (XRP) Price Falls to Pre-2017 Bull Market Levels Amid Coronavirus Sell-Off

https://cryptocontrol.io/r/api/article/5e6ac32066c53d0019d8b0c7?ref=5e46661e6e07c800129ba734 …",2020-03-12 23:59:19
23,"ECB announces €750 billion Pandemic Emergency Purchase Programme (PEPP)

#COVID19 #coronavirus #EURUSDhttps://www.ecb.europa.eu/press/pr/date/2020/html/ecb.pr200318_1~3949d6f266.en.html …",2020-03-18 23:56:42
24,I was just thinking this. The corona virus is having a major effect on the economy rn. There’s also food and supply shortages. I think there’s something we’re not being told about this and something big is gonna happen within the next couple weeks. https://twitter.com/TJMattf/status/1239729510750269441 …,2020-03-17 23:59:31
25,"Scenes from Browning, Mont. today where school cooks, bus drivers and volunteers work to keep kids fed during the #coronavirus school shutdown. 

@hollykmichels will have the story.

#mtnews #COVID19pic.twitter.com/b1RK0IGgQN",2020-03-17 23:57:50
