,Tweets,Date
0,Covid 19 coronavirus: Mike Hosking - Labour playing us like a fiddle - NZ Herald ,2020-04-29 23:59:36+00:00
1,Coronavirus: SPCA not expecting influx of returned pets like US shelters http://dlvr.it/RVjrLY,2020-04-29 23:52:32+00:00
2,"The headline should be Mike Hosking is playing with us like a fiddle. Another 'opinion' piece whose tenets are unverified assumptions. Covid 19 coronavirus: Mike Hosking - Labour playing us like a fiddle, via @nzherald",2020-04-29 23:47:05+00:00
3,"Random Dumber Generator: Good News For Apple, As Coronavirus Has Little Impact On Sales In China https://randomdumber.blogspot.com/2020/04/good-news-for-apple-as-coronavirus-has.html?spref=tw",2020-04-29 23:27:00+00:00
4,New Coronavirus Test Offers Advantages: Just Spit and Wait ,2020-04-29 23:00:30+00:00
5,Finally good news Coronavirus: New antibody test 'with 99 percent accuracy' approved for use across Europe ,2020-04-29 22:52:13+00:00
6,"randomdumber: Good News For Apple, As Coronavirus Has Little Impact On Sales In China https://ift.tt/2VSiXcl",2020-04-29 22:48:34+00:00
7,Coronavirus: Non-contact sports poised to resume in the Cook Islands ,2020-04-29 22:22:42+00:00
8,"Bill De Blasio Fine With George Floyd Protests Even As Businesses, Other Gatherings Must Adhere To Coronavirus Rules Or Face Fines ",2020-05-30 22:10:24+00:00
9,Gotta love living in New Zealand right now. As if 30May - Zero new #coronavirus cases for 8days straight. Zero people in hospital care. Virus more or less eliminated. Amazing.,2020-05-30 21:36:07+00:00
10,So far that has worked for New Zealand. Coronavirus essentially eliminated.,2020-05-30 20:49:17+00:00
11,"and big government. Bill Gates, False Flags, & The Coronavirus:- The plan is to drive us to one world government, and the Illuminati have been working on it a long time. Myron Fagan on the Illuminati, the United Nations, &amp; World History: Through its control of the media, CIA-",2020-05-30 20:37:02+00:00
12,Fantastic place for a visit if you haven’t been. Coronavirus: Bilbo's back as Hobbiton reopens the doors to the Shire ,2020-05-30 20:16:11+00:00
13,Inspiring. Now why can't US get on top of coronavirus? One word answer. ,2020-05-30 19:58:11+00:00
14,Belgian prince tests positive for coronavirus ,2020-05-30 19:40:05+00:00
15,Bat Flash - Wuhan Coronavirus Leads to More Premature Scapegoating of Bats: https://mailchi.mp/6b1d12fa7dd1/bat-flash-wuhan-coronavirus-leads-to-more-premature-scapegoating-of-bats #bats #coronoravirus,2020-01-30 23:51:20+00:00
16,"And this advice, also from an antivax page suggesting how to avoid the new coronavirus sounds like great fun. ",2020-01-30 23:45:21+00:00
17,"Good conversation on my show @MagicTalkRadio last night asking why Air New Zealand isn’t reducing/halting flights to/from China due to the coronavirus, when many of the big airlines around the world have done just that..hello, media release this morning in my inbox; is it enough? ",2020-01-30 23:34:36+00:00
18,There is a lot about the #coronavirus in the media which is why our HS+E Rep wanted to share this link with you that gives standard recommendations for the general public to reduce exposure to &amp; Transmission of it. #foodforthought #healthandsafety http://bit.ly/2ta3ngw,2020-01-30 23:30:00+00:00
19,Could this coronavirus be Disease X? Everything you need to know about t... https://youtu.be/XDVP4vbeikk via @YouTube my thoughts and prayers are with the people of china right now,2020-01-30 22:58:34+00:00
20,Will A Mask Really Protect You From Coronavirus? - Cheddar Explains https://youtu.be/5M7saVTtBQI via @YouTube https://wild.link/walmart/AOuNFw #wildlink,2020-01-30 22:53:13+00:00
21,"While there are no confirmed cases of Coronavirus in NZ yet, it's a good reminder for us all to be extra vigilant when it comes to hygiene at home, and in the workplace. We've put together a guide which covers 8 ways to create better workplace hygiene. ",2020-01-30 22:06:59+00:00
22,"On the subject of #COVID19 though, this is the kind of government action we really don't need to see.. closed for ""rectification""... WTAF ",2020-02-28 21:15:57+00:00
23,I also want to thank Eric for helping me to identify this early and factor in the impact. Thanks mate from NZ (we got our first Covid19 case last night),2020-02-28 20:50:22+00:00
24,"After four weeks working alongside some fabulous @IFRCAsiaPacific people on #COVID19, I’m heading home from #KL (on the same day the first case of #coronavirus has been reported in #NZ). Feeling grateful, and ready to jump back in at @NZRedCross – at KLIA Satellite Terminal",2020-02-28 12:25:25+00:00
25,Do you expect the government to seal our borders leading to mass unemployment and food and fuel within weeks? Tough. How about you start washing your hands and covering your coughs and sneezes. #nzpol #coronavirus #COVID19,2020-02-28 11:49:54+00:00
26,"That's right. Nothing less reassuring than cover up PR talks. Rather than hiding behind top credentials or criticising 'misinformation', why can't a Harvard 'Public Health' Prof. give daily #COVID19 updates on YouTube? Doctors in Taiwan have already done this on TV for 5 weeks.",2020-02-28 10:47:21+00:00
27,All staff at @MasseyUni Auckland science are about to get axed including NZ's foremost disease modeller Mick Roberts and @freed_nikki a developer of the @ubiquitomebio platform for #COVID19 diagnosis https://www.newsroom.co.nz/2020/02/28/1059827/a-kiwi-device-for-mobile-virus-testing Sign here to save our science,2020-02-28 09:10:40+00:00
28,"New SARS like coronavirus identified in Japan. Human to human spread??
 https://www.bloomberg.com/amp/news/articles/2020-01-16/pneumonia-causing-virus-found-in-traveler-in-japan-sankei-says?__twitter_impression=true …",2020-01-16 19:48:50
29,"When everyone is getting scared of China's coronavirus and you're sitting at you desk like: Maybe I could write a story about that?

#WritingCommunity #Writers",2020-01-23 23:29:21
30,"Coronavirus, Protect yourself and family https://youtu.be/RECcmQQQOj8  via @YouTube",2020-01-28 23:45:16
31,"The timing of this Coronavirus outbreak seems manipulated to dominate the news cycle as President Trump's defense Rolls out in the Senate 
I find the whole Coronavirus thing totally suspicious ..
Almost like it has been manufactured in a lab and released among the public in Wuhan",2020-01-25 23:39:26
32,"Top google search right now...
Hair Loss
2nd...Coronavirus

Good to know that our vanity supersedes our health care",2020-01-25 23:35:32
33,Bat Flash - Wuhan Coronavirus Leads to More Premature Scapegoating of Bats: https://mailchi.mp/6b1d12fa7dd1/bat-flash-wuhan-coronavirus-leads-to-more-premature-scapegoating-of-bats … #bats #coronoravirus,2020-01-30 23:51:20
34,"And this advice, also from an antivax page suggesting how to avoid the new coronavirus sounds like great fun. pic.twitter.com/tRtLjXYv7u",2020-01-30 23:45:21
35,NASA looking for somewhere suitable for escaping to with the Coronavirus coming to get us all. https://twitter.com/kenradio/status/1219391772771532801 …,2020-01-22 23:15:37
