,Tweets,Date
0,Filter-added handmade masks’ effectiveness equivalent to government-certified masks: research http://www.koreaherald.com/view.php?ud=20200228000630 #coronavirus #COVID19,2020-02-28 14:33:44+00:00
1,"WHO-China Report:“Much of global community is not yet ready, in mindset and materially, to implement the measures that have been employed to contain #COVID19 in China. These are the only measures that are currently proven to interrupt or minimize transmission chains in humans” ",2020-02-28 13:37:14+00:00
2, MESSAGES OF SUPPORT South Koreans post supporting messages on social media to health authorities fighting COVID-19 #COVID19 #coronavirus #fighting,2020-02-28 12:22:38+00:00
3, PARTIES UNITE AGAINST COVID-19 President Moon wins Nat'l Assembly support for tackling COVID-19 #COVID19 #coronavirus #National,2020-02-28 12:22:26+00:00
4,"The only one with the #intelligence, #money and #resources required to develop a #coronavirus #COVID19 vaccine is #JeffBezos. His amazing #Amazon team can deliver a vaccine in time to save hundredths of people! #pandemic @JeffBezos @amazon",2020-02-28 10:33:08+00:00
5,"Wait, is it safe? I mean Taal's still emitting deadly substance right, and corona virus is spreading, please be safe SKYB and staffs https://twitter.com/dailyexhoe/status/1220581125057216513 …",2020-01-24 23:55:24
6,Another 10 people on the Diamond Princess cruise ship docked outside Yokohama have tested positive for coronavirus. “About 10” tested positive yesterday. Great read here on being trapped on board...https://www.google.co.kr/amp/s/www.nytimes.com/2020/02/05/world/asia/japan-coronavirus-cruise-ship.amp.html …,2020-02-05 23:56:27
7,just got arrived at work to find out that the school is closed because of the coronavirus. i still have to be here though,2020-02-09 23:43:00
8,"Korea’s top automaker @About_Hyundai will soon run out of key component supplied from China.
About 20 models of Hyundai and Kia will be affected.
This comes after @Ssangyongstory said it would temporarily halt operation of one of its factories #coronavirus https://mnews.joins.com/article/23696080 …",2020-02-02 23:56:36
9,39 more people on the Diamond Princess cruise ship docked near Yokohama have tested positive for coronavirus.,2020-02-11 23:58:52
10,#Daegu churchgoers massively converted to #coronavirus. Packed audiences not always a blessing...,2020-02-19 23:48:30
11,Thank you to those who have compiled some great resources for Online/Distant learning including infographics that might be helpful! Check it out and let's continue adding to it to help our colleagues in China. #coronavirus #edtech #PYPchat #onlinelearning http://bit.ly/2Sb8M0t pic.twitter.com/S2doIpbzAP,2020-02-13 23:49:17
12,"(LEAD) S. Korea, U.S. considering scaling back military exercises due to coronavirus http://yna.kr/AEN20200225001351325 …",2020-02-24 23:53:24
13,"Self-quarantine will not work for #Chinese #students as they think of themselves above #Koreans and will not follow #Korean rules.  #PresidentMoon needs to rethink this.  #COVID19 #CoronaVirus
https://www.koreatimes.co.kr/www/nation/2020/02/119_283855.html#.XlG6tHyV_IQ.twitter …",2020-02-22 23:41:07
14,"Welp, #physed community in Asia, let’s hear your best practices for online/virtual learning as classes are now cancelled in  for coronavirus #pechat",2020-02-23 23:58:02
15,RT @betterpakistan: Prayers for speedy recovery of former PM Gillani. Ameen! A PM who who was most regular in assembly sessions. @KasimGill…,Sat Jun 13 10:16:25 +0000 2020
16,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
17,"RT @arirangtvnews: ▪ THAILAND TO WELCOME TOURISTS

Thailand eyes ‘travel bubbles’ to revitalize tourism industry

#COVID19 #THAILAND #Trave…",Sat Jun 13 11:23:29 +0000 2020
18,"RT @Citizen_baker: This is lovely, this is what Twitter was made for @prestigecar_rep https://t.co/TqjK6xKniz",Sat Jun 13 12:21:10 +0000 2020
19,"RT @cravecarmenn: Due to #COVID19 aka #Coronavirus I’m sending the first 400 people to like &amp; retweet $400-$4,000 through CashApp, PayPal,…",Sat Jun 13 12:20:14 +0000 2020
20,Nice,Sat Jun 13 11:32:18 +0000 2020
21,RT @iamfalconwaseem: Terrible news. Get well soon Lala. Prayers for a speedy recovery in sha Allah🤲,Sat Jun 13 10:29:59 +0000 2020
22,A collection of the Journal of Korean Medical Science articles related to #COVID19 is freely available to the publi… https://t.co/I5VMBqzyIm,Sat Jun 13 14:34:35 +0000 2020
23,"RT @CMichaelGibson: On the left are 2 lungs from a healthy patient.

On the right is a #COVID19 infected lung taken from a 20 year old who…",Sat Jun 13 12:13:46 +0000 2020
24,(LEAD) S. Korean airports begin coronavirus screenings on U.S.-bound travelers http://yna.kr/AEN20200303001352325 …,2020-03-02 23:57:51
25,"Coronavirus symptoms: how quickly they show – and what to look for 
This practical guide, underpinned with advice from leading health experts, is designed to protect you and your family. https://buff.ly/3cwxbWw ",2020-03-04 23:51:18
26,"Oh My Goodness! Tom Cruise Your passion and spirit of challenge are admirable! I was depressed because I was a Coronavirus, but looking at the picture of Mission Impossible 7, I am also encouraged!  Don't get hurt and have a great shoot!",2020-03-17 23:58:43
