,Tweets,Date
0,Coronavirus: survey reveals what Swedish people really think of country's relaxed approach via @TC_Africa,2020-04-29 22:39:20+00:00
1,#Belgian #prince tests positive for #coronavirus after attending gathering in #Spain,2020-05-30 20:38:54+00:00
2,She is a volunteer lady doctor going to wuhaan city...to treat #Coronavirus patients This is a potential suicide mission..and her husband knows she may not come back Salute to lady proving that doctors can also die for their country #coronarovirus,2020-01-30 23:06:09+00:00
3,"Four further cases of #COVID19 in different parts of today: 1 returned from , 1 from , &amp; 2 detected in contact tracing. On the good side - the detection is the point of contact tracing, people seek health care and get tested! https://preview.tinyurl.com/u6kj8ha",2020-02-28 18:51:37+00:00
4,"Available on #ECDC website: Checklist for hospitals preparing for the reception and care of #COVID19 patients, based on the current knowledge of the outbreak. Link: http://bit.ly/3ahMWOT The checklist will be updated should new relevant information become available.",2020-02-28 16:41:37+00:00
5,"RT @marynmck: Amazing infographic and explainer by the @Reuters graphics team, showing how one person in Korea who didn’t listen to her doctors (but went to brunch! and a megachurch!) exposed more than 1,000 people to #COVID19 ",2020-02-28 15:43:23+00:00
6,A pet dog has tested positive for #COVID19 in Hong Kong. https://newstalk.com/news/pet-dog-t #END,2020-02-28 10:42:11+00:00
7,"Update on #Wuhan City #pneumonia, associated with a novel #coronavirus:

41 cases tested positive as of 13 January 2020;
7 discharged, 6 in treatment, one died.

13/01 #Thailand reported a confirmed imported case - a tourist from Wuhan.

Read more: http://bit.ly/2QVQX53 pic.twitter.com/0QMql8bAfl",2020-01-14 15:58:17
8,Japan and Thailand Confirm New Cases of Chinese Coronavirus https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html … … #News #Bibleprophecy #Truth #Knowledge #Wisdom #Economist #Endtimes #Revelation #ENDEGOhttps://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html …,2020-01-17 17:44:05
9,Japan and Thailand Confirm New Cases of Chinese Coronavirus https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html … … #News #Bibleprophecy #Truth #Knowledge #Wisdom #Economist #Endtimes #Revelation #ENDEGO,2020-01-17 17:43:15
10,"The Wuhan coronavirus spreading from China is now likely to become a pandemic that circles the globe, according to many of the world’s leading infectious disease experts.  https://twitter.com/nytimes/status/1224067508107386882 …",2020-02-02 23:33:59
11,China deserves the admiration and support for its efforts to contain the spreading Coronavirus on behalf of the whole world. https://twitter.com/CGTNOfficial/status/1223254608228864001 …,2020-02-02 23:28:09
12,"USD/CAD Forecast February 17-21 – Canadian Dollar Holds Steady, but Coronavirus… https://goo.gl/fb/bnTXQf  #fxtrading",2020-02-15 23:23:14
13,"https://youtu.be/1LJgkovowgA  Coronavirus competition -- This is the perfect opportunity to show the world how open-source, community-driven AI can effect positive, relevant change. #Coronavirius #AI #ArtificialIntelligence #opensource",2020-02-17 23:55:01
14,"Daily Inter Lake – World News, Coronavirus poses tough challenge for economic policymakers https://africazilla.com/daily-inter-lake-world-news-coronavirus-poses-tough-challenge-for-economic-policymakers/ …",2020-02-25 23:59:47
15,"Coronavirus live updates: Plan to bring coronavirus patients to Alabam | Depend On WOKV – Jacksonville’s News, Weather, and Traffic https://africazilla.com/coronavirus-live-updates-plan-to-bring-coronavirus-patients-to-alabam-depend-on-wokv-jacksonvilles-news-weather-and-traffic/ …pic.twitter.com/7N4CzbqOzb",2020-02-23 23:41:17
16,"RT @MaleehaHashmey: Beautiful BREAKING News! 😍

Alhamdulillah! Over 50,000 Pakistanis have DEFEATED #coronavirus so far! 🙏

Eat healthy, sl…",Sat Jun 13 09:04:30 +0000 2020
17,"RT @ShifoOrg: Every last #child has the right to #lifeSaving immunization.
#VaccinesWork",Sat Jun 13 10:10:31 +0000 2020
18,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
19,RT @matomo76: @easyJet any updates regarding refunds from flights cancelled in may? Rather than try to sell me more flights I’d like to hea…,Sat Jun 13 10:38:54 +0000 2020
20,Get Well soon Insha Allah💚,Sat Jun 13 11:34:17 +0000 2020
21,RT @AndersPerner: Important concept to understand.  There will be no miracle,Sat Jun 13 12:12:40 +0000 2020
22,"RT @ProgPost_FEPS: to make #finance work for the people and the planet, it needs to be understood as a #publicutility, the same way as a se…",Sat Jun 13 10:13:55 +0000 2020
23,"RT @KariJoys: Open your #Heart..

#JoyTrain #Joy #Love #Kindness #GoldenHearts #IAM #MentalHealth #Mindfulness #ChooseLove #COVID19 #Quote…",Sat Jun 13 14:06:37 +0000 2020
24,"RT @WIEGOGLOBAL: If safety guidelines are followed, street vendors can trade as safely as supermarkets.

NEW guidelines explain how informa…",Sat Jun 13 12:03:37 +0000 2020
25,"RTPOTUS: RT realDonaldTrump: Congress has agreed to provide $8 Billion to fight Coronavirus! This means CDCgov, HHSGov, and DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, ou…",2020-03-04 23:58:07
26,"Today my mom told me to put some tsebel on before I get a hug
Look what coronavirus is doing.",2020-03-03 23:54:41
27,"New Article: 
5 Things To Do In Corona Virus Times To Secure Your Future. Hope It Helps. Stay Safe! 

https://www.selftelligence.com/2020/03/5-things-to-do-in-corona-virus-times-to.html …
#coronapocolypse #Coronapic.twitter.com/cSCXRGNqg3",2020-03-15 23:57:36
28,"Coronavirus

Half of Sweden police i read Will stay home and THE other half Will be at work",2020-03-20 23:57:12
