,Tweets,Date
0,#BreakfastNews @mjrowland68 @normanswan @LisaMillar Concern in Europe as France confirms more children have new disease with possible coronavirus link. I am sure you are on to this! #KeepSchoolsShut https://www.sbs.com.au/news/concern-in-europe-as-france-confirms-more-children-have-new-disease-with-possible-coronavirus-link?cid=news:socialshare:twitter via @SBSNews,2020-04-29 22:16:16+00:00
1,Coronavirus: Belgian Prince Joachim tests positive after lockdown party http://dlvr.it/RXgtVg,2020-05-30 23:33:04+00:00
2,"#insiders PM ScoMo refuses to look at wage cuts for himself and pollies but pushing to reform #IR #ClassWarfare #Jonmaker Coronavirus has switched the focus to jobs, but Morrison is ready to roll on industrial relations reform ",2020-05-30 23:23:45+00:00
3,"Hi sheep, ""If you are healthy, you only need to wear a mask if you are taking care of a person with COVID-19"" then WHY THE FUCK PEOPLE WEAR MASK? #covid19 #coronavirus #covidhoax #covid19hoax #fakenews #influenza @realDonaldTrump",2020-05-30 22:46:08+00:00
4,Yup. Corona virus is over. ,2020-05-30 21:48:22+00:00
5,"#TrinidadandTobago, congrats on a job well done on addressing #coronavirus. #Caribbean @oecscommission @CARICOMorg @expressupdates @tv6tnt",2020-05-30 19:49:31+00:00
6,"Whatever happened to PREVENTION IS BETTER THAN CURE, Philippines. #coronavirus ",2020-01-30 23:53:41+00:00
7,"If you are leaving China, you can't enter Trinidad and Tobago within 14 days. The Government is saying they have taken suggestions on this measure to protect the country against the Coronavirus. ",2020-01-30 23:10:04+00:00
8,When you put on a mask for corona virus and notice it's made in China #coronarvirus,2020-01-30 22:56:07+00:00
9,Does anyone care to speculate how the #Coronavirus will affect international travel in the upcoming weeks? Getting ready to go to #CostaRica in March and I think that some things will be different by then.,2020-01-30 22:52:46+00:00
10,"""The other legal notice is that the Ministry of Health under the Public Health Ordinance, will now designate the Coronavirus (to use the language in the act), as an “Infectious Disease” and a “Dangerous Infectious Disease”, as we did with Ebola in 2014."" ",2020-01-30 22:10:35+00:00
11,"I saw somebody on FB earlier say that they ain’t eating no Chinese food since this Coronavirus is going wild.... and honestly, they might be on to something. We already don’t know what them ppl be feeding us. ",2020-01-30 21:32:17+00:00
12,"Dumb asses , as always https://www.nypost.com/2020/02/27/americans-are-avoiding-corona-beer-amid-coronavirus-outbreak-survey-finds/amp/#CoronaVirusUpdates #COVID19",2020-02-28 18:54:22+00:00
13,"CoVid19 is a 2% death rate. In a town of 5000, that's 100 dead. In a city of 150,000, that's 3,000 dead. In a metro of 3 million: that's 60,000 dead. In a state of 30 million: that's 600,000 dead. The Country? 6.5 million dead You ready? #FactsMatter",2020-02-28 15:47:35+00:00
14,https://youtu.be/zrv78nG9R04  And then they wonder why the getting shit like the corona virus ,2020-01-25 23:55:15
15,Why did the #CDC name the #ChinaFlu after a popular #MexicanBeer? #ParrotQuestions #CoronaVirus,2020-01-21 23:50:00
16,"China’s Economy on the Brink as Coronavirus Fears Intensify
https://www.google.com/amp/s/www.ccn.com/chinas-economy-on-the-brink-as-coronavirus-fears-intensify/ … #coronarvirus #CoronaOutbreak",2020-01-26 23:53:39
17,China battles coronavirus outbreak: All the latest updates https://www.aljazeera.com/news/2020/01/china-battles- … coronavirus-outbreak-latest-updates-200125233944134.html #coronarvirus,2020-01-26 23:51:42
18,It's also terrible 5 cases of Coronavirus in the USA.  Stop flights from China.,2020-01-26 23:28:05
19,So the virus that mutated and caused the #ChynahFloo #CoronaVirus apparently started in the province of origin from the citizens eating habits that favor #BatSoup and stir fried snake chunks...,2020-01-26 23:23:41
20,"Yo, I hope that this corona virus doesn’t get too much traction here in the states. I hope we learnt from China. Wash hands guys keep that good hygiene up.",2020-02-11 23:38:11
21,CMO: No coronavirus on vessel after 4 fall ill https://www.ttgazette.com/article/yWV3z3qGYk …,2020-02-19 23:42:28
