,Tweets,Date
0,"Democratics say no one should be congregating in large numbers in public due to coronavirus risks, yet they continue to encourage millions to riot in the streets. That's on top of criticizing Trump supporters for protesting recently over lockdown concerns. Hypocrisy at its finest",2020-05-30 21:50:30+00:00
1,"Join me in helping #CoronaVirus victims with #Ecoin and earn 600 Ecoins ( worth $3 ) free, Ecoin the world's fastest-growing crypto will donate 150 Ecoins when you Sign up. Earn 600 and donate 150 more Ecoins for referring #Donatewithoutspending",2020-04-29 23:34:23+00:00
2,"Ali why is this about Liverpool fans now? at the start of all this, other fans were positively celebrating coronavirus because it meant Liverpool won’t win the title (“doing the lord’s work” I seem to remember was popular comment). Now everyone pointing at LFC fans.",2020-05-30 19:42:02+00:00
3,It is well! Stay safe TOYsters!!! #Coronavirus #COVID19 #TBW xo https://toyeenbalogun.blogspot.com,2020-02-28 19:56:17+00:00
4,Translation: Iranian Television put a few medical masks in a shop and a sign that says Free Masks Available + asked the shop owner to wear a mask and speak in front of the camera about the distribution of free masks. The whole thing is a lie. #covid19 #coronavirus,2020-02-28 13:49:16+00:00
5,Covid-19: UAE Tour cancelled after two Italian riders test positive for coronavirus. We can’t anymore afford to ignore the call to practice hygiene measures like washing hands with soap or using hand sanitizers. Precaution is the key in fighting Covid19 ,2020-02-28 09:05:22+00:00
6,"Australia is still on fire.
Coronavirus is spreading.
Trump fucking around in US.
Modi fucking around in India.

Lovely 2020.",2020-01-26 23:22:22
7,Great news for our healthcare frontliners! Now they can get discounts and free rent up to two months via an online… https://t.co/SYk0SVPNoP,Sat Jun 13 08:09:39 +0000 2020
8,RT @gulf_news: UAE economy poised for full recovery in 2022: The recovery is likely to be very gradual in nature. This is because the UAE e…,Sat Jun 13 08:19:24 +0000 2020
9,"RT @DarrenEuronews: Top 5 countries 🌍 with highest number of #coronavirus cases

1. 🇺🇸 USA (Trump)
2. 🇧🇷 Brazil (Bolsonaro)
3. 🇷🇺 Russia (P…",Sat Jun 13 07:50:54 +0000 2020
10,Get well soon Shahid bhai. Prayer for your speedy recovery..#COVID19  #pandemic,Sat Jun 13 09:55:28 +0000 2020
11,RT @KhawajaMAsif: Prayers and best wishes for speedy recovery..  Ameen,Sat Jun 13 09:53:53 +0000 2020
12,RT @_cricingif: Shahid Afridi tests positive for Corona virus. We wish upcoming days bring #Lala closer to a full and speedy recovery. 🙌…,Sat Jun 13 09:53:29 +0000 2020
13,RT @Ash_Stewart_: Monumental day in New Zealand today as rugby returns for the first time since #COVID19 suspended the Super Rugby tourname…,Sat Jun 13 10:26:11 +0000 2020
14,Wish u speedy recovery lallaa 🥺💘,Sat Jun 13 10:27:43 +0000 2020
15,"A creative way to remain close to the ones we love.
A Canadian lady has come up with an ingenious way to safely hug… https://t.co/jwvkzlB7vo",Sat Jun 13 10:45:00 +0000 2020
16,prayers for a speedy recovery inshAllah,Sat Jun 13 10:46:24 +0000 2020
17,Boom boom get well soon 😔,Sat Jun 13 11:00:47 +0000 2020
18,"The best choice on the market for keeping you in touch with friends and family - at an affordable price.

+971 2 62… https://t.co/MgyJjdLSkd",Sat Jun 13 11:02:31 +0000 2020
19,"RT @MHafeez22: U r a Fighter by Nature &amp; M sure U wil fight &amp; wil Defeat this Virus soon,  Best wishes for U to Get well soon 🤲🏼",Sat Jun 13 09:56:57 +0000 2020
20,RT @betterpakistan: Prayers for your speedy recovery Ameen! @SAfridiOfficial,Sat Jun 13 10:11:40 +0000 2020
