,Tweets,Date
0,"Go and Stream Planet O5 Cypher ,DM ur feedback ..I thank u for ur support #hihop #drake #trap #beats #rap #musicproducer #flstudiogang #zimbabwe #lockdown2020 #covid19 #coronavirus #zimhiphop @ZiFMStereo… https://www.instagram.com/p/B_lYA3npc1h/?igshid=14qqr6lznagrx",2020-04-29 23:55:52+00:00
1,Tears of Joy as Zimbabwean in UK recovers from Corona virus and dischar... https://youtu.be/CyxRTu8rH6E via @YouTube This is so emotional and Sekuru must be a nice guy to this wonderful community.,2020-05-30 20:28:15+00:00
2,#Zimbabwe and #Botswana are ready to sign 7 agreements and MoUs. Yst @edmnangagwa arrived in Bots with his delegation for taking part in the 4-days Zim-Bot Com. It aims to strengthen relations between 2 countries. One MoU will deal with #COVID19 bcz of its rapid spread ,2020-02-28 15:43:45+00:00
3,RT @phumzileunwomen: The #GenerationEquality Action Coalitions are set to deliver game-changing results &amp; to drive progress on #genderequal…,Sat Jun 13 10:29:56 +0000 2020
4,"RT @LeninChisaira: Join me tomorrow as we discuss ""Human Rights and Civil Liberties under Indefinite Lockdown in #Zimbabwe"" | #TheBigConver…",Sat Jun 13 10:53:00 +0000 2020
5,"RT @GreatBritishBB: 12 member stories written today. The innovation, resilience and creativity of the UK’s #SmallBusinesses in the face of…",Sat Jun 13 10:56:48 +0000 2020
6,RT @IFAD: Agricultural extension services play a fundamental role is the work of producers and it is crucial to continue to provide them wh…,Sat Jun 13 11:08:09 +0000 2020
7,"We are doing something really inspiring with young people in Mbare...

At what age does one stop being considered a… https://t.co/ZSJhBpqGWQ",Sat Jun 13 11:08:28 +0000 2020
8,"RT @zambezi40: Gogo Project, #Mbare #Zimbabwe 🇿🇼

Our youth led project supports grandmothers/grandchildren with basic groceries, #mentalhe…",Sat Jun 13 11:09:52 +0000 2020
9,"RT @thenanobel: Thank you, @Olimex. Any kind of contribution to #PublicHealth always advances mankind ahead. Now, during this #COVID19 pand…",Sat Jun 13 11:25:29 +0000 2020
10,"RT @chidodc: We are doing something really inspiring with young people in Mbare...

At what age does one stop being considered as a young p…",Sat Jun 13 11:20:02 +0000 2020
11,"RT @communitypodium: Update #Covid19 #Zimbabwe as at 12 June 2020.
11 new positive cases
343 total confirmed cases 
0 new recoveries (51 to…",Sat Jun 13 12:42:45 +0000 2020
12,"RT @superone1950: 5 positive #COVID19 
In #Salem",Sat Jun 13 12:51:54 +0000 2020
