,Positive,Neutral,Negative
0,363,Book Tour in the Early Days of Coronavirus https://lithub.com/book-tour-in-the-early-days-of-coronavirus/ via @lithub,95
1,"""If you have 20% of the workforce out sick, you can't open the plant. ... you cannot have a secure #FoodSupply in this nation if workers don't have a secure place to go to work."" --Marc Perrone of UFCW union on MSNBC. #coronavirus","God I pray for the Nations , Let's your Holy Blood wash away this corona virus. ","How a toxic alliance between Trump and Jared Kushner, two thuddingly ignorant, stubborn, and sociopathic men who are convinced they're geniuses, condemned thousands of Americans to death of #coronavirus. "
2,"Oooh la la: All-star tribute to proto-punk-glam-folksters T.Rex due Sept. 4, created by visionary producer Hal Willner before he died of #coronavirus. ",Im going to fight the next person that talks about coronavirus,"""People choose not to stop the Corona Virus in the United States"". @realDonaldTrump made it again: blame his voters for the Corona Virus spread."
3,This will be a great discussion. Any questions you'd like addressed? WATCH THURSDAY: 'Race & Coronavirus: A Bay Area Conversation' virtual town hall about COVID-19 impact on African American community https://abc7news.com/society/watch-thursday-race-and-coronavirus-a-bay-area-conversation/6133506/ via @abc7newsbayarea,ICE Moved Dozens Of Detainees Across The Country During The Coronavirus Pandemic. Now Many Have COVID-19. https://www.buzzfeednews.com/article/hamedaleaziz/ice-immigrant-transfer-jail-coronavirus via @haleaziz,Controversial smartphone app tracking people exposed to coronavirus (http://CBSNews.com: Sci-Tech) http://dlvr.it/RVjplD
4,"The state of California is under shelter in place rules. What sense of #privilege allows Ford to be out flying in the first place? Before the FAA makes a ruling, he should be punished for just being out and about for no good reason. #HarrisonFord #coronavirus #ShameOnYou",Cubs and White Sox season ticket holders can choose credit or refunds for games lost to the coronavirus shutdown https://www.chicagotribune.com/sports/breaking/ct-chicago-cubs-white-sox-ticket-refunds-20200429-knkxfuwtibeevisqoju5exg3ga-story.html?utm_source=dlvr.it&amp;utm_medium=twitter#ed=rss_www.chicagotribune.com/arcio/rss/category/sports/ #,I cleaned out my old barn today and now have a pickup load of trash and junk to haul off only to find out our dump is closed because of Coronavirus. How does not dumping trash keep us safe? 
5,"""Gilead says early results of coronavirus drug trial show improvement with shorter remdesivir treatment"" ","‘Race & #Coronavirus: A #BayArea Conversation,’ to air on KGO with @RepBarbaraLee, @Greenlining's Debra Gore-Mann and more. https://www.eastbaytimes.com/2020/04/29/race-coronavirus-a-bay-area-conversation-to-air-on-kgo/ via @eastbaytimes",The #NM Health Department has taken legal action to require two coronavirus patients to self-isolate -- marking the first time an isolation provision in a 2003 state law has been evoked during the COVID-19 outbreak: https://www.abqjournal.com/1449139/nm-health-agency-has-issued-two-covid-isolation-orders.html via @ABQJournal h/t @phaedraann #nmpol
6,An old 1920s movie theater converted into a theater showing Broadway shows etc. The Golden Gate Theater in the center of San Francisco-from my archives during the coronavirus-soon I’ll start very cautiously… https://www.instagram.com/p/B_lAhhMHFac/?igshid=b5ecbq2ygu69,Apple and Google Team Up to ‘Contact Trace’ the Coronavirus: the elephant in the room ,"“Never underestimate an Assistant Principal who survived 2020 Coronavirus Pandemic!” Photo credit alaina.436 #assistantprincipallife #skirtsportsambassadors @Allen, Texas https://www.instagram.com/p/B_lUyp5HiiC/?igshid=1xgizpjv7yl9i"
7,An old 1920s movie theater converted into a theater showing Broadway shows etc. The Golden Gate Theater in the center of San Francisco-from my archives during the coronavirus-soon I’ll start very cautiously… https://www.instagram.com/p/B_lAhhMHFac/?igshid=7st9t94j9jav,"My first time out the front door (with my mask tightly in place!), since the coronavirus inspired “shelter in place”, even though I have re-edited and reposted a few archived photographs, this is my first new… https://www.instagram.com/p/B_lGCCKn2UB/?igshid=1dwrwyz8tbldi",my favorite take is that COVID-19 doesn't kill anyone because the cause of death is actually the pre-existing conditions and the coronavirus just makes those things flare up.
8,"US study finds Gilead drug remdesivir works against coronavirus. It shortened the time to recovery by 31%. This will be the standard of care, and any other potential treatments will now have to be tested against or in combination with remdesivir. ",Coronavirus impact will be reported on Q2 results.,"FAKE News: Trump said Tuesday that the 1M cases figure is misleading because “we’re doing much, much more testing than anybody else in the world.” FACT: The number of coronavirus tests performed per 1,000 people in the United States is below average of the 36 member countries."
9,Anyone think trump made him do that with Hope's of him coming down with Coronavirus?,"Results from two studies of #remdesivir for #COVID19 released today (one placebo-controlled, one not), plus previously leaked data now published in @TheLancet. #coronavirus @eBARnews @NIAIDNews @ScottGottliebMD @GileadSciences",Does anyone else get a creepy feeling when Fauchi talks about giving dying people a placebo? #coronavirus #DrFauci #placebo
10,GlaxoSmithKline joins drugmakers whose sales have benefited from patients’ stockpiling ahead of coronavirus lockdowns ,"Without explicitly stating it, an executive explained Tesla ""experienced global shutdowns."" Dudes, just talk about coronavirus, we're ALL dealing with it, it's a pandemic.",87 in lagos and banks wants to open on Monday LMAOOOOOO... Corona virus is ordering calculators from China... They can't believe what's coming... NCDC 
11,When planing that special day remember after the #coronavírus check out @jolielaushi where all the magic is brought life . Making ur special unforgettable!!! Please stay safe and we look forward to creating amazing… https://www.instagram.com/p/B_lN1UXHUyC/?igshid=1fb6vk4wd9w9p,"Anyone else finding this $TSLA call super awkward with zero mention of coronavirus, pandemic, COVID-19....?",Marijuana is killing more than coronavirus 
12,"Glad to be part of this project for @NYTNational. ""The coronavirus destroyed all the traditional ways of saying goodbye"" -- to high school, sure, but also childhood. ", coronavirus sign of times ,Coronavirus pandemic threatens controversial fracking project in Argentina https://www.theguardian.com/environment/2020/apr/29/fate-of-vaca-muerta-oil-and-gas-fields-may-point-way-forward-on-fossil-fuels-after-coronavirus?CMP=share_btn_tw.
13,"We read or write, say and are told about the increasing news of the coronavirus minute by minute, hour by hour, day by day. It’s the news tyranny taken to the edge of the precipice. But, what is a good source today? When is it a good source?",Whaaattttt???? “The World Health Organization lauded Sweden as a ‘model’ for battling the coronavirus as countries lift lockdowns.” ,D.A. warns public of 7 ‘high-risk’ sex offenders released in California amid coronavirus pandemic 
14,"I said this earlier this month! Glad the @CDCgov is finally figuring it out. When did the coronavirus start spreading in the U.S.? Likely in January, CDC analysis suggests https://www.statnews.com/2020/05/29/cdc-local-transmission-coronavirus-united-states/ via @statnews (See my own assessment: https://www.medpagetoday.com/blogs/working-stiff/86291)","Bolinas offers test to every resident for coronavirus, one of the first in the world to do so https://www.sfgate.com/coronavirus/article/west-marin-coronavirus-covid-test-free-15211203.php?utm_campaign=CMS%20Sharing%20Tools%20(Desktop)&amp;utm_source=t.co&amp;utm_medium=referral via @SFGate",Oh no! The Corona Virus has got all of @KATVNews Where is our news?
15,Oh Bean here’s to a happy new life Street dog now named Bean helps nurse in China through the Coronavirus traumas... https://mynorthwest.com/1900615/street-dog-helps-see-chinese-nurse-through-virus-traumas/ #Inspiration #dogswelove #COVIDkindness,"The Pentagon has not released UFO footage to distract you from how bad Trump has messed up the governments response to the Coronavirus. They released UFO footage to make you think we need Trump's Space Force, instead of the Pandemic Response Team he fired in 2018.","The National Institutes of Health on Wednesday announced a new $1.5 billion initiative to rapidly develop #coronavirus #diagnostics, an effort it says will result in the deployment of “millions of tests per week” by late summer or fall of this year."
16,The curious case of the SF doctor who’s been coronavirus-positive nearly 90 days and counting - http://SFChronicle.com Persistent positives Covid-19? https://www.sfchronicle.com/bayarea/article/The-curious-case-of-the-SF-doctor-who-s-been-15304660.php #SmartNews,"tiktok, not the chinese government, created the coronavirus",Qualcomm Sees Coronavirus Pandemic Hurting Smartphone Sales (PATRICK SEITZ/Investor's Business Daily - Business) http://dlvr.it/RVjjwL
17,".@DrewAltman discusses how almost half of African Americans and Latinos are struggling to pay their bills because of #coronavirus, which suggests that even if Congress’ relief efforts are helping, they’re not nearly enough. Read more @axios: https://www.axios.com/coronavirus-economy-jobs-unemployent-racial-disparities-29e3c6c4-bb43-4eaf-bf90-04697ca66b2d.html",Hyatt is latest hotel chain to announce new cleaning program amid coronavirus. Here's what hotels are doing https://www.usatoday.com/story/travel/hotels/2020/04/29/coronavirus-hyatt-announces-new-cleaning-goals-following-hilton-marriott/3046386001/ via @USATODAY #Hyatt,"Observant people have understood this for a while, but we need to shout it for the folks in the back: #coronavirus deaths have been UNDERESTIMATED because many who die from it never get tested. "
18,Forbes Coronavirus Coverage best summary I’ve found. https://www.forbes.com/coronavirus/,coronavirus check,What is Corona virus? We have WHO
19,@MSNBC @DeadlineWhitehouse Could you PLEASE make a clip available on Twitter of Frank Figliuzzi's advice for how the White House should address messaging and transparency Re: #COVID19?,Coronavirus: New antibody test 'with 99 per cent accuracy' approved for use across Europe | The Independent ,"Is it COVID-19 or Allergies? (Source: AA0 website) In the midst of the COVID-19 pandemic, your spring allergies may be adding to your anxiety about your health. Are those watery eyes and stuffy nose symptoms of the new coronavirus or allergies? "
20,@MSNBC @DeadlineWhitehouse Could you PLEASE make a clip available on Twitter of Frank Figluzzi's advice for how the WH should address messaging and transparency Re: #COVID19?,Oh God ventilator and coronavirus testing kit? ,2 Georgia men drank cleaning products to fight #coronavirus as ⁦@realDonaldTrump⁩ continues to lie he was joking #COVID19 #gaslighting
21,"You HAVE to only send highly trained, qualified and appropriately-equipped (with Personal Protective Equipment) employees to deal with #covid19 cases or suspected potential ones. And chain of command needs to be clear. Trump *should not* be involved but can still call it success.",So I guess coronavirus just disappeared?,Apple Q2 2020 earnings will be all about assessing the damage from coronavirus 
22,I've seen some scammy #coronavirus #pandemic #COVID19 tagging the @who lately to cash in on free twitter followers and engagement by hyping up a potentially scary issue. ...no fear-mongering here... You really want to protect yourself? Do. Some. Cardio. *Not Medical Advice*,I mean the coronavirus thing,"""Frostbite"" toes and rashes may be signs of a coronavirus infection "
23,.@AsaHutchinson: State level testing of #COVID19 through the Department of Health should be available next week.,And now there is no more coronavirus! Especially in Minneapolis!,"""From a famine of 'biblical' proportions to a deluge of undiagnosed cancers, while we’re all worrying about the coronavirus, most fatalities could be collateral damage."" "
24,Trump’s failed response to Covid19 spooks markets even more #failed,"""Sending children back to schools and day care centres in Denmark, the first country in Europe to do so, did not lead to an increase in coronavirus infections, according to official data, confirming similar findings from Finland on Thursday."" ","State’s coronavirus cases top 7,000; death toll rises by one "
25,"SAVE MONEY! Cough on a rich person Apologize profusely making sure to mention ""It's okay my sister was tested at the airport"" Let them pay fo get tested. If @CDC doesn't call you, you're fine. #CoronaVirus #COVID19 #COVID19US #MedicareForAll",Noam Chomsky: What History Shows Us About Responding to Coronavirus https://lithub.com/noam-chomsky-what-history-shows-us-about-responding-to-coronavirus/ via @lithub,Should I wash my clothes after I go outside to prevent coronavirus infection? 
26,"SAVE MONEY! Cough on a rich person. Apologize profusely making sure to mention ""It's okay my sister was tested at the airport"" Let them pay fo get tested. If @CDC doesn't call you, you're fine. #CoronaVirus #COVID19US #COVID19 https://www.businessinsider.com/coronavirus-treatment-costs-americans-health-care-broke-2020-2?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter @businessinsider",Five-month-old Brazilian baby survives coronavirus after 32 days in coma - CNN ,How many of these anarchist scum looting and stealing were also given a 1200 dollar check from the government as compensation for work/hours lost due to #Covid19/#CoronaVirus? What a waste of tax money! #riots2020 #protests #GeorgeFloydMurder #chicagoprotest #MinneapolisRiot
