,Positive,Negative
0,41,9
1,The life is bad now. CORONAVIRUS new album of the big artist JAIR JEAN PIERRE AVAILABLE on Google play music SPOTIFY KKBOX ,"Sonora, Mexico, has had strict stay-at-home orders in place for more than six weeks now. But as some residents grow restless, leaders are pushing for continued compliance as the number of confirmed coronavirus cases continues to rise. "
2,Coronavirus sucks. Forget about it for at least a little while and travel back to Scotland with me for some #Geocaching! https://www.youtube.com/watch?v=ZTe0FGxsuXQ&amp;t=554s,Jared Kushner’s “princely arrogance” set back the coronavirus response by weeks: report 
3,JAIR JEAN PIERRE RETURN WITH THE CORONAVIRUS ALBUM AVAILABLE ON SPOTIFY GOOGLE PLAY MUSIC SPOTIFY SOUNDCLOUD,"Opinion | Coronavirus, Racism and Injustice: No One Is Coming to Save Us - The New York Times "
4,"Communism, Chlamydiae or Corona Virus. Pick one.",Wow. The corona virus is making SARS and the Swine flu look mild in comparison.. 
5,Work looks different in the coronavirus world. It might look different — and better — forever. https://www.huffpost.com/entry/coronavirus-reveals-american-work-wrongs_n_5ea2f57bc5b6d376358e5f0a?ncid=engmodushpmg00000004 via @HuffPostImpact,Bet there's a ton of anti-vax facebook mom's feeling a little panic with Corona Virus reaching our shores
6,Cities are responding to the coronavirus crisis by prioritizing pedestrians and cyclists over cars — one bright spot in an otherwise grinding news cycle. https://www.huffpost.com/entry/coronavirus-remake-cities-cars-pollution-walking-cycling_n_5e9eb1e5c5b63c5b587419a3?ncid=engmodushpmg00000004 via @HuffPostImpact,"The World Health Organisation has declared corona virus that has taken 171 lives as world health emergency How many innocent lives have been lost to Boko Haram since 2015 alone, that instead of a security emergency, we are debating the true meaning of executive bafflement?"
7,"'Great success story’: Jared Kushner takes victory lap as coronavirus toll nears 60,000 ","So, yeah, peeps will go to work w/ #COVID19 bc of the disincentives to take off but also bc a.) many will not know they have the virus if they have less severe symptoms &amp; think it's cold/flu &amp; b.) the current diminished capacity for doctors to test and/or confirm otherwise."
8,Exactly! #Minnesota #COVID19 #coronavirus ,"""Real crisis scenarios require cooperation and, crucially, 'flattening the curve' of the crisis exactly so the more vulnerable can fare better, so that our infrastructure will be less stressed at any one time."" #covid19 #coronavirus"
9,Trump: Coronavirus will have ‘a very good ending for us’ https://politi.co/2Uehtsf via @politico,wouldn't that make #DonaldJDrumpf infected with #COVID19? 
10,"China has a history of repression, censorship, internet control & propaganda, & we can't trust the info their gov't is providing on the coronavirus. Read my letter calling for a temporary ban on commercial travel to China here. We must keep Americans safe! https://byrne.house.gov/sites/byrne.house.gov/files/Coronavirus.pdf",China: 'Novel coronavirus' preliminarily identified in pneumonia outbreak - Outbreak News Today http://outbreaknewstoday.com/china-novel-coronavirus-preliminarily-identified-in-pneumonia-outbreak-47448/ …
11,U.S. to screen passengers for new China coronavirus at three airports https://www.emergencyemail.org/newsemergency/anmviewer.asp?a=20413&z=58 …,Why is China the origin of all deadly strains of coronavirus?
12,Trump: Coronavirus will have ‘a very good ending for us’ https://politi.co/2Uehtsf  via @politico,Sh8te just hit the fan in the US with one confirmed case #coronavirus #corona #novel #virus #disease #control #SARSvirus #earlydayshttps://twitter.com/amadain1/status/1219477425228328960 …
13,"This week on #SciFriday, we will discuss the novel coronavirus that has emerged in China and is now affecting other countries.",First Three Suspected Coronavirus Cases In Michigan Test Negative http://dlvr.it/RNshq8 
14,"1st confirmed case of new coronavirus reported in US: CDC
https://www.yahoo.com/gma/1st-confirmed-case-coronavirus-reported-washington-state-cdc-190926099.html …","Also on another note , will these antivaxxers be spreading the new Corona  virus? I don't know about you but when a safe vaccine comes out I'll be lining up this stuff is really scary."
15,"The fact that the Bernie-world narrative is basically that as long as nazis want “free” healthcare and weed, they’re okay with them.. CORONAVIRUS 2020!","#Coronavirus has gone everywhere but not in Africa, and @Trevornoah is hurt. Trust me boy ! You are #funny as much as  we are happy to keep this sneaky bug away from our #Borders.https://twitter.com/TheDailyShow/status/1224467852696215554 …"
16,"Translation for dummies:

""How to get #coronavirus: buy & use fresh water in pills and feel safe, you'll die anyway but pure and natural""

Follow Science, don't trust #homeopathy: it's your life that is at risk.","This Corona virus is scary as hell, but an estimated 80,000 Americans died of flu and its complications last winter — the disease's highest death toll in at least four decades! Just saying...…. https://twitter.com/TomthunkitsMind/status/1228819333268361216 …"
17,"yeah, if you want a side of coronavirus",sigh... yup been silently freaking out while surfing the corona virus hashtag all last week.
18,Coronavirus and Super-Spreaders: What You Should Know | The Healthy #SmartNewshttps://www.thehealthy.com/infectious-disease/coronavirus-super-spreaders-cdc/ …,"RT @Nwankpa_A: If you have a fever and you are losing your sense of taste and/or smell: While screening for malaria &amp; typhoid, you might al…"
19,"Steve's Thursday morning KDSK show.  

President Trump is weighing the idea of banning all flights to China as the coronavirus continues to spread. Under Trump’s plan, the only people allowed to go there are Adam Schiff and Nancy Pelosi.","RT @QuintFit: ""Loss of smell (anosmia) or loss of taste (ageusia) preceding the onset of respiratory symptoms has also been reported,"" said…"
20,"Steve's Thursday morning KDSK show 

President Trump is weighing the idea of banning all flights to China as the coronavirus continues to spread. Under Trump’s plan, the only people allowed to go there are Adam Schiff and Nancy Pelosi.","RT @epochchanger: In England and Wales
over 95% of #COVID19 deaths
had serious comorbidities as per NHS statistics.

No reason why that's n…"
21,New York tests coronavirus case as eighth person in US is diagnosed #SmartNewshttps://www.dailymail.co.uk/news/article-7956097/Eighth-confirmed-coronavirus-case-US.html …,RT @ScottGottliebMD: This is a critical milestone. Two therapeutic antibodies are now in the clinic with more on the way. These drugs can b…
22,Two new cases of #coronavirus in #Australia. The number of confirmed cases of coronavirus in Australia has risen to 12 after a couple was tested in South Australia. https://www.smh.com.au/national/two-new-cases-of-coronavirus-in-australia-20200202-p53www.html …,"San Antonio Mayor Declares Health Emergency Over Coronavirus, Mall Closes as Precaution https://www.theepochtimes.com/san-antonio-mayor-declares-health-emergency-over-coronavirus-mall-closes-as-precaution_3257811.html …"
