,Positive,Neutral,Negative
0,356,follow me on Facebook and come hang out! http://www.facebook.com/cwademusic #show #coronavirus #covers #original #music #musician #followme #guitarist #guitarplayer,72
1,Metro Health reports 45% of all coronavirus patients that were identified since pandemic began have now recovered ,.@Judge_wolff and @Ron_Nirenberg have been wannabe tyrants through all of this. They're now extending the stay at home order for San Antonio and Bexar county to May 19th. Why? Because they are pushing back against @GovAbbott. Next election? Vote them out! #coronavirus,This quarantine and American economic shutdown should NEVER happen again. Our Rights under the Constitution mean more than the fear of DEATH! #OPENAMERICANOW #coronavirus #Covid_19
2,Wuhan hospital discharges city’s last coronavirus patient #Futurism via http://twinybots.ch,"Please RT! Both me/my husband work 2 jobs. With coronavirus, we have lost this additional income. I could really use help getting ready for the fall! After this trauma, I'm hoping to start it off great! #amazonwishlist #clearthelists #support_a_teacher https://www.amazon.com/hz/wishlist/ls/TAR4VESI6I65?ref_=wl_share",OMG the Corona Virus has hit you. Im very sorry your mind is wilting. I hope you get well soon. #givemeabreak
3,"Joint Base San Antonio to reopen golf courses, Canyon Lake rec areas in easing of coronavirus restrictions. | https://www.expressnews.com/news/local/article/Joint-Base-San-Antonio-to-reopen-golf-courses-15234724.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&amp;utm_source=t.co&amp;utm_medium=referral @JBSA_Official @JBSALackland @FortSamFMWR @ArmyMedicine @CanyonLake_CA #Golf #GolfUnitesUs",I Got Divorced on a Conference Call Because of Coronavirus - Yahoo Lifestyle http://dlvr.it/RVjpcS,"Coronavirus: Texas Illness Count Up To 27,054, 42 More Deaths http://dlvr.it/RVjlf8"
4,"This is what you can actually be doing about coronavirus right now! How you clean your hands, your home and prepare for what is to come all over this article #coronavirusprevention #COVID19 #preventionsaveslives https://buff.ly/35fb3g2","Please RT! Both me/my husband work 2 jobs. With coronavirus, we have lost this additional income. I could really use help getting ready for the fall! After this trauma, I'm hoping to start it off great! #amazonwishlist #clearthelists #support_a_teacher https://www.amazon.com/hz/wishlist/ls/TAR4VESI6I65?ref_=wl_share","Please RT! With coronavirus, we have lost additional income. I could really use help getting ready for the fall! After this trauma, I'm hoping to start it off great! #amazonwishlist #clearthelists #support_a_teacher"
5,Enjoyable read. How will you be affected? Impact on youth sport and coaching industry l specifically?? - How the coronavirus pandemic will impact the future of work ,"Starting soon! Have questions for our team, Robert Rivard, the Mayor, or the Judge? Want to hear more about the survey, SA’s Coronavirus response, etc? Comment below! ",GOP declares ‘impeachment 2.0’ as Pelosi names Dem clowns to coronavirus oversight panel 
6,"Pug in North Carolina Tests Positive for the Coronavirus, Researchers Say ",Welp!!! #Sydney #Australia #COVID19 #coronavirus #travel,One more coronavirus death reported Saturday; total number of cases leaps forward 
7,"#Coronavirus #War #Kashmir ""The message from #China appears clear to observers in Delhi (#India) - this is not a routine incursion"" (BBC) Hey, outside world: the world is not only your own country and Donald Trump! Other things happened in a planet. #IndiaChinaFaceOff",The race for coronavirus vaccines: a graphical guide ,"#Coronavirus #War The armies of and are locked in a tense face-off high in the Himalayas, which has the potential to escalate as they seek to further their strategic goals. What people from outside world knows (as of now) the near that #China and #India are from a war?"
8,"chromatica is doing amazing, like hella crazy numbers, but imagine if coronavirus never happened oh my god ","Latest batches. Just need elastic. I got 3 more batches to make. Yes, I am selling. #makingmask #makingmasks #masks #maskmaking #maskprotection #coronavirus #covid19 #coronavirusmask #sewing #sewlikethewind… https://www.instagram.com/p/B_lQ0Mpjqla/?igshid=1lc8gcshevswk","Illinois Coronavirus Updates: State Reports 1,462 New Cases of Virus Saturday – NBC Chicago "
9,This is the best news I’ve heard all week: Texas GOP voter registration group shutters amid coronavirus challenges | The Texas Tribune ,The city says 44% of residents that tested positive for coronavirus have recovered but Metro Health doesn't require a follow-up test before they consider them healed. So how do we know if the virus is *really* out of someone's system? Metro Health doesn't even know. @KENS5,"In the meantime I just lay in bed though; I'm afraid of coronavirus. I feel inspired by those who stand up, but also afraid for their security. The assholes hold the power. The cops have all the guns."
