,Positive,Neutral,Negative
0,63,Coronavirus: Ambulance crews adapt to new challenges of Covid-19 ,23
1,"Sadly our country is one of them, until now we still don’t know if the presumptive positive #Coronavirus patient who arrived from Hong Kong has it or not. Our authorities and our Public Health System are clearly not prepared to manage something like this. ","The United States Secretary of Commerce Wilbur Ross said : “The fact is, it does give business yet another thing to consider when they go through their review of their supply chain” #coronavirus #coronavirusoutbreak #Health #WuhanCoronavirus",UNMASKING THE LIES AROUND COVID-19: FACTS VS FICTION OF THE CORONAVIRUS PANDEMIC - London Real 
2,"Is it safe to travel during the coronavirus outbreak? An infectious disease specialist explains. Buy a mask? Cancel your trip? No, and probably not. Find more in this link: http://bit.ly/TravelingCoronavirus #Traveling #Coronavirus #news #safe #travel #Ecuador #trip #China",#Coronavirus #Covid19 it's #fake. Tha real name is Gorki400 and the scientist is Russian. Find an edition before 2020 and see for yourself.,Coronavirus: Diabetics make up a fifth of Scottish hospital Covid-19 deaths – BBC News 
3,"An excellent summary about the Coronavirus #2019nCov It's amazing how the open science data has allowed to analyzed the focus aspects around the phylogenetics, genome, diagnostics and epidemiology of this virus. The world working as a team to avoid a new outbreak  #2019nCovhttps://twitter.com/ZulmaCucunuba/status/1218539461111361541 …",Importation and Human-to-Human Transmission of a Novel Coronavirus in Vietnam | NEJM https://www.nejm.org/doi/full/10.1056/NEJMc2001272 …,COVID-19 in Spain – Ambulance responders are afraid of a coronavirus rebound 
4,"Decision making for whether to let Ecuadorians come back from the coronavirus epicenter is a serious thing to think about. In personal aspect, I can't say what is or what isn't right, but rather hope for the best decision from the Ecuadorian Government. #UEESFHA #politicsEChttps://twitter.com/eluniversocom/status/1226270744029650951 …",Exacto. #coronavirus #nCoV2019https://twitter.com/LizSzabo/status/1220813573334716416 …,"Coronavirus Controls in China Are Delaying Crypto Miner Deliveries, Firms Say https://www.coindesk.com/coronavirus-controls-in-china-are-delaying-crypto-miner-deliveries-firms-say?utm_source=dlvr.it&amp;utm_medium=twitter"
5,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",#coronavirus update https://www.ijidonline.com/article/S1201-9712(20)30011-4/pdf …pic.twitter.com/rzoiJJ4LeB,Ok. Let’s take the necessary steps to prevent unnecessary pandemic situations with the new coronavirus from China please  
6,All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the… https://t.co/g2WoEOiXCl,I was seriously hoping that the story included something in regards of El Shaarawy fearing Corona virus,"Three U.S. Airports to Screen Passengers for Chinese #Coronavirus

Passengers from Wuhan, China, will be screened for infection at J.F.K. beginning Friday night, and in San Francisco and Los Angeles starting Saturday.

https://www.nytimes.com/2020/01/17/health/china-coronavirus-airport-screening.html?smid=nytcore-ios-share … via @NYTimes"
7,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",Israeli dad in #China documents life under quarantine in #coronavirus epicenter http://bit.ly/2S81pa9 …#Israel #USA #Canada #UK #France #Sweden #Norway #Australia #Belgium,"Chinese authorities have reported a second death from the Wuhan pneumonia, a new sars-like coronavirus that has left dozens of people ill in the central city of Wuh.

#WuhanPneumonia
http://bit.ly/3ai5MpY "
8,RT @CDCgov: #Employers: Antibody tests for #COVID19 should not be used to determine if someone can return to work. There is not enough info…,"#CoronaVirus

Something that is not indicated in all published amounts are the age ranges of people","Lectura recomendada:
How AI is battling the coronavirus outbreak https://www.vox.com/recode/2020/1/28/21110902/artificial-intelligence-ai-coronavirus-wuhan …"
9,RT @USAmbRwanda: I would like to salute #Rwanda #womeninpeacekeeping &amp; extend my condolences on the loss of Police Constable Enid Mbabazi d…,Asian cocoa conference in Singapore postponed due to coronavirus https://www.confectionerynews.com/Article/2020/02/14/Asian-cocoa-conference-in-Singapore-postponed-due-to-coronavirus-scare#.Xkc0O7u2CuE.twitter …,"Coronavirus Controls in China Are Delaying Crypto Miner Deliveries, Firms Say https://www.coindesk.com/coronavirus-controls-in-china-are-delaying-crypto-miner-deliveries-firms-say?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/0I4kPfHVqT"
10,,Another Wuhan doctor dies from coronavirus https://str.sg/JGtV ,Novel coronavirus 2019-nCoV: early estimation of epidemiological parameters and epidemic predictions https://flutrackers.com/forum//forum/-2019-ncov-new-coronavirus/-2019-ncov-studies-research-academia/824413-novel-coronavirus-2019-ncov-early-estimation-of-epidemiological-parameters-and-epidemic-predictions#post824413 …
11,,"“Top four” for lowering #COVID19 #coronavirus risk:
- social distancing,
- avoiding crowds,
- wearing a mask
- wash… https://t.co/nbk7SPZ32Q",A Disturbing Number of People Think Coronavirus Is Related to Corona Beer https://www.vice.com/en_us/article/qjdvvd/a-disturbing-number-of-people-think-coronavirus-is-related-to-corona-beer?utm_campaign=sharebutton … a través de @vice
12,,"RT @Xcastel: Going the extra mile to ensure all communities are reached and equipped to deal with the #COVID19, this can only be accomplish…","Coronavirus latest: first infection reported in sub-Saharan Africa #coronavirus #COVID19 #SARSCoV2 #nCoV2019 @CIZ_UCE @BichosCIZ
https://www.nature.com/articles/d41586-020-00154-w …"
13,,"RT @UNDP: How can we shape the future of development &amp; #BuildBackGreener #ForPeopleForPlanet after #COVID19? Watch @ASteiner, @UNEP’s 
@and…","RT @ISGLOBALorg: Carbon dioxide emissions have rebounded around the world as lockdown conditions have eased, raising fears that annual emis…"
14,,RT @GENbio: GEN's #COVID19 DRUG &amp; VACCINE CANDIDATE TRACKER keeps up with more than 200 potential therapeutics in development against the v…,"RT @JuanGrvas: Minnesota, USA. Nursing homes. Names of each facility with at least one #COVID19 case, how many have died from the virus, an…"
15,,"RT @EViteriOft: “Top four” for lowering #COVID19 #coronavirus risk:
- social distancing,
- avoiding crowds,
- wearing a mask
- washing hand…","RT @oli3be: Total confirmed deaths due to #COVID19 per million people: 

#Belgium 837
#UK 624
#Spain 576
#Italy 568
#Sweden 470
#France 438…"
16,,RT @KawsachunNews: Bolivia's self-declared President Jeanine Añez has not ratified September 6th as the date for elections. She demands tha…,RT @CGTNOfficial: Four regions in #Beijing have upgraded their coronavirus risk level to medium after Beijing confirmed a total of seven lo…
17,,"#Russia will begin producing a #coronavirus vaccine in large doses from September. #COVID19
https://t.co/XJLcOj56xg","RT @FAO: Our food systems are failing us. And #COVID19 is making things worse.

We must invest in the future &amp; transform our food systems t…"
18,,RT @IFRC_es: Ecuadorian #RedCross volunteers deliver food kits to people in rural areas of the country. The volunteers mobilize hours to re…,"RT @cpontesg: No increased COVID-19 risk for angiotensin system blockers. 
👌🙏🏻Thanks OHDSI for an excel.lent paper with many learnings: 
👉🏻…"
19,,What Kids Want To Know About Coronavirus https://www.npr.org/sections/goatsandsoda/2020/02/28/809580453/just-for-kids-a-comic-exploring-the-new-coronavirus …,"RT @yourICM: #COVID19 induced #AKI in critically ills with #SARSCoV2 #Coronavirus infection: several mechanisms possibly involved, prevalen…"
20,,"Ecuador, absolutely nothing... according to them the only confirmed cases are directly linked to the person that brought the coronavirus here in first place. 15 people have it now. Around 150 are in observation at their own homes.","RT @antonioguterres: Saturday marks the 100-day countdown to #PeaceDay.

We are living through a difficult time, but we can turn the #COVID…"
21,,"A las 9 Pm en punto sonare la alarme de ""the purge"" pendientes al video.

#QuedateEnTuCasaCarajo #coronavirus",Frontline workers are being fired for speaking out against dangerous conditions that exacerbate the spread of… https://t.co/2x4leUhjK2
22,,"A las 9 Pm en punto sonare la alarme de ""the purge"" pendientes al video.

#QuedateEnTuCasaCarajo #coronavirus","RT @HumaneAware: Today’s feature is @TOLFAcharity a hospital for sick &amp; injured street #animals in #Rajasthan 🇮🇳 

#COVID19 has severely im…"
23,,,"RT @SheilaCoronel: Remembering the 21,000 lost to #COVID19 in NYC: @columbiajourn, @THECITYNY &amp; @newmarkjschool are building a memorial. We…"
24,,,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
25,,,"Susan Desmond-Hellmann: The #coronavirus is alarming. Here’s why you should not panic

⁦@SueDHellmann⁩ ⁦@gatesfoundation⁩https://www.statnews.com/2020/03/06/susan-desmond-hellman-the-coronavirus-is-alarming-heres-why-you-should-not-panic/?utm_content=bufferad519&utm_medium=social&utm_source=linkedin&utm_campaign=linkedin_organic …"
26,,,Ifo head says coronavirus will spark recession in Germany - SWR broadcaster https://www.marketscreener.com/news/Ifo-head-says-coronavirus-will-spark-recession-in-Germany-SWR-broadcaster--30134838/ …
27,,,"WhatsApp unveils $1M grant, info hub to fight coronavirus rumors https://tcrn.ch/3963hWg  via @techcrunch"
