,Positive,Negative
0,365,46
1,"I’m in the middle—until I go to the store & can’t find stuff on my list. Then I start grabbing All. The. Things. Via @evelyndnutritionist on Instagram ""This infographic has been popping in my feed and stories lately and it’s important. #covi̇d19 #coronavirus #nextlevelhuman""",Florida’s count of coronavirus deaths is missing some cases 
2,"I wish it were. It should be. But #NovemberIsComing and Pelosi knows that we’ll clean out the WH then. Right now, she’s focused on coronavirus and helping Americans. You should try it.",Coronavirus hype biggest political hoax in history - Washington Times 
3,"Kano records 24, Gombe 18 and Kaduna 17 New Cases of Coronavirus http://insidearewa.com.ng/kano-records-24-gombe-18-and-kaduna-17-new-cases-of-coronavirus/",Florida medical examiners were releasing coronavirus death data. The state made them stop. 
4,"During any other presidential election year, late April headlines would be dominated by campaign news. This year, coronavirus is changing the race. @JoshRobin explains how #COVID19 is forcing fundraising &amp; maybe even parts of the conventions to go virtual. http://specne.ws/B1MTEF","Showdown brewing between Whitmer, Michigan Republicans over coronavirus state of emergency ⁦@MIGOP⁩ what will you do Republicans? Stick us in the back again?"
5,Do asymptotic people get a coronavirus test to confirm they have it?,“Sweden is tackling the coronavirus by learning to live with it.” By dying.
6,China is the reason for the CoronaVirus-19,"@GavinNewsom What the hell's wrong with you people? Releasing SEX OFFENDERS and Violent Felons because of #COVID19 #coronavirus ? That's INSANE..Nobody voted for this and it has NOTHING to do with a public health emergency Unless one of them breaks in to my house,he'll have one"
7,Absolutely shocked that I just heard that more people have died from the coronavirus than died during the Vietnam War.,"Half(!) of Americans say it's hard to separate coronavirus facts from fiction If half of Americans would stop watchin Fox or reading news on Facebook, they would find this all much less confusing. "
8,Making #koobideh is one of the hardest in Persian cuisine. Thanks to #coronavirus which taught me how to become a partial cook https://www.instagram.com/p/B_lPWyzp4ms/?igshid=820nydqw2k8k,White House asks spy agencies to investigate whether China and WHO covered up coronavirus outbreak origins 
9,"Nobody has died of anything other than the coronavirus, since March.",Covid-19 coronavirus: US CDC adds six new virus symptoms to guidelines. Look out for 1or a combination of: - cough - shortness of breath - fever - chills - repeated shaking with chills - muscle pain - headache - sore throat - loss of taste or smell. 
10,"Gov. Gretchen Whitmer is taking steps to make child care more affordable and accessible for families during the coronavirus crisis. Today she announced the Child Care Relief Fund, which will provide direct, non-competitive grants to child care providers. ",Bills blow 16 point lead to the Texans. Sabres miss Playoffs despite NHL expanding to 24 teams. The Coronavirus The Riots Can this year get any worse?
11,Exclusive: Venezuela asks Bank of England to sell its gold to U.N. for coronavirus relief - sources ,"“With the world consumed by the coronavirus pandemic, China has acted forcefully to defend its territorial claims, including in the Himalayas. In recent weeks, the Chinese have sunk a Vietnamese fishing boat in the South China Sea;…https://lnkd.in/e_WmshV"
12,Tucker Carlson: Big Tech Using Coronavirus To Increase Their Power Over Americans ,The Coronavirus (COVID-19) has business owners understandably concerned about the health and safety of their employees. #weclean
13,"Talking points provided daily by the deranged sociopath & chief Donald ""the douchebag"" Trump with a kiss as commentary by the head of the Coronavirus Task Farce, Mike ""blank stare"" Pence.","Just making note of California’s coronavirus numbers in light of the current riots. As of May 29th total cases stand at 106,744 and total deaths at 4,137."
14,"#Day54 TESTED! COVID-19 SWAB (also, ow!) ANTIBODY TEST And a Chest X-Ray (that came out normal.) Now I wait. #Covid19 #Coronavirus ",The media has its agenda. Did you hear one (1) who attended Lake of the Ozarks party has Coronavirus? see below. But did media tell you at the same time 500% more people under a lock down in Missouri have the virus? 
15,"JFC, can someone make these people SHUT UP? Kushner calls U.S. coronavirus response a ""success story"" as cases hit 1 million.",Coronavirus FAQs: Is It Safer To Fly Or Drive? Is Air Conditioning A Threat? 
16,Dear Protestors: I support you. I believe in the cause. But there’s just one thing.....coronavirus!,"How the coronavirus could be prevented from invading a host cell? https://medicalxpress.com/news/2020-05-coronavirus-invading-host-cell.html With two food energy-dependent amino acid substitutions. See: ""A two-amino acid change in the hemagglutinin of the 1918 influenza virus abolishes transmission."
17,"UPDATE: State health officials report almost 5,000 more people have recovered from the coronavirus. ","BREAKING: #Coronavirus has been declared a Global Public Health Emergency It has now spread to 19 countries. 170 dead so far. NOW is the time to prepare your 72-hour kit, not later. #cdnpoli"
18,The inside story of how coronavirus spread in Massachusetts - The Boston Globe ,The Ministry of Health says travellers who were under quarantine as a precaution have tested negative for coronavirus and have been cleared.
19,Having failed miserably to manage the #coronavirus in the US now #trump fails to lead during the #goergefloyd demonstrations. Instead calling for his own supporters to hit the streets. #insiders #ICantBreathe,WHO Declares Coronavirus Outbreak A Global Health Emergency : Goats and Soda 
20,"Kogi coronavirus case authentic, I know a patient from Kabba – Dino ","#NZ offers seats on chartered #AirNewZealand plane for Pacific Islanders stranded in #Wuhan, the epicentre of the corona virus outbreak. Most Pacific Islanders in Wuhan are students studying at various universities in the province. NZ, truly a friend of the #Pacific@burebasgal"
