,Positive,Negative
0,90,54
1,Coronavirus can spread up to a 4 meters from an infected person according to studies...,"""Life for prisoners in Israeli prisons is tough, but after the spread of corona(virus) their pain multiplied,"" said Naji, who holds American and Palestinian citizenship. https://news.yahoo.com/palestinians-fear-virus-risk-israeli-jails-022849920.html?soc_src=hl-viewer&amp;soc_trk=tw via @YahooNews"
2,Do Americans approve of Trump’s response to the coronavirus crisis? A calculation of the share of all Americans who approve of the president’s handling of the coronavirus outbreak. ,WHO declares coronavirus outbreak a global health emergency 
3,Italy prepares for Phase-2 as coronavirus patients decrease ,Why don’t we just give the new coronavirus this name officially: Mysterious Illness Virus (MIV)? https://www.theguardian.com/world/2020/jan/11/china-mystery-illness-outbreak-causes-first-death?CMP=Share_iOSApp_Other …
4,Coronavirus: US expected to approve use of remdesivir after trials show it helped Covid-19 patients - South China Morning Post ,Smartphones More Dangerous Than Coronavirus? Kills More People Than You Think http://va.newsrepublic.net/s/jTpFbM 
5,Coronavirus timeline: How the disease spread throughout the US https://nypost.com/2020/04/29/coronavirus-timeline-how-the-disease-spread-throughout-the-us/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost,"COVID-19 24.02.2020 Update: 78,971 infected, 2,468 deaths, 23,385 recovered. CFR: 3%, R0: 2-3.9%. Transmission: respiratory droplets 2m, possible airborne. Reports that virus can be infectious during the incubation period. WHO slow to declare this a pandemic. #COVID #coronavirus pic.twitter.com/PYG9OAwTRq"
6," ""BBC News - Coronavirus: Belgian Prince Joachim tests positive after lockdown party ","RT @Amandalavan1: You have imprisoned an innocent father for no reason, he is in danger of getting infected with #coronavirus @JZarif @Alir…"
7,The Armed Forces have recovered from the coronavirus almost 4000 people | src: https://rg.ru/2020/05/30/v-vooruzhennyh-silah-vylechilis-ot-koronavirusa-pochti-4-tysiachi-chelovek.html | rmw: https://russiamilitarywatch.com/?date=30.05.2020&amp;id=51366,"RT @GrandmaSaidNo: Never forget that the US federal government is responsible for the high COVID-19 death toll on our Nation. 

The magnitu…"
8,"#Coronavirus reminds me of the old Rice And Chessboard Story, where rice grains multiple in each square. We are now only at square 10, few more to go to find out how this game ends. http://www.dr-mikes-math-games-for-kids.com/rice-and-chessboard.html",RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
9,"Well, Ebola is not an Coronavirus but yeah.",RT @MichaelMarmot: Inequalities in mortality from #COVID19 - the social gradient - are similar to inequalities in mortality from all causes…
10,Note : This Coronavirus IS NOT the first one of it's kind. SARS was pretty deadly for example.,"RT @piersmorgan: This is absolutely shameful. 
How dare you spew such hurtful nonsense, ‘Professor Positive’ @ProfKarolSikora? 
Why would y…"
11,"Why i say so? There was a tweet, about 1 specialist traffic Between States and China (Wuhan) ... long before #Coronavirus start 01.12-2019","Italy's coronavirus cases climb to 35,713, death toll up to 2,978 http://www.dailyfinland.fi/europe/14907/Italys-coronavirus-cases-climb-to-35713-death-toll-up-to-2978 …"
12,i know right like were like humans like them too. its really disgusting that those people pretty much justify their own racisms against asians because of the corona virus and our cuisines.,
13,#China: Respect Rights in #Coronavirus Response ,
14,Today I turned very pessimistic that #COVID19 could still be contained. Two percent of mankind is 150 million ,
15,"#Italy and #Iran, what gives? #COVID19",
16,I predict that multiple Eastern European countries will close their borders before the week is over. These will be among the few countries that may not see #COVID19 outbreaks..,
17,"Bill Gates on #covid19: ”Goverments and industry will need to come to an agreement: during a pandemic, vaccines and antivirals can’t simply be sold to the highest bidder. They should be available and affordable for people who are a…https://lnkd.in/dAnVdat",
18,@Mike_Pence in charge of coronavirus response. What could go wrong? #COVID19 #CDC #MAGA,
19,@euronews: COVID-19 latest: WHO raises global threat level from coronavirus to 'very high' #covid19 #pandemia,
20,Today’s #Offshorecomic. It’s better to be paranoid than terminated ... only slightly ripping off @nntaleb’s bear-stone analogy here #coronavirus #COVID19 For more visit https://buff.ly/2FtBAIE Buy books here https://buff.ly/32k8OVz,
21,"All of us will get exposed to #COVID19 during the following few months. If you can hermit away for months and months, then maybe not. The WHO fucked up. Health officials/governments all over the world fucked up. International travel should have been halted weeks ago. Too late now",
22,"I'm travelling next week in the US and will probably not have the time to bore you with #COVID19 updates. I'm not too enthusiastic about a layover at Heathrow, which I think means 100% certain exposure to the virus. But anyway, I think it's too late. There's no stopping the virus ",
23,"Viruses don't know regions, countries, nor continents. International cooperation is crucial in stopping the spread of #Covid19. .@EU_Commission supports the delivery of over 25 tonnes of personal protective equipment to China. #EUCivPro #EUprotects",
24,"According to WSJ, a novel coronavirus has been discovered in patient samples from the viral pneumonia outbreak i Wuhan in China. https://www.wsj.com/articles/new-virus-discovered-by-chinese-scientists-investigating-pneumonia-outbreak-11578485668 …",
25,"The mysterious lung infection in Wuhan, China is being identified. Like SARS (in 2002-3) and MERS (from2012), it's caused by a coronavirus. Up to last Sunday, 59 patients have been reported, of whom 7 in critical condition.",
26,China says pneumonia outbreak linked to new coronavirus - https://www.ft.com/content/7ac8b004-3285-11ea-9703-eea0cae3f0de?shareType=nongift … via @FT,
27,WHO statement on novel coronavirus in Thailand https://echa.smh.re/ao ,
28,"#WHO says new #China coronavirus could spread, warns hospitals worldwide https://reut.rs/2FOKORD ",
29,"1)As new probably zoonotic #coronavirus was found in China,I’m wondering about the debate around added value of the #GlobalViromeProject. Weigh the resources needed beforehand to a)find the virus,b)determine if it can jump to humans,b)assess spread between humans, PH importance",
30,First case of the new coronavirus in Japan (travelled from Wuhan). AND the first time I see this virus not being called 'mysterious' anymore. https://www.japantimes.co.jp/news/2020/01/16/national/science-health/japan-first-coronavirus-case/?utm_source=Global+Health+NOW+Main+List&utm_campaign=daae8fcc44-EMAIL_CAMPAIGN_2020_01_15_01_40&utm_medium=email&utm_term=0_8d0d062dbd-daae8fcc44-2980553#.XiClo8gzY2z …,
31,"#Japan confirms first case of new #China #coronavirus strain
https://www.theguardian.com/world/2020/jan/16/japan-confirms-first-case-of-new-china-coronavirus-strain?CMP=Share_AndroidApp_Twiitti …",
32,"#bbc New coronavirus 'preventable and controllable', China says https://ift.tt/38j6XDU  #asia",
33,Factbox: New #coronavirus outbreak in Chinese city of #Wuhan https://reut.rs/362DH2B ,
34,#Coronavirus: #China reports 17 new cases of #Sars-like mystery virushttps://www.theguardian.com/world/2020/jan/19/coronavirus-china-reports-17-new-cases-of-sars-like-mystery-virus?CMP=Share_AndroidApp_Twiitti …,
35,"Coronavirus: more cases and second death reported in China

https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak?CMP=Share_AndroidApp_Twiitti …",
36,#Coronavirus: second death in #China after #Sars-like outbreakhttps://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak?CMP=Share_AndroidApp_Twiitti …,
37,"#Coronavirus reminds me of the old Rice And Chessboard Story, where rice grains multiple in each square. We are now only at square 10, few more to go to find out how this game ends. http://www.dr-mikes-math-games-for-kids.com/rice-and-chessboard.html …pic.twitter.com/JDW4GqQghl",
38,Snake might be animal reservoir of novel coronavirus: study http://www.dailyfinland.fi/health/14090/Snake-might-be-animal-reservoir-of-novel-coronavirus-study …,
39,We can't stop #Coronavirus spreading all around world as long the picture of flights in air at the moment look like this.  https://flightradar.live/  #koronavirus #CoronaOutbreak #WuhanOutbreakpic.twitter.com/8yik6UHKJy,
40,#bbc Chinese diasporas on edge over coronavirus https://ift.tt/2RKT5vD  #asia,
41,Wuhan gov't mourns doctor in coronavirus fight http://www.dailyfinland.fi/worldwide/14302/Wuhan-govt-mourns-doctor-in-coronavirus-fight …,
42,#bbc Coronavirus deaths exceed Sars fatalities in 2003 https://ift.tt/2UCYZC6  #asia,
43,"Sweden-Poland-China fight against Corona Virus outbreak. CEO Thor Lavold of Magisk & Zula A20 molecule medical tech developments; Prof Dr Laszlo Szekely Karolinska. #MiNiSV #KevinLiu #JohnMeewella http://www.minisv.com  http://www.johnmeewella.com  Stockholm,Sweden Wed29Jan2020pic.twitter.com/jXe4aOB1vs",
44,Ilkka Saari      Say no to drugs and #trump #samk bong out #BreakingNews #BREAKING #coronavirus #Oscar2020 #academyawards2020 #Oscars #Oscar #film #JeSuisMila #GTAOnline #Fortnite #FDF #dixiedamelio #SaifAliKhan #OsasunaRealMadrid #QueenRadio #NotMyBrexithttps://www.youtube.com/watch?v=cV_WShssnE0&t=23s …,
45,Ilkka Saari      Say no to drugs and #trump #samk bong out #BreakingNews #BREAKING #coronavirus #oscars2020 #academyawards2020 #Oscars #Oscar #film #RoyalRumble #EscapefromTarkov #ErdoganUludag #wildearth #UltimateLoveNG #YVR #ZICO #maskedsingeruk #XuKaihttps://www.youtube.com/watch?v=cV_WShssnE0&t=23s …,
46,Ilkka Saari      Say no to drugs and #trump #samk bong out #BreakingNews #BREAKING #coronavirus #academyawards2020 #Oscars #Oscar #film #RoyalRumble #EscapefromTarkov #ErdoganUludag #wildearth #UltimateLoveNG #YVR #ZICO #maskedsingeruk #ChenQiushi #XuKaihttps://www.youtube.com/watch?v=cV_WShssnE0&t=23s …,
47,Man City trying to infect coronavirus to UEFA board? https://twitter.com/KSIlIlIl/status/1228788075624615936 …,
48,Shanghai & Beijing trafficrates knew #coronavirus numbers are going to hit record. They have been just cracking lower and lower every day. Resume for work does is not supported by them. pic.twitter.com/ub8vCmTbqa,
49,"""This is not the bat's fault"": A disease expert explains where the coronavirus likely comes from http://va.newsrepublic.net/s/jySvmM ",
50,"Its not communism in China, they only have the name of it. Real gov system is more like capitalism leaded totalitarism.",
51,Coronavirus: A Cameroon student on how he recovered http://va.newsrepublic.net/s/dmRmTM ,
52,RT @ndtv: Parts of Beijing put under lockdown due to fresh #coronavirus cluster https://t.co/5Ly9jtB1kZ https://t.co/6RK7dkyNgc,
53,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,
54,RT @olumeeday: I know right 😂😂,
55,"RT @SixthTone: A district in Beijing is now in “wartime” mode following the closure of the city’s largest farmers market, which has been li…",
56,"✨
Greetings from Finland to the coronavirus.

Here from  it washes and spin-dryers too.

#Coronavirus https://t.co/HCq2rDYA9l",
57,👉🏼 Africa &amp; #COVID19 @UNUWIDER,
58,"RT @en_germany: Even though the #corona-related #restrictions are being increasingly eased, the #Coronavirus is still present in #Germany.…",
59,"RT @Vapaavuori: Helsinki is functional, safe, humancentric and close to nature. #COVID19 crisis highlights these values and characteristics…",
60,"RT @olusogaowoeye: If Buhari had not being an upright man,if Asiwaju had not stood up to them,if #COVID19 had not happened,Oshiomole would…",
61,"New Commission report shows the importance of digital resilience in times of crisis!
#covid19 #desi #DESI2020",
62,"RT @UN_Women: In some countries, #COVID19 infections among female health workers are 2x that of their male counterparts. 

Governments must…",
63,"RT @VinceGW: 👇 Very short blog to recap how the #Eurosystem responded to the #COVID19 crisis: adjustment of our #credit operations, further…",
64,"RT @FAO: Our food systems are failing us. And #COVID19 is making things worse.

We must invest in the future &amp; transform our food systems t…",
65,RT @GOGLAssociation: #COVID19 risks dismantling recent progress towards #SDGs in #Africa and casting millions of people back into #energy p…,
