,Country/Region,only_date,size
0,Netherlands,2020-01-01,1
1,United Kingdom,2020-01-01,1
2,United Kingdom,2020-01-02,1
3,Gabon,2020-01-03,1
4,Japan,2020-01-03,2
5,Netherlands,2020-01-03,1
6,Canada,2020-01-04,1
7,Morocco,2020-01-05,1
8,Niger,2020-01-05,1
9,Saudi Arabia,2020-01-06,1
10,Mongolia,2020-01-06,1
11,South Africa,2020-01-06,1
12,Indonesia,2020-01-07,1
13,Australia,2020-01-07,1
14,United Kingdom,2020-01-08,2
15,Spain,2020-01-08,3
16,Malta,2020-01-08,1
17,China,2020-01-08,1
18,Australia,2020-01-08,1
19,Mongolia,2020-01-08,1
20,Brazil,2020-01-08,1
21,Mexico,2020-01-08,2
22,Switzerland,2020-01-08,1
23,Germany,2020-01-08,1
24,Eritrea,2020-01-08,1
25,Malaysia,2020-01-08,2
26,Canada,2020-01-08,4
27,Chile,2020-01-09,1
28,Italy,2020-01-09,1
29,Malta,2020-01-09,1
30,Kenya,2020-01-09,1
31,United Kingdom,2020-01-09,17
32,Greece,2020-01-09,1
33,Montenegro,2020-01-09,1
34,Armenia,2020-01-09,2
35,Saint Vincent and the Grenadines,2020-01-09,2
36,Japan,2020-01-09,4
37,Thailand,2020-01-09,1
38,Cuba,2020-01-09,1
39,Malaysia,2020-01-09,2
40,Bangladesh,2020-01-09,1
41,Brazil,2020-01-09,1
42,Israel,2020-01-09,1
43,Romania,2020-01-09,1
44,Namibia,2020-01-09,1
45,Switzerland,2020-01-09,10
46,Argentina,2020-01-09,2
47,Morocco,2020-01-09,3
48,South Korea,2020-01-09,1
49,Burkina Faso,2020-01-09,1
50,Canada,2020-01-09,31
51,Mexico,2020-01-09,3
52,Philippines,2020-01-09,6
53,Nigeria,2020-01-09,12
54,Singapore,2020-01-09,5
55,Australia,2020-01-09,4
56,Sweden,2020-01-09,3
57,Botswana,2020-01-09,1
58,Mongolia,2020-01-09,1
59,India,2020-01-09,6
60,Panama,2020-01-09,1
61,China,2020-01-09,6
62,South Africa,2020-01-09,1
63,Turkey,2020-01-09,2
64,Netherlands,2020-01-09,3
65,Gabon,2020-01-09,1
66,France,2020-01-09,4
67,Qatar,2020-01-09,1
68,Venezuela,2020-01-09,2
69,Nepal,2020-01-09,1
70,Pakistan,2020-01-09,2
71,Indonesia,2020-01-09,1
72,Germany,2020-01-09,1
73,Japan,2020-01-11,2
74,Norway,2020-01-11,1
75,Mali,2020-01-11,1
76,Australia,2020-01-11,2
77,Philippines,2020-01-11,5
78,Turkey,2020-01-11,1
79,Ghana,2020-01-11,2
80,Netherlands,2020-01-11,3
81,Nepal,2020-01-11,1
82,Belgium,2020-01-11,1
83,Thailand,2020-01-11,1
84,Canada,2020-01-11,24
85,Ireland,2020-01-11,3
86,Morocco,2020-01-11,1
87,Indonesia,2020-01-11,1
88,Finland,2020-01-11,1
89,Seychelles,2020-01-11,2
90,Sweden,2020-01-11,1
91,Mongolia,2020-01-11,2
92,Switzerland,2020-01-11,5
93,Chile,2020-01-11,2
94,Gabon,2020-01-11,5
95,United Kingdom,2020-01-11,17
96,Singapore,2020-01-11,3
97,Germany,2020-01-11,1
98,Tunisia,2020-01-11,3
99,China,2020-01-11,4
100,India,2020-01-11,9
101,Montenegro,2020-01-11,1
102,Cameroon,2020-01-11,2
103,Liberia,2020-01-11,1
104,Spain,2020-01-11,2
105,Malaysia,2020-01-11,3
106,Nigeria,2020-01-12,2
107,India,2020-01-12,2
108,Philippines,2020-01-12,4
109,Turkey,2020-01-12,2
110,Venezuela,2020-01-12,1
111,Mexico,2020-01-12,1
112,Indonesia,2020-01-12,4
113,Gabon,2020-01-12,1
114,United Kingdom,2020-01-12,1
115,Antigua and Barbuda,2020-01-12,1
116,Switzerland,2020-01-12,3
117,Tunisia,2020-01-12,2
118,Pakistan,2020-01-12,1
119,Japan,2020-01-12,1
120,Australia,2020-01-12,1
121,Malaysia,2020-01-12,1
122,Bhutan,2020-01-12,1
123,Kenya,2020-01-12,1
124,Vietnam,2020-01-12,1
125,Spain,2020-01-12,1
126,Romania,2020-01-12,1
127,Canada,2020-01-12,13
128,Japan,2020-01-13,3
129,Fiji,2020-01-13,1
130,Thailand,2020-01-13,4
131,France,2020-01-13,1
132,Turkey,2020-01-13,1
133,Nigeria,2020-01-13,1
134,Austria,2020-01-13,1
135,Malaysia,2020-01-13,2
136,Switzerland,2020-01-13,4
137,Liberia,2020-01-13,1
138,Cameroon,2020-01-13,1
139,Ghana,2020-01-13,1
140,Tunisia,2020-01-13,1
141,Gabon,2020-01-13,1
142,Chile,2020-01-13,1
143,China,2020-01-13,1
144,Canada,2020-01-13,9
145,Nepal,2020-01-13,2
146,Indonesia,2020-01-13,1
147,United Arab Emirates,2020-01-13,1
148,United Kingdom,2020-01-13,5
149,Philippines,2020-01-13,3
150,Morocco,2020-01-13,1
151,India,2020-01-13,4
152,Mexico,2020-01-13,1
153,Australia,2020-01-13,2
154,Seychelles,2020-01-13,1
155,Ireland,2020-01-14,1
156,Netherlands,2020-01-14,1
157,Bangladesh,2020-01-14,1
158,United Kingdom,2020-01-14,10
159,Canada,2020-01-14,15
160,Egypt,2020-01-14,2
161,Spain,2020-01-14,1
162,Morocco,2020-01-14,3
163,Sweden,2020-01-14,1
164,Argentina,2020-01-14,2
165,Cameroon,2020-01-14,2
166,New Zealand,2020-01-14,3
167,Nigeria,2020-01-14,2
168,Singapore,2020-01-14,1
169,India,2020-01-14,2
170,Switzerland,2020-01-14,5
171,Tunisia,2020-01-14,1
172,Gabon,2020-01-14,1
173,Japan,2020-01-14,1
174,Italy,2020-01-14,1
175,Fiji,2020-01-14,1
176,South Korea,2020-01-14,1
177,Belgium,2020-01-14,1
178,Uganda,2020-01-14,1
179,Philippines,2020-01-14,3
180,Turkey,2020-01-14,2
181,Malaysia,2020-01-14,4
182,Nepal,2020-01-14,2
183,Panama,2020-01-14,1
184,China,2020-01-14,3
185,Australia,2020-01-14,10
186,Thailand,2020-01-14,4
187,South Africa,2020-01-15,3
188,Turkey,2020-01-15,2
189,Ireland,2020-01-15,1
190,Mongolia,2020-01-15,1
191,Thailand,2020-01-15,3
192,Kuwait,2020-01-15,1
193,Singapore,2020-01-15,1
194,India,2020-01-15,7
195,Gabon,2020-01-15,1
196,France,2020-01-15,1
197,Canada,2020-01-15,12
198,Switzerland,2020-01-15,1
199,China,2020-01-15,2
200,Pakistan,2020-01-15,1
201,Antigua and Barbuda,2020-01-15,1
202,Cameroon,2020-01-15,2
203,Australia,2020-01-15,4
