,Positive,Negative
0,30,51
1,"Rudy, please don some goggles 
Coronavirus virus, is highly contagious, and even though face masks that protect the mouth and nose are effective, they clearly 'won't protect the eyes.’  You can also get respiratory infections through the eye.'",Model Projects 23K GA Deaths If Coronavirus Limits End In 4 Weeks http://dlvr.it/RVjq78
2,"""China’s Leader, Under Fire, Says He Led Coronavirus Fight Early On"" by BY AMY QIN via NYT New York Times https://ift.tt/2OYiiC1 ","Hi @AnaKasparian if you have a fever, you probably have coronavirus. LA county has wiped out Cold and Flu. "
3,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Was excited to see Vermont pledging to do far more coronavirus testing then learned it's geared largely only to prisons and other restricted populations. Everyone needs testing but agree that those at most risk need to be tested first.
4,RT @sarkodie: You guys got me on @JumiaGhana and I’m hooked 😊👌🏾 ... perfect way to shop without stepping out ... very essential in these #C…,"#childrenunderattack we can’t forget the world is a dangerous place for so many in the world - with hot wars, not just the Coronavirus. Watch this video fro ⁦@UNICEF⁩ ⁦@StephMillerShow⁩ ⁦@fromthebunkerjr⁩ ⁦@robreiner⁩"
5,Lobbyists for industries from fishing to solar panels see the coronavirus stimulus bill as an ideal piece of legislation to hitch a ride on https://www.wsj.com/articles/lobbyists-pile-on-to-get-wins-for-clients-into-coronavirus-stimulus-package-11584792000 …,NFL PAY CUTS: Commissioner Roger Goodell has reduced his salary to $0 and other NFL employees will be taking pay cuts or furloughs due to the coronavirus pandemic. 
6,Can’t reach anyone at the BOE soI guess I’ll head out to work my assigned polling station at the American Legion post at 5:30 am and see what happens. #coronavirus #Elections2020 #ohiocoronavirus #OhioPrimary,"GA Tops 2,000 Coronavirus Deaths, Hospital Cases Grow http://dlvr.it/RXgZ34"
7,,US reports its 1st case of person-to-person spread of coronavirus 
8,,ordering mine now before it's sold out #coronaVirus #Covid19 #Plague #PlagueDoctor #PlagueMask #PlagueCostume
9,,First confirmed case of the coronavirus in Iceland. It's here. #COVID19
10,,This is how you deal with Covid-19 and keep the public trust. #COVID19 #coronavirus
11,,"Before all this coronavirus news, I started playing ""Plague Inc"" last month.

If you've never heard of it, check it out ... then prepare to be very nervous. "
12,,"Coronavirus is a damn group of viruses, not the actual name... caling ncov2019 “coronavirus” is like calling tigers, lions, panthers and lynxes: “cat”"
13,,Coronavirus Alert: What GA Health-Care Workers Need To Know http://dlvr.it/RNj56Z 
14,,Creator Of US BioWeapons Act Says Coronavirus Is Biological Warfare Weapon | Zero Hedge https://www.zerohedge.com/health/creator-bioweapons-act-says-coronavirus-biological-warfare-weapon …
15,,The Coronavirus is a Nightmare for the Global Economy https://www.youtube.com/watch?v=ir79nIFbobA …
16,,"@Lookner Northeast Tennessee couple on Japanese cruise ship. Coronavirus quarantine: Tri-Cities couple on vacation stuck on cruise ship off Japan's coast

(Via WJHL News) https://www.wjhl.com/news/local/coronavirus-quarantine-tri-cities-couple-on-vacation-stuck-on-cruise-ship-off-japans-coast/ …"
17,,"Eight Uniformed Services, if the #SpaceForce is the sixth military service. Given #CoronaVirus, you may wish to learn more about why #PublicHealth is uniformed."
18,,"""‘I Feel Abandoned’: How Residents in Wuhan Are Coping With Coronavirus"" by BY MUYI XIAO, BARBARA MARCOLINI AND NATALIE RENEAU via NYT New York Times https://ift.tt/37YmhpU "
19,,"fort the break #tytlive 

Trump Bogies As Coronavirus Spreads https://youtu.be/Df6FdSGayUM  via @YouTube"
20,,"""A Store, a Chalet, an Unsealed Pipe: Coronavirus Hot Spots Flare Far From Wuhan"" by BY VIVIAN WANG, AUSTIN RAMZY AND MEGAN SPECIA via NYT New York Times https://ift.tt/31LmSc0 "
21,,"Get a grippe, America. The flu is a much bigger threat than coronavirus, for now. - The Washington Post https://www.washingtonpost.com/health/time-for-a-reality-check-america-the-flu-is-a-much-bigger-threat-than-coronavirus-for-now/2020/01/31/46a15166-4444-11ea-b5fc-eefa848cde99_story.html …"
22,,#Coronavirus: #WHO scrambling to get details of new caseshttps://www.theguardian.com/world/live/2020/feb/13/coronavirus-latest-updates-deaths-in-china-pass-1300-with-jump-in-cases-live-news …
23,,"Today's #coronavirus #COVID2019  VIDEO update is out.
I explore and discuss the days events and the explosive conclusions of the Los Alamos study that basically says ""this thing is unstoppable.""https://www.youtube.com/watch?v=01L-SktgzXc&feature=youtu.be …"
24,,"#Apple cuts revenue forecast as #coronavirus wreaks havoc on its #Chinese supply chain

#China #COVID19https://www.telegraph.co.uk/technology/2020/02/17/apple-cuts-revenue-forecast-coronavirus-wreaks-havoc-chinese/ …"
25,,"""Coronavirus Live Updates: Second Unexplained Case Found in California, This Time in Santa Clara County"" by Unknown Author via NYT New York Times https://ift.tt/32DG7EJ "
26,,Coronavirus Containment Has Failed http://dlvr.it/RQq3Yy pic.twitter.com/LgVNZvR1qy
27,,"I heard him say ""well we'll see what happens"" when asked about Coronavirus. Exactly what you want to hear from a president when talking about an infectious virus."
28,,"RT @himantabiswa: 📌Alert ~ 25 new #COVID19+ cases reported

10 Karbi Anglong West, 5 Jorhat, 3 Karbi Anglong, 3 Baksa, 2 Dhemaji, 1 Golagha…"
29,,"RT @OffGuardian0: Let's be clear - whatever the motivation/good intentions of isolated individuals may have been, the degree of coordinatio…"
30,,"RT @bower_kirstie: The ""Be There"" campaign is about helping people with sight loss social distance safely. #BeThere #COVID19 #blind #SightL…"
31,,"RT @BjpBiplab: Out of 210 samples tested for #COVID19, 37 Cases found  #POSITIVE. All of them have travel history.

The count includes :

🔹…"
32,,"RT @WFPUSA: In #Bangladesh, students have been home from school for over 2 months because of #COVID19. 

But that hasn’t stopped @WFP deliv…"
33,,"@ClevTA As other states experience surges, Ohio's cases, deaths, and hospitalization rates continue to drop dramati… https://t.co/MlHi5502yz"
34,,"So, if I ask for forgiveness now, I won’t die from corona virus? 
And if I don’t? I die?"
35,,"Warning, this might make you apprehensive.
What the Impact of Coronavirus Looks Like From Space
https://nyti.ms/2Tnqher  via @nytvideo"
36,,"Coronavirus bill LOADED with Pelosi's expensive 'Christmas-tree ornaments,' says lawmaker https://www.bizpacreview.com/2020/03/07/coronavirus-bill-loaded-with-pelosis-expensive-christmas-tree-ornaments-says-lawmaker-894792 …"
37,,"For the Millennials, y’all stay tight on y’all family... the Coronavirus hitting the older generation up hard"
38,,"I have just been informed by someone close to the situation... that #coronavirus #WuhanVirus
@visit_wuhan @V2019N
 originated in the tiger penises, elephant tusks, shark fins and other #endangeredspecies parts and organs! 
@PeopleOfChina beware, take care of yourselves"
39,,We're going to shoot the corona virus
40,,"#Facebook #MarkZuckerberg

How THE FUCK is sharing news articles considered as spam? 
How THE FUCK is sharing a story about a 21 year old Spanish football coach with leukaemia dying of Coronavirus, spam? 

Fuck you #Facebook 1000x over.
And Eat Shit #MarkZuckerberg.pic.twitter.com/zhtX4gKZg3"
41,,My sarcasm detection meter is broken. I give up. I'm emotionally exhausted from coronavirus news and frantically ordering a case of white wine online b/c our wine & liquor stores close tonight indefinitely. I do not have the mental capacity.
