,Positive,Neutral,Negative
0,438,"Medscape http://medscape.com Widely-Cited Aerosolization Study Retracted A study that found that aerosolized novel coronavirus could be spread nearly 15 feet — twice what health officials had believed — has been retracted, but the journal isn't saying why.",447
1,"Not getting involved. I am Left of Centre for social but Right of Centre on fiscal. I will not comment on what you said. That is for Americans to decide. My only observation Trump good on economy, stumbling on Coronavirus, bleach?, who hasn't as world leaders, except lying China.","I think the news should have a Coronavirus word of the day. And, every other day, the word should be asymptomatic. How about that for a bit, @toddmeany ?","Ruby Princess 'most likely' cause of Tasmanian coronavirus outbreak, investigation finds #RubySpud"
2,... To make you #Smile during this #coronavirus pandemic - #keepcalm cards with our #blog's #cats ! https://ongheu.blogspot.com/2020/04/strisce-20-quarantine-edition.html #humor #Satire #originalart #FunniestTweets #Funniestmemes #cards #blogger #Memes,Young Doctors Struggle to Treat Coronavirus Patients: ‘We Are Horrified and Scared’ ,#Evangelicals who defied social distancing guidelines are dying of #Coronavirus in frightening numbers ... Events like this create doubts in my Atheism.
3,"Germano Celant, Passionate Defender of Italian Contemporary Art, Is Dead at 80 of Coronavirus-Related Causes https://www.artnews.com/art-news/news/germano-celant-arte-povera-dead-1202685181/ di @artnews",Who is the master? Who is the slave? novax #coronavirus #quarantena #5g #libertadiparola #tamponiinfetti #fakenews #mascherineinfette #antibiotici #cortisonici #vaccini… https://www.instagram.com/p/B_lTWGgFlRD0xxu9gBoWhqAPSZQrrOdRtK22jA0/?igshid=1l9mtawi25uz6,Coronavirus apps: the risk of slipping into a surveillance state https://www.ft.com/content/d2609e26-8875-11ea-a01c-a28a3e3fbd33 via @financialtimes
4,#Germany's #Merkel wants #greenrecovery from #coronavirus crisis. And in #Italy? All is silent #EUGreenDeal #EURecoveryPlan #climatechange #climateaction #EUClimateneutral,"Coronavirus Italia, Colao: opening in waves as proof ",Chinese ambassador threatens to destroy Australia's economy over coronavirus probe. Threat! Lie! That’s what CCP does! 
5,Is it safe to go to a farmers market? Tips for shoppers during coronavirus pandemic ,Contemplatives Launch Global Pray Initiative to Battle Coronavirus ,#Fauci : F.D.A. Plans to Announce Emergency Use of Coronavirus Drug 
6,#COVID19 Get your own protective shield and mask for you and your family today!!! Click below for orders and prices: https://mbpublishers.com/covid19/ #Masks #Coronavirus #COVID19 #Shiels #Protection #Children #School #Toddlers #Family #Health #StaySafe,Crushing the coronavirus is good economics. Hoping it goes away is not. ,US shortage of masks against coronavirus https://www.wsj.com/articles/miscalculation-at-every-level-left-u-s-unequipped-to-fight-coronavirus-11588170921?emailToken=a9225d324fe5b55e2e0d168a8aafa11813mI9WKB20pWflA4QZOllhe2MOHxqzoyO2Qyp9M3zvGfKu3Shktz3JKyxt7GYUdzNAD3TTF28CUulofboU4IKbwiygM5IG1Z0bAiESVEmJf9iwtqgT4uZxlsUtdFY6i+GMNHFIN288VgTJWwb5szXQ%3D%3D&amp;reflink=article_whatsapp_share
7,"MAINE CORONAVIRUS DATA: Also The Numbers don”t sound right Deaths: 89 Total cases: 2,282 Confirmed Cases: 2,025 Probable Cases: 257 Patients Recovered: 1,505 Patients on Ventilators: 11 Patients in ICU: 18",Coronavirus: Two men in US drink disinfectants in bid to prevent Covid-19 | The Independent ,"So, what exactly happened in Italy. Why did so many people die? My thoughts (Hindi) #coronavirus "
8,https://jamanetwork.com/journals/jamaneurology/fullarticle/2766765?resultClick=1 Magnetic Resonance Imaging Alteration of the Brain in a Patient With Coronavirus Disease 2019 (COVID-19) and Anosmia,#Coronavirus #COVID19 Global Cases @JHUSystems 4/29/2020 11:32:27 PM » https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6 Novel Coronavirus COVID-19 @UW HGIS Lab 2020-04-29 13:11:26 PST » https://hgis.uw.edu/virus/ COVID-19 #Italia - @DPCgov Ultimo aggiornamento 29/04/2020 17:00 » https://datastudio.google.com/u/0/reporting/91350339-2c97-49b5-92b8-965996530f00/page/RdlHB,"At this rate, I wouldn’t be surprised if they would do a test on #GeorgeFlyod and then say he died of #coronavirus so that’s why he had breathing issues"
9,Okay so we have two cases of Coronavirus here in Rome Italy! Stay safe everybody! ,Hard to say with coronavirus. His tour was supposed to kick off in pleasant park last week but it got pushed back bc covid,Im not but you for sure if you count the numbers of previous corona viruses that affected people with others corona virus already exist adding more herd immunity
