,Positive,Negative
0,16,36
1,Tesla shrugged off coronavirus-related problems and posted a profitable first quarter. ,"#Spain’s #coronavirus death toll rose by four on Saturday to 27,125, the Health Ministry said, reflecting a dramatic decline in daily fatalities in recent weeks as the country brings the outbreak under control. "
2,"Google trend searches for ""coronavirus symptoms” is a good indicator of market sentiment so far ","WHO says new China coronavirus could spread, warns hospitals worldwide.. 

World on alert for potential spread of new SARS-like virus found in #China, can't rule out new virus spreading between humans.. https://www.instagram.com/p/B7WIv_5pDDB/?igshid=1f26d2eluo89q …"
3,BBC News - Coronavirus: Wild animals enjoy freedom of a quieter world ,"Coronavirus reaches the US: Everything we know about the deadly virus – CNET

 https://www.ranzware.com/2020/01/22/coronavirus-reaches-the-us-everything-we-know-about-the-deadly-virus-cnet …
#Tech #Technews #Ranzware"
4,"It is more important than ever to get the flu vaccine. Raising the level of community immunity to seasonal influenza may not reduce the spread of the coronavirus, but it will reduce the odds of being inundated by two outbreaks at once... ","RT @wef: COVID-19 could push 100 million people into extreme poverty, says World Bank https://t.co/Yv6eFmcgAq #coronavirus #poverty https:/…"
5,What We Don’t Know About the Coronavirus https://www.newyorker.com/science/medical-dispatch/what-we-dont-know-about-covid-19?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=onsite-share&amp;utm_brand=the-new-yorker&amp;utm_social-type=earned via @NewYorker,"RT @YayathiPuru: Bad messaging in #COVID19 , is adding to the death rate. When the infection was communalised for votes, during the #Tablig…"
6,The #PremierLeague’s planned restart on June 17 received a further boost on Saturday when the latest batch of novel #coronavirus tests produced no positive results. ,"RT @timesofindia: Loss of smell, taste added to list of Covid-19 symptoms by govt

The decision was taken after the issue was discussed at…"
7,#Humanity should never allow a repeat of same mistake in 1918. #COVID19 #pakistani #KuwaitUrduNews #coronavirus #socialdistancing #foryou https://www.instagram.com/p/CA04HFHAlhB/?igshid=jt850vykmewn,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
8,You can track corona virus via this site. https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,RT @ians_india: The Health Ministry (@MoHFW_INDIA) has added symptoms of loss of smell and taste (anosmia &amp; ageusia) in the clinical manage…
9,When your at PF Changs and the chef starts coughing #coronavirus ,
