,Positive,Negative
0,23,24
1,RT @Ianblackford_MP: Memo to @Keir_Starmer it is notable that the Labour first minister in Wales recognises the need to protect jobs throug…,Factbox: New coronavirus outbreak in Chinese city of Wuhan http://j.mp/2TC5GDO pic.twitter.com/NTQWGsj3lG
2,RT @toates_19: Impressive to see that a small group of researchers in East London have managed to look at ethnicity and #COVID19 in both 1a…,"eish! iwish, there oz acure to this so called corona virus!"
3,"RT @CELCIStweets: Thousands of people have already signed up to this new, free three hour course, which examines Child Protection Case Mana…",RT @MalawiUNICEF: Don't forget to tune into the live information session on our @unicefmalawi Facebook page to learn more about the UNICEF…
4,RT @CMAJ: Rehabilitation facilities preparing for #COVID19 crunch as more patients recover: https://t.co/77Eh5qgKjh #cdnhealth @marlabeauch…,"RT @equalitynow: Our Malawi partner @PSGRBlantyre has rescued 43 children from #sexualexploitation, 12 from domestic servitude &amp; others fro…"
5,"RT @ECLTFoundation: At the @Alliance8_7 Child Labour Task Force of the Alliance for Child Protection in Humanitarian Action webinar, @Colum…","RT @Liturgy: 22nd day in a row of no new cases of #Covid in NZ. ""Elimination"" is reached after 28 days (two incubation periods) of no new c…"
6,"RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",Interesting to hear US president @realDonaldTrump saying the Democrats (US opposition) are politicizing #coronavirus. This 'politicizing' virus is not just African.
7,"This was so great!
Looking forward to connecting more with the fellows. 
Amazing work @NthandaLManduwi and… https://t.co/FbO5K0oPo0",OFFICIAL: Serie A has been suspended. #SerieA #Coronavirus
8,"RT @WorldBank: For the billions of people living in homes without flush toilets, clean water, or electricity, sheltering at home is not eno…",
9,RT @Feorlean: You would think these two geniuses might pause for a moment and ask themselves how the U.K. is going to meet the cost of borr…,
10,"RT @PlanMalawi: ""Every child has the right to an education, to develop his or her personality, talents, and mental and physical abilities t…",
