,Positive,Negative
0,31,59
1,BBC News - Coronavirus vaccine: When will we have one? ,"#Covid19 #Thread 1- Maldives gov failed sytem China- wuhan in corona virus feshihjje!. Gain gah araa bahyeh/ alert issues to whole world WHO - alert issued / usa, similar countries getting infected"
2,BBC News - Coronavirus: Why so many US nurses are out of work ,Corona virus is the Scapegoat of the century
3,BBC News - Coronavirus: US economy shrinks at fastest rate since 2008 ,China reports second death in coronavirus outbreak https://en.sun.mv/57783 
4,Fauci says experimental coronavirus treatment remdesivir could shorten COVID-19 recovery time https://fxn.ws/3fdhwNc #FoxNews,"#BREAKING Three Italian Serie A football matches on Sunday postponed over coronavirus fears, says official pic.twitter.com/oY1YAH2xcI"
5,"'Clear-cut' evidence coronavirus drug remdesivir works, Fauci says ","Fears mounted as cases of the new coronavirus multiplied outside China in places such as Europe, the Middle East and Asia, with pockets of outbreak sparking lockdowns and school closures http://u.afp.com/3UmF "
6,"During this lockdown ensure you stay fit, exercise and eat healthy to boost your immune system! #askWHO #Covid19 #Coronavirus #StaySafe #StayStrong #TogetherApart #TOTAL #ILAAMaldives","#UPDATE Russia denied the accusations that thousands of Russian-linked social media accounts have launched a coordinated effort to spread alarm about the new coronavirus, with a foreign ministry spokeswoman saying, ""This is a deliberately false story"" http://u.afp.com/3Umv "
7,May Allah SWT protects us all from the coronavirus and other dangerous deceases. Aameen ,"RT @UNICEFMaldives: Are you anxious or depressed about the circumstance you’re in?

You are not alone.

These feelings are completely norma…"
8,Breakin: first suspected case of corona virus in Maldives,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
9,Hisaabah vure gamaaru veema thihen ves vaane! Very few countries have got the test kit for the newfound coronavirus. Not even Singapore. ,"RT @mattlargey: Went to get a #COVID19 test this morning. (I don’t have symptoms, but have covered a few protests in close quarters.) 

If…"
10,Click the link for the latest updates of suspected case of Corona Virus found in the #Maldives.,"RT @UN_Women: Economic uncertainty
Health concerns
Movement restrictions
Anxiety over security
Crowded homes
Reduced peer support
Stress of…"
11,Simple ways to prevent the spread of #COVID19 in your workplace: #coronavirus,"Mr. @arvindKejriwal this is  how people are suffering in this difficult pandemic situation, this is all because how… https://t.co/l1Vw5oHDE0"
12,heart pts require extra precautions against COViD19 ,
13,The great #COVID19 depression will be in the history books!,
14,WHO: New coronavirus behind mystery pneumonia | NHK WORLD-JAPAN News https://www3.nhk.or.jp/nhkworld/en/news/20200115_03/ …,
15,Japan confirms first case of coronavirus - The Japan Times https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LmphcGFudGltZXMuY28uanAvbmV3cy8yMDIwLzAxLzE2L25hdGlvbmFsL3NjaWVuY2UtaGVhbHRoL2phcGFuLWZpcnN0LWNvcm9uYXZpcnVzLWNhc2Uv0gEA?oc=5?utm_content=socialchampAHWF0HpF_&utm_medium=social&utm_source=twitter.com&utm_campaign=socialchamp.io …,
16,preventive measures for.corona virus https://twitter.com/Moxamedalu/status/1218734906378833920 …,
17,"Also screen/isolate/treat the travellers coming from infective areas. 
#coronavirus https://twitter.com/Hisham_Imad/status/1218577268672327680 …",
18,"'It’s a Moral Imperative:' Archivists Made a Directory of 5,000 Coronavirus Studies to Bypass Paywalls. The potentially illegal archive is a 'moral imperative,' said one organizer. via /r/technology http://bit.ly/2GPDhCF ",
19,"U.S., South Korea weigh scaling back training over coronavirus concerns http://feeds.reuters.com/~r/Reuters/worldNews/~3/b-1S23BtovM/u-s-south-korea-weigh-scaling-back-training-over-coronavirus-concerns-idUSKCN20I2NE?utm_content=socialchamp-ADgjCR33&utm_medium=social&utm_source=twitter.com&utm_campaign=socialchamp.io …",
20,Iraq extends ban on Iran arrivals amid coronavirus fears https://www.aljazeera.com/news/2020/02/iraq-extends-ban-iran-arrivals-coronavirus-fears-200222190721462.html?taid=5e51bd199f8d1600019a504a&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter …,
21,"Concern over coronavirus spread as cases jump in South Korea, Italy and Iran http://feeds.reuters.com/~r/Reuters/worldNews/~3/-hWun32FzX8/concern-over-coronavirus-spread-as-cases-jump-in-south-korea-italy-and-iran-idUSKCN20H03U?utm_content=socialchamph9FdGUSro&utm_medium=social&utm_source=twitter.com&utm_campaign=socialchamp.io …",
22,NEW @WorldBank report on #HumanCapital highlights actions we can take NOW for an effective response and recovery fr… https://t.co/qy5FFSzZK0,
23,RT @AlArabiya_Eng: Scientists have begun exploring how some individuals who have never come into contact with the novel #coronavirus are se…,
24,RT @ScottWMedTech: We will beat this together. AdvaMed companies – and the entire #medtech community – are proud to support our doctors and…,
25,"RT @srinivasiyc: If Maharashtra Government can do this,
Who is stopping Delhi Government ?",
26,"RT @nazim7878: As we approach to a new normal due to #COVID19, my gratitude is to all the essential &amp; frontline workers who has done incred…",
27,"RT @SonuShivdasani: My latest op-Ed, Learning to Live with #COVID19, is available to read on LinkedIn: https://t.co/NFoasgd5YG",
28,"RT @ARC_maldives: With your donations, ARC AID has reached 139 children &amp; their families in Fuahmulah City, including single parents, famil…",
29,RT @HaswellUN: Join in all! Our new virtual reality increases the opportunities for dialogue locally in 🇲🇻 and globally🌎. Connect &amp; share y…,
30,A previous draft proposal indicated travelers would need to present a medical certificate confirming proof of a neg… https://t.co/nrjEs7qzRk,
31,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…",
32,RT @DhiTaxiDrivers: We can never thank you enough.. @HPA_MV @doctormaldives @mabrouq @MNDF_Official @PoliceMv,
33,"RT @AFPphoto: #Coronavirus #COVID19 #China #Beijing
Fresh virus cluster in China raises fears for pandemic control.
📸 GregBaker #AFP https:…",
34,"RT @presidencymv: As lockdown enters the next phase of easing, limit going out only for essentials, practice physical distancing &amp; hand hyg…",
35,"RT @ImmigrationMV: Latest update on the evacuation process, amidst #Covid19. https://t.co/4KBospUd24",
36,"RT @hashimex: Appreciation and respect 🙏❤🇲🇻
#Covid19 @HPA_MV https://t.co/T9FiDeSHBV",
37,Wish u a speedy recovery Insha Allah ♥️🏏,
38,"RT @meenakshisharan: A #Hindu businessman, from Dadu,  #Sindh Pakistan, Kewal Ram ji was found #COVID19 positive, unfortunately he didn’t s…",
39,Call on @MoFmv to factor in social protection system when all funds are now being rediverted because of #Covid19. E… https://t.co/f8gG3lDVhZ,
40,"RT @antonioguterres: #COVID19 has highlighted the threats posed by the unchecked use of digital technology - surveillance, human rights abu…",
41,RT @ShafeeaRiza: Call on @MoFmv to factor in social protection system when all funds are now being rediverted because of #Covid19. Ensuring…,
42,"#Throwback, one year ago today, after dinner chat with Prof.Grey &amp; Dr.Ambuj at The 7th China - South and Southeast… https://t.co/ItmoJiqwpV",
43,RT @CGTNOfficial: Beijing shuts wholesale market linked to seven new #COVID19 cases https://t.co/pU2Ob8lgsJ,
44,Be Smart & inform yourself about #coronavirus,
45,"the way the media’s carrying on, they’ll be a lot of angry people if they don’t get #coronavirus. swindled. https://twitter.com/vizcomic/status/1237885558992433155 …",
