,Positive,Neutral,Negative
0,58,Check out my latest article: SITUATION UPDATE ON WUHAN CORONAVIRUS | Nepal https://www.linkedin.com/pulse/situation-update-wuhan-coronavirus-nepal-raj-gyawali via @LinkedIn,19
1,Nepal is #CoVid19 free zone according to minister @yogesbhattarai .,Global emergency_coronavirus_WHO,"The novel coronavirus can infect blood vessels, which could explain high prevalence of blood clots, strokes, and heart attacks Coronavirus May Be a Blood Vessel Disease, Which Explains Everything by @SmithDanaG in @elemental"
2,Coronavirus patient is sealed in a PLASTIC TUBE to avoid contaminating others https://www.thesun.co.uk/news/10799518/coronavirus-patient-plastic-tube-china?utm_source=twitter&utm_medium=social&utm_campaign=sharebarweb …,#COVID19 Is tempted,"Isn't it going further and getting more dreadful! If the dog is indeed infected, it would be the first case of a pet catching the virus from humans. Be prepared! Prevention is better than cure! #CoronaVirus #WuhanVirus #nCov2020 #2019nCoV #COVID19 "
3,"As China celebrates Spring Festival we know some people in Hubei are suffering. But, with the effort of Chinese government/people, Coronavirus will come under control soon. May the new Year of the Rat be Healthy, Happy, Peaceful and Prosperous for China and the world",New China coronavirus could spread in Nepal https://www.madheshvani.com/en/detail/4307/new-china-coronavirus-could-spread-in-nepal …,"I am afraid we may soon need to start thinking of our own safety ourselves as #Covid19 reaches pandemic status. With poorly equipped health system and dense population, it will explode like a bomb in Kathmandu."
4,"As you celebrate the Spring Festival some people in China are suffering from Coronavirus. With the effort of the Chinese government/people, it will come under control and normalcy will be back soon. May the new Year of the Rat be Healthy, Happy, Peaceful and Prosperous for all",Khabarhub: WHO says new China coronavirus could spread in Nepal - https://english.khabarhub.com/2020/16/68897/ ,The #PokharaRegionalInternationalAirport was originally scheduled to commence in Jul 2021. The project might be delayed due to the #Covid19 outbreak in #China. https://www.nepalisansar.com/health/covid-19-outbreak-threatens-nepals-construction-projects/ @nepalisansar4u #NepalsConstructionProjects #GautamBuddhaInternationalAirport #CAMC
5,"Greetings and best wishes to all our Chinese friends. We are sure with the effort of the Chinese government and people, Coronavirus in Wuhan will come under control soon. May the new Year of the Rat be Healthy, Happy, Peaceful and Prosperous for China and the world.",Alert @MofaNepal @PM_Nepal high chances to enter Nepal. #coronavirus https://twitter.com/haraNikkei/status/1217605607252869120 …,A new #coronavirus identified as cause of Wuhan #pneumonia outbreak(china).But to which disease is it closely related? #MERS or #SARS CoV?Because these 2diseases have marked variation in mortality rate. #WuHanPneumonia #OneHealth @ProMED_mail #Weibo #infection #NTDs #Kathmandu
6,So coronavirus has done some good to animals,I meant causative agent- coronavirus. All three caused by coronavirus family.,UN health agency alerts Health Ministry about the risk of transmission of a new strain of coronavirus #Nepal #आजकोसमाचारhttps://kathmandupost.com/national/2020/01/13/un-health-agency-alerts-health-ministry-about-the-risk-of-transmission-of-a-new-strain-of-coronavirus …
7,"Keep the workplace safe and secure.
#SafetyAtOffice #SayNoToHandshake #Covid19 #CoronaVirus #MentalHealthAwareness… https://t.co/zb4Z5z4HZe","oh they are supposedly at BSL3. However, corona virus testing using rapids or PCR doesn't even require that level from my understanding.",TKP: UN health agency alerts Health Ministry about the risk of transmission of a new strain of coronavirus - https://kathmandupost.com/national/2020/01/13/un-health-agency-alerts-health-ministry-about-the-risk-of-transmission-of-a-new-strain-of-coronavirus …
8,"RT @UNICEFAfg: “During this tough situation of #CoronaVirus, it is my humanitarian and ethical responsibility to serve women and children,”…",I find it VERY suspicious when government's high tech lab at NPHL cannot do a simple coronavirus test including genotyping (all methods available in Nepal) and samples continue to be sent to overseas labs.,"Pneumonia Outbreak in China, Nepal is also under threat:
A new case of the new Chinese Coronavirus infection has been detected in Thailand. The patient is a... https://www.who.int/china/news/detail/09-01-2020-who-statement-regarding-cluster-of-pneumonia-cases-in-wuhan-china …"
9,"RT @KentPage: Since the #coronavirus pandemic began, @EduCannotWait &amp; our partners have been working with speed and agility to keep childre…","TKP: Chinese man quarantined with coronavirus under observation in Kathmandu, officials confirm - https://kathmandupost.com/health/2020/01/17/chinese-man-quarantined-with-coronavirus-under-observation-in-kathmandu-officials-confirm …","Source of #nCoV2019 may not be compulsorily animal market.Continues fever and SOB followed by dry cough but without vomiting & diarrhea >10days are main symptoms. Not necessarily transmit h2h.Need treatment protocol, alert and train h/workers. #WuhanPneumonia #Coronavirus"
10,"RT @OnlineKhabar_En: [#Interview] WHO Nepal chief: Instead of more tests, #Nepal should focus on improving quarantine facilities 
@WHO @WHO…","Chinese man quarantined with coronavirus under observation in Kathmandu, officials confirm https://tkpo.st/3ahBYtz  via @kathmandupost","The US State Department warned Americans in China about an outbreak of pneumonia in the central city of Wuhan believed to be caused by a new strain of coronavirus, and which has killed one person - https://thehimalayantimes.com/lifestyle/health/us-warns-citizens-in-china-against-pneumonia-outbreak/ …"
11,"RT @teamsrkpune: Here's wishing the Cabinet Minister of Tourism and Environment of Maharashtra @AUThackeray a Very Happy Birthday. 
.
.
.
.…","Chinese man quarantined with coronavirus under observation in Kathmandu, officials confirm https://tkpo.st/3ahBYtz  
By @arjunpoudeltkp","Pneumonia Outbreak in China, Nepal is also under threat:
A new case of the new Chinese Coronavirus infection has been detected in Thailand. The patient is a traveller from Wuhan, China. WHO has issued guidance on how to detect and…https://lnkd.in/fD8GX-s https://lnkd.in/fcbtzYE "
12,Get well soon Take care,Check out my latest article: SITUATION UPDATE ON WUHAN CORONAVIRUS | Nepal https://www.linkedin.com/pulse/situation-update-wuhan-coronavirus-nepal-raj-gyawali … via @LinkedIn,"""There has been ""limited"" human-to-human transmission of a new coronavirus that has struck in China, mainly small clusters in families, but there is potential for wider spread, the World Health Organization (WHO) said on Tuesday."""
13,RT @USAmbNepal: We continue to support Nepal's fight against #COVID19: proud to join @USAIDNepal AMD Adriana to announce an additional $3 m…,"Can't believe a man has been quarantined in Brisbane over deadly Corona Virus. As if fire, hailstorm and sandstorm wasn't enough.",This is how you reduce the risk of coronavirus infection. https://www.instagram.com/p/B7Syo3IJJDy/?igshid=bbq804atgfps …
