,Positive,Neutral,Negative
0,46,"Coronavirus update, Africa: - South Africa: 354 new cases - Egypt: 226 new cases - Algeria: 199 new cases - Nigeria: 196 new cases - Tanzania: 181 new cases - Guinea: 111 new cases - Cameroon: 101 new cases - Morocco: 69 new cases - Senegal: 59 new cases - Sudan: 57 new cases",22
1,"New COVID-19 cases reported in Oman today: 1,006
Total cases: 22,077
New recoveries: 41
Total recoveries: 7,530
Tot… https://t.co/6vFLzcl0MN",Traveling this weekend? Take note -- the new directive came into effect early Friday morning [February 28]. #COVID19 #health #travel #news #Oman #UAE https://www.y-oman.com/2020/02/omanis-traveling-to-uae-now-need-to-use-passports-instead-of-id-cards-as-coronavirus-controls-intensify/,"-WWIII. -Corona virus. -Deal of the century. -Australia fires. -Turkey earthquakes. -Haftar kills 20+ soldiers in Tripoli, Libya. 2020 "
2,"RT @VirginRadioOman: New COVID-19 cases reported in Oman today: 1,006
Total cases: 22,077
New recoveries: 41
Total recoveries: 7,530
Total…",you mean bts actually have Coronavirus? ot what,Government should take immediate step to lift these passengers before any calamatic happenings as Corona virus outbursts spreading rapidly in China.
3,"RT @murtazawahab1: In #Sindh, 1616 people have recovered from #COVID19 over the last 24 hours. The high recovery shows that corona can be t…","Governorates in lockdown: New guidelines for truck drivers
@sezaduqm
 @DuqmVoice
 @MOCI_Oman
@DhofarMun… https://t.co/pBoLSArvpo",People are now being paranoid that when you hear someone sneeze or coughing you ended thinking they might have coronavirus then you will start spraying some alcohol and covering your face.
4,"It’s really not getting any better, is it...?  #OmanObserver #Oman #COVID_19 #coronavirus #COVID2019 #WESTANNP… https://t.co/5O0nlMmOfO",Latest update given by the Ministry of Health @OmaniMOH on the number of registered #Covid19 cases in the… https://t.co/v7RSL19ASe,"WHO experts answer your questions on corona virus, watch at https://youtu.be/OZcRD9fV7jo "
5,"RT @Tejasvi_Surya: The only CM in India today who can start his weekend with a breakfast at MTR - city’s most famous joint. 

Sri @BSYBJP’s…","New #coronavirus cases recorded in #Oman. @OmaniMOH

https://t.co/9W1Ll6AXbM","coronavirus and now this, one tragedy after another... pic.twitter.com/OeLQGEF0V1"
6,"RT @AsawariBapat: Stay safe, wear masks and follow social distancing!
#Asa",. @RoyalOmanPolice have assured the public that all precautionary health and safety measures against #COVID19 will… https://t.co/A8ZlpRKw8E,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
7,RT @KhawajaMAsif: Prayers and best wishes for speedy recovery..  Ameen,"Prayers are always with u Lala ♥️
#GetWellSoonLala",RT @SportieDoc: 'I'm still too weak to exercise': Former professional athlete and doctor who first had Coronavirus in January warns of its…
8,"RT @UNICEFOman: Welcome to #YTC2020!

@UNICEF Representative to #Oman, @LanaWreikat,shares a few words with the teams and mentors at the st…","Wilayat Muttrah once again registered less number of #Covid19 cases.

https://t.co/BrkvvIa6Gt",RT @KanchanGupta: To think #China which has wrought global havoc with its Made in Wuhan #ChineseVirus is not in the Billboard Top 10 #Covid…
9,"RT @sri50: Today, June 13- #COVID19 Cases in   #TN = 1989

Total cases in #TN crosses 42K

Total cases in #TN - 42,687

Total recoveries -…","From e-learning to mental health services, our #YTC2020 teams are developing solutions to segments of our everyday… https://t.co/BAD4jYrHcI",
10,"RT @GFarooqi: Lots of prayers for Lala for quick, swift recovery InshaAllah.",RT @desimojito: Breaking : Shahid Afridi tested positive for both Corona and joining lSlS,
11,RT @CDCgov: #Employers: Antibody tests for #COVID19 should not be used to determine if someone can return to work. There is not enough info…,"RT @timesofindia: ANI quotes Balkrishna, CEO Patanjali: We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was…",
12,,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",
13,,"RT @UNICEFOman: From e-learning to mental health services, our #YTC2020 teams are developing solutions to segments of our everyday life tha…",
14,,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",
15,,RT @merge1048: . @MG_MOD_OMAN has called upon all residents and citizens to comply with control point measures and to cooperate with office…,
16,,"RT @OmanVSCovid19: Registration of (1006) new confirmed cases with Coronavirus #COVID19 in the Sultanate. 
#Omanvscovid19 https://t.co/kSOo…",
17,,It's Going Up ---&gt; https://t.co/P3vh9nFXWo,
18,,"Here comes another good news from healthcare research. Study: 100% face mask use could crush second, third COVID-19… https://t.co/wlbMppkn96",
19,,RT @SenaVoice: It is our responsibility to give security to the Doctors who are risking their lives and giving treatment to #COVID19 patien…,
20,,":To the people who has bought “50 sanitizers” leaving none on the shop shelves for others. 
You do realise that to stop getting coronavirus, you need others to sanitise thier hand too!!!?",
