,Positive,Neutral,Negative
0,98, come on you gotta be kiddin dudé even myself a heathen heater low life stinky beaner of disney channel marvel cartoons i'd watch this movie in teathers if this slimy corona virus chinese kung flu stop this illuminatis bilderberg's reality show annihiliation ,61
1,"Honest question: Why don't we test every single PEI resident? Or at least everyone over, say, 5 years old? Would this not be useful? @InfoPEI #covid19 #coronavirus",this could be us but coronavirus fucked up our world , NEWS ALERT World Health Organization declares coronavirus outbreak a public health emergency 
2,Editorial: Meat supply fix is a recipe for coronavirus disaster ,Wall Street jumps on #coronavirus drug hopes; Fed in focus | Reuters #COVID19 #COVIDー19,Fact-checking coronavirus conspiracies and hoaxes 
3,"AWAKE: :No society wants you to be Wise Osho, illustrates us with great truths that today before this pandemic we begin to understand. The Awakening of Consciousness will Begin .... #pandemia #coronavirus #covid19 #quedateencasa #peru #yomequedoencasa",Dr. Greg and Erin Smalley describe how you can see the challenges of the coronavirus pandemic as an opportunity to strengthen your marriage. The Smalleys share insights they've gained that can help you reconnect with your spouse. http://ow.ly/eLO550zrM9R,Health alert. #contagion #fever #china #wuhan #outbreak #coronavirus #viruspic.twitter.com/YkoxmpWZOz
4,God is doing some AMAZING things right now! http://ow.ly/VZpF30qBR20 #foundation #victory #forthegood #life #lifegiving #joy #COVID19 #CV #COVID #coronavirus #triumph #bgbg2 #Blogger,BUT WHAT ABOUT CORONAVIRUS!!,UN health emergency committee to re-convene on global threat posed by coronavirus http://dlvr.it/RNYwTN pic.twitter.com/WJISSa3aB1
5,statistics of coronavirus infection can be found at this link http://bit.ly/2xjhDFH take care #coronavirus #quarantine, NEWS ALERT India reports its first confirmed coronavirus case ," NEWS ALERT 

Authorities limit the travel of 11 million residents, shut down transportation in Wuhan amid Coronavirus outbreak https://twitter.com/i/events/1220065224117481472 …"
6, BREAKING Italy suspends China flights after confirming first coronavirus cases ,"Coronavirus will 'help to accelerate the return of jobs to North America,' Commerce Secretary Wilbur Ross says ","January 2020:
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
-Turkey 6.8 quake
- earthquake in indonesia
- jakarta flood
- wuhan coronavirus outbreak

And we still got 11 months to go. Nakakatakot "
7,Cruise ship passengers test negative for coronavirus following a lockdown ,From The Economist Espresso: Under observation: the economic impact of coronavirus ,"PUBLIC HEALTH EMERGENCY

Scientists urge caution around pangolin 'link' in spread of deadly coronavirus https://twitter.com/i/events/1225857900616142848 …"
8,"covid19 is creating panic in the connected people and the markets and governments take measures but what I see is that it is leaving in the sense of changing society and its way of living and throwing ourselves into the arms of new technologies ina first stage, things will change ",Here’s how coronavirus spreads on a plane—and the safest place to sit https://on.natgeo.com/2O8Jttv via @NatGeoScience,"PUBLIC HEALTH EMERGENCY

Chinese rage after the death of the doctor who tried to warn the world about coronavirus https://twitter.com/i/events/1225741309287075840 …"
9,OMEN! The Devil,"How can #CoVid19 hit migrants? Read but also: Migrants often miss out on important health messages as they don't speak the host community language, don't read the press or watch TV - thus being more exposed to misinformation on SM. http://bit.ly/32yVLkU @newhumanitarian","PUBLIC HEALTH EMERGENCY

Life aboard a quarantined cruise ship in the midst of a coronavirus outbreak https://twitter.com/i/events/1225871665931751425 …"
10,Good Job @realDonaldTrump ,"'Scientists fear up to 4,500 Chinese patients may have caught the new #coronavirus as health chiefs in Wuhan confirm four more cases.'

https://www.dailymail.co.uk/health/article-7900047/Scientists-fear-4-500-Chinese-patients-caught-coronavirus.html …","One of the viruses that circulates and causes the common cold along with adeno and rhino virus is the regular corona virus. This is not the 2019-nCoV CV that is novel (new) and is causing the outbreak in China. 
What can Laredoans do: 
•Use common respiratory prevention actions pic.twitter.com/cXsOaoovk4"
