,Positive,Neutral,Negative
0,53,"I guess #MyBodyMyChoice doesn't apply in #coronavirus panic if 2020. If you can't choose to work, open your business or go to the park.",58
1,"The #PuertoRico #foodbank is out of food for individuals in need, #federal #COVID19 funds to individuals has not yet get to the pockets of #PuertoRicans, nor the #Unemployment benefits to recent unemployment workers because of #coronavirus #curfew. @JLo @BillClinton @BarackObama https://twitter.com/esmental_mag/status/1255474967573139461","For the first day in weeks, no new coronavirus cases were reported in Vermont ",the fact that we don’t know anything about coronavirus bothers me greatly 
2,"Undocumented immigrants pay taxes, work on the frontlines of #coronavirus and are raising families, including US citizen children. Excluding them from healthcare access and economic relief puts 5.9 millions children in danger. #ProtectAllWorkers",HAPPENING NOW: @NRDems Roundtable about the #coronavirus response in the territories including #PuertoRico - FB LIVE https://www.facebook.com/NRDems/videos/688727325207632/?v=688727325207632&amp;notif_id=1588197612893428&amp;notif_t=live_video_explicit,You what I just thought about? CORONAvirus is still a very real thing and people are still dying from it.
3,They Were Fervent Trump Supporters. Then Coronavirus Hit. ,Due to coronavirus' impact on an already weakened economy ,"What This NEW Coronavirus News REALLY Means, Lil Nas X RANT Response, &amp; ... https://youtu.be/FdlXGRTPDfY via @YouTube"
4,"Coronavirus in NC, cancel school and work for the rest of the month @NorthCarolina",Coronavirus screening expands to 15 more US airports | Fox Business ,Big Law Is Taking the Coronavirus Outbreak Seriously https://at.law.com/QK9mLB?cmp=share_twitter vía @AmericanLawyer
5,"“We do expect more cases and this is a good time to prepare.” - Dr. Anne Schuchat (CDC Principal Deputy Director) 

#coronavirus",Tax cuts?! Wouldn't it be wiser to put money towards testing kits and developing a vaccine?! #COVID19 #CoronavirusOutbreak #CoronaVirusUpdates,#OnePiece will get a Live action Series on #Netflix plus the #BleachFaceAgain is FAKE and the people of overwatchleague have been CANCELLED the China event game between February - March by the Coronavirus indecent.. https://www.instagram.com/p/B79izW1JWSY/?igshid=1w2yipn7xt2m
6,"RT @DemWrite: OHIO!

Watch this video. The Trump Recession didn’t start because of #coronavirus. It was in full swing in 2019.

Trump promi…",Sometimes it’s just so plain to see why we are where we are. #coronavirusus #COVID19 #CoronavirusNotCoronaBeer,"Hate to be that person, but if you’re in the U.S, the Flu is a much higher risk than the Coronavirus. Know it might not help many, but hopefully it helps some with some worries and panic. Flu comes every year, practice hygiene my friends."
7,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…","""indicating that this novel coronavirus virus may [be] capable of human-to-human transmission"" https://twitter.com/ProMED_mail/status/1218753608776327169 …",Ive seen so many POC tweet/share racist asian jokes on the TL about coronavirus. Y’all think humor is an excuse to amplify your preexisting racism and xenophobia only when it doesnt apply to you or your own people. Think about that next time you snatch a MAGA hat off a stranger.
8,RT @Loretta_Swit: #MashbackFriday ❤️Sending #virtual #sociallydistant hugs! I think we all could use one. #mash4077th #4077thmash #harrymor…,"#coronavirus is coming

Three U.S. Airports to Screen Passengers for Chinese Coronavirus https://nyti.ms/2G0j1Os ",Leave it to MSNBS to tie the corona virus to racism.
9,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",What We Know About the Wuhan Coronavirus https://www.nytimes.com/2020/01/21/health/what-is-coronavirus.html …,"Good for you @tedlieu ! This administration is the most inept, heartless, useless group of people I’ve ever seen from any WH in my lifetime. #COVID19 #coronavirusus #CPAC"
10,RT @SCDEWinfo: Our #DEW claims specialists are available to help! Saturday is our lowest call volume day of the week. They're available fro…,"Ay no jodas

""First confirmed coronavirus case identified in the US""  https://twitter.com/i/events/1219687502237167616 …","What This NEW Coronavirus News REALLY Means, Lil Nas X RANT Response, & ... https://youtu.be/FdlXGRTPDfY  via @YouTube"
11,@Adah06451294 Please #StayHome #BeSafe #HealthcareHeroes My daughter is a #nurses and she goes to work so we can st… https://t.co/IhlaqnZZni,"
""First confirmed coronavirus case identified in the US""  https://twitter.com/i/events/1219687502237167616 …",CDC to travelers: Avoid all nonessential travel to China due to coronavirus outbreak https://www.usatoday.com/story/travel/airline-news/2020/01/27/cdc-travelers-avoid-all-nonessential-travel-china-due-coronavirus/4592635002/ … via @USATODAY
12,Donald Trump Donates Fourth Quarter Salary to Health and Human Services to Fight Coronavirus https://www.breitbart.com/politics/2020/03/03/donald-trump-donates-fourth-quarter-salary-to-health-and-human-services-to-fight-coronavirus/ …,Rudy Guilliani IS the CoronaVirus.,"Except for the stagnant economy, the YUGE national debt, the great Coronavirus and a criminal in charge."
13,Earnest Winston: CMS Schools Close due to Coronavirus - Sign the Petition! http://chng.it/T4pkFvYT  via @Change,A 5th case of CoronaVirus in the US was confirmed in Arizona.,"Twitter friends - I need your input! I’m at @LGAairport, sitting at my gate, several seats away from 40 yo female with a persistent cough and nasal drainage - clearly suffering from a URI. Would it be offensive to offer her a mask? I overprepared for the coronavirus situation."
14,"You konw, maybe it's just best to just not see the Twitter timeline cause there's so many unfunny coronavirus related jokes, it's like watching Dane Cook tweeting all day.",That means that over 50% of China's citizen probably have coronavirus influence.  The good news is most of them will survive.  Is coronavirus a variance of rabies virus?,ALERT - HUGE MAJOR BREAKING NEWS ON CORONAVIRUS PANDEMIC!!! updates!  2-... https://youtu.be/ANB7fj2LB4w  via @YouTube
15,A Top Republican Senator Dumped $1.6 Million in Stock After Early Coronavirus Briefings. Was It Legal? https://www.motherjones.com/coronavirus-updates/2020/03/richard-burr-dumped-stocks-coronavirus-legal-violation-stock-act/ … via @MotherJones,"First there was coronavirus. Now, there is a new one from Brazil? @PRlivetalks @cnnbrk @NBC @DavidBegnaud @riverasaniel @jayfonsecaprhttps://twitter.com/ellevargaz/status/1227068039176212481 …",Corona virus y all star gane tonight 
16,"I understand the importance of quarantine but please don't get angry with people. Some companies aren't closing, some jobs aren't ""work from home"". Please have compassion for all.  #CoronavirusPandemic #coronavirus",@realDonaldTrump but didn’t you say you had the Coronavirus handled?  https://twitter.com/dvergano/status/1232350307025289218 …,"The New York Times: Coronavirus Test Kits Sent to States Are Flawed, C.D.C. Says.
https://www.nytimes.com/2020/02/12/health/coronavirus-test-kits-cdc.html …

via @GoogleNews"
17,,"Stock market is always the most volatile of these indicators. There is still a lot of uncertainty about what will happen with the coronavirus. If things get better then these things should be fine, but these are lagging indicators that could eventually be affected. Not yet tho.",The Coronavirus is spreading across the world and this is what you are tweeting about.  God you’re embarrassing.
18,,Report: White House locking down messaging from federal government on coronavirus https://www.msnbc.com/deadline-white-house/watch/report-white-house-locking-down-messaging-from-federal-government-on-coronavirus-79563845972 … via @msnbc,You are worst than the corona virus
19,,RT @drdavidsamadi: NO SECOND WAVE.  The toughest part of #COVID19 is behind us. This was a nursing home virus.  Small baby waves and spikes…,"One thing about the essay I question is the strict reliance on the Coronavirus as the cause. It could be the main trigger, but there are other factors at play."
20,,"RT @efrain994: 🗣: The pandemic isn’t over, keep taking precautions!","With the continued spread of the corona virus, and the growing concern and fear, many people are afraid to travel, as such less flights are being booked and less money flows, slowly causing damage to the economy by stalling it"
21,,"RT @efrain994: 🗣: The pandemic isn’t over, keep taking precautions!",I would be afraid to shake their hands. Stupid might be catching. Bigger concern than Corona virus.
22,,RT @richardhine: Even before the #TrumpRecession began in February -- and before Trump's incompetence in handling #COVID19 caused the #Trum…,"Trump outlines US response to coronavirus threat, calls risk 'very low' https://nypost.com/2020/02/26/trump-outlines-us-response-to-coronavirus-threat-calls-risk-very-low/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost"
23,,RT @HustusMichael: I'm sure this has nothing to do with the fact that liberal controlled cities and states have been allowing tens of thous…,RT @tmprowell: The US has performed its first double lung transplant for lung damage caused by #COVID19. The recipient is a 20 yr old woman…
24,,"RT @TheDailyEdge: Fact Check: Joe Biden oversaw the longest period of uninterrupted job growth in HISTORY.

Meanwhile, @realDonaldTrump cau…",RT @JorgensenWL: Beginning of new protease inhibs to treat #COVID19. Too bad that both compounds are aldehydes. My search finds no FDA-appr…
25,,Where is #DrFauci? He keeps it real amwith the American people. #COVID19,RT @DrTomFrieden: 2 million cases is just the tip of the iceberg of how #COVID19 is spreading. Looking at identified deaths and the latest…
26,,RT @votesamuelwill1: The case are rising but that is in direct relation to the increased number of test that are being preformed why do you…,Opinion | How to Confront the Coronavirus at Every Level - The New York Times ⁦@luisenriquefalu⁩https://www.nytimes.com/2020/03/02/opinion/coronavirus-prepare-test.html …
27,,"RT @efrain994: 🗣: The pandemic isn’t over, keep taking precautions!",@seanhannity can you ever tell the truth? Your latest rant about the coronavirus and blaming the democrats is completely irresponsible and you are spreading Trump propaganda because you are a @realDonaldTrump loyalist! Do your job professionally! You have no ounce of credibility!pic.twitter.com/9vqPYH2gCq
28,,"RT @efrain994: 🗣: The pandemic isn’t over, keep taking precautions!",My grandma said she gonna buy a machete in case coronavirus case turns into zombies... ma’am...
